delta,group,method,dataset,unit_fdp,supported_genes
0.1,direct,Boger,Wainberg,0.09226789573492906,185.32
0.1,direct,Boger,Sanger,0.09130298535147009,150.65
0.1,direct,Boger,DRIVE,0.09126237419524301,90.05
0.1,direct,Boger,HAP1,0.07190802384926853,77.03
0.1,direct,Hoeffding/LTT,Wainberg,0.0771074569923767,161.51
0.1,direct,Hoeffding/LTT,Sanger,0.0768927226319224,141.73
0.1,direct,Hoeffding/LTT,DRIVE,0.0796198041279372,79.28
0.1,direct,Hoeffding/LTT,HAP1,0.0719080238492685,77.03
0.1,direct,Hoeffding-Bentkus,Wainberg,0.0916680781166315,183.08
0.1,direct,Hoeffding-Bentkus,Sanger,0.0887656344931576,148.95
0.1,direct,Hoeffding-Bentkus,DRIVE,0.0873736997463342,85.14
0.1,direct,Hoeffding-Bentkus,HAP1,0.0719080238492685,77.03
0.1,direct,IID-normal,Wainberg,0.0922678955953225,185.32
0.1,direct,IID-normal,Sanger,0.09130298535147,150.65
0.1,direct,IID-normal,DRIVE,0.091262374195243,90.05
0.1,direct,IID-normal,HAP1,0.0719080238492685,77.03
0.1,direct,Empirical Bernstein,Wainberg,0.0867824916349837,175.0
0.1,direct,Empirical Bernstein,Sanger,0.0803103094448033,143.79
0.1,direct,Empirical Bernstein,DRIVE,0.0828030811403568,81.49
0.1,direct,Empirical Bernstein,HAP1,0.0719080238492685,77.03
0.1,direct,Binary-incidence McDiarmid,Wainberg,0.0763318332036145,160.49
0.1,direct,Binary-incidence McDiarmid,Sanger,0.0768927226319224,141.73
0.1,direct,Binary-incidence McDiarmid,DRIVE,0.0682140440895797,67.49
0.1,direct,Binary-incidence McDiarmid,HAP1,0.0719080238492685,77.03
0.1,direct,Janson dependency-graph,Wainberg,0.0763318332036145,160.49
0.1,direct,Janson dependency-graph,Sanger,0.0727411487381174,132.19
0.1,direct,Janson dependency-graph,DRIVE,0.0628839365794898,61.92
0.1,direct,Janson dependency-graph,HAP1,0.0719080238492685,77.03
0.1,direct,Network-HAC (b=1),Wainberg,0.0902829207691821,180.6
0.1,direct,Network-HAC (b=1),Sanger,0.0857071160252924,146.97
0.1,direct,Network-HAC (b=1),DRIVE,0.0830613270856499,81.64
0.1,direct,Network-HAC (b=1),HAP1,0.0719080238492685,77.03
0.1,direct,Platt calibration,Wainberg,0.0907824938205984,182.31
0.1,direct,Platt calibration,Sanger,0.0949429137872287,155.59
0.1,direct,Platt calibration,DRIVE,0.0914177288005933,91.68
0.1,direct,Platt calibration,HAP1,0.0719080238492685,77.03
0.1,direct,Isotonic calibration,Wainberg,0.0919312651853409,184.82
0.1,direct,Isotonic calibration,Sanger,0.0956184177596918,156.48
0.1,direct,Isotonic calibration,DRIVE,0.091708376965725,92.03
0.1,direct,Isotonic calibration,HAP1,0.0719080238492685,77.03
0.1,hierarchy,GoDag,Wainberg,0.09232070943077259,185.71
0.1,hierarchy,GoDag,Sanger,0.09227616000976432,151.65
0.1,hierarchy,GoDag,DRIVE,0.09290384266721155,92.91
0.1,hierarchy,GoDag,HAP1,0.07190802384926853,77.03
0.1,relational,GoCo,Wainberg,0.09479555785366628,195.24
0.1,relational,GoCo,Sanger,0.09297943629633133,156.86
0.1,relational,GoCo,DRIVE,0.09312312221827491,99.38
0.1,relational,GoCo,HAP1,0.09145378679304955,80.73
