dataset,delta,method,terms,unit_fdp,diff_vs_random,ci95,p_gt_random
Wainberg,0.5,GoCo-random,346.27666666666664,0.09946646493328204,0.0,0.0,0.0
Sanger,0.5,GoCo-random,359.17666666666673,0.09917060175980807,0.0,0.0,0.0
DRIVE,0.5,GoCo-random,280.4,0.09975794119825934,0.0,0.0,0.0
HAP1,0.5,GoCo-random,135.12333333333333,0.09719799284978248,0.0,0.0,0.0
Wainberg,0.5,GoCo-score,341.73,0.0993789788274233,-4.546666666666664,0.468695753033176,0.01
Sanger,0.5,GoCo-score,361.87,0.09891504642717777,2.6933333333333347,0.5956177457299903,0.69
DRIVE,0.5,GoCo-score,284.96,0.09916191944132112,4.560000000000006,0.9847245667957842,0.72
HAP1,0.5,GoCo-score,137.92,0.09600887832066056,2.7966666666666673,0.23183586080240515,0.94
Wainberg,0.5,GoCo-exp0,349.7,0.0954562868272084,3.4233333333333356,0.968464903154459,0.71
Sanger,0.5,GoCo-exp0,358.88,0.0979978269161729,-0.29666666666666514,1.1688630840892928,0.5
DRIVE,0.5,GoCo-exp0,267.72,0.09689253781368302,-12.679999999999996,1.43933044747923,0.12
HAP1,0.5,GoCo-exp0,135.21,0.08202957639102794,0.08666666666666707,0.5251893725831284,0.48
Wainberg,0.5,GoCo-source,354.06,0.09853389574693644,7.783333333333335,0.8585666205806686,0.98
Sanger,0.5,GoCo-source,365.88,0.09855391947763227,6.703333333333335,1.197255464819518,0.72
DRIVE,0.5,GoCo-source,288.05,0.09841642513357358,7.650000000000005,1.3534086561375671,0.78
HAP1,0.5,GoCo-source,135.65,0.09580428914978427,0.5266666666666671,0.2810421120865207,0.56
Wainberg,0.5,GoCo-exp1,352.99,0.09888298838459494,6.713333333333335,0.7691214226527501,0.94
Sanger,0.5,GoCo-exp1,367.06,0.09881302176537728,7.883333333333335,1.2977452137711762,0.69
DRIVE,0.5,GoCo-exp1,290.22,0.09875226890945933,9.820000000000004,1.2857738662759532,0.88
HAP1,0.5,GoCo-exp1,135.05,0.09720141509031115,-0.07333333333333293,0.2649670655345279,0.49
Wainberg,0.5,GoCo-knap,356.19,0.09840698736451273,9.913333333333334,0.9974481581030943,0.97
Sanger,0.5,GoCo-knap,370.39,0.09915143847402101,11.213333333333335,1.1317680116944493,0.94
DRIVE,0.5,GoCo-knap,292.77,0.09942703861709608,12.370000000000005,1.2308417978544668,0.93
HAP1,0.5,GoCo-knap,136.13,0.097570874057892,1.006666666666667,0.2814082153632427,0.66
Wainberg,0.5,GoCo-learnedgb,365.05,0.09592176092201238,18.773333333333337,1.324588953949415,1.0
Sanger,0.5,GoCo-learnedgb,376.7,0.09792520796525114,17.523333333333333,1.9745910259592983,0.89
DRIVE,0.5,GoCo-learnedgb,291.38,0.09702235635119026,10.980000000000004,1.5880466660091157,0.83
HAP1,0.5,GoCo-learnedgb,137.75,0.08451147194447457,2.6266666666666674,0.26663749522184577,0.88
Wainberg,0.5,GoCo-learned,369.06,0.09643724079667233,22.783333333333335,1.1450666995212173,1.0
Sanger,0.5,GoCo-learned,380.67,0.09800060843657135,21.493333333333336,2.2275381898265354,0.91
DRIVE,0.5,GoCo-learned,291.69,0.09706128873116769,11.290000000000004,1.49852362947537,0.81
HAP1,0.5,GoCo-learned,137.66,0.09434881564340508,2.536666666666667,0.2576046475923812,0.89
Wainberg,0.5,GoCo-oracle,381.62,0.09598909382410768,35.343333333333334,1.222467155696403,1.0
Sanger,0.5,GoCo-oracle,388.5,0.09706669328851497,29.323333333333334,2.442868220949428,0.98
DRIVE,0.5,GoCo-oracle,298.42,0.09537318270236485,18.020000000000003,1.673821703316902,0.98
HAP1,0.5,GoCo-oracle,139.71,0.09491258247281331,4.586666666666668,0.19802721592445205,1.0
