dataset,delta,alpha,method,unit_fdp,exceed,pool_exceed,terms,genes,calls
Wainberg,0.5,0.05,GoDag,0.035875333388138995,0.0,0.0,183.14,114.86,489.22
Wainberg,0.5,0.1,GoDag,0.09232070943077259,0.01,0.0,339.61,185.71,1614.12
Wainberg,0.5,0.2,GoDag,0.16988224428472581,0.0,0.0,518.94,265.42,3946.65
Wainberg,0.5,0.05,GoDag-dense,0.03652223081321287,0.0,0.0,185.74,116.05,498.33
Wainberg,0.5,0.1,GoDag-dense,0.09239458026234708,0.01,0.0,339.61,185.71,1614.77
Wainberg,0.5,0.2,GoDag-dense,0.17101746119294625,0.0,0.0,521.87,266.06,3981.98
Wainberg,0.5,0.05,GoCo-random,0.048410552703111426,0.3,0.16666666666666663,200.12333333333333,120.80666666666666,645.7133333333334
Wainberg,0.5,0.1,GoCo-random,0.09946646493328204,0.44999999999999996,0.3633333333333333,346.27666666666664,190.00333333333333,1729.5366666666662
Wainberg,0.5,0.2,GoCo-random,0.19671149299857024,0.3233333333333333,0.14666666666666664,528.6466666666666,269.00666666666666,4345.326666666668
Wainberg,0.5,0.05,GoCo-learned,0.046580312101586314,0.19,0.09,214.77,124.36,732.18
Wainberg,0.5,0.1,GoCo-learned,0.09643724079667233,0.2,0.08,369.06,197.06,1955.11
Wainberg,0.5,0.2,GoCo-learned,0.1939117462952877,0.21,0.07,539.64,272.64,4582.82
Wainberg,0.5,0.05,GoCo-dense-learned,0.04681553793502609,0.23,0.12,215.41,125.07,732.89
Wainberg,0.5,0.1,GoCo-dense-learned,0.09658590850028342,0.24,0.12,367.69,196.53,1952.84
Wainberg,0.5,0.2,GoCo-dense-learned,0.19399647839854864,0.23,0.06,539.82,272.69,4580.16
Sanger,0.5,0.05,GoDag,0.048374294711887984,0.31,0.0,218.2,116.26,720.95
Sanger,0.5,0.1,GoDag,0.09799481876436428,0.36,0.0,353.79,160.9,2040.05
Sanger,0.5,0.2,GoDag,0.18952151303515583,0.0,0.0,1163.21,353.5,13324.21
Sanger,0.5,0.05,GoDag-dense,0.049051459893300536,0.41,0.0,225.66,118.01,744.61
Sanger,0.5,0.1,GoDag-dense,0.09859580955359862,0.36,0.0,358.43,162.35,2070.48
Sanger,0.5,0.2,GoDag-dense,0.19669586655878,0.18,0.18,1289.96,369.77,15441.58
Sanger,0.5,0.05,GoCo-random,0.04942120491840932,0.46333333333333326,0.35,219.92666666666665,116.88333333333334,744.2
Sanger,0.5,0.1,GoCo-random,0.09917060175980807,0.4383333333333333,0.37666666666666665,359.17666666666673,162.43666666666667,2110.4266666666667
Sanger,0.5,0.2,GoCo-random,0.19809673753762336,0.405,0.22833333333333333,1302.21,372.84,15476.206666666665
Sanger,0.5,0.05,GoCo-learned,0.04911805447929377,0.45,0.28,234.53,119.17,882.71
Sanger,0.5,0.1,GoCo-learned,0.09800060843657135,0.42,0.2,380.67,166.94,2380.25
Sanger,0.5,0.2,GoCo-learned,0.1913428216587589,0.01,0.01,1360.88,378.13,16330.11
Sanger,0.5,0.05,GoCo-dense-learned,0.04945543626201108,0.51,0.4,232.69,119.13,847.3
Sanger,0.5,0.1,GoCo-dense-learned,0.09862266382221273,0.44,0.15,367.12,163.51,2197.44
Sanger,0.5,0.2,GoCo-dense-learned,0.19785730843955168,0.34,0.28,1308.62,374.51,15872.28
DRIVE,0.5,0.05,GoDag,0.04662093908227086,0.53,0.53,94.36,47.33,376.44
DRIVE,0.5,0.1,GoDag,0.09647140532131215,0.28,0.28,258.6,98.68,1954.11
DRIVE,0.5,0.2,GoDag,0.1843980092747774,0.01,0.0,702.43,172.78,8371.71
DRIVE,0.5,0.05,GoDag-dense,0.0489505397207066,0.53,0.53,96.16,49.02,387.39
DRIVE,0.5,0.1,GoDag-dense,0.09911016248486713,0.36,0.28,282.16,103.27,2194.88
DRIVE,0.5,0.2,GoDag-dense,0.1843980092747774,0.01,0.0,702.43,172.78,8371.71
DRIVE,0.5,0.05,GoCo-random,0.0493089021320473,0.46,0.44,97.59666666666668,48.88666666666667,406.78666666666663
DRIVE,0.5,0.1,GoCo-random,0.09975794119825934,0.445,0.365,280.4,103.79666666666667,2185.0333333333333
DRIVE,0.5,0.2,GoCo-random,0.1843980092747774,0.01,0.0,702.43,172.78,8371.71
