dataset,delta,method,unit_fdp,heldout_exceed,pool_exceed,genes_with_calls,supported_genes,calls,supported_terms,supported_fraction,dterms_vs_godag,ci95,p_gt
Wainberg,0.5,Boger,0.09232070943077259,0.01,0.0,561.06,185.71,1614.12,339.61,0.2103075207054419,0.0,0.0,0.0
Wainberg,0.5,GoDag,0.09232070943077259,0.01,0.0,561.06,185.71,1614.12,339.61,0.2103075207054419,0.0,0.0,0.0
Wainberg,0.5,GoCo,0.09643724079667233,0.2,0.08,575.04,197.06,1955.11,369.06,0.18890778372814476,29.45,1.0983262748658098,1.0
Sanger,0.5,Boger,0.09532114990427669,0.2,0.13,515.86,155.41,1918.55,332.99,0.17402632681882702,-20.8,2.7391876993965294,0.0
Sanger,0.5,GoDag,0.09799481876436428,0.36,0.0,530.48,160.9,2040.05,353.79,0.17353237418701223,0.0,0.0,0.0
Sanger,0.5,GoCo,0.09800060843657135,0.42,0.2,529.04,166.94,2380.25,380.67,0.161439301118925,26.88,4.418079413802639,0.81
DRIVE,0.5,Boger,0.09454694333522323,0.13,0.06,211.27,96.12,1834.22,248.14,0.13576371237886467,-10.46,3.7233664107480564,0.0
DRIVE,0.5,GoDag,0.09647140532131215,0.28,0.28,214.63,98.68,1954.11,258.6,0.13350778801588872,0.0,0.0,0.0
DRIVE,0.5,GoCo,0.09706128873116769,0.33,0.26,215.11,105.69,2295.83,291.69,0.1278405364850525,33.09,4.3118285640851495,0.89
HAP1,0.5,Boger,0.07190802384926853,0.0,0.0,377.44,77.03,847.17,129.45,0.1527059593978059,0.0,0.0,0.0
HAP1,0.5,GoDag,0.07190802384926853,0.0,0.0,377.44,77.03,847.17,129.45,0.1527059593978059,0.0,0.0,0.0
HAP1,0.5,GoCo,0.09434881564340508,0.19,0.05,475.26,80.79,1285.23,137.66,0.10740400630044311,8.21,0.553878021797492,1.0
Wainberg,0.1,Boger,0.09226789573492906,0.01,0.0,560.56,185.32,1611.65,338.9,0.2101899450654642,-0.71,0.5184138341463733,0.0
Wainberg,0.1,GoDag,0.09232070943077259,0.01,0.0,561.06,185.71,1614.12,339.61,0.2103075207054419,0.0,0.0,0.0
Wainberg,0.1,GoCo,0.09479555785366628,0.13,0.0,567.68,195.24,1896.08,365.22,0.1928283275865773,25.61,1.462728033297352,0.98
Sanger,0.1,Boger,0.09130298535147009,0.01,0.0,497.2,150.65,1751.3,315.81,0.1806694045977025,-3.3,1.6829459020096007,0.0
Sanger,0.1,GoDag,0.09227616000976432,0.12,0.0,501.6,151.65,1789.29,319.11,0.17857504912401326,0.0,0.0,0.0
Sanger,0.1,GoCo,0.09297943629633133,0.15,0.0,504.89,156.86,1983.15,339.98,0.1716400288752598,20.87,2.4857368416750405,0.95
DRIVE,0.1,Boger,0.09126237419524301,0.13,0.0,205.52,90.05,1608.94,227.88,0.1430950298788214,-9.35,2.5898226529508483,0.0
DRIVE,0.1,GoDag,0.09290384266721155,0.13,0.0,208.38,92.91,1717.7,237.23,0.13909596637600288,0.0,0.0,0.0
DRIVE,0.1,GoCo,0.09312312221827491,0.16,0.01,207.93,99.38,1987.32,263.47,0.13386229872884814,26.24,3.5350454454524547,0.89
HAP1,0.1,Boger,0.07190802384926853,0.0,0.0,377.44,77.03,847.17,129.45,0.1527059593978059,0.0,0.0,0.0
HAP1,0.1,GoDag,0.07190802384926853,0.0,0.0,377.44,77.03,847.17,129.45,0.1527059593978059,0.0,0.0,0.0
HAP1,0.1,GoCo,0.09145378679304955,0.06,0.0,462.19,80.73,1252.41,137.59,0.11031419745938269,8.14,0.5466320816849966,1.0
