dataset,delta,method,terms,unit_fdp,diff_vs_random,ci95,p_gt_random
Wainberg,0.1,GoCo-random,342.2766666666667,0.0958299518063343,0.0,0.0,0.0
Sanger,0.1,GoCo-random,332.4866666666666,0.09516706918314032,0.0,0.0,0.0
DRIVE,0.1,GoCo-random,248.2733333333333,0.09469541636720676,0.0,0.0,0.0
HAP1,0.1,GoCo-random,134.32666666666668,0.09331849627906676,0.0,0.0,0.0
Wainberg,0.1,GoCo-score,340.17,0.09556403843856598,-2.1066666666666665,0.31406710442682895,0.0
Sanger,0.1,GoCo-score,332.16,0.09496487567295947,-0.3266666666666659,0.4383417507264482,0.44
DRIVE,0.1,GoCo-score,250.25,0.0945102159568264,1.9766666666666695,0.7306765610231301,0.64
HAP1,0.1,GoCo-score,137.78,0.09249944741252757,3.453333333333332,0.2312452931779883,0.97
Wainberg,0.1,GoCo-exp0,347.87,0.09500210613359837,5.593333333333335,0.9038829633325977,0.82
Sanger,0.1,GoCo-exp0,325.6,0.09300419010340429,-6.886666666666665,0.9379663542221054,0.15
DRIVE,0.1,GoCo-exp0,244.11,0.09294651598599918,-4.16333333333333,1.1940011643546162,0.31
HAP1,0.1,GoCo-exp0,133.41,0.07431664000675772,-0.9166666666666677,0.3726084461733085,0.31
Wainberg,0.1,GoCo-source,349.67,0.09579272839176645,7.393333333333334,0.7766724007822889,0.99
Sanger,0.1,GoCo-source,331.36,0.09392396108844508,-1.1266666666666658,0.7582644944402679,0.41
DRIVE,0.1,GoCo-source,255.62,0.09408556214994707,7.346666666666669,1.1512238678382731,0.75
HAP1,0.1,GoCo-source,134.35,0.08874036988469156,0.02333333333333222,0.26959551578779395,0.5
Wainberg,0.1,GoCo-exp1,349.02,0.09569253483883886,6.743333333333335,0.7181478323061457,0.99
Sanger,0.1,GoCo-exp1,332.03,0.09409208032969392,-0.4566666666666659,0.674897129684264,0.4
DRIVE,0.1,GoCo-exp1,256.61,0.09431089608525405,8.33666666666667,1.114041087347892,0.77
HAP1,0.1,GoCo-exp1,133.98,0.09123544491212389,-0.3466666666666678,0.2945863573986115,0.41
Wainberg,0.1,GoCo-knap,351.47,0.09533903189008183,9.193333333333335,0.9658938265307381,0.95
Sanger,0.1,GoCo-knap,336.15,0.09471602975377705,3.6633333333333344,0.5878903713175477,0.82
DRIVE,0.1,GoCo-knap,258.13,0.09447844319942772,9.85666666666667,1.0158468980341833,0.88
HAP1,0.1,GoCo-knap,135.91,0.09400804312974938,1.5833333333333324,0.2855993179396505,0.75
Wainberg,0.1,GoCo-learnedgb,362.1,0.09443194646619446,19.823333333333334,1.411527942316991,0.98
Sanger,0.1,GoCo-learnedgb,338.42,0.09332047487817043,5.9333333333333345,1.0925684786381489,0.8
DRIVE,0.1,GoCo-learnedgb,263.35,0.09308039689419752,15.07666666666667,1.5151809814929151,0.9
HAP1,0.1,GoCo-learnedgb,137.59,0.0813800915627613,3.263333333333332,0.2737829466290404,0.92
Wainberg,0.1,GoCo-learned,365.22,0.09479555785366628,22.943333333333335,1.3775058324644673,0.98
Sanger,0.1,GoCo-learned,339.98,0.09297943629633133,7.493333333333335,0.93744619033663,0.92
DRIVE,0.1,GoCo-learned,263.47,0.09312312221827491,15.196666666666669,1.5274928727468988,0.86
HAP1,0.1,GoCo-learned,137.59,0.09145378679304955,3.263333333333332,0.2627490214321263,0.93
Wainberg,0.1,GoCo-oracle,378.99,0.09333173224198482,36.71333333333334,1.1522975987345376,1.0
Sanger,0.1,GoCo-oracle,343.5,0.09230046594333137,11.013333333333335,1.3119895201880207,0.98
DRIVE,0.1,GoCo-oracle,269.77,0.09142176657290607,21.49666666666667,1.665145149354817,0.97
HAP1,0.1,GoCo-oracle,139.71,0.09155927577063841,5.383333333333333,0.2207923956239944,1.0
