dataset,delta,alpha,method,unit_fdp,exceed,pool_exceed,terms,genes,calls
Wainberg,0.1,0.05,GoDag,0.035875333388138995,0.0,0.0,183.14,114.86,489.22
Wainberg,0.1,0.1,GoDag,0.09232070943077259,0.01,0.0,339.61,185.71,1614.12
Wainberg,0.1,0.2,GoDag,0.16988224428472581,0.0,0.0,518.94,265.42,3946.65
Wainberg,0.1,0.05,GoDag-dense,0.03652223081321287,0.0,0.0,185.74,116.05,498.33
Wainberg,0.1,0.1,GoDag-dense,0.09239458026234708,0.01,0.0,339.61,185.71,1614.77
Wainberg,0.1,0.2,GoDag-dense,0.17101746119294625,0.0,0.0,521.87,266.06,3981.98
Wainberg,0.1,0.05,GoCo-random,0.04616820084193431,0.12333333333333332,0.003333333333333333,197.15,119.91,616.6366666666667
Wainberg,0.1,0.1,GoCo-random,0.0958299518063343,0.20666666666666664,0.006666666666666666,342.2766666666667,187.68666666666664,1668.1700000000003
Wainberg,0.1,0.2,GoCo-random,0.19224028059746476,0.11333333333333333,0.0,527.59,268.4599999999999,4277.106666666667
Wainberg,0.1,0.05,GoCo-learned,0.04378796200225901,0.08,0.01,213.19,123.27,702.61
Wainberg,0.1,0.1,GoCo-learned,0.09479555785366628,0.13,0.0,365.22,195.24,1896.08
Wainberg,0.1,0.2,GoCo-learned,0.18818788105130518,0.1,0.0,539.19,272.35,4519.1
Wainberg,0.1,0.05,GoCo-dense-learned,0.043377820591557426,0.09,0.0,213.47,123.75,694.11
Wainberg,0.1,0.1,GoCo-dense-learned,0.09490942703285589,0.15,0.0,364.14,194.84,1894.65
Wainberg,0.1,0.2,GoCo-dense-learned,0.18749831009267776,0.07,0.0,539.41,272.39,4511.44
Sanger,0.1,0.05,GoDag,0.04608869159288391,0.11,0.0,203.91,109.61,674.39
Sanger,0.1,0.1,GoDag,0.09227616000976432,0.12,0.0,319.11,151.65,1789.29
Sanger,0.1,0.2,GoDag,0.18952151303515583,0.0,0.0,1163.21,353.5,13324.21
Sanger,0.1,0.05,GoDag-dense,0.04664837496471561,0.19,0.0,208.97,111.53,690.04
Sanger,0.1,0.1,GoDag-dense,0.09389991410168391,0.15,0.0,326.0,153.67,1869.73
