delta,kappa,dataset,unit_fdp,terms
0.5,0.5,Wainberg,0.098070174561929,356.09
0.5,0.5,Sanger,0.09908370412250378,371.36
0.5,0.5,DRIVE,0.09954877649346455,293.66
0.5,0.5,HAP1,0.09551968305340695,136.34
0.5,1,Wainberg,0.09840698736451273,356.19
0.5,1,Sanger,0.09915143847402101,370.39
0.5,1,DRIVE,0.09942703861709608,292.77
0.5,1,HAP1,0.097570874057892,136.13
0.5,2,Wainberg,0.0988731891555737,355.46
0.5,2,Sanger,0.09914185846239025,369.72
0.5,2,DRIVE,0.09946804929182759,292.25
0.5,2,HAP1,0.09807964014751719,136.02
0.5,4,Wainberg,0.09871321886413048,353.61
0.5,4,Sanger,0.0991268919141335,368.99
0.5,4,DRIVE,0.0994216924384829,291.54
0.5,4,HAP1,0.09760861274055037,135.86
0.1,0.5,Wainberg,0.0950406551654043,351.61
0.1,0.5,Sanger,0.09458464795134097,336.1
0.1,0.5,DRIVE,0.09451973893898549,258.43
0.1,0.5,HAP1,0.0940593025057555,136.11
0.1,1,Wainberg,0.09533903189008183,351.47
0.1,1,Sanger,0.09471602975377705,336.15
0.1,1,DRIVE,0.09447844319942772,258.13
0.1,1,HAP1,0.09400804312974938,135.91
0.1,2,Wainberg,0.09555250594910561,350.25
0.1,2,Sanger,0.09457393125917711,335.24
0.1,2,DRIVE,0.0945191544336254,257.3
0.1,2,HAP1,0.0929187715858472,135.5
0.1,4,Wainberg,0.09565213926073589,349.18
0.1,4,Sanger,0.09461088707382304,335.16
0.1,4,DRIVE,0.09459005362246012,255.99
0.1,4,HAP1,0.09156596814050331,135.01
