dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
DRIVE,0,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_264.097_to_263.217_q0.75,0.07852519604169968,0.09359352462962073,0.27798057209481025,0.08180946687962712,95,253.0,1452.0,189,0.8257575757575758,0.08410545863428547,212.0,35
DRIVE,0,0.1,0.5,GoCo-dense-learned (tie-level path),global_235.015,0.46732188405279596,0.0996187892532475,0.28543179045404526,0.08749258420985953,100,287.0,1829.0,197,0.8430836522689995,0.08969379450819537,241.0,0
DRIVE,1,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_247.539_to_246.766_q0.75,0.0903758729182309,0.09395900906634268,0.27712688226006565,0.09611063469942432,89,202.0,1752.0,210,0.884703196347032,0.09755417665056589,175.0,9
DRIVE,1,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_226.694_to_225.614_q0.275,0.4936400093045271,0.0999260512563531,0.2847978216936536,0.099316432621498,99,231.0,2086.0,217,0.889261744966443,0.10096680016037007,198.0,26
DRIVE,2,0.1,0.1,GoCo-dense-learned (tie-level path),global_237.132,0.0971394086607908,0.09412788004078347,0.2777682534526633,0.09854805841844341,107,299.0,1990.0,223,0.849748743718593,0.10071736683263703,253.0,0
DRIVE,2,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_220.367_to_219.347_q0.75,0.49877158173976655,0.09998568335958122,0.2854794874293201,0.10413978652391256,116,342.0,2360.0,234,0.8550847457627119,0.10643474601940388,285.0,25
DRIVE,3,0.1,0.1,GoCo-dense-learned (tie-level path),global_245.669,0.08003650536040285,0.0936601852271854,0.2770924500454091,0.09557373727664391,96,271.0,1985.0,211,0.8634760705289672,0.09751634776434152,223.0,0
DRIVE,3,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_226.694_to_225.614_q0.75,0.3176907363613819,0.09782491343723368,0.2816545221447928,0.10074873814057925,107,307.0,2458.0,220,0.8751017087062652,0.10285702938268292,251.0,58
DRIVE,4,0.1,0.1,GoCo-dense-learned (tie-level path),global_237.132,0.09840767296898739,0.09419574167589294,0.2761210336096908,0.09855849705735316,85,241.0,2083.0,211,0.884301488238118,0.100403706440875,201.0,0
DRIVE,4,0.1,0.5,GoCo-dense-learned (tie-level path),global_220.367,0.4911568723952414,0.09989765374192508,0.2834727051260195,0.10603365540030148,96,278.0,2401.0,226,0.8842149104539775,0.10835986446480536,226.0,0
DRIVE,5,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_264.097_to_263.217_q0.75,0.09002273817952161,0.09393934623711306,0.2775786546914923,0.08250328139537842,91,227.0,1545.0,190,0.8530744336569579,0.08475598289732592,192.0,37
DRIVE,5,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_235.015_to_233.97_q0.75,0.44558544942060746,0.09936561527555754,0.2846853172799827,0.08745827289886121,99,256.0,1873.0,198,0.8633208756006406,0.08984306980349341,214.0,0
DRIVE,6,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_264.097_to_263.217_q0.75,0.05760208134271261,0.09292397646119803,0.2758143914492515,0.08616659925059868,86,223.0,1520.0,195,0.8532894736842105,0.08810457274989678,201.0,29
DRIVE,6,0.1,0.5,GoCo-dense-learned (tie-level path),global_235.015,0.4237847442401675,0.09911280109569312,0.2833948598375528,0.09135324883840444,89,242.0,1863.0,201,0.870101986044015,0.09360719211695998,214.0,0
DRIVE,7,0.1,0.1,GoCo-dense-learned (tie-level path),global_278.7,0.07453540259642363,0.09348479254808603,0.2772594553457863,0.07942048339691972,82,219.0,1513.0,184,0.8552544613350959,0.08127678541036752,187.0,0
DRIVE,7,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_245.669_to_242.969_q0.75,0.420184022924572,0.0990686936506542,0.2838930545682989,0.08590327004855128,88,246.0,1883.0,194,0.8693574083908656,0.08787176885718692,207.0,9
DRIVE,8,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_245.669_to_242.969_q0.5,0.09073731254800865,0.093972322913949,0.2769746036162238,0.09703005418695253,100,272.0,1907.0,217,0.8573675930781332,0.09919665812339327,223.0,2
DRIVE,8,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_226.694_to_225.614_q0.75,0.428994516375853,0.0991731660909931,0.283723011327941,0.09916614078242203,110,321.0,2292.0,221,0.8599476439790575,0.1012751507743284,264.0,49
DRIVE,9,0.1,0.1,GoCo-dense-learned (tie-level path),global_235.015,0.09092652781042604,0.09399454267572029,0.27619279432589583,0.10379765830558554,99,251.0,2023.0,227,0.8759268413247652,0.1052182727214196,223.0,0
DRIVE,9,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_211.136_to_210.573_q0.4,0.48607816018341715,0.09983888316692029,0.2834241480370355,0.1101341451668929,105,282.0,2458.0,239,0.8852725793327909,0.11195715363841474,245.0,0
DRIVE,10,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_251.347_to_250.683_q0.75,0.08906746423638984,0.0939318382376385,0.27670376592236035,0.08864948728198398,94,273.0,1708.0,204,0.8401639344262295,0.08995702732304996,241.0,27
DRIVE,10,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_226.694_to_225.614_q0.75,0.4056139055133536,0.09890239461268291,0.28216654819456,0.09444304020082286,97,309.0,2159.0,211,0.8568781843446039,0.09588642886367969,267.0,49
DRIVE,11,0.1,0.1,GoCo-dense-learned (tie-level path),global_236.895,0.09817780079415966,0.09416443275915216,0.2773254595775471,0.10252697302586836,105,251.0,2122.0,226,0.8817153628652215,0.10438531968416523,216.0,0
DRIVE,11,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_226.694_to_225.614_q0.75,0.20418947639439472,0.09623994081421935,0.27924880107860056,0.10421423743669171,113,267.0,2266.0,230,0.882171226831421,0.10615106320665749,228.0,37
DRIVE,12,0.1,0.1,GoCo-dense-learned (tie-level path),global_235.015,0.06758904752133783,0.09329545018448437,0.27554494816100583,0.1004477863523625,93,239.0,2045.0,220,0.8831295843520782,0.10229036892598757,203.0,0
DRIVE,12,0.1,0.5,GoCo-dense-learned (tie-level path),global_209.377,0.46312032622266963,0.09957279718681103,0.2833399365408276,0.10957478228709426,103,280.0,2534.0,237,0.8895027624309392,0.11204748864357288,230.0,0
DRIVE,13,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_264.097_to_263.217_q0.75,0.07811679652147363,0.09360514136144907,0.27693019979779865,0.08406128567947317,93,232.0,1665.0,191,0.8606606606606607,0.08658250770296912,189.0,24
DRIVE,13,0.1,0.5,GoCo-dense-learned (tie-level path),global_235.015,0.389926313566809,0.0987104509727392,0.2832758078897622,0.09117760452730903,99,262.0,2091.0,200,0.874701099952176,0.0936227209530079,212.0,0
DRIVE,14,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_245.669_to_242.969_q0.75,0.08359824615220957,0.09379249336469711,0.27593693369581085,0.08940260434024214,85,221.0,1787.0,195,0.876329043088976,0.09089565364055988,184.0,2
DRIVE,14,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_226.694_to_225.614_q0.75,0.3136004207837779,0.09778373850119208,0.2801883032662889,0.09288042305477102,89,258.0,2081.0,202,0.8760211436809227,0.09448309928890249,214.0,36
DRIVE,15,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_241.73_to_239.288_q0.6,0.09891569124234567,0.0942074860438744,0.2761878927406591,0.09996635806339173,90,231.0,1952.0,213,0.8816598360655737,0.10138980254570432,198.0,18
DRIVE,15,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_226.694_to_225.614_q0.75,0.25632070917110983,0.09702242868964805,0.27923535928449783,0.10178124668269321,95,256.0,2137.0,217,0.8802058961160505,0.10327040903290008,218.0,45
DRIVE,16,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_251.347_to_250.683_q0.75,0.08297033222401684,0.09376528833446832,0.27632654603555057,0.08936416914671738,93,249.0,1764.0,204,0.858843537414966,0.0909903021959158,216.0,24
DRIVE,16,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_226.694_to_225.614_q0.75,0.4392884422473855,0.09929474748730344,0.28344398572122514,0.09585004552447828,106,294.0,2262.0,214,0.870026525198939,0.0980164405284573,245.0,45
