dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
DRIVE,0,0.05,0.1,GoCo-learned (paper path),adapt_475_to_450_q0.75,0.052098914446861495,0.04475392292127685,0.19824224714741784,0.03684981697750345,49,99.0,322.0,100,0.6925465838509317,0.037053176847629904,96.0,20
DRIVE,0,0.05,0.1,GoCo-dense-learned (tie-level path),global_470.03,0.03989239885039298,0.04434605643192716,0.1981544751809045,0.036257420871555014,48,97.0,294.0,99,0.6700680272108843,0.03646078074168147,94.0,0
DRIVE,0,0.05,0.5,GoCo-learned (paper path),adapt_475_to_450_q0.75,0.052098914446861495,0.04475392292127685,0.19824224714741784,0.03684981697750345,49,99.0,322.0,100,0.6925465838509317,0.037053176847629904,96.0,20
DRIVE,0,0.05,0.5,GoCo-dense-learned (tie-level path),adapt_453.388_to_451.229_q0.6,0.4605264212637816,0.04966269825592597,0.20896922316193992,0.03890109903300156,52,102.0,321.0,107,0.6822429906542056,0.03910445890312802,99.0,7
DRIVE,0,0.2,0.1,GoCo-learned (paper path),global_100,0.027637714338277344,0.18823048466870893,0.3770283385663939,0.17959004587614885,161,718.0,7287.0,370,0.9014683683271579,0.18252885146387693,537.0,0
DRIVE,0,0.2,0.1,GoCo-dense-learned (tie-level path),global_100.167,0.027637714338277344,0.18823048466870893,0.3770283385663939,0.17959004587614885,161,718.0,7287.0,370,0.9014683683271579,0.18252885146387693,537.0,0
DRIVE,0,0.2,0.5,GoCo-learned (paper path),global_100,0.027637714338277344,0.18823048466870893,0.3770283385663939,0.17959004587614885,161,718.0,7287.0,370,0.9014683683271579,0.18252885146387693,537.0,0
DRIVE,0,0.2,0.5,GoCo-dense-learned (tie-level path),global_100.167,0.027637714338277344,0.18823048466870893,0.3770283385663939,0.17959004587614885,161,718.0,7287.0,370,0.9014683683271579,0.18252885146387693,537.0,0
DRIVE,1,0.05,0.1,GoCo-learned (paper path),global_475,0.020559418474183997,0.04350742922221318,0.19519177469629823,0.03845028542080988,37,79.0,260.0,99,0.6961538461538461,0.039688128059043176,71.0,0
DRIVE,1,0.05,0.1,GoCo-dense-learned (tie-level path),global_464.5,0.08853973067539833,0.0456073408062009,0.19981499456302249,0.041721726633825736,37,79.0,270.0,105,0.7074074074074074,0.04295956927205903,71.0,0
DRIVE,1,0.05,0.5,GoCo-learned (paper path),global_475,0.020559418474183997,0.04350742922221318,0.19519177469629823,0.03845028542080988,37,79.0,260.0,99,0.6961538461538461,0.039688128059043176,71.0,0
DRIVE,1,0.05,0.5,GoCo-dense-learned (tie-level path),global_453.388,0.2876952313371842,0.04812723470540515,0.20528860603819687,0.044108994538335014,39,81.0,277.0,111,0.7075812274368231,0.04534683717656831,73.0,0
DRIVE,1,0.2,0.1,GoCo-learned (paper path),global_100,0.029351745404255922,0.18839361113483774,0.37697485024175015,0.18284181672635066,167,623.0,8328.0,372,0.9251921229586936,0.18555020520794613,473.0,0
DRIVE,1,0.2,0.1,GoCo-dense-learned (tie-level path),global_100.167,0.029351745404255922,0.18839361113483774,0.37697485024175015,0.18284181672635066,167,623.0,8328.0,372,0.9251921229586936,0.18555020520794613,473.0,0
DRIVE,1,0.2,0.5,GoCo-learned (paper path),global_100,0.029351745404255922,0.18839361113483774,0.37697485024175015,0.18284181672635066,167,623.0,8328.0,372,0.9251921229586936,0.18555020520794613,473.0,0
DRIVE,1,0.2,0.5,GoCo-dense-learned (tie-level path),global_100.167,0.029351745404255922,0.18839361113483774,0.37697485024175015,0.18284181672635066,167,623.0,8328.0,372,0.9251921229586936,0.18555020520794613,473.0,0
DRIVE,2,0.05,0.1,GoCo-learned (paper path),adapt_475_to_450_q0.75,0.000143296593619091,0.03912427752261453,0.18410522748616037,0.04128066463400894,46,100.0,365.0,106,0.726027397260274,0.04213345464249821,93.0,14
DRIVE,2,0.05,0.1,GoCo-dense-learned (tie-level path),adapt_453.388_to_451.229_q0.75,0.019151176572483438,0.043434622350200736,0.1945913680963674,0.046143617783364316,47,101.0,377.0,116,0.7320954907161804,0.04699640779185359,94.0,13
DRIVE,2,0.05,0.5,GoCo-learned (paper path),adapt_450_to_425_q0.75,0.33523579535184733,0.04857296764613463,0.20592261598508627,0.05005919038458908,49,109.0,451.0,123,0.7583148558758315,0.05091198039307834,102.0,24
DRIVE,2,0.05,0.5,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.3799039925019653,0.04897084563417207,0.20668499664726744,0.050306758909073684,50,106.0,445.0,124,0.7617977528089888,0.051159548917562955,99.0,18
DRIVE,2,0.2,0.1,GoCo-learned (paper path),global_100,0.0016039926058310993,0.18212369161828443,0.37244124518851396,0.19224117248064643,178,756.0,8171.0,394,0.9074776649124954,0.19537056423624882,571.0,0
DRIVE,2,0.2,0.1,GoCo-dense-learned (tie-level path),global_100.167,0.0016039926058310993,0.18212369161828443,0.37244124518851396,0.19224117248064643,178,756.0,8171.0,394,0.9074776649124954,0.19537056423624882,571.0,0
DRIVE,2,0.2,0.5,GoCo-learned (paper path),global_100,0.0016039926058310993,0.18212369161828443,0.37244124518851396,0.19224117248064643,178,756.0,8171.0,394,0.9074776649124954,0.19537056423624882,571.0,0
