dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
DRIVE,0,0.05,0.1,"Boger (Direct, global grid)",global_475,0.03573053030040031,0.0445888836568678,0.19908129270987043,0.035594290898080215,47,96.0,288.0,97,0.6666666666666666,0.03579765076820667,93.0,0
DRIVE,0,0.05,0.1,GoDag (global grid),global_475,0.011400251705834637,0.04327420245901787,0.1959088091917985,0.035594290898080215,47,96.0,288.0,97,0.6666666666666666,0.03579765076820667,93.0,0
DRIVE,0,0.05,0.1,"GoDag-dense (global, all distinct scores)",global_464.5,0.09709846083684248,0.046040611437311384,0.20225208329684588,0.03661109019337662,50,99.0,300.0,101,0.67,0.036814450063503076,96.0,0
DRIVE,0,0.05,0.1,"GoDag (global grid, certification fold only)",global_475,0.021060296622899842,0.043506091793589,0.19619290502263934,0.035594290898080215,47,96.0,288.0,97,0.6666666666666666,0.03579765076820667,93.0,0
DRIVE,0,0.05,0.1,GoCo-source (paper path),adapt_475_to_450_q0.75,0.09958417558519223,0.04578256632352065,0.20168770704084915,0.03679171412471751,48,97.0,336.0,99,0.7113095238095238,0.03699507399484397,94.0,8
DRIVE,0,0.05,0.1,GoCo-random1 (paper path),adapt_475_to_450_q0.225,0.09607437453498113,0.04572284056432051,0.20135649924787336,0.03688265769013675,48,97.0,311.0,100,0.6881028938906752,0.03708601756026321,94.0,8
DRIVE,0,0.05,0.1,GoCo-random2 (paper path),adapt_475_to_450_q0.15,0.04152675175863584,0.04440289614055138,0.198278680134684,0.036655298855639895,47,96.0,297.0,99,0.6767676767676768,0.03685865872576635,93.0,3
DRIVE,0,0.05,0.1,GoCo-random3 (paper path),adapt_475_to_450_q0.3,0.04686952369486534,0.0445819412286465,0.19849131240452414,0.035364405838500916,50,99.0,304.0,98,0.6743421052631579,0.03556776570862737,96.0,5
DRIVE,0,0.05,0.1,GoCo-score (paper path),adapt_475_to_450_q0.15,0.06789378351879903,0.045141812400096924,0.19997435209718212,0.036655298855639895,48,97.0,293.0,100,0.6689419795221843,0.03685865872576635,94.0,4
DRIVE,0,0.05,0.1,GoCo-oracle (paper path),adapt_475_to_450_q0.75,0.0177986651659859,0.043310378914802716,0.1954534530182643,0.035299987478344765,53,102.0,322.0,101,0.6832298136645962,0.03550334734847122,99.0,20
DRIVE,0,0.05,0.1,GoCo-exp0 (paper path),adapt_475_to_450_q0.75,0.02765539196633453,0.04385017742370737,0.1970339260904864,0.03576607309696845,47,96.0,310.0,97,0.6903225806451613,0.03596943296709491,93.0,3
DRIVE,0,0.05,0.1,GoCo-exp1 (paper path),adapt_475_to_450_q0.4,0.08554072785125905,0.04551731433413073,0.20108927534053372,0.03679171412471751,48,97.0,336.0,99,0.7113095238095238,0.03699507399484397,94.0,8
DRIVE,0,0.05,0.1,GoCo-dense-source (tie-level path),global_470.03,0.03989239885039298,0.04434605643192716,0.1981544751809045,0.036257420871555014,48,97.0,294.0,99,0.6700680272108843,0.03646078074168147,94.0,0
DRIVE,0,0.05,0.1,GoCo-dense-random1 (tie-level path),global_470.03,0.03989239885039298,0.04434605643192716,0.1981544751809045,0.036257420871555014,48,97.0,294.0,99,0.6700680272108843,0.03646078074168147,94.0,0
DRIVE,0,0.05,0.5,"Boger (Direct, global grid)",global_475,0.03573053030040031,0.0445888836568678,0.19908129270987043,0.035594290898080215,47,96.0,288.0,97,0.6666666666666666,0.03579765076820667,93.0,0
DRIVE,0,0.05,0.5,GoDag (global grid),global_475,0.011400251705834637,0.04327420245901787,0.1959088091917985,0.035594290898080215,47,96.0,288.0,97,0.6666666666666666,0.03579765076820667,93.0,0
DRIVE,0,0.05,0.5,"GoDag-dense (global, all distinct scores)",global_453.388,0.3205872599815528,0.04854174831771157,0.2075013026707943,0.03873310610849598,52,101.0,307.0,107,0.6710097719869706,0.038936465978622437,98.0,0
DRIVE,0,0.05,0.5,"GoDag (global grid, certification fold only)",global_475,0.021060296622899842,0.043506091793589,0.19619290502263934,0.035594290898080215,47,96.0,288.0,97,0.6666666666666666,0.03579765076820667,93.0,0
DRIVE,0,0.05,0.5,GoCo-source (paper path),adapt_475_to_450_q0.75,0.09958417558519223,0.04578256632352065,0.20168770704084915,0.03679171412471751,48,97.0,336.0,99,0.7113095238095238,0.03699507399484397,94.0,8
DRIVE,0,0.05,0.5,GoCo-random1 (paper path),adapt_475_to_450_q0.4,0.27214497214453814,0.0479624113211265,0.20633456710669082,0.0385095365562869,49,99.0,328.0,104,0.698170731707317,0.03871289642641336,96.0,13
DRIVE,0,0.05,0.5,GoCo-random2 (paper path),adapt_475_to_450_q0.4,0.31540100057294956,0.04838167599721043,0.206753986205001,0.0395377038091184,50,99.0,312.0,106,0.6826923076923077,0.039741063679244855,96.0,13
DRIVE,0,0.05,0.5,GoCo-random3 (paper path),adapt_475_to_450_q0.6,0.27965197400351377,0.04804095789908731,0.20601272603528845,0.03805860816167583,51,101.0,336.0,104,0.6994047619047619,0.03826196803180229,98.0,18
DRIVE,0,0.05,0.5,GoCo-score (paper path),adapt_475_to_450_q0.5,0.4780791036948985,0.04981212872883369,0.20982831431390528,0.038803839968117225,52,101.0,311.0,107,0.6752411575562701,0.03900719983824368,98.0,18
DRIVE,0,0.05,0.5,GoCo-oracle (paper path),adapt_475_to_450_q0.75,0.0177986651659859,0.043310378914802716,0.1954534530182643,0.035299987478344765,53,102.0,322.0,101,0.6832298136645962,0.03550334734847122,99.0,20
DRIVE,0,0.05,0.5,GoCo-exp0 (paper path),adapt_475_to_450_q0.75,0.02765539196633453,0.04385017742370737,0.1970339260904864,0.03576607309696845,47,96.0,310.0,97,0.6903225806451613,0.03596943296709491,93.0,3
DRIVE,0,0.05,0.5,GoCo-exp1 (paper path),adapt_475_to_450_q0.75,0.1951453274415214,0.04713850922941845,0.20451453034711703,0.03862195284518386,48,98.0,356.0,102,0.7247191011235955,0.03882531271531032,95.0,18
DRIVE,0,0.05,0.5,GoCo-dense-source (tie-level path),adapt_453.388_to_451.229_q0.25,0.4354342909879375,0.049446128779128,0.20920802205381706,0.03889857280791913,52,101.0,327.0,107,0.691131498470948,0.039101932678045584,98.0,2
DRIVE,0,0.05,0.5,GoCo-dense-random1 (tie-level path),global_453.388,0.4284238235881204,0.04938584423033565,0.20904537533428894,0.03873310610849598,52,101.0,307.0,107,0.6710097719869706,0.038936465978622437,98.0,0
DRIVE,0,0.1,0.1,"Boger (Direct, global grid)",global_275,0.09888622115622353,0.09454329088567441,0.2809753370631491,0.08087393444634243,88,235.0,1296.0,188,0.8186728395061729,0.08309314575846695,199.0,0
DRIVE,0,0.1,0.1,GoDag (global grid),global_275,0.03652392491149888,0.09251409877818408,0.2769522392831667,0.08087393444634243,88,235.0,1296.0,188,0.8186728395061729,0.08309314575846695,199.0,0
