dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
DRIVE,0,0.05,0.1,GoCo-knap (paper path),adapt_475_to_450_q0.5,0.08460630230136623,0.04549876524219462,0.20103992740141075,0.036785398625252416,48,97.0,334.0,99,0.7095808383233533,0.03698875849537887,94.0,7
DRIVE,0,0.05,0.1,GoCo-dense-knap (tie-level path),global_470.03,0.03989239885039298,0.04434605643192716,0.1981544751809045,0.036257420871555014,48,97.0,294.0,99,0.6700680272108843,0.03646078074168147,94.0,0
DRIVE,0,0.05,0.5,GoCo-knap (paper path),adapt_475_to_450_q0.6,0.15654884702088467,0.046655769156049985,0.20355707463378728,0.03861563734571877,48,98.0,354.0,102,0.7231638418079096,0.038818997215845225,95.0,17
DRIVE,0,0.05,0.5,GoCo-dense-knap (tie-level path),adapt_453.388_to_451.229_q0.175,0.42842382358812076,0.04938584423033565,0.20904537533428982,0.03873310610849598,52,101.0,307.0,107,0.6710097719869706,0.038936465978622437,98.0,0
DRIVE,0,0.2,0.1,GoCo-knap (paper path),global_100,0.027637714338277344,0.18823048466870893,0.3770283385663939,0.17959004587614885,161,718.0,7287.0,370,0.9014683683271579,0.18252885146387693,537.0,0
DRIVE,0,0.2,0.1,GoCo-dense-knap (tie-level path),global_100.167,0.027637714338277344,0.18823048466870893,0.3770283385663939,0.17959004587614885,161,718.0,7287.0,370,0.9014683683271579,0.18252885146387693,537.0,0
DRIVE,0,0.2,0.5,GoCo-knap (paper path),global_100,0.027637714338277344,0.18823048466870893,0.3770283385663939,0.17959004587614885,161,718.0,7287.0,370,0.9014683683271579,0.18252885146387693,537.0,0
DRIVE,0,0.2,0.5,GoCo-dense-knap (tie-level path),global_100.167,0.027637714338277344,0.18823048466870893,0.3770283385663939,0.17959004587614885,161,718.0,7287.0,370,0.9014683683271579,0.18252885146387693,537.0,0
DRIVE,1,0.05,0.1,GoCo-knap (paper path),global_475,0.020559418474183997,0.04350742922221318,0.19519177469629823,0.03845028542080988,37,79.0,260.0,99,0.6961538461538461,0.039688128059043176,71.0,0
DRIVE,1,0.05,0.1,GoCo-dense-knap (tie-level path),global_464.5,0.08853973067539833,0.0456073408062009,0.19981499456302249,0.041721726633825736,37,79.0,270.0,105,0.7074074074074074,0.04295956927205903,71.0,0
