dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
DRIVE,0,0.1,0.1,GoCo-learned (paper path),adapt_275_to_250_q0.75,0.07961780693678072,0.0936341928866561,0.27767090886347956,0.08200136379632773,96,260.0,1518.0,189,0.8287220026350461,0.08418942578433364,220.0,78
DRIVE,0,0.1,0.1,GoCo-learnedgb (paper path),adapt_275_to_250_q0.75,0.0739502833717742,0.09346059516507055,0.27748804176970376,0.0812812463279112,95,257.0,1502.0,188,0.8288948069241012,0.0835717388347226,217.0,75
DRIVE,0,0.1,0.5,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.3595150888637805,0.09833999830310478,0.2833166368079208,0.08435822828853162,102,307.0,1927.0,192,0.8406850025947068,0.08672903508185076,253.0,97
DRIVE,0,0.1,0.5,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.3704891747175102,0.09847475759862905,0.2833099502247074,0.08454043886547696,102,305.0,1937.0,192,0.8425400103252452,0.08678830998803956,252.0,98
DRIVE,1,0.1,0.1,GoCo-learned (paper path),adapt_250_to_225_q0.1,0.09417786924026073,0.09406118054209717,0.2772001946599421,0.09580475201024934,90,200.0,1729.0,210,0.8843262001156738,0.09728461488172294,174.0,7
DRIVE,1,0.1,0.1,GoCo-learnedgb (paper path),adapt_250_to_225_q0.1,0.08678710421335317,0.09386224155005472,0.2769385716598113,0.09580475201024934,90,200.0,1726.0,210,0.884125144843569,0.09728461488172294,174.0,5
DRIVE,1,0.1,0.5,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.14590391955694615,0.09522372152982403,0.27819680237961214,0.09597677536289002,96,226.0,2061.0,210,0.8903444929645803,0.09747610201253815,195.0,101
DRIVE,1,0.1,0.5,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.13608874623595102,0.09503248230769085,0.277768698258749,0.09588435406077762,96,227.0,2057.0,210,0.8896451142440447,0.09738620690388768,196.0,104
DRIVE,2,0.1,0.1,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.07150576576100294,0.09341143230544477,0.2761992578815006,0.09701936944568189,113,327.0,2142.0,221,0.8473389355742297,0.09921503876501432,275.0,135
DRIVE,2,0.1,0.1,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.08927954768706609,0.09393254279774127,0.27694209757794275,0.09798666220603001,114,330.0,2174.0,223,0.8482060717571297,0.10024099302544834,277.0,141
DRIVE,2,0.1,0.5,GoCo-learned (paper path),adapt_225_to_200_q0.75,0.4960500587710765,0.09995397211939333,0.2854328731559441,0.10398835233889461,118,367.0,2580.0,233,0.8577519379844961,0.10616659657234222,308.0,102
DRIVE,2,0.1,0.5,GoCo-learnedgb (paper path),adapt_225_to_200_q0.75,0.47139669231061876,0.09966719029990052,0.2847658196953213,0.1043227919295865,119,370.0,2595.0,233,0.8574181117533719,0.10658586073459302,310.0,121
DRIVE,3,0.1,0.1,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.09272446732464257,0.09403787092046333,0.2764589276274057,0.094931704533195,104,298.0,2287.0,210,0.8696982947092261,0.0969679516885894,246.0,87
DRIVE,3,0.1,0.1,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.08841677740136383,0.09392019809873414,0.2764033771694916,0.09496573741777506,105,301.0,2350.0,210,0.8719148936170212,0.09696216437007135,247.0,89
DRIVE,3,0.1,0.5,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.09272446732464257,0.09403787092046333,0.2764589276274057,0.094931704533195,104,298.0,2287.0,210,0.8696982947092261,0.0969679516885894,246.0,87
DRIVE,3,0.1,0.5,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.08841677740136383,0.09392019809873414,0.2764033771694916,0.09496573741777506,105,301.0,2350.0,210,0.8719148936170212,0.09696216437007135,247.0,89
DRIVE,4,0.1,0.1,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.055586637552598066,0.09290604861724915,0.2734380871559196,0.09693211365283642,92,265.0,2271.0,208,0.8833113166006165,0.09907278912611286,217.0,108
DRIVE,4,0.1,0.1,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.05261017547528869,0.09279270991880634,0.27315727949451396,0.09688600002138305,91,263.0,2231.0,208,0.8821156432093231,0.09896715059678814,216.0,90
DRIVE,4,0.1,0.5,GoCo-learned (paper path),adapt_225_to_200_q0.2,0.497912512114373,0.09997583766831011,0.28352648718525475,0.10645766532547594,96,275.0,2415.0,226,0.8861283643892339,0.10882265682403858,223.0,21
DRIVE,4,0.1,0.5,GoCo-learnedgb (paper path),adapt_225_to_200_q0.75,0.4953801197485835,0.09994652892613601,0.28350401991634777,0.10633331624993594,96,289.0,2544.0,226,0.8863993710691824,0.10886638815112076,232.0,55
DRIVE,5,0.1,0.1,GoCo-learned (paper path),adapt_275_to_250_q0.75,0.09030435204508735,0.09394767268978316,0.27755585556557916,0.08186397906639847,96,236.0,1631.0,188,0.8553034947884733,0.08421080093484974,199.0,86
DRIVE,5,0.1,0.1,GoCo-learnedgb (paper path),adapt_275_to_250_q0.75,0.08284813031534322,0.09373839032349598,0.2773584908905788,0.08150104695353015,95,233.0,1595.0,188,0.8539184952978056,0.08394171007432102,197.0,72
DRIVE,5,0.1,0.5,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.22026682823431165,0.0964882119976241,0.27956315510532453,0.08614015320726036,101,277.0,2005.0,196,0.8618453865336658,0.08837555148082955,232.0,104
DRIVE,5,0.1,0.5,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.22131557036103916,0.09650313743545776,0.2796565849496447,0.08625738719572124,100,275.0,1955.0,196,0.8593350383631714,0.08849246632357174,231.0,83
DRIVE,6,0.1,0.1,GoCo-learned (paper path),adapt_275_to_250_q0.75,0.047752536687082514,0.09254172109956767,0.2747017768201389,0.0862309789546921,87,226.0,1607.0,194,0.8593652769135034,0.08833023920773828,203.0,89
DRIVE,6,0.1,0.1,GoCo-learnedgb (paper path),adapt_275_to_250_q0.75,0.05135887026848327,0.09269384571032435,0.27490819048699866,0.08599372578078303,87,226.0,1597.0,194,0.8584846587351284,0.08809667010680435,203.0,85
DRIVE,6,0.1,0.5,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.29415909972677234,0.09752388300487787,0.28088208620844696,0.08916519722192294,92,260.0,1969.0,198,0.8679532757745049,0.09163703264703169,227.0,97
DRIVE,6,0.1,0.5,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.2843209298826619,0.09739488309906395,0.28059684116436834,0.08908709521635141,92,259.0,1944.0,198,0.8667695473251029,0.09150588026255448,227.0,91
DRIVE,7,0.1,0.1,GoCo-learned (paper path),global_300,0.0010363437067375247,0.08661047828529495,0.26695582100901577,0.07363066662211633,74,185.0,1185.0,173,0.8438818565400844,0.07467983681263911,163.0,0
DRIVE,7,0.1,0.1,GoCo-learnedgb (paper path),global_300,0.0010363437067375247,0.08661047828529495,0.26695582100901577,0.07363066662211633,74,185.0,1185.0,173,0.8438818565400844,0.07467983681263911,163.0,0
DRIVE,7,0.1,0.5,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.4290441548561822,0.09917494443983867,0.28331296518449334,0.08584131938392983,94,273.0,2153.0,193,0.8732001857872735,0.0880495797259738,226.0,83
DRIVE,7,0.1,0.5,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.4209760678474965,0.09908031488840396,0.28319854159544144,0.08571968884936063,94,277.0,2167.0,193,0.8721735117674204,0.08801712226172025,229.0,90
DRIVE,8,0.1,0.1,GoCo-learned (paper path),adapt_250_to_225_q0.5,0.09636014211328259,0.0941272964409555,0.2768256913628604,0.09662607509040073,107,289.0,2063.0,216,0.8599127484246243,0.09867200746302263,238.0,57
DRIVE,8,0.1,0.1,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.09773975456541051,0.09416875255439895,0.27657772721506474,0.09626775637703802,109,302.0,2191.0,216,0.8621633957097216,0.0986460406600006,245.0,90
DRIVE,8,0.1,0.5,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.10593370459651202,0.09436765995756069,0.2770061648844496,0.09669008673186011,109,302.0,2229.0,216,0.8645132346343651,0.09874712142609159,247.0,95
DRIVE,8,0.1,0.5,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.09773975456541051,0.09416875255439895,0.27657772721506474,0.09626775637703802,109,302.0,2191.0,216,0.8621633957097216,0.0986460406600006,245.0,90
DRIVE,9,0.1,0.1,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.03177292284436883,0.09176168352049288,0.27263563158776716,0.10248352006196343,102,266.0,2112.0,226,0.8740530303030303,0.10391877960779307,237.0,103
DRIVE,9,0.1,0.1,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.033154796947701244,0.09184608969748495,0.27263841044039766,0.10248352006196343,102,266.0,2116.0,226,0.8742911153119093,0.10391877960779307,237.0,106
DRIVE,9,0.1,0.5,GoCo-learned (paper path),adapt_225_to_200_q0.75,0.4599140485792433,0.09953674297750155,0.2826036608687676,0.10865043053102114,109,301.0,2546.0,237,0.8817753338570307,0.11049025797875553,263.0,98
DRIVE,9,0.1,0.5,GoCo-learnedgb (paper path),adapt_225_to_200_q0.75,0.45942601200870326,0.09953074420478679,0.28280814628748896,0.10864941658802943,108,301.0,2534.0,237,0.8812154696132597,0.11046271883050074,264.0,93
