dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
DRIVE,0,0.1,0.1,GoCo-knap (paper path),adapt_275_to_250_q0.225,0.09905189538508336,0.09415287307466057,0.27896123007464146,0.08157555197689198,93,255.0,1484.0,188,0.828167115902965,0.08373071460413996,215.0,39
DRIVE,0,0.1,0.1,GoCo-knapEB (paper path),adapt_275_to_250_q0.175,0.07637935147932065,0.09352324057162914,0.2781227466209507,0.08141275719401059,93,249.0,1455.0,188,0.8288659793814434,0.08353949997880415,210.0,28
DRIVE,0,0.1,0.1,GoCo-learned (paper path),adapt_275_to_250_q0.75,0.05571283382368275,0.09282693067264178,0.27668293169448066,0.0805871627137895,95,266.0,1520.0,188,0.825,0.08306162998435984,223.0,75
DRIVE,0,0.1,0.1,GoCo-learnedgb (paper path),adapt_275_to_250_q0.75,0.054951041486816614,0.0927961212293855,0.2766866387230726,0.08067213324558198,92,258.0,1429.0,188,0.8194541637508748,0.08295161181008467,218.0,56
DRIVE,0,0.1,0.1,GoCo-ens (paper path),adapt_275_to_250_q0.75,0.07493077466592198,0.09348699012548917,0.2777049901349268,0.08124805504668613,96,266.0,1544.0,188,0.8277202072538861,0.08358358077566566,224.0,76
DRIVE,0,0.1,0.5,GoCo-knap (paper path),adapt_250_to_225_q0.5,0.4893475047153768,0.09987555483766196,0.28612499047259177,0.0863912955440324,104,299.0,1952.0,195,0.8468237704918032,0.08858352422872336,246.0,63
DRIVE,0,0.1,0.5,GoCo-knapEB (paper path),adapt_250_to_225_q0.5,0.4893475047153768,0.09987555483766196,0.28612499047259177,0.0863912955440324,104,299.0,1952.0,195,0.8468237704918032,0.08858352422872336,246.0,63
DRIVE,0,0.1,0.5,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.36884562925829323,0.09845401416248604,0.28342954169828477,0.08508398332867761,103,307.0,1978.0,192,0.8447927199191102,0.0873367331309407,252.0,108
DRIVE,0,0.1,0.5,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.37968523870609794,0.09858586454581203,0.28346794704342276,0.08489625438929237,103,307.0,1995.0,192,0.8461152882205514,0.08714900419155545,252.0,113
DRIVE,0,0.1,0.5,GoCo-ens (paper path),adapt_250_to_225_q0.75,0.48721407337359063,0.09985100200068729,0.28540041496474966,0.08607299434569533,105,308.0,2014.0,194,0.8470705064548163,0.08833605951434421,253.0,111
DRIVE,1,0.1,0.1,GoCo-knap (paper path),adapt_250_to_225_q0.3,0.09486010964606001,0.0940799882739229,0.27717603005973973,0.09591843144330801,90,202.0,1801.0,210,0.8878400888395336,0.0974172408764179,175.0,7
DRIVE,1,0.1,0.1,GoCo-knapEB (paper path),adapt_250_to_225_q0.3,0.09486010964606001,0.0940799882739229,0.27717603005973973,0.09591843144330801,90,202.0,1801.0,210,0.8878400888395336,0.0974172408764179,175.0,7
DRIVE,1,0.1,0.1,GoCo-learned (paper path),adapt_250_to_225_q0.3,0.08840822609820737,0.09391211068519546,0.27676011696067415,0.0955869616500895,90,206.0,1756.0,210,0.8826879271070615,0.0971552418618999,179.0,25
DRIVE,1,0.1,0.1,GoCo-learnedgb (paper path),adapt_250_to_225_q0.6,0.09773393159367039,0.0941612343533602,0.27692709997179055,0.09531455302428188,93,216.0,1883.0,210,0.8852894317578333,0.09689864083057373,188.0,63
DRIVE,1,0.1,0.1,GoCo-ens (paper path),adapt_250_to_225_q0.25,0.09621995231923186,0.09411641186602236,0.27716401937175533,0.09573994503413334,91,205.0,1807.0,210,0.8865522966242391,0.09723243896777813,178.0,11
DRIVE,1,0.1,0.5,GoCo-knap (paper path),adapt_250_to_225_q0.6,0.44992920999069136,0.09941730374366599,0.284310896230481,0.09888861427572741,98,227.0,2122.0,216,0.8930254476908577,0.10048249256389527,194.0,78
DRIVE,1,0.1,0.5,GoCo-knapEB (paper path),adapt_250_to_225_q0.6,0.44992920999069136,0.09941730374366599,0.284310896230481,0.09888861427572741,98,227.0,2122.0,216,0.8930254476908577,0.10048249256389527,194.0,78
DRIVE,1,0.1,0.5,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.12297273937151554,0.09475461813752152,0.27758422192361115,0.09605196736535596,92,222.0,1990.0,210,0.8884422110552764,0.09757107573731824,192.0,75
DRIVE,1,0.1,0.5,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.10445607525224349,0.09433340363461395,0.27689104245153084,0.09581369926821964,93,222.0,1999.0,210,0.888944472236118,0.09739260482218917,191.0,82
DRIVE,1,0.1,0.5,GoCo-ens (paper path),adapt_250_to_225_q0.75,0.18535431640901717,0.09592918563110443,0.27922720093581754,0.09621649537858028,97,228.0,2101.0,211,0.8914802475011899,0.09782716554419116,195.0,83
DRIVE,2,0.1,0.1,GoCo-knap (paper path),adapt_250_to_225_q0.5,0.09872451738123045,0.09416828985555735,0.2778197151634483,0.09911629624803123,111,314.0,2113.0,225,0.8513961192617132,0.10114928344832808,266.0,68
DRIVE,2,0.1,0.1,GoCo-knapEB (paper path),adapt_250_to_225_q0.5,0.09872451738123045,0.09416828985555735,0.2778197151634483,0.09911629624803123,111,314.0,2113.0,225,0.8513961192617132,0.10114928344832808,266.0,68
DRIVE,2,0.1,0.1,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.06654759383486253,0.0932481866221213,0.27600631657180363,0.09736934847319474,114,332.0,2197.0,222,0.8488848429676832,0.09966386901288829,278.0,148
DRIVE,2,0.1,0.1,GoCo-learnedgb (paper path),adapt_250_to_225_q0.6,0.055226572474412254,0.09284119386255583,0.2753816122568959,0.09646080660408941,112,328.0,2115.0,221,0.8449172576832151,0.098709041054116,276.0,115
DRIVE,2,0.1,0.1,GoCo-ens (paper path),adapt_250_to_225_q0.6,0.07087692535321774,0.09339189381593102,0.276146689468195,0.09802957911548311,113,328.0,2174.0,224,0.8491260349586016,0.10034183881959485,275.0,111
DRIVE,2,0.1,0.5,GoCo-knap (paper path),adapt_225_to_200_q0.225,0.49829256060288346,0.09998009740041484,0.2855248569737099,0.10348440969180049,115,339.0,2319.0,233,0.8538163001293662,0.1058019681697815,283.0,10
DRIVE,2,0.1,0.5,GoCo-knapEB (paper path),adapt_225_to_200_q0.125,0.4757187668923701,0.09971715867203174,0.28515728387565276,0.10355856156949972,114,332.0,2250.0,233,0.8524444444444444,0.10585308210919327,278.0,5
DRIVE,2,0.1,0.5,GoCo-learned (paper path),adapt_225_to_200_q0.75,0.4448201486487581,0.09935773312254989,0.284199863580889,0.10410645401762399,118,378.0,2631.0,233,0.8563283922462942,0.10644353840015927,318.0,116
DRIVE,2,0.1,0.5,GoCo-learnedgb (paper path),adapt_225_to_200_q0.75,0.4539887462527365,0.09946469075641834,0.284351270146338,0.10391158776194727,119,380.0,2624.0,233,0.8551829268292683,0.10615278145678796,320.0,114
DRIVE,2,0.1,0.5,GoCo-ens (paper path),adapt_225_to_200_q0.6,0.4548770395893208,0.0994747427635547,0.28452866877016325,0.10364578894341972,118,374.0,2560.0,233,0.85390625,0.1059468698754551,315.0,72
DRIVE,3,0.1,0.1,GoCo-knap (paper path),adapt_250_to_225_q0.175,0.08490705683400407,0.09379976981909902,0.27731336010814184,0.0958256012564945,100,281.0,2216.0,211,0.8731949458483754,0.09773464285094162,233.0,29
DRIVE,3,0.1,0.1,GoCo-knapEB (paper path),adapt_250_to_225_q0.15,0.08286408629647424,0.09374377217232707,0.2771409995555143,0.09584212179841667,100,279.0,2214.0,211,0.8739837398373984,0.0977571074146807,231.0,28
DRIVE,3,0.1,0.1,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.0902011278465073,0.0939700577714399,0.2763983391320185,0.09518855120047967,107,308.0,2416.0,210,0.8725165562913907,0.09739789081347083,251.0,120
DRIVE,3,0.1,0.1,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.08460093952512926,0.09381825756331022,0.27608997394840146,0.0950012737860414,107,308.0,2391.0,210,0.8711836051861146,0.09734168625794924,251.0,107
DRIVE,3,0.1,0.1,GoCo-ens (paper path),adapt_250_to_225_q0.5,0.08695416889028545,0.093878633965706,0.27641349274278887,0.09575419550865336,103,300.0,2342.0,211,0.8719043552519214,0.09782635493683246,247.0,69
DRIVE,3,0.1,0.5,GoCo-knap (paper path),adapt_250_to_225_q0.75,0.4386747350941272,0.09928580652181286,0.2841423285343357,0.10109650393854086,108,307.0,2461.0,221,0.8752539618041446,0.10328126177389363,251.0,117
DRIVE,3,0.1,0.5,GoCo-knapEB (paper path),adapt_250_to_225_q0.75,0.425788852498325,0.09913537577387509,0.2837336838471572,0.1012556551384989,108,306.0,2468.0,221,0.8760129659643436,0.10341388776858859,250.0,124
DRIVE,3,0.1,0.5,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.0902011278465073,0.0939700577714399,0.2763983391320185,0.09518855120047967,107,308.0,2416.0,210,0.8725165562913907,0.09739789081347083,251.0,120
DRIVE,3,0.1,0.5,GoCo-learnedgb (paper path),adapt_250_to_225_q0.75,0.08460093952512926,0.09381825756331022,0.27608997394840146,0.0950012737860414,107,308.0,2391.0,210,0.8711836051861146,0.09734168625794924,251.0,107
DRIVE,3,0.1,0.5,GoCo-ens (paper path),adapt_250_to_225_q0.75,0.20839328977392396,0.09630048535072519,0.27974007586224303,0.09946714536106555,108,306.0,2453.0,218,0.8752547900529963,0.10158594996132332,251.0,113
DRIVE,4,0.1,0.1,GoCo-knap (paper path),adapt_250_to_225_q0.275,0.08170245529419784,0.09373967716722337,0.2758002749797258,0.09670043479384414,87,243.0,2088.0,208,0.8836206896551724,0.09851976134258493,204.0,29
DRIVE,4,0.1,0.1,GoCo-knapEB (paper path),adapt_250_to_225_q0.3,0.08249615791018083,0.0937607124605925,0.2759100189299579,0.09674940195418795,86,244.0,2087.0,208,0.8830857690464782,0.09859525367657132,204.0,31
DRIVE,4,0.1,0.1,GoCo-learned (paper path),adapt_250_to_225_q0.75,0.05051180351543231,0.09270157391892188,0.2732621779662704,0.09675948483083861,92,270.0,2293.0,208,0.8822503270824248,0.09893665643364428,221.0,117
