dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
HAP1,0,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.35,0.0026485530727533325,0.0916559426845628,0.28407608005962576,0.09437711405267304,79,139.0,1235.0,473,0.8874493927125506,0.09611923566697388,120.0,157
HAP1,0,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.4,0.25646039447935987,0.09798084281771859,0.2929585050230221,0.10281031423021411,79,139.0,1316.0,511,0.8943768996960486,0.10455243584451493,120.0,195
HAP1,1,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.3,1.3289847286445018e-05,0.08769143554160873,0.2781444846390957,0.0914873963745234,97,166.0,1272.0,475,0.8694968553459119,0.09280468760942069,149.0,137
HAP1,1,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.35,0.10924661092509635,0.09623559887938059,0.2904083591231407,0.10103022815437249,97,166.0,1383.0,518,0.8799710773680405,0.10234751938926978,149.0,184
HAP1,2,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.3,0.025130170164878896,0.09406511621658029,0.28778452679150296,0.08778660688210317,81,128.0,1225.0,444,0.8955102040816326,0.08942525894031808,110.0,148
HAP1,2,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.3,0.025130170164878896,0.09406511621658029,0.28778452679150296,0.08778660688210317,81,128.0,1225.0,444,0.8955102040816326,0.08942525894031808,110.0,148
HAP1,3,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.35,0.0332785402842469,0.09443538972948373,0.2879329359373799,0.09294507281810932,90,161.0,1297.0,475,0.8758673862760216,0.09470684916323363,137.0,155
HAP1,3,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.35,0.0332785402842469,0.09443538972948373,0.2879329359373799,0.09294507281810932,90,161.0,1297.0,475,0.8758673862760216,0.09470684916323363,137.0,155
HAP1,4,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.4,4.094662102035525e-06,0.08698368512170081,0.2770427964183837,0.09202465501643264,80,140.0,1262.0,466,0.8890649762282092,0.0936499130471886,119.0,144
HAP1,4,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.4,4.094662102035525e-06,0.08698368512170081,0.2770427964183837,0.09202465501643264,80,140.0,1262.0,466,0.8890649762282092,0.0936499130471886,119.0,144
HAP1,5,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.35,0.00017868062114539875,0.08943129945802678,0.281059245194691,0.09111305183693402,86,135.0,1226.0,464,0.8898858075040783,0.09220471796304767,118.0,152
HAP1,5,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.35,0.00017868062114539875,0.08943129945802678,0.281059245194691,0.09111305183693402,86,135.0,1226.0,464,0.8898858075040783,0.09220471796304767,118.0,152
HAP1,6,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_455.567_to_451.229_q0.4,0.0022594696994310322,0.09151643014124802,0.28363045737141707,0.09041901170559263,86,142.0,1257.0,461,0.8870326173428799,0.09198112640640654,123.0,150
