dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
HAP1,0,0.05,0.1,GoCo-learned (paper path),adapt_550_to_525_q0.4,0.0011016831757537232,0.043552536052753804,0.19993352253994795,0.04921621264773266,64,99.0,561.0,265,0.8235294117647058,0.05100888413320474,85.0,52
HAP1,0,0.05,0.1,GoCo-dense-learned (tie-level path),adapt_538.398_to_526.433_q0.4,0.019143778222781467,0.04553877662154658,0.204420527865263,0.050991623211425516,65,102.0,591.0,274,0.8274111675126904,0.0527842946968976,88.0,61
HAP1,0,0.05,0.5,GoCo-learned (paper path),adapt_550_to_525_q0.4,0.0011016831757537232,0.043552536052753804,0.19993352253994795,0.04921621264773266,64,99.0,561.0,265,0.8235294117647058,0.05100888413320474,85.0,52
HAP1,0,0.05,0.5,GoCo-dense-learned (tie-level path),adapt_538.398_to_526.433_q0.4,0.019143778222781467,0.04553877662154658,0.204420527865263,0.050991623211425516,65,102.0,591.0,274,0.8274111675126904,0.0527842946968976,88.0,61
HAP1,0,0.2,0.1,GoCo-learned (paper path),adapt_400_to_375_q0.5,1.64825728685717e-05,0.1832960225836838,0.38192506817294153,0.18101862026316506,124,210.0,3379.0,881,0.9378514353358982,0.18444821451816673,168.0,578
HAP1,0,0.2,0.1,GoCo-dense-learned (tie-level path),adapt_404.949_to_394.825_q0.4,0.00010732750682741268,0.18504002049591772,0.3837153112909951,0.1841816011563281,110,188.0,2742.0,894,0.9314369073668854,0.18746514997043665,156.0,323
HAP1,0,0.2,0.5,GoCo-learned (paper path),adapt_400_to_375_q0.5,1.64825728685717e-05,0.1832960225836838,0.38192506817294153,0.18101862026316506,124,210.0,3379.0,881,0.9378514353358982,0.18444821451816673,168.0,578
HAP1,0,0.2,0.5,GoCo-dense-learned (tie-level path),adapt_404.949_to_394.825_q0.5,0.38124043419161713,0.19874397078442194,0.39453047142085523,0.1979410330249477,110,188.0,2864.0,956,0.9343575418994413,0.20122458183905625,156.0,385
HAP1,1,0.05,0.1,GoCo-learned (paper path),adapt_550_to_525_q0.35,0.0038061143753216867,0.04434156739283179,0.201275247142552,0.047028557134108494,78,128.0,607.0,265,0.7891268533772653,0.04874848610445811,115.0,59
HAP1,1,0.05,0.1,GoCo-dense-learned (tie-level path),adapt_538.398_to_526.433_q0.3,0.0022808799147675434,0.04400867791213939,0.20051994040214952,0.046362778172723676,77,127.0,603.0,261,0.7893864013266998,0.048082707143073285,114.0,47
HAP1,1,0.05,0.5,GoCo-learned (paper path),adapt_550_to_525_q0.35,0.0038061143753216867,0.04434156739283179,0.201275247142552,0.047028557134108494,78,128.0,607.0,265,0.7891268533772653,0.04874848610445811,115.0,59
