dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
HAP1,0,0.1,0.1,GoCo-oracle (paper path),adapt_475_to_450_q0.5,0.0029733305178699285,0.0917669058447936,0.2841379025459767,0.09104821924574895,84,144.0,1108.0,463,0.8700361010830325,0.09301226718051138,124.0,154
HAP1,0,0.1,0.1,GoCo-knapk0.5 (paper path),adapt_475_to_450_q0.2,0.016881327928344868,0.09357930412966571,0.28712049035611154,0.09984020029326518,76,136.0,1250.0,497,0.8912,0.1010644938308982,120.0,144
HAP1,0,0.1,0.1,GoCo-knapk2 (paper path),adapt_475_to_450_q0.25,0.04371737525792789,0.09479989889220455,0.2888405028320873,0.10006212661372679,76,136.0,1253.0,498,0.8914604948124502,0.10128642015135982,120.0,145
HAP1,0,0.1,0.1,GoCo-knapk4 (paper path),adapt_475_to_450_q0.3,0.08468675738226267,0.09579856733428178,0.290236386149362,0.10094983189557322,76,136.0,1263.0,502,0.8923198733174981,0.10217412543320624,120.0,149
HAP1,0,0.1,0.5,GoCo-oracle (paper path),adapt_475_to_450_q0.6,0.29261830566885355,0.098313732298411,0.2933202160893925,0.09593059829590429,84,144.0,1159.0,485,0.8757549611734253,0.09789464623066674,124.0,176
HAP1,0,0.1,0.5,GoCo-knapk0.5 (paper path),adapt_475_to_450_q0.3,0.19489262172372013,0.09735205157751303,0.29229284299330277,0.10328005826042008,79,139.0,1295.0,515,0.8926640926640926,0.1045043517980531,123.0,174
HAP1,0,0.1,0.5,GoCo-knapk2 (paper path),adapt_475_to_450_q0.35,0.44521674812016643,0.09957131478212909,0.29541974556340667,0.10516643198434374,76,136.0,1301.0,521,0.8954650269023828,0.10639072552197677,120.0,168
HAP1,0,0.1,0.5,GoCo-knapk4 (paper path),adapt_475_to_450_q0.35,0.44521674812016643,0.09957131478212909,0.29541974556340667,0.10472257934342052,76,136.0,1297.0,519,0.8951426368542791,0.10594687288105356,120.0,166
HAP1,1,0.1,0.1,GoCo-oracle (paper path),adapt_475_to_450_q0.6,0.0757173945037147,0.09562530149811117,0.28951005005411523,0.10225082291691133,102,171.0,1286.0,528,0.8670295489891136,0.10379004047227022,153.0,204
HAP1,1,0.1,0.1,GoCo-knapk0.5 (paper path),adapt_475_to_450_q0.3,0.09286636426992112,0.0959526428078949,0.2903494092488225,0.09877027846671083,97,166.0,1324.0,509,0.8746223564954683,0.0999766065413773,150.0,140
HAP1,1,0.1,0.1,GoCo-knapk2 (paper path),adapt_475_to_450_q0.35,0.013118723713107613,0.09328952696235562,0.28660711335652567,0.09677294158255637,97,166.0,1310.0,500,0.8732824427480916,0.09797926965722284,150.0,131
HAP1,1,0.1,0.1,GoCo-knapk4 (paper path),adapt_475_to_450_q0.35,2.705059286967081e-06,0.08671495971537356,0.27728850318916126,0.0891075168041404,96,162.0,1214.0,466,0.8665568369028006,0.09075769751311619,146.0,81
HAP1,1,0.1,0.5,GoCo-oracle (paper path),adapt_475_to_450_q0.6,0.0757173945037147,0.09562530149811117,0.28951005005411523,0.10225082291691133,102,171.0,1286.0,528,0.8670295489891136,0.10379004047227022,153.0,204
HAP1,1,0.1,0.5,GoCo-knapk0.5 (paper path),adapt_475_to_450_q0.3,0.09286636426992112,0.0959526428078949,0.2903494092488225,0.09877027846671083,97,166.0,1324.0,509,0.8746223564954683,0.0999766065413773,150.0,140
HAP1,1,0.1,0.5,GoCo-knapk2 (paper path),adapt_475_to_450_q0.4,0.3018364525738605,0.09839383233297258,0.29371675539006664,0.10032376270994206,97,166.0,1345.0,516,0.8765799256505576,0.10153009078460855,150.0,147
HAP1,1,0.1,0.5,GoCo-knapk4 (paper path),adapt_475_to_450_q0.4,0.28935257955191807,0.09828286917274177,0.2935649725443761,0.10098954167132689,97,166.0,1352.0,519,0.8772189349112426,0.10219586974599337,150.0,148
HAP1,2,0.1,0.1,GoCo-oracle (paper path),adapt_475_to_450_q0.5,0.031159947948613865,0.0943425241171573,0.28812728993132697,0.08823045952302638,82,129.0,1108.0,447,0.8835740072202166,0.08986911158124129,111.0,157
HAP1,2,0.1,0.1,GoCo-knapk0.5 (paper path),adapt_475_to_450_q0.275,0.03714685555883037,0.09456999859199279,0.2888157667345859,0.08648463912701744,79,126.0,1178.0,438,0.8930390492359932,0.08804931574948777,109.0,115
HAP1,2,0.1,0.1,GoCo-knapk2 (paper path),adapt_475_to_450_q0.3,0.047195252787073844,0.0949028880726852,0.2892824969892442,0.08737234440886386,79,126.0,1191.0,442,0.8942065491183879,0.08893702103133419,109.0,119
HAP1,2,0.1,0.1,GoCo-knapk4 (paper path),adapt_475_to_450_q0.3,0.0001748472926170036,0.08939648135220057,0.2815374159734881,0.08293381799963173,78,125.0,1137.0,422,0.890061565523307,0.08449849462210206,109.0,86
HAP1,2,0.1,0.5,GoCo-oracle (paper path),adapt_475_to_450_q0.6,0.4718043335941298,0.09977971896846666,0.29563330257914205,0.0924470596117969,82,129.0,1156.0,466,0.8884083044982699,0.09408571167001183,111.0,176
HAP1,2,0.1,0.5,GoCo-knapk0.5 (paper path),adapt_475_to_450_q0.3,0.13188588518760236,0.09656733547614725,0.2915992427139823,0.08892582865209511,79,126.0,1205.0,449,0.8954356846473029,0.09049050527456544,109.0,126
HAP1,2,0.1,0.5,GoCo-knapk2 (paper path),adapt_475_to_450_q0.35,0.17503776693868406,0.09712215127730126,0.2923653060210013,0.09003546025440315,79,126.0,1227.0,454,0.8973105134474327,0.09160013687687348,109.0,131
HAP1,2,0.1,0.5,GoCo-knapk4 (paper path),adapt_475_to_450_q0.4,0.4867321970218719,0.09989623028307135,0.2961503108465132,0.09247664977948082,79,126.0,1250.0,465,0.8992,0.09404132640195115,109.0,142
