dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
HAP1,0,0.05,0.1,"Boger (Direct, global grid)",global_550,0.0006010177029165033,0.043655954121364166,0.20087239268436097,0.04682275486214659,63,91.0,477.0,257,0.8092243186582809,0.04887249101494028,77.0,0
HAP1,0,0.05,0.1,GoDag (global grid),global_550,2.966283889534167e-05,0.04226675985633635,0.19747327895662356,0.04682275486214659,63,91.0,477.0,257,0.8092243186582809,0.04887249101494028,77.0,0
HAP1,0,0.05,0.1,"GoDag-dense (global, all distinct scores)",global_538.398,2.6166829759773708e-05,0.04221746120839285,0.19728397901626488,0.04670228060091859,63,97.0,483.0,257,0.7991718426501035,0.04874646858776404,83.0,0
HAP1,0,0.05,0.1,"GoDag (global grid, certification fold only)",global_550,9.442169760796252e-05,0.042232386665348474,0.19750722909540355,0.04682275486214659,63,91.0,477.0,257,0.8092243186582809,0.04887249101494028,77.0,0
HAP1,0,0.05,0.1,GoCo-source (paper path),adapt_550_to_525_q0.4,0.002817958414629869,0.04411876038927213,0.20168566422508938,0.04868940180320503,64,93.0,546.0,265,0.8296703296703297,0.05056159689698386,79.0,26
HAP1,0,0.05,0.1,GoCo-random1 (paper path),adapt_550_to_525_q0.2,0.07475056363649545,0.04684739734496321,0.2076474972280153,0.05132046162658832,63,92.0,522.0,277,0.8237547892720306,0.053367731924909935,78.0,29
HAP1,0,0.05,0.1,GoCo-random2 (paper path),adapt_550_to_525_q0.225,0.08924860120224443,0.04705003720757382,0.20815019100640714,0.051093603610410404,63,92.0,533.0,274,0.8273921200750469,0.05296579870418924,78.0,27
HAP1,0,0.05,0.1,GoCo-random3 (paper path),adapt_550_to_525_q0.15,0.00154246001877368,0.043737786872038775,0.20089628698204412,0.048154312784916234,63,91.0,488.0,263,0.8135245901639344,0.050204048937709925,77.0,8
HAP1,0,0.05,0.1,GoCo-score (paper path),adapt_550_to_525_q0.35,0.06683555872243165,0.04672238365629224,0.20746308652173331,0.051806585978149466,64,99.0,530.0,279,0.8132075471698114,0.053850773964994915,85.0,38
HAP1,0,0.05,0.1,GoCo-oracle (paper path),adapt_550_to_525_q0.6,0.033492448977035974,0.046038110842585196,0.2053244666127523,0.05088066005119471,66,103.0,604.0,274,0.8294701986754967,0.0526733315366668,89.0,69
HAP1,0,0.05,0.1,GoCo-exp0 (paper path),adapt_550_to_525_q0.4,0.0002415450872580049,0.04271053702062466,0.19828300528070952,0.047054544587268654,64,96.0,511.0,258,0.812133072407045,0.04902475713175559,82.0,19
HAP1,0,0.05,0.1,GoCo-exp1 (paper path),adapt_550_to_525_q0.3,0.0033560479622163093,0.044229723549502935,0.20207362140388893,0.04880036496343583,63,92.0,541.0,265,0.8299445471349353,0.05067256005721467,78.0,19
HAP1,0,0.05,0.1,GoCo-dense-source (tie-level path),adapt_538.398_to_526.433_q0.4,0.0026793900269376208,0.04408700860081066,0.20158089322837458,0.04834700122151542,64,99.0,547.0,264,0.8190127970749543,0.050213648149346014,85.0,24
HAP1,0,0.05,0.1,GoCo-dense-random1 (tie-level path),adapt_538.398_to_526.433_q0.2,0.00843854215650484,0.04488224458797635,0.20333206682574334,0.0502531017283043,63,97.0,514.0,273,0.811284046692607,0.05229728971514975,83.0,20
HAP1,0,0.05,0.5,"Boger (Direct, global grid)",global_550,0.0006010177029165033,0.043655954121364166,0.20087239268436097,0.04682275486214659,63,91.0,477.0,257,0.8092243186582809,0.04887249101494028,77.0,0
HAP1,0,0.05,0.5,GoDag (global grid),global_550,2.966283889534167e-05,0.04226675985633635,0.19747327895662356,0.04682275486214659,63,91.0,477.0,257,0.8092243186582809,0.04887249101494028,77.0,0
HAP1,0,0.05,0.5,"GoDag-dense (global, all distinct scores)",global_538.398,2.6166829759773708e-05,0.04221746120839285,0.19728397901626488,0.04670228060091859,63,97.0,483.0,257,0.7991718426501035,0.04874646858776404,83.0,0
HAP1,0,0.05,0.5,"GoDag (global grid, certification fold only)",global_550,9.442169760796252e-05,0.042232386665348474,0.19750722909540355,0.04682275486214659,63,91.0,477.0,257,0.8092243186582809,0.04887249101494028,77.0,0
HAP1,0,0.05,0.5,GoCo-source (paper path),adapt_550_to_525_q0.4,0.002817958414629869,0.04411876038927213,0.20168566422508938,0.04868940180320503,64,93.0,546.0,265,0.8296703296703297,0.05056159689698386,79.0,26
HAP1,0,0.05,0.5,GoCo-random1 (paper path),adapt_550_to_525_q0.35,0.4657507854617756,0.04980641495332261,0.21379981366100512,0.05582811986003195,64,97.0,565.0,298,0.8283185840707965,0.0578723078468774,83.0,58
HAP1,0,0.05,0.5,GoCo-random2 (paper path),adapt_550_to_525_q0.3,0.17445879986186558,0.0479276549324056,0.21002760563340156,0.05164841941156442,63,92.0,542.0,276,0.8302583025830258,0.05352061450534326,78.0,33
HAP1,0,0.05,0.5,GoCo-random3 (paper path),adapt_550_to_525_q0.3,0.3593543900113355,0.04919263495639119,0.2127918021996583,0.05158888680560294,64,94.0,524.0,279,0.8206106870229007,0.05363862295839663,80.0,32
HAP1,0,0.05,0.5,GoCo-score (paper path),adapt_550_to_525_q0.4,0.15103096130747795,0.04772105209836947,0.20963130260615156,0.05247236493953429,64,100.0,539.0,282,0.8144712430426716,0.05451655292637973,86.0,44
HAP1,0,0.05,0.5,GoCo-oracle (paper path),adapt_550_to_525_q0.6,0.033492448977035974,0.046038110842585196,0.2053244666127523,0.05088066005119471,66,103.0,604.0,274,0.8294701986754967,0.0526733315366668,89.0,69
HAP1,0,0.05,0.5,GoCo-exp0 (paper path),adapt_550_to_525_q0.4,0.0002415450872580049,0.04271053702062466,0.19828300528070952,0.047054544587268654,64,96.0,511.0,258,0.812133072407045,0.04902475713175559,82.0,19
HAP1,0,0.05,0.5,GoCo-exp1 (paper path),adapt_550_to_525_q0.35,0.34588919557299663,0.04911210259965828,0.2126144768373694,0.05168540712943672,63,92.0,580.0,278,0.8413793103448276,0.05355760222321555,78.0,40
HAP1,0,0.05,0.5,GoCo-dense-source (tie-level path),adapt_538.398_to_526.433_q0.4,0.0026793900269376208,0.04408700860081066,0.20158089322837458,0.04834700122151542,64,99.0,547.0,264,0.8190127970749543,0.050213648149346014,85.0,24
HAP1,0,0.05,0.5,GoCo-dense-random1 (tie-level path),adapt_538.398_to_526.433_q0.3,0.44204381831035894,0.049672154340144006,0.21347845620757744,0.05576427202197218,64,100.0,568.0,298,0.823943661971831,0.057808460008817626,86.0,55
HAP1,0,0.1,0.1,"Boger (Direct, global grid)",global_475,1.510686655744767e-28,0.07253090161684916,0.2555648090570438,0.07433031415719749,74,128.0,819.0,386,0.8437118437118437,0.07604654436568076,114.0,0
HAP1,0,0.1,0.1,GoDag (global grid),global_475,1.970398209402801e-32,0.07094820120136434,0.25246708502844906,0.07433031415719749,74,128.0,819.0,386,0.8437118437118437,0.07604654436568076,114.0,0
HAP1,0,0.1,0.1,"GoDag-dense (global, all distinct scores)",global_455.567,1.7176457641505593e-32,0.07093234931802442,0.25235786947770034,0.07449306013237038,74,132.0,829.0,386,0.8407720144752714,0.07587640086016123,118.0,0
HAP1,0,0.1,0.1,"GoDag (global grid, certification fold only)",global_475,5.870163618627751e-28,0.07098936632811309,0.25270172052635786,0.07433031415719749,74,128.0,819.0,386,0.8437118437118437,0.07604654436568076,114.0,0
HAP1,0,0.1,0.1,GoCo-source (paper path),adapt_475_to_450_q0.4,0.0571504043636001,0.0951882699497054,0.28925937658226436,0.1008240736481935,76,135.0,1265.0,501,0.8932806324110671,0.10204836718582652,119.0,153
