dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
HAP1,0,0.05,0.1,GoCo-knap (paper path),adapt_550_to_525_q0.225,0.001644636065616332,0.04377578335156506,0.20102384684389166,0.04786087688318211,64,96.0,526.0,262,0.8174904942965779,0.049727523811012704,82.0,16
HAP1,0,0.05,0.1,GoCo-dense-knap (tie-level path),adapt_538.398_to_526.433_q0.2,0.001586665192494948,0.04375411912011825,0.20096439983629635,0.047792185420361406,64,99.0,531.0,262,0.8135593220338984,0.049658832348191996,85.0,14
HAP1,0,0.05,0.5,GoCo-knap (paper path),adapt_550_to_525_q0.35,0.4930541596648221,0.04996065854946878,0.2144985134903838,0.05223071182959354,64,99.0,590.0,282,0.8322033898305085,0.054097358757424135,85.0,48
HAP1,0,0.05,0.5,GoCo-dense-knap (tie-level path),adapt_538.398_to_526.433_q0.3,0.4356611343214087,0.04963516661235083,0.21381887351012085,0.05178685918867033,64,99.0,586.0,280,0.8310580204778157,0.05365350611650092,85.0,40
HAP1,0,0.2,0.1,GoCo-knap (paper path),adapt_400_to_375_q0.5,0.06363757946047546,0.19372151982695646,0.3908531466313974,0.19457636496463035,120,200.0,3396.0,943,0.9411071849234394,0.19784302109355562,160.0,523
HAP1,0,0.2,0.1,GoCo-dense-knap (tie-level path),adapt_404.949_to_394.825_q0.4,0.0005828542988064278,0.18681358165552867,0.38551064192893275,0.18604789582348588,108,180.0,2721.0,903,0.9338478500551268,0.18915707395439724,150.0,286
HAP1,0,0.2,0.5,GoCo-knap (paper path),adapt_400_to_375_q0.5,0.06363757946047546,0.19372151982695646,0.3908531466313974,0.19457636496463035,120,200.0,3396.0,943,0.9411071849234394,0.19784302109355562,160.0,523
HAP1,0,0.2,0.5,GoCo-dense-knap (tie-level path),adapt_404.949_to_394.825_q0.4,0.0005828542988064278,0.18681358165552867,0.38551064192893275,0.18604789582348588,108,180.0,2721.0,903,0.9338478500551268,0.18915707395439724,150.0,286
HAP1,1,0.05,0.1,GoCo-knap (paper path),adapt_550_to_525_q0.175,0.00306960394522445,0.04417300905207237,0.20186657711370504,0.046638600862243154,77,124.0,577.0,266,0.7850953206239168,0.04840291510726736,111.0,20
HAP1,1,0.05,0.1,GoCo-dense-knap (tie-level path),adapt_538.398_to_526.433_q0.15,0.0029068030715812387,0.044138134924692415,0.20175965299519763,0.046584704486571364,77,127.0,584.0,266,0.7825342465753424,0.04834162118140719,114.0,19
HAP1,1,0.05,0.5,GoCo-knap (paper path),adapt_550_to_525_q0.4,0.41189558347620925,0.049499240743150937,0.21348870354482,0.05285253783516814,77,124.0,657.0,294,0.8112633181126332,0.054616852080192346,111.0,56
HAP1,1,0.05,0.5,GoCo-dense-knap (tie-level path),adapt_538.398_to_526.433_q0.4,0.4058277789024236,0.04946436661577098,0.21338847358222532,0.05279864145949635,77,127.0,664.0,294,0.8087349397590361,0.054555558154332176,114.0,55
HAP1,1,0.2,0.1,GoCo-knap (paper path),adapt_400_to_375_q0.5,0.05851939437640777,0.1935547136094403,0.39038561148800377,0.19315138747572527,122,213.0,3341.0,941,0.9362466327446872,0.19550063610539878,185.0,479
HAP1,1,0.2,0.1,GoCo-dense-knap (tie-level path),adapt_404.949_to_394.825_q0.4,0.0004670857329660863,0.18656792156348692,0.38527736125526735,0.18685273099913896,117,203.0,2752.0,912,0.9262354651162791,0.18911849306561498,178.0,275
HAP1,1,0.2,0.5,GoCo-knap (paper path),adapt_400_to_375_q0.5,0.05851939437640777,0.1935547136094403,0.39038561148800377,0.19315138747572527,122,213.0,3341.0,941,0.9362466327446872,0.19550063610539878,185.0,479
HAP1,1,0.2,0.5,GoCo-dense-knap (tie-level path),adapt_404.949_to_394.825_q0.4,0.0004670857329660863,0.18656792156348692,0.38527736125526735,0.18685273099913896,117,203.0,2752.0,912,0.9262354651162791,0.18911849306561498,178.0,275
HAP1,2,0.05,0.1,GoCo-knap (paper path),adapt_550_to_525_q0.1,0.08363176700633318,0.04696597420820066,0.20855490230147897,0.0408179666524562,65,93.0,487.0,230,0.8090349075975359,0.042600774759723514,80.0,14
HAP1,2,0.05,0.1,GoCo-dense-knap (tie-level path),adapt_538.398_to_526.433_q0.075,0.06570963567748839,0.04669596386442595,0.20792265294129147,0.04080634194773883,65,94.0,487.0,230,0.8069815195071869,0.042581752504817764,81.0,12
HAP1,2,0.05,0.5,GoCo-knap (paper path),adapt_550_to_525_q0.175,0.1539025863014264,0.047742716343044125,0.21011904885923774,0.041679252142436334,65,94.0,505.0,234,0.8138613861386138,0.04346206024970365,81.0,20
HAP1,2,0.05,0.5,GoCo-dense-knap (tie-level path),adapt_538.398_to_526.433_q0.15,0.15472034384488642,0.04775011388661858,0.21013966427907513,0.04191597355004686,65,94.0,509.0,235,0.8153241650294696,0.043691384107125794,81.0,19
HAP1,2,0.2,0.1,GoCo-knap (paper path),adapt_400_to_375_q0.5,0.07141561082201313,0.19396360017296424,0.3910690912164793,0.18906427797837835,104,166.0,3303.0,910,0.9497426581895246,0.19120426976344768,139.0,472
HAP1,2,0.2,0.1,GoCo-dense-knap (tie-level path),adapt_404.949_to_394.825_q0.5,0.036590417625355684,0.19263267070484913,0.39035080401312355,0.189603296395836,100,161.0,2777.0,912,0.9420237666546633,0.19161105708868514,137.0,325
HAP1,2,0.2,0.5,GoCo-knap (paper path),adapt_400_to_375_q0.5,0.07141561082201313,0.19396360017296424,0.3910690912164793,0.18906427797837835,104,166.0,3303.0,910,0.9497426581895246,0.19120426976344768,139.0,472
HAP1,2,0.2,0.5,GoCo-dense-knap (tie-level path),adapt_404.949_to_394.825_q0.5,0.036590417625355684,0.19263267070484913,0.39035080401312355,0.189603296395836,100,161.0,2777.0,912,0.9420237666546633,0.19161105708868514,137.0,325
HAP1,3,0.05,0.1,GoCo-knap (paper path),adapt_550_to_525_q0.225,0.07426319104610712,0.0468380303315147,0.20776564126355096,0.04329575962666877,68,125.0,537.0,244,0.7672253258845437,0.04527223288113416,109.0,18
HAP1,3,0.05,0.1,GoCo-dense-knap (tie-level path),adapt_538.398_to_526.433_q0.4,0.016172545178166235,0.04539057755941187,0.20446502426735572,0.04227489855386816,68,124.0,514.0,239,0.7587548638132295,0.04424397425814517,108.0,15
HAP1,3,0.05,0.5,GoCo-knap (paper path),adapt_550_to_525_q0.225,0.07426319104610712,0.0468380303315147,0.20776564126355096,0.04329575962666877,68,125.0,537.0,244,0.7672253258845437,0.04527223288113416,109.0,18
