dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
HAP1,0,0.1,0.1,GoCo-knap (paper path),adapt_475_to_450_q0.225,0.02224012050735422,0.09391219361035812,0.28759111863148595,0.10006212661372679,76,136.0,1253.0,498,0.8914604948124502,0.10128642015135982,120.0,145
HAP1,0,0.1,0.1,GoCo-knapEB (paper path),adapt_475_to_450_q0.25,0.002937419208088386,0.09174841198585745,0.2843648651430384,0.09773190024887991,79,139.0,1221.0,490,0.8861588861588862,0.09895619378651295,123.0,150
HAP1,0,0.1,0.1,GoCo-learned (paper path),adapt_475_to_450_q0.5,0.02143885008161031,0.09387520588917887,0.287143271617504,0.09659637725728912,82,142.0,1236.0,486,0.8851132686084142,0.09833849887158995,123.0,177
HAP1,0,0.1,0.1,GoCo-learnedgb (paper path),adapt_475_to_450_q0.5,5.906879860242386e-05,0.08865993735833111,0.27962110022798436,0.08927280868205609,81,141.0,1104.0,452,0.8722826086956522,0.09123685661681853,121.0,143
HAP1,0,0.1,0.1,GoCo-ens (paper path),adapt_475_to_450_q0.4,0.015494732924467541,0.09348683483167801,0.28662275917739954,0.09942223906808041,77,137.0,1281.0,494,0.8930523028883685,0.10072050804145803,120.0,183
HAP1,0,0.1,0.5,GoCo-knap (paper path),adapt_475_to_450_q0.3,0.3487316931118666,0.09879457266051347,0.2943639976073852,0.10427872670249731,76,136.0,1291.0,517,0.8946553059643687,0.10550302024013034,120.0,164
HAP1,0,0.1,0.5,GoCo-knapEB (paper path),adapt_475_to_450_q0.25,0.002937419208088386,0.09174841198585745,0.2843648651430384,0.09773190024887991,79,139.0,1221.0,490,0.8861588861588862,0.09895619378651295,123.0,150
HAP1,0,0.1,0.5,GoCo-learned (paper path),adapt_475_to_450_q0.6,0.21184100862815203,0.09753699017679537,0.292253541553918,0.09837178782098197,84,144.0,1256.0,496,0.8853503184713376,0.10033583575574441,124.0,187
HAP1,0,0.1,0.5,GoCo-learnedgb (paper path),adapt_475_to_450_q0.6,0.24483424982524876,0.0978698796574878,0.29271141614237933,0.10014719838467483,81,141.0,1259.0,501,0.8880063542494043,0.10211124631943726,121.0,192
HAP1,0,0.1,0.5,GoCo-ens (paper path),adapt_475_to_450_q0.4,0.015494732924467541,0.09348683483167801,0.28662275917739954,0.09942223906808041,77,137.0,1281.0,494,0.8930523028883685,0.10072050804145803,120.0,183
HAP1,1,0.1,0.1,GoCo-knap (paper path),adapt_475_to_450_q0.3,0.010760574591349117,0.09306760064189401,0.2862919290823961,0.09588523630070993,97,166.0,1298.0,496,0.8721109399075501,0.09709156437537642,150.0,127
HAP1,1,0.1,0.1,GoCo-knapEB (paper path),adapt_475_to_450_q0.225,0.011042279600111799,0.09309534143195171,0.2863676845128097,0.09566330998024833,97,166.0,1282.0,495,0.8705148205928237,0.0968696380549148,150.0,126
HAP1,1,0.1,0.1,GoCo-learned (paper path),adapt_475_to_450_q0.6,0.0928838541357116,0.09595819097880358,0.28997445134650895,0.10424815980106579,101,170.0,1384.0,536,0.8771676300578035,0.10556545103596307,153.0,212
HAP1,1,0.1,0.1,GoCo-learnedgb (paper path),adapt_475_to_450_q0.6,0.0928838541357116,0.09595819097880358,0.28997445134650895,0.10180697027598812,99,168.0,1342.0,523,0.8748137108792846,0.10334618783134701,150.0,199
HAP1,1,0.1,0.1,GoCo-ens (paper path),adapt_475_to_450_q0.5,0.08687444791880944,0.09584722781857279,0.2898197760831673,0.10202889659644972,101,170.0,1393.0,526,0.8779612347451543,0.10334618783134701,153.0,199
HAP1,1,0.1,0.5,GoCo-knap (paper path),adapt_475_to_450_q0.4,0.3018364525738605,0.09839383233297258,0.29371675539006664,0.10032376270994206,97,166.0,1344.0,516,0.8764880952380952,0.10153009078460855,150.0,147
HAP1,1,0.1,0.5,GoCo-knapEB (paper path),adapt_475_to_450_q0.225,0.011042279600111799,0.09309534143195171,0.2863676845128097,0.09566330998024833,97,166.0,1282.0,495,0.8705148205928237,0.0968696380549148,150.0,126
HAP1,1,0.1,0.5,GoCo-learned (paper path),adapt_475_to_450_q0.6,0.0928838541357116,0.09595819097880358,0.28997445134650895,0.10424815980106579,101,170.0,1384.0,536,0.8771676300578035,0.10556545103596307,153.0,212
HAP1,1,0.1,0.5,GoCo-learnedgb (paper path),adapt_475_to_450_q0.6,0.0928838541357116,0.09595819097880358,0.28997445134650895,0.10180697027598812,99,168.0,1342.0,523,0.8748137108792846,0.10334618783134701,150.0,199
HAP1,1,0.1,0.5,GoCo-ens (paper path),adapt_475_to_450_q0.5,0.08687444791880944,0.09584722781857279,0.2898197760831673,0.10202889659644972,101,170.0,1393.0,526,0.8779612347451543,0.10334618783134701,153.0,199
HAP1,2,0.1,0.1,GoCo-knap (paper path),adapt_475_to_450_q0.275,0.03146020528206751,0.09434807227153118,0.288503980364848,0.08626271280655584,79,126.0,1176.0,437,0.8928571428571429,0.08782738942902617,109.0,114
HAP1,2,0.1,0.1,GoCo-knapEB (paper path),adapt_475_to_450_q0.2,0.0006771725330094764,0.09044956657630414,0.2829521169825978,0.08186117412180992,79,126.0,1095.0,418,0.8849315068493151,0.08342585074428024,109.0,97
HAP1,2,0.1,0.1,GoCo-learned (paper path),adapt_475_to_450_q0.6,0.031159947948613865,0.0943425241171573,0.28812728993132697,0.09000587008671923,82,129.0,1209.0,455,0.8933002481389578,0.09164452214493415,111.0,165
HAP1,2,0.1,0.1,GoCo-learnedgb (paper path),adapt_475_to_450_q0.6,0.004346467755343708,0.09212326091254122,0.2849769967105962,0.08856334900371879,81,128.0,1155.0,448,0.8891774891774892,0.09020200106193371,110.0,152
HAP1,2,0.1,0.1,GoCo-ens (paper path),adapt_475_to_450_q0.4,0.00157715480165987,0.09117822466468578,0.28366660172817426,0.08562652402608277,81,128.0,1188.0,435,0.8922558922558923,0.08726517608429768,110.0,136
HAP1,2,0.1,0.5,GoCo-knap (paper path),adapt_475_to_450_q0.35,0.33472059438308505,0.0986756355205325,0.2944941215565007,0.09181087081809601,79,126.0,1243.0,462,0.8986323411102172,0.09337554744056634,109.0,139
HAP1,2,0.1,0.5,GoCo-knapEB (paper path),adapt_475_to_450_q0.2,0.0006771725330094764,0.09044956657630414,0.2829521169825978,0.08186117412180992,79,126.0,1095.0,418,0.8849315068493151,0.08342585074428024,109.0,97
HAP1,2,0.1,0.5,GoCo-learned (paper path),adapt_475_to_450_q0.6,0.031159947948613865,0.0943425241171573,0.28812728993132697,0.09000587008671923,82,129.0,1209.0,455,0.8933002481389578,0.09164452214493415,111.0,165
