dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Sanger,0,0.1,0.1,GoCo-dense-learned (tie-level path),global_436.673,0.08100729287242026,0.0957718685259346,0.2857681205793748,0.09725472653766495,168,353.0,2035.0,534,0.8265356265356265,0.09932651208402862,306.0,0
Sanger,0,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.43842234133599545,0.09952400109083781,0.2902897270734266,0.10090716832629243,175,403.0,2391.0,549,0.8314512756168967,0.10299474956407259,349.0,117
Sanger,1,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.013860181823493306,0.09344565021387141,0.281410483498663,0.08681353060622499,145,319.0,1800.0,474,0.8227777777777778,0.08888317758398921,281.0,75
Sanger,1,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.15,0.4967679789628036,0.09997513115846465,0.2901088972788746,0.0963506024335026,158,357.0,1984.0,526,0.8200604838709677,0.09873129229863306,314.0,15
Sanger,2,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.006916415102567455,0.0926748204974652,0.2812415468763592,0.08824118832324414,159,335.0,1789.0,485,0.8127445500279485,0.089913551050498,305.0,78
Sanger,2,0.1,0.5,GoCo-dense-learned (tie-level path),global_422.273,0.47584997169249255,0.0998133822151139,0.2911751472912291,0.09278841189547855,160,347.0,1858.0,505,0.8132400430570506,0.09444362260526398,317.0,0
Sanger,3,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.0016733146884881109,0.09133204767890057,0.2792132852958149,0.09117150692830293,164,375.0,1921.0,502,0.8047891723060906,0.09330374694951839,328.0,78
Sanger,3,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.3485260196217598,0.09880847987529946,0.2892597601492044,0.09953009184504143,180,436.0,2334.0,544,0.8131962296486718,0.101839021418957,379.0,106
Sanger,4,0.1,0.1,GoCo-dense-learned (tie-level path),global_436.673,0.09306292771730601,0.09599573170016339,0.2862360585810114,0.09703353252282736,167,368.0,1963.0,531,0.8125318390219053,0.09884250363937817,328.0,0
Sanger,4,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.4659185377608502,0.09973673199825206,0.2908941500368634,0.10122737648572526,176,420.0,2326.0,552,0.819432502149613,0.10359442315803796,370.0,122
Sanger,5,0.1,0.1,GoCo-dense-learned (tie-level path),global_436.673,0.09922050398739662,0.09611717458068657,0.28535091234527993,0.09497579870472296,155,336.0,2003.0,518,0.8322516225661508,0.09676367113197772,299.0,0
Sanger,5,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.3637009180411944,0.09893523434746762,0.28868303622407776,0.09916897184838105,163,380.0,2343.0,538,0.8378147673922322,0.10097787013112632,339.0,100
Sanger,6,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.002136779511061388,0.09157123258174721,0.27880028272184576,0.09070483135416153,143,330.0,1847.0,490,0.8213318895506226,0.09248031744898233,294.0,65
Sanger,6,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.4026623088804613,0.09924632402456399,0.28900746622363566,0.10011309887900999,152,379.0,2239.0,535,0.8307280035730237,0.10187502388924795,336.0,87
Sanger,7,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.007822762070510657,0.09281637127549991,0.28088398969923034,0.08924857816864368,143,314.0,1857.0,482,0.8309100700053851,0.09057409679903028,283.0,87
Sanger,7,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_407.561_to_404.949_q0.75,0.47777581989469164,0.09982865249368571,0.29054382455979333,0.09627736645676654,150,341.0,1985.0,518,0.8282115869017632,0.09763553979882734,308.0,8
Sanger,8,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.6,0.01603321843911756,0.09361442156633186,0.28153643491745184,0.0903683804184165,146,297.0,1879.0,491,0.8419372006386375,0.09163151710457924,267.0,85
Sanger,8,0.1,0.5,GoCo-dense-learned (tie-level path),global_422.273,0.4910515416704398,0.09993111978977771,0.2901978860981013,0.09485211873641874,149,311.0,1939.0,511,0.8396080453842186,0.09629078892217104,279.0,0
Sanger,9,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.003907065429029391,0.0921152732946042,0.2801430339237136,0.09048494234397457,155,336.0,1919.0,501,0.8249088066701407,0.09228009712722773,303.0,57
Sanger,9,0.1,0.5,GoCo-dense-learned (tie-level path),global_407.561,0.4720543368707376,0.09978448347498417,0.29053264587770095,0.09740531250317179,160,361.0,2058.0,534,0.8245869776482021,0.0994504236727786,325.0,0
Sanger,10,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.005695167530818134,0.0924991831814047,0.2801420492640754,0.09314067189864322,139,273.0,1819.0,497,0.8499175371083013,0.09519937641476464,237.0,69
Sanger,10,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.6,0.4504937100152808,0.09961871184538791,0.2896397159939185,0.10045870092654682,150,306.0,2146.0,534,0.8574091332712023,0.10270212395794581,266.0,71
Sanger,11,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.009988593492109926,0.09308808330451486,0.2807490303050627,0.08945946517543323,141,314.0,1856.0,484,0.8308189655172413,0.09138925335842445,273.0,69
Sanger,11,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_411.276_to_410.208_q0.75,0.4715615674916234,0.09978103885603122,0.29005310004126145,0.09710299621971297,149,351.0,2007.0,521,0.8251121076233184,0.0990369460450575,307.0,20
Sanger,12,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.006680530145870375,0.0926566020928847,0.280525373079433,0.09430208114066556,148,337.0,2000.0,504,0.8315,0.09638990558942515,294.0,108
Sanger,12,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.4769269215611192,0.09982236710148065,0.29010816391985284,0.10155159872763635,159,397.0,2401.0,539,0.834652228238234,0.10399135120905527,342.0,124
Sanger,13,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.0027109406667418967,0.09177677274130676,0.2794737267587378,0.0942079992670762,156,355.0,1935.0,512,0.8165374677002584,0.09608429655315895,320.0,102
Sanger,13,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.4,0.49152571833129804,0.09993467663122409,0.2906146058054395,0.09978782616363795,167,394.0,2139.0,540,0.8158017765310893,0.10193101409634978,354.0,36
Sanger,14,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.04437900313760605,0.0948819964540229,0.2841966633280436,0.08569264032472287,133,262.0,1720.0,458,0.8476744186046512,0.08715205123149534,227.0,55
Sanger,14,0.1,0.5,GoCo-dense-learned (tie-level path),global_436.673,0.4999946182681083,0.09999995843990736,0.2911648010033391,0.09009113657514566,136,275.0,1806.0,478,0.8477297895902547,0.09183636841354818,236.0,0
Sanger,15,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.0015279095556135068,0.09126489486193315,0.2787068925907112,0.09321869072428209,147,305.0,1907.0,496,0.8400629260618773,0.0945212352282523,274.0,86
Sanger,15,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.6,0.49107002548300727,0.09993125096737564,0.2902448503243384,0.09980788720148008,157,357.0,2232.0,531,0.8400537634408602,0.10128914009683744,317.0,70
Sanger,16,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.05470418609497477,0.09519147021763537,0.2838793843904463,0.10423685398374133,161,383.0,2413.0,555,0.841276419394944,0.10613736433518293,341.0,107
Sanger,16,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.05470418609497477,0.09519147021763537,0.2838793843904463,0.10423685398374133,161,383.0,2413.0,555,0.841276419394944,0.10613736433518293,341.0,107
Sanger,17,0.1,0.1,GoCo-dense-learned (tie-level path),global_418.754,0.09711643264793873,0.09608102892973847,0.28531111010673194,0.10227196214580857,150,333.0,2052.0,537,0.8377192982456141,0.10417656321474847,290.0,0
Sanger,17,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.17981366747682842,0.09722082754801434,0.2867204169671726,0.10409818983158099,155,371.0,2381.0,545,0.8441831163376733,0.10621631808603998,317.0,107
Sanger,18,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.008386724988489982,0.0928809416938725,0.28132074062222523,0.09129524607407419,170,370.0,2017.0,506,0.8165592464055528,0.09341310206279242,325.0,67
Sanger,18,0.1,0.5,GoCo-dense-learned (tie-level path),global_410.208,0.4989182685519655,0.09999164413582355,0.29124320869777687,0.09940764043993272,178,400.0,2143.0,546,0.8133457769482034,0.10183003718682125,351.0,0
Sanger,19,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.3,0.09833684093320916,0.09609981944414996,0.2854984318878013,0.1029961581893624,177,417.0,2200.0,564,0.8104545454545454,0.10488472726417149,377.0,34
Sanger,19,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.11770760346558862,0.09640969887068866,0.28597528366817127,0.10356616768297663,178,430.0,2394.0,564,0.8203842940685045,0.1053490621478934,388.0,123
Sanger,20,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.002533248087025443,0.09170955815759145,0.2795527440555064,0.09380041189984005,164,353.0,2031.0,514,0.8261939931068439,0.09573003401748277,316.0,93
Sanger,20,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.46342905177092764,0.0997181885942076,0.2901330118005582,0.09959658604920378,175,408.0,2405.0,543,0.8303534303534303,0.10179563966670468,363.0,93
Sanger,21,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.02413152734833093,0.09409159236073333,0.2827273604224496,0.08800291549518688,160,362.0,1925.0,486,0.811948051948052,0.09033187964194833,310.0,81
Sanger,21,0.1,0.5,GoCo-dense-learned (tie-level path),global_433.874,0.45412178938004727,0.0996457723758037,0.29046896305051445,0.09313244510270981,161,365.0,1972.0,509,0.8149087221095335,0.09545994543148181,313.0,0
Sanger,22,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.0016588998874454868,0.0913235454420124,0.2792316827782698,0.09438985372577509,168,323.0,1958.0,515,0.8350357507660878,0.09668039586749616,284.0,92
Sanger,22,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_407.561_to_404.949_q0.75,0.4773980970561693,0.09982547958402745,0.2909732929386087,0.09963966172526424,180,363.0,2098.0,548,0.82697807435653,0.102183085035904,321.0,11
Sanger,23,0.1,0.1,GoCo-dense-learned (tie-level path),global_436.673,0.09259861556627041,0.09599806548025755,0.2854658947478294,0.10021948783021224,152,331.0,2153.0,532,0.8462610311193683,0.10195542407729992,298.0,0
Sanger,23,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.416054852795874,0.09935033681230646,0.2896234812277449,0.10284876533411652,160,376.0,2467.0,545,0.8475881637616538,0.1047509442518433,336.0,93
Sanger,24,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_441.762_to_438.694_q0.75,0.004299923086045348,0.09221361523124598,0.2800636751177983,0.0929109003348954,165,348.0,1946.0,510,0.8211716341212744,0.09482148897073837,309.0,71
Sanger,24,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_398.143_to_394.825_q0.75,0.430324306463211,0.09946200242070034,0.28963923526342317,0.10126159016255702,177,405.0,2383.0,551,0.8300461603021402,0.10333044508603492,355.0,92
