dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Sanger,0,0.05,0.1,GoCo-learned (paper path),adapt_575_to_550_q0.75,0.07711259207783186,0.04692555645349791,0.2039377792313545,0.049840825552502514,123,218.0,740.0,313,0.7054054054054054,0.05092642962398614,203.0,41
Sanger,0,0.05,0.1,GoCo-dense-learned (tie-level path),global_564.036,0.07711259207784299,0.04692555645349791,0.20393777923136558,0.05026635746873106,122,217.0,740.0,314,0.7067567567567568,0.051351961540214694,202.0,0
Sanger,0,0.05,0.5,GoCo-learned (paper path),adapt_550_to_525_q0.6,0.34499862564329575,0.04912357199962129,0.20766888325193023,0.05346777906009358,128,247.0,1012.0,323,0.7559288537549407,0.05467981077722312,224.0,116
Sanger,0,0.05,0.5,GoCo-dense-learned (tie-level path),adapt_528.952_to_526.433_q0.6,0.4230301282723727,0.049571400033656225,0.20863843061584786,0.054550272530030294,128,249.0,1019.0,328,0.7556427870461236,0.05576230424715984,226.0,100
Sanger,0,0.2,0.1,GoCo-learned (paper path),adapt_150_to_125_q0.75,0.027174878260055817,0.1922757089842049,0.37941913050111203,0.1936057320701048,387,1396.0,17009.0,960,0.917925803986125,0.1974266024045688,1077.0,749
Sanger,0,0.2,0.1,GoCo-dense-learned (tie-level path),adapt_137.57_to_137.33_q0.75,0.09125310405282616,0.1946171370893383,0.3816208682793639,0.19479867252964456,371,1275.0,15236.0,958,0.9163166185350485,0.1982312691872491,984.0,61
Sanger,0,0.2,0.5,GoCo-learned (paper path),adapt_150_to_125_q0.75,0.027174878260055817,0.1922757089842049,0.37941913050111203,0.1936057320701048,387,1396.0,17009.0,960,0.917925803986125,0.1974266024045688,1077.0,749
Sanger,0,0.2,0.5,GoCo-dense-learned (tie-level path),adapt_131.687_to_131.608_q0.75,0.337922379846644,0.19829845804499235,0.384587622191847,0.1989486678817371,380,1330.0,16383.0,981,0.9188182872489776,0.20367409869577957,1019.0,234
Sanger,1,0.05,0.1,GoCo-learned (paper path),adapt_600_to_575_q0.6,0.0411605647870889,0.04628358478376377,0.2021646419463986,0.0421006255827986,102,198.0,609.0,264,0.6748768472906403,0.043398373498094306,183.0,22
Sanger,1,0.05,0.1,GoCo-dense-learned (tie-level path),adapt_592.237_to_584.926_q0.75,0.04180728402714073,0.04629291453224845,0.20250641351894427,0.041708688292765,100,196.0,597.0,262,0.6716917922948074,0.04289445412519397,182.0,4
Sanger,1,0.05,0.5,GoCo-learned (paper path),adapt_575_to_550_q0.75,0.1510899615113298,0.047759058613762215,0.2052683543261191,0.04213014813713638,106,210.0,633.0,267,0.6682464454976303,0.0436294638096018,190.0,17
