dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Sanger,0,0.1,0.1,GoCo-oracle (paper path),adapt_450_to_425_q0.75,0.0009577936860122109,0.0908490216457091,0.27871333771039675,0.09260124704672268,168,356.0,2009.0,514,0.8227974116475859,0.09475684743979476,309.0,101
Sanger,0,0.1,0.1,GoCo-knapk0.5 (paper path),adapt_450_to_425_q0.6,0.030177675794191648,0.09436021878501251,0.2837901934128109,0.09603647518264753,166,350.0,2008.0,529,0.8256972111553785,0.09804525462470423,306.0,87
Sanger,0,0.1,0.1,GoCo-knapk2 (paper path),adapt_450_to_425_q0.6,0.05369924588217135,0.09514697122796736,0.2848801127025809,0.09627070437620362,166,354.0,2017.0,530,0.8244918195339613,0.09827948381826031,310.0,95
Sanger,0,0.1,0.1,GoCo-knapk4 (paper path),adapt_450_to_425_q0.6,0.02114991627740509,0.09391565616561648,0.28318657830860783,0.09482911805156097,165,347.0,1991.0,523,0.8257157207433451,0.09686175772684552,303.0,68
Sanger,0,0.1,0.5,GoCo-oracle (paper path),adapt_400_to_375_q0.75,0.24740185085527916,0.09792084609893635,0.28783155980350056,0.09957643004774647,185,431.0,2749.0,550,0.8432157148053838,0.10169568534727727,371.0,250
Sanger,0,0.1,0.5,GoCo-knapk0.5 (paper path),adapt_400_to_375_q0.275,0.4084401903599428,0.09928901869414955,0.2901819883644323,0.10170932789599108,179,406.0,2486.0,555,0.8366854384553499,0.10377944521313952,350.0,74
Sanger,0,0.1,0.5,GoCo-knapk2 (paper path),adapt_400_to_375_q0.3,0.4100111550513694,0.09930137758244595,0.29020466726561195,0.10174247347160523,179,402.0,2502.0,555,0.8393285371702638,0.10380630407394781,346.0,74
Sanger,0,0.1,0.5,GoCo-knapk4 (paper path),adapt_400_to_375_q0.3,0.4350474639258758,0.09949730234733623,0.2905111289126536,0.10157450034730511,179,399.0,2496.0,555,0.8401442307692307,0.1036383309496477,343.0,71
Sanger,1,0.1,0.1,GoCo-oracle (paper path),adapt_450_to_425_q0.75,0.010377045351385828,0.09312461572167481,0.2809978860519895,0.0867218956000861,147,329.0,1831.0,476,0.8203167667941016,0.0887788805422297,290.0,100
Sanger,1,0.1,0.1,GoCo-knapk0.5 (paper path),adapt_450_to_425_q0.5,0.08342232786429238,0.09583398744136935,0.28481105686993524,0.09031789802089918,142,322.0,1820.0,489,0.823076923076923,0.09226538937075808,285.0,68
Sanger,1,0.1,0.1,GoCo-knapk2 (paper path),adapt_450_to_425_q0.4,0.0399370121219224,0.09474709198092379,0.2834552293983198,0.08880883529698862,141,315.0,1772.0,482,0.822234762979684,0.09071529470258971,279.0,37
Sanger,1,0.1,0.1,GoCo-knapk4 (paper path),adapt_450_to_425_q0.5,0.08509983796684695,0.09586570859022114,0.28487860973748724,0.09035149264041947,142,321.0,1823.0,489,0.8239166209544706,0.09225419115980155,285.0,69
Sanger,1,0.1,0.5,GoCo-oracle (paper path),adapt_400_to_375_q0.75,0.3584014746973265,0.09889458009094813,0.2880131609831809,0.09550162306825097,169,402.0,2482.0,526,0.8380338436744561,0.0979516576379037,352.0,238
