dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Sanger,0,0.05,0.1,"Boger (Direct, global grid)",global_575,0.055129923828680344,0.046798870327834204,0.20460915494274318,0.04742698955442443,113,202.0,688.0,296,0.7063953488372093,0.04856858466734144,188.0,0
Sanger,0,0.05,0.1,GoDag (global grid),global_575,0.010962256592103169,0.04548096479043622,0.2012921857166993,0.04742698955442443,113,202.0,688.0,296,0.7063953488372093,0.04856858466734144,188.0,0
Sanger,0,0.05,0.1,"GoDag-dense (global, all distinct scores)",global_564.036,0.0994618595284108,0.04741897668096017,0.20509249444804245,0.05026635746873106,122,217.0,740.0,314,0.7067567567567568,0.051351961540214694,202.0,0
Sanger,0,0.05,0.1,"GoDag (global grid, certification fold only)",global_575,0.013493060360821839,0.045298940645997106,0.20088163711688878,0.04742698955442443,113,202.0,688.0,296,0.7063953488372093,0.04856858466734144,188.0,0
Sanger,0,0.05,0.1,GoCo-source (paper path),adapt_575_to_550_q0.75,0.022616618034869945,0.0457294420061814,0.20155380621978122,0.047731829667411754,120,214.0,714.0,302,0.7002801120448179,0.04889208845635678,199.0,15
Sanger,0,0.05,0.1,GoCo-random1 (paper path),adapt_575_to_550_q0.75,0.08578686291957116,0.04704559924046768,0.2042316124791695,0.050525160515962494,122,214.0,732.0,316,0.7076502732240437,0.0516667556288795,200.0,36
Sanger,0,0.05,0.1,GoCo-random2 (paper path),adapt_575_to_550_q0.75,0.0903618773037087,0.04710495422739808,0.2044097981439689,0.050662027491300395,123,218.0,742.0,317,0.706199460916442,0.05174763156278403,203.0,44
Sanger,0,0.05,0.1,GoCo-random3 (paper path),adapt_575_to_550_q0.75,0.06043333794111791,0.04666068037889274,0.20346028173860825,0.04978856725027954,121,216.0,733.0,312,0.7053206002728513,0.05087417132176317,201.0,35
Sanger,0,0.05,0.1,GoCo-score (paper path),adapt_575_to_550_q0.75,0.062346587683535605,0.0466941786330215,0.20348899524925013,0.05023276284921076,118,212.0,728.0,312,0.7087912087912088,0.05131836692069439,197.0,31
Sanger,0,0.05,0.1,GoCo-oracle (paper path),adapt_575_to_550_q0.75,0.02788352070703806,0.04591794337691932,0.20168429548614472,0.04760118389516769,123,218.0,729.0,303,0.700960219478738,0.04868678796665132,203.0,31
Sanger,0,0.05,0.1,GoCo-exp0 (paper path),adapt_575_to_550_q0.75,0.06964332711026211,0.04681359944498918,0.2036888694670931,0.05028875388396948,123,218.0,740.0,315,0.7054054054054054,0.05137435795545311,203.0,41
Sanger,0,0.05,0.1,GoCo-exp1 (paper path),adapt_575_to_550_q0.75,0.03338485605888935,0.04607464278019227,0.2023665457544729,0.04776915702614245,119,212.0,712.0,301,0.702247191011236,0.048929415815087474,197.0,13
Sanger,0,0.05,0.1,GoCo-dense-source (tie-level path),global_564.036,0.07711259207784299,0.04692555645349791,0.20393777923136558,0.05026635746873106,122,217.0,740.0,314,0.7067567567567568,0.051351961540214694,202.0,0
Sanger,0,0.05,0.1,GoCo-dense-random1 (tie-level path),global_564.036,0.07711259207784299,0.04692555645349791,0.20393777923136558,0.05026635746873106,122,217.0,740.0,314,0.7067567567567568,0.051351961540214694,202.0,0
Sanger,0,0.05,0.5,"Boger (Direct, global grid)",global_550,0.31556482266194297,0.04901759239224692,0.20886226131405905,0.05118461054690341,123,218.0,746.0,319,0.707774798927614,0.05227021461838704,203.0,0
Sanger,0,0.05,0.5,GoDag (global grid),global_550,0.12760019109760218,0.04770688455044193,0.20572664305906269,0.05118461054690341,123,218.0,746.0,319,0.707774798927614,0.05227021461838704,203.0,0
Sanger,0,0.05,0.5,"GoDag-dense (global, all distinct scores)",global_528.952,0.16713368851012184,0.048048157164837714,0.20634887901671506,0.05221946595897867,124,227.0,773.0,324,0.7063389391979301,0.05325137608061979,212.0,0
