dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Sanger,0,0.05,0.1,GoCo-knap (paper path),adapt_575_to_550_q0.75,0.07711259207783186,0.04692555645349791,0.2039377792313545,0.050064789718236,123,218.0,739.0,314,0.7050067658998647,0.051150393789719625,203.0,40
Sanger,0,0.05,0.1,GoCo-dense-knap (tie-level path),global_564.036,0.07711259207784299,0.04692555645349791,0.20393777923136558,0.05026635746873106,122,217.0,740.0,314,0.7067567567567568,0.051351961540214694,202.0,0
Sanger,0,0.05,0.5,GoCo-knap (paper path),adapt_550_to_525_q0.2,0.4355704806052565,0.049640418126665316,0.2095058440615884,0.052983679960316,123,231.0,901.0,327,0.7436182019977803,0.05409485258220425,214.0,31
Sanger,0,0.05,0.5,GoCo-dense-knap (tie-level path),adapt_528.952_to_526.433_q0.175,0.27570663754683883,0.04869241852344978,0.20747059984964084,0.05381849900071592,124,237.0,894.0,331,0.7348993288590604,0.0548664065551384,221.0,21
Sanger,0,0.2,0.1,GoCo-knap (paper path),adapt_150_to_125_q0.6,0.08494014154079527,0.19446406296741733,0.3811756210909762,0.19539475357545852,384,1358.0,16814.0,967,0.9192339716902581,0.1991756784188387,1041.0,543
Sanger,0,0.2,0.1,GoCo-dense-knap (tie-level path),adapt_137.57_to_137.33_q0.75,0.08496338766013961,0.19445975158535414,0.3815140207274465,0.19478778077867237,371,1268.0,15152.0,958,0.9163146779303062,0.19820865287559164,978.0,8
Sanger,0,0.2,0.5,GoCo-knap (paper path),adapt_150_to_125_q0.75,0.17440264987704118,0.19620775167971677,0.38253717943219406,0.19728157502272628,386,1377.0,17089.0,975,0.9194218503130669,0.2010509859507722,1057.0,662
Sanger,0,0.2,0.5,GoCo-dense-knap (tie-level path),adapt_131.687_to_131.608_q0.75,0.47497364849952034,0.19974375971952896,0.3857883778077655,0.20016552557269776,380,1331.0,16417.0,986,0.9189255040506792,0.2048775698376396,1020.0,230
Sanger,1,0.05,0.1,GoCo-knap (paper path),adapt_600_to_575_q0.75,0.08732470915230911,0.047067283843324904,0.20418873507966384,0.04256099637385045,101,196.0,605.0,266,0.6760330578512397,0.04386123277305355,181.0,18
Sanger,1,0.05,0.1,GoCo-dense-knap (tie-level path),adapt_592.237_to_584.926_q0.75,0.03587959083856829,0.04614310539454769,0.20243450212612027,0.041820670375631745,100,196.0,594.0,262,0.67003367003367,0.04300643620806072,182.0,2
Sanger,1,0.05,0.5,GoCo-knap (paper path),adapt_575_to_550_q0.75,0.35379527671440025,0.049174692793726334,0.2079456636416807,0.04394052513903226,109,213.0,648.0,278,0.6712962962962963,0.04543984081149769,193.0,29
Sanger,1,0.05,0.5,GoCo-dense-knap (tie-level path),global_564.036,0.49721501864695367,0.049984515157052344,0.20963578005899197,0.04416448930476574,107,211.0,647.0,277,0.6738794435857806,0.04566380497723117,191.0,0
Sanger,1,0.2,0.1,GoCo-knap (paper path),adapt_150_to_125_q0.6,0.06808634454615152,0.1940024038814292,0.38037166699020913,0.19702249956624907,375,1346.0,15986.0,973,0.9158013261603903,0.20079433295587942,1055.0,546
Sanger,1,0.2,0.1,GoCo-dense-knap (tie-level path),global_136.618,0.09498177664927437,0.19471523642499938,0.38106665578975446,0.1978501934353742,356,1246.0,14575.0,969,0.9145111492281304,0.20142196758930786,980.0,0
Sanger,1,0.2,0.5,GoCo-knap (paper path),adapt_150_to_125_q0.75,0.14869855193735854,0.1957912384676282,0.3817225839717868,0.19949215878497847,379,1364.0,16333.0,984,0.916488091593706,0.20330485323441924,1068.0,694
Sanger,1,0.2,0.5,GoCo-dense-knap (tie-level path),adapt_131.687_to_131.608_q0.75,0.29581735871264164,0.19782225872221892,0.3836509838932221,0.2015288586812751,368,1299.0,15661.0,990,0.9170551050379925,0.2064154743714402,1011.0,260
Sanger,2,0.05,0.1,GoCo-knap (paper path),adapt_575_to_550_q0.4,0.09754232546949271,0.04718785167601255,0.20512271312200975,0.0446243268444984,108,196.0,659.0,278,0.7025796661608498,0.04562283374561041,188.0,0
