dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Sanger,0,0.1,0.1,GoDag (global grid),global_450,0.0005930581176248266,0.09113378580266362,0.27914673821834085,0.09283330063069654,162,331.0,1834.0,513,0.8195201744820065,0.09487335791713312,288.0,0
Sanger,0,0.1,0.1,GoCo-source (paper path),adapt_450_to_425_q0.75,0.00895668165760535,0.09294003080217976,0.28184139106667866,0.09428533496207914,164,342.0,1978.0,520,0.8270980788675429,0.09628059941803889,299.0,57
Sanger,0,0.1,0.1,GoCo-random1 (paper path),adapt_450_to_425_q0.75,0.06737951038861953,0.09548288667503622,0.2854441253357873,0.09705706744351553,169,358.0,1987.0,534,0.8198288877705083,0.09919773689309533,312.0,93
Sanger,0,0.1,0.1,GoCo-knap (paper path),adapt_450_to_425_q0.6,0.025541510762189155,0.09414750046984689,0.2835352603463611,0.0955736159210376,166,349.0,2003.0,527,0.8257613579630554,0.0975823953630943,305.0,81
Sanger,0,0.1,0.1,GoCo-exp1 (paper path),adapt_450_to_425_q0.75,0.008763712017887941,0.09291763940181265,0.28177726453881546,0.09421068024461773,165,343.0,1980.0,520,0.8267676767676768,0.09620594470057749,300.0,58
Sanger,0,0.1,0.1,GoCo-dense-knap (tie-level path),global_436.673,0.08100729287242026,0.0957718685259346,0.2857681205793748,0.09725472653766495,168,353.0,2035.0,534,0.8265356265356265,0.09932651208402862,306.0,0
Sanger,0,0.1,0.5,GoDag (global grid),global_400,0.34255473637344985,0.09884981682770769,0.2895404300231151,0.10005943215173677,174,382.0,2123.0,549,0.8200659444182761,0.10208801424583422,334.0,0
Sanger,0,0.1,0.5,GoCo-source (paper path),adapt_400_to_375_q0.6,0.40531353449896546,0.09926439951012554,0.29013389628233016,0.10138540118765858,179,398.0,2497.0,554,0.8406087304765719,0.10344923179000115,342.0,84
Sanger,0,0.1,0.5,GoCo-random1 (paper path),adapt_400_to_375_q0.125,0.4889327696437112,0.09991450677010653,0.29122019094065316,0.10147542378136185,176,389.0,2241.0,555,0.8264167782240072,0.10353738235733144,338.0,49
Sanger,0,0.1,0.5,GoCo-knap (paper path),adapt_400_to_375_q0.3,0.42734794967751766,0.0994373253770623,0.29038343225218227,0.1017344747485399,179,406.0,2527.0,555,0.8393351800554016,0.10379830535088247,350.0,84
Sanger,0,0.1,0.5,GoCo-exp1 (paper path),adapt_400_to_375_q0.4,0.43248762160715765,0.09947744242603396,0.29043319254239797,0.10179286540088568,180,400.0,2570.0,556,0.8443579766536965,0.10389402336863361,343.0,99
Sanger,0,0.1,0.5,GoCo-dense-knap (tie-level path),adapt_398.143_to_394.825_q0.3,0.4118340076232849,0.09931545173920327,0.2903389229337111,0.10111490195368866,174,389.0,2259.0,553,0.8277999114652501,0.10311585211873989,339.0,28
Sanger,1,0.1,0.1,GoDag (global grid),global_450,0.010278854333779374,0.09360180390201465,0.2820011813647887,0.08707367048618642,140,310.0,1647.0,474,0.811778992106861,0.08900642872924634,274.0,0
Sanger,1,0.1,0.1,GoCo-source (paper path),adapt_450_to_425_q0.75,0.06180345944403305,0.09536936585872738,0.28421564110954256,0.08964102853919731,142,321.0,1821.0,486,0.8237232289950577,0.09158603140514882,284.0,69
Sanger,1,0.1,0.1,GoCo-random1 (paper path),adapt_450_to_425_q0.5,0.08963098641382466,0.09594813541271897,0.2851302399195173,0.09094209427729433,143,322.0,1782.0,493,0.819304152637486,0.09287753243996341,285.0,72
Sanger,1,0.1,0.1,GoCo-knap (paper path),adapt_450_to_425_q0.5,0.08342232786429238,0.09583398744136935,0.28481105686993524,0.09031789802089918,142,322.0,1819.0,489,0.822979659153381,0.09226538937075808,285.0,67
Sanger,1,0.1,0.1,GoCo-exp1 (paper path),adapt_450_to_425_q0.75,0.0636254696488517,0.09541256978200308,0.28429202007598275,0.08962534739148843,142,319.0,1817.0,486,0.8244358833241607,0.09157181407542939,282.0,65
Sanger,1,0.1,0.1,GoCo-dense-knap (tie-level path),adapt_441.762_to_438.694_q0.4,0.06534812585970026,0.09545329139237173,0.2843171043760095,0.08944742030486014,142,318.0,1810.0,485,0.8243093922651934,0.09135158264223164,282.0,55
Sanger,1,0.1,0.5,GoDag (global grid),global_425,0.38568752000427864,0.09917622365329179,0.2893891922008751,0.09472274880393222,147,329.0,1894.0,511,0.8262935586061246,0.09677973374607582,290.0,0
Sanger,1,0.1,0.5,GoCo-source (paper path),adapt_400_to_375_q0.25,0.49670486037306555,0.09997464017254379,0.29016963085898106,0.0962996476975427,158,359.0,2059.0,525,0.825643516270034,0.09859919498975973,316.0,15
Sanger,1,0.1,0.5,GoCo-random1 (paper path),adapt_400_to_375_q0.04,0.4890323723256916,0.09991559611639259,0.29012118105123325,0.0962421706449011,157,357.0,2001.0,525,0.8215892053973014,0.09856873583486606,315.0,11
Sanger,1,0.1,0.5,GoCo-knap (paper path),adapt_400_to_375_q0.125,0.4926682123531989,0.0999435867848975,0.2900887905221419,0.09653797411304572,159,365.0,2109.0,526,0.826932195353248,0.09881299199142221,322.0,21
Sanger,1,0.1,0.5,GoCo-exp1 (paper path),adapt_400_to_375_q0.15,0.4948511895916557,0.09996037898052182,0.2901289802521259,0.09631128220381956,159,360.0,2075.0,525,0.8265060240963855,0.09859376556061684,317.0,16
