dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Sanger,0,0.1,0.1,GoCo-learned (paper path),adapt_450_to_425_q0.75,0.0032050224099126816,0.0919188774881932,0.28016560893491427,0.09426498085026778,168,359.0,2029.0,520,0.823065549531789,0.09630859916047313,312.0,110
Sanger,0,0.1,0.1,GoCo-learnedgb (paper path),adapt_450_to_425_q0.75,0.03962516679371994,0.09472366711862996,0.28412957388328697,0.09621773508000882,168,359.0,2036.0,529,0.8236738703339882,0.09826135339021416,312.0,115
Sanger,0,0.1,0.5,GoCo-learned (paper path),adapt_400_to_375_q0.75,0.46876894202896136,0.09975957264894335,0.2899594563258207,0.10213907054997771,183,435.0,2824.0,552,0.8459631728045326,0.1042564691815104,373.0,288
Sanger,0,0.1,0.5,GoCo-learnedgb (paper path),adapt_400_to_375_q0.6,0.3392122073598625,0.09873307741714656,0.2887888047805308,0.10049906648353393,179,413.0,2521.0,549,0.8361761205870686,0.10246167438227813,359.0,155
Sanger,1,0.1,0.1,GoCo-learned (paper path),adapt_450_to_425_q0.75,0.02356428077357334,0.09407118557415572,0.2822606991495532,0.08750203743426824,145,322.0,1814.0,477,0.8224917309812569,0.08957022059404303,284.0,91
Sanger,1,0.1,0.1,GoCo-learnedgb (paper path),adapt_450_to_425_q0.75,0.04417505551570905,0.09489061636704263,0.2833550888933607,0.08906394509892715,144,322.0,1823.0,484,0.8233680746023039,0.09110990151979889,284.0,97
Sanger,1,0.1,0.5,GoCo-learned (paper path),adapt_400_to_375_q0.4,0.4874002971978397,0.09990332914583895,0.28923274485956507,0.09657538109036602,165,381.0,2311.0,525,0.8351363046300303,0.09886807671519704,332.0,134
Sanger,1,0.1,0.5,GoCo-learnedgb (paper path),adapt_400_to_375_q0.6,0.46528272410254745,0.09973334583616075,0.2892263691407155,0.0962921061113994,167,384.0,2304.0,525,0.8333333333333334,0.09857793105276007,336.0,138
Sanger,2,0.1,0.1,GoCo-learned (paper path),adapt_450_to_425_q0.75,0.01049253844343117,0.09311854648806298,0.28175469129386954,0.08828353267434196,160,344.0,1814.0,485,0.8103638368246968,0.08993874338412738,314.0,97
Sanger,2,0.1,0.1,GoCo-learnedgb (paper path),adapt_450_to_425_q0.75,0.06351296807144886,0.09539766103843376,0.2850472072398681,0.08921831644328951,160,342.0,1810.0,489,0.8110497237569061,0.09087352715307494,312.0,96
Sanger,2,0.1,0.5,GoCo-learned (paper path),adapt_425_to_400_q0.75,0.45080180617335847,0.09961948304554298,0.29087338051583966,0.09274731728291058,161,355.0,1886.0,505,0.8117709437963945,0.09459636365913464,322.0,25
Sanger,2,0.1,0.5,GoCo-learnedgb (paper path),adapt_425_to_400_q0.75,0.428160550128025,0.09944329573950103,0.2905884032670517,0.09275108451672391,161,352.0,1879.0,505,0.8126663118680149,0.09458546656844063,319.0,22
Sanger,3,0.1,0.1,GoCo-learned (paper path),adapt_450_to_425_q0.75,0.0014934455384832156,0.09123288184084062,0.27906717656262714,0.09124558738204426,165,379.0,1928.0,502,0.8034232365145229,0.09335112398509082,332.0,87
