dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Sanger,0,0.1,0.1,GoCo-knap (paper path),adapt_450_to_425_q0.6,0.025541510762189155,0.09414750046984689,0.2835352603463611,0.0955736159210376,166,349.0,2003.0,527,0.8257613579630554,0.0975823953630943,305.0,81
Sanger,0,0.1,0.1,GoCo-knapEB (paper path),adapt_450_to_425_q0.6,0.014740468932418864,0.09349021953194867,0.28260722557273094,0.09444210988209736,164,345.0,1985.0,521,0.8261964735516373,0.0964821671752086,301.0,64
Sanger,0,0.1,0.1,GoCo-learned (paper path),adapt_450_to_425_q0.75,0.0017117507014491316,0.09134789673879282,0.2793746395851113,0.09319421883593214,168,359.0,2015.0,516,0.8218362282878412,0.09534981922900423,312.0,101
Sanger,0,0.1,0.1,GoCo-learnedgb (paper path),adapt_450_to_425_q0.75,0.0030629888744628632,0.09187689360332926,0.2800874450631766,0.09396449559413038,168,359.0,2012.0,519,0.8215705765407555,0.09603610941837776,312.0,97
Sanger,0,0.1,0.1,GoCo-ens (paper path),adapt_450_to_425_q0.75,0.019521956325622522,0.09382214663284165,0.28291787220749204,0.09544452545290431,169,360.0,2031.0,527,0.8227474150664698,0.0976075913243972,313.0,109
Sanger,0,0.1,0.5,GoCo-knap (paper path),adapt_400_to_375_q0.3,0.42734794967751766,0.0994373253770623,0.29038343225218227,0.1017344747485399,179,406.0,2527.0,555,0.8393351800554016,0.10379830535088247,350.0,84
Sanger,0,0.1,0.5,GoCo-knapEB (paper path),adapt_400_to_375_q0.25,0.4966460854938961,0.09997409852567778,0.2911734713895617,0.10194590758169352,180,400.0,2543.0,557,0.842705465985057,0.10404706554944144,343.0,86
Sanger,0,0.1,0.5,GoCo-learned (paper path),adapt_400_to_375_q0.75,0.40099223768906833,0.09923202292205398,0.28942118803274586,0.10105644716794654,183,431.0,2785.0,549,0.8452423698384202,0.1031823025705566,370.0,259
Sanger,0,0.1,0.5,GoCo-learnedgb (paper path),adapt_400_to_375_q0.75,0.3977501109422789,0.09920649736806036,0.2893540910942451,0.10205632820642008,183,432.0,2792.0,553,0.8452722063037249,0.10415986240377352,371.0,257
Sanger,0,0.1,0.5,GoCo-ens (paper path),adapt_400_to_375_q0.6,0.47658839017254095,0.09981968414674038,0.29022682734774985,0.10192112558232443,183,424.0,2743.0,555,0.8454247174626321,0.1041233106596606,362.0,197
Sanger,1,0.1,0.1,GoCo-knap (paper path),adapt_450_to_425_q0.5,0.08342232786429238,0.09583398744136935,0.28481105686993524,0.09031789802089918,142,322.0,1819.0,489,0.822979659153381,0.09226538937075808,285.0,67
Sanger,1,0.1,0.1,GoCo-knapEB (paper path),adapt_450_to_425_q0.4,0.06339619006096606,0.09540697192356985,0.2842957036648224,0.08943248936136786,142,318.0,1810.0,485,0.8243093922651934,0.09133665169873938,282.0,56
Sanger,1,0.1,0.1,GoCo-learned (paper path),adapt_450_to_425_q0.75,0.025423852779702643,0.09416621575107822,0.2823418280182195,0.08774253230746355,145,327.0,1834.0,478,0.821701199563795,0.08979951724960716,288.0,101
Sanger,1,0.1,0.1,GoCo-learnedgb (paper path),adapt_450_to_425_q0.75,0.09888495402491265,0.09611613364482322,0.2850007251981919,0.09116296281606326,145,327.0,1858.0,494,0.8240043057050592,0.09322243624211425,288.0,110
Sanger,1,0.1,0.1,GoCo-ens (paper path),adapt_450_to_425_q0.75,0.07676953906985545,0.09570375866637441,0.28450896433649164,0.08978185045625701,144,326.0,1858.0,487,0.8245425188374597,0.091841323882308,287.0,104
Sanger,1,0.1,0.5,GoCo-knap (paper path),adapt_400_to_375_q0.125,0.4926682123531989,0.0999435867848975,0.2900887905221419,0.09653797411304572,159,365.0,2109.0,526,0.826932195353248,0.09881299199142221,322.0,21
Sanger,1,0.1,0.5,GoCo-knapEB (paper path),adapt_400_to_375_q0.05,0.49029392485245693,0.09992532266084517,0.29005927486237193,0.0966192385250617,159,361.0,2108.0,526,0.8287476280834914,0.0988272312406997,318.0,19
Sanger,1,0.1,0.5,GoCo-learned (paper path),adapt_400_to_375_q0.6,0.44339848619722444,0.09956457004605042,0.2890744874408998,0.09617900376824488,168,398.0,2458.0,525,0.8380797396257119,0.09851815351780424,348.0,194
Sanger,1,0.1,0.5,GoCo-learnedgb (paper path),adapt_400_to_375_q0.6,0.49187087108616556,0.09993760256731504,0.289385706378984,0.09619775633729186,167,397.0,2421.0,525,0.8360181743081372,0.09858596490118297,347.0,190
Sanger,1,0.1,0.5,GoCo-ens (paper path),adapt_400_to_375_q0.4,0.459058003124675,0.09968500507288966,0.2895706014255889,0.09624856125734421,164,385.0,2370.0,525,0.8375527426160337,0.09855283032539577,337.0,120
Sanger,2,0.1,0.1,GoCo-knap (paper path),adapt_450_to_425_q0.5,0.04750542746540996,0.09497280473259069,0.2845796674931624,0.08961922663189929,155,329.0,1786.0,490,0.8157894736842105,0.09117609411311177,301.0,58
Sanger,2,0.1,0.1,GoCo-knapEB (paper path),adapt_450_to_425_q0.5,0.04750542746540996,0.09497280473259069,0.2845796674931624,0.08961922663189929,155,329.0,1786.0,490,0.8157894736842105,0.09117609411311177,301.0,58
Sanger,2,0.1,0.1,GoCo-learned (paper path),adapt_450_to_425_q0.75,0.009357177244468613,0.09299512720840745,0.2815724190700225,0.08835018867207535,160,347.0,1816.0,486,0.808920704845815,0.09000539938186078,317.0,97
Sanger,2,0.1,0.1,GoCo-learnedgb (paper path),adapt_450_to_425_q0.75,0.035107154240155945,0.09456252533086629,0.2838356348754277,0.09040692625494313,159,346.0,1831.0,495,0.8110322228290552,0.09206213696472856,316.0,105
Sanger,2,0.1,0.1,GoCo-ens (paper path),adapt_450_to_425_q0.75,0.07372838272666551,0.0956261169183724,0.285365214988865,0.09020162577858698,160,347.0,1837.0,494,0.8111050626020686,0.0918568364883724,317.0,109
Sanger,2,0.1,0.5,GoCo-knap (paper path),adapt_425_to_400_q0.3,0.49105280772105553,0.09993086405435432,0.29131654319862565,0.09307966327079867,163,358.0,1883.0,508,0.8098778544875199,0.09488571689016742,326.0,16
Sanger,2,0.1,0.5,GoCo-knapEB (paper path),adapt_425_to_400_q0.4,0.49232847824854364,0.09994070875206924,0.29138468737926254,0.09276228273435509,161,350.0,1859.0,505,0.8117267348036579,0.09452201006193578,319.0,5
Sanger,2,0.1,0.5,GoCo-learned (paper path),adapt_425_to_400_q0.75,0.4387245850734581,0.09952556938800479,0.2907718957311473,0.09277622511512355,161,362.0,1908.0,505,0.810272536687631,0.09464671287064055,328.0,44
Sanger,2,0.1,0.5,GoCo-learnedgb (paper path),adapt_425_to_400_q0.75,0.4444247978029348,0.09956981906182713,0.2908992073854328,0.09276502690416702,161,362.0,1906.0,505,0.8100734522560336,0.09463551465968402,328.0,42
Sanger,2,0.1,0.5,GoCo-ens (paper path),adapt_425_to_400_q0.75,0.4805799932061325,0.09984995243237577,0.2912006753499711,0.09282068072881837,163,365.0,1899.0,507,0.8077935755660874,0.09469116848433538,331.0,33
Sanger,3,0.1,0.1,GoCo-knap (paper path),adapt_450_to_425_q0.75,0.09925789978701155,0.09611046340097988,0.2858917561768852,0.09700431043129885,166,387.0,2012.0,528,0.8076540755467196,0.09915926135400642,338.0,140
Sanger,3,0.1,0.1,GoCo-knapEB (paper path),adapt_450_to_425_q0.6,0.010960828309713096,0.09315927543723684,0.28210736057796953,0.09332729873705284,165,375.0,1948.0,511,0.8074948665297741,0.09538439866343111,330.0,76
Sanger,3,0.1,0.1,GoCo-learned (paper path),adapt_450_to_425_q0.75,0.003516929036060979,0.09201283689022759,0.28007216619542863,0.0925250271166292,166,387.0,1981.0,508,0.8046441191317516,0.09467997803933677,338.0,121
Sanger,3,0.1,0.1,GoCo-learnedgb (paper path),adapt_450_to_425_q0.75,0.014296052899290864,0.09346454609911163,0.2821573889333411,0.09404158447050434,166,387.0,1990.0,515,0.8055276381909547,0.09619653539321191,338.0,121
Sanger,3,0.1,0.1,GoCo-ens (paper path),adapt_450_to_425_q0.75,0.029056569841789948,0.09431915126484015,0.28334414233153854,0.09543656127116448,166,387.0,2006.0,521,0.8070787637088733,0.09759151219387203,338.0,134
Sanger,3,0.1,0.5,GoCo-knap (paper path),adapt_400_to_375_q0.3,0.480988133546202,0.09985342398752987,0.2905748926544328,0.10057612237043904,181,435.0,2421.0,548,0.8203221809169765,0.10290342197239333,376.0,70
Sanger,3,0.1,0.5,GoCo-knapEB (paper path),adapt_400_to_375_q0.3,0.4831877634848891,0.09987038716947451,0.29058842994220774,0.10058358783551052,181,435.0,2426.0,548,0.8206924979389942,0.1029108874374648,376.0,73
Sanger,3,0.1,0.5,GoCo-learned (paper path),adapt_400_to_375_q0.75,0.31270207668201944,0.09851147970322317,0.2881550795721105,0.09966240594995783,185,448.0,2672.0,543,0.8323353293413174,0.10189122449844441,388.0,244
Sanger,3,0.1,0.5,GoCo-learnedgb (paper path),adapt_400_to_375_q0.75,0.34496718772352847,0.09878266848827284,0.28838399094019257,0.09991507662036785,185,449.0,2693.0,543,0.8332714444857037,0.10217686766406056,388.0,258
Sanger,3,0.1,0.5,GoCo-ens (paper path),adapt_400_to_375_q0.6,0.3783988346041297,0.09905272639497106,0.2890842185918808,0.09994425487611756,185,444.0,2616.0,545,0.8302752293577982,0.10225100283326387,383.0,183
Sanger,4,0.1,0.1,GoCo-knap (paper path),adapt_450_to_425_q0.75,0.09075171738238852,0.0959552313066415,0.28609877591601524,0.09734334962031609,167,370.0,1968.0,532,0.8119918699186992,0.09915232073686692,330.0,137
Sanger,4,0.1,0.1,GoCo-knapEB (paper path),adapt_450_to_425_q0.75,0.08693595056076042,0.09588414749094738,0.28604714035828827,0.09644749294403286,165,367.0,1948.0,529,0.8116016427104723,0.09829379142598903,328.0,117
Sanger,4,0.1,0.1,GoCo-learned (paper path),adapt_450_to_425_q0.75,0.0036456622542704762,0.09203673600883587,0.2804829048672799,0.09269236043546128,167,369.0,1922.0,512,0.8080124869927159,0.09465064099360954,329.0,108
Sanger,4,0.1,0.1,GoCo-learnedgb (paper path),adapt_450_to_425_q0.75,0.004213032070035049,0.09217668227280836,0.2806510574284885,0.09309762891502957,167,368.0,1917.0,514,0.8080333854981743,0.09494499389294948,328.0,102
Sanger,4,0.1,0.1,GoCo-ens (paper path),adapt_450_to_425_q0.75,0.025875828758388692,0.09416391917050178,0.28355204140697854,0.09577560046018171,167,370.0,1961.0,525,0.8113207547169812,0.09758457157673253,330.0,130
Sanger,4,0.1,0.5,GoCo-knap (paper path),adapt_400_to_375_q0.225,0.4129990301496551,0.09932416956579797,0.29054352830890595,0.10159194796843599,174,413.0,2325.0,554,0.8223655913978495,0.10399344091252544,361.0,53
Sanger,4,0.1,0.5,GoCo-knapEB (paper path),adapt_400_to_375_q0.25,0.40027644007559776,0.09922447452464288,0.29012335416967716,0.1011281918638364,179,419.0,2347.0,554,0.8214742224115893,0.1035796404685846,366.0,68
Sanger,4,0.1,0.5,GoCo-learned (paper path),adapt_400_to_375_q0.75,0.47761475994559993,0.09982746479673285,0.2904506143428943,0.10097158573909944,182,443.0,2666.0,548,0.8338334583645911,0.10336169523394521,385.0,261
Sanger,4,0.1,0.5,GoCo-learnedgb (paper path),adapt_400_to_375_q0.6,0.36698098395264944,0.0989589215332598,0.2895061406618368,0.10072798028771848,180,436.0,2587.0,547,0.8314650173946656,0.10318465691064,378.0,220
Sanger,4,0.1,0.5,GoCo-ens (paper path),adapt_400_to_375_q0.5,0.3932353965575778,0.09916926096946307,0.2898250396736979,0.10183240154222038,181,432.0,2603.0,554,0.8340376488666923,0.10432462804061168,374.0,185
Sanger,5,0.1,0.1,GoCo-knap (paper path),adapt_450_to_425_q0.6,0.030286871798659822,0.09437918519718841,0.28307615089842986,0.09325927334429836,153,335.0,1977.0,510,0.8305513404147699,0.09494609528065796,299.0,90
Sanger,5,0.1,0.1,GoCo-knapEB (paper path),adapt_450_to_425_q0.6,0.07785785455037167,0.09572323474430793,0.2847179830885711,0.09340165055211955,153,337.0,1991.0,511,0.8307383224510296,0.09508847248847914,301.0,107
