dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Wainberg,0,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.3,0.09907626048051904,0.09621726237005532,0.28616695919680285,0.0895179842923854,209,389.0,1881.0,550,0.7931951089845827,0.09129699825636693,365.0,115
Wainberg,0,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.35,0.16053273926324368,0.09707225632589553,0.2872356306463306,0.0904652395106006,213,394.0,1924.0,556,0.7952182952182952,0.09245531299336644,369.0,135
Wainberg,1,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.35,0.07190089580653064,0.09572762762700202,0.28452657225839767,0.09746238248365345,197,353.0,1924.0,580,0.8165280665280665,0.09933721079460021,329.0,169
Wainberg,1,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.35,0.07190089580653064,0.09572762762700202,0.28452657225839767,0.09746238248365345,197,353.0,1924.0,580,0.8165280665280665,0.09933721079460021,329.0,169
Wainberg,2,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.35,0.02062243169664311,0.0940715746765991,0.28276068290430684,0.09415803713831734,195,371.0,1862.0,566,0.8007518796992481,0.09669251017250458,336.0,110
Wainberg,2,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,0.23032607627871976,0.09782058809538663,0.28757541748896914,0.09729039311446737,196,373.0,1988.0,578,0.812374245472837,0.09978265424741377,338.0,171
Wainberg,3,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,1.5070140256593083e-05,0.08823589138923296,0.2744783715976631,0.09781576258100101,206,360.0,1863.0,587,0.8067632850241546,0.0998009859779657,336.0,126
Wainberg,3,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,1.5070140256593083e-05,0.08823589138923296,0.2744783715976631,0.09781576258100101,206,360.0,1863.0,587,0.8067632850241546,0.0998009859779657,336.0,126
Wainberg,4,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,0.06521808380741843,0.09557200512284025,0.2850233472983472,0.10202680347639079,230,456.0,2165.0,622,0.7893764434180138,0.10443045310566022,420.0,168
Wainberg,4,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,0.06521808380741843,0.09557200512284025,0.2850233472983472,0.10202680347639079,230,456.0,2165.0,622,0.7893764434180138,0.10443045310566022,420.0,168
Wainberg,5,0.1,0.1,GoCo-dense-learned (tie-level path),global_797.626,0.0976014911269395,0.09618055212044245,0.2870465075165007,0.0889565553020807,182,310.0,1512.0,544,0.794973544973545,0.09150493908288258,284.0,0
Wainberg,5,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.3,0.3177942626856808,0.09859204201101061,0.289241541869483,0.092324311431826,192,336.0,1782.0,556,0.8114478114478114,0.09484036624708372,304.0,118
Wainberg,6,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,0.06302907098234709,0.0955340954618287,0.28418485689345374,0.09323966221348451,180,312.0,1880.0,550,0.8340425531914893,0.09593989158189967,280.0,121
Wainberg,6,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,0.06302907098234709,0.0955340954618287,0.28418485689345374,0.09323966221348451,180,312.0,1880.0,550,0.8340425531914893,0.09593989158189967,280.0,121
Wainberg,7,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.35,0.02250966053352069,0.0941827940679218,0.2825201804595149,0.09749884585625464,201,353.0,1923.0,586,0.8164326573062922,0.09984973060425549,319.0,144
Wainberg,7,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,0.4312208246794592,0.09948403526707215,0.289894437600537,0.1046524844032116,203,355.0,2034.0,620,0.8254670599803343,0.10696819256055501,321.0,185
Wainberg,8,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.35,0.05383214012769236,0.0952976628465027,0.28454589837126365,0.10332039388902281,213,413.0,2193.0,612,0.8116735066119471,0.10559021260112889,374.0,167
Wainberg,8,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,0.30673372077534045,0.098501325518418,0.28882812448768175,0.10824511599608642,216,419.0,2267.0,638,0.8151742390824879,0.11047975812382516,380.0,194
Wainberg,9,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.35,0.003125229620997297,0.0921388164491257,0.2798788826305651,0.10097322974050534,204,363.0,2104.0,590,0.8274714828897338,0.10295401417653034,331.0,146
Wainberg,9,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,0.3788333682038406,0.09908210940661405,0.28960504952837046,0.10451375316307987,206,365.0,2166.0,608,0.8314866112650047,0.10670559711788917,332.0,172
Wainberg,10,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.175,0.09715968222573607,0.09618580021837586,0.2860851866093706,0.08793540190120647,182,335.0,1673.0,537,0.7997609085475195,0.08999264592508467,313.0,55
Wainberg,10,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.35,0.24312367444280913,0.0979442055924502,0.28742535515308343,0.0893467139718451,190,356.0,1829.0,541,0.8053581191908147,0.09150948776140551,332.0,132
Wainberg,11,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,0.03227013943526969,0.09462088668026904,0.2832978737765757,0.094465840307531,181,329.0,1862.0,557,0.8233082706766918,0.0963515565805719,303.0,119
Wainberg,11,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.5,0.4811992845759803,0.09985953761710639,0.2900482923282998,0.09836374110954631,183,333.0,1940.0,574,0.8283505154639176,0.10037257543730806,305.0,157
Wainberg,12,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.35,0.04267705215691641,0.09498601857998508,0.2837140680870011,0.1019104120599514,195,358.0,2074.0,592,0.8273866923818708,0.10385065961986113,326.0,164
Wainberg,12,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,0.2982264773646481,0.09843120165542672,0.28842298638691677,0.10615270839254783,195,358.0,2138.0,612,0.8325537885874649,0.10809295595245756,326.0,185
Wainberg,13,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,0.008259158375195568,0.0930926992229813,0.28049759746854225,0.09958878133419245,185,354.0,1918.0,580,0.8154327424400417,0.10183876249333784,323.0,127
Wainberg,13,0.1,0.5,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.5,0.25108087572258464,0.09802024619286481,0.2871867448737177,0.10733220907719944,189,361.0,2101.0,618,0.8281770585435507,0.1096682694075026,328.0,191
Wainberg,14,0.1,0.1,GoCo-dense-learned (tie-level path),adapt_797.626_to_789.65_q0.4,0.052899128479848644,0.09528239179389618,0.28395381150777055,0.09901920151250078,195,344.0,1996.0,588,0.8276553106212425,0.10097719731148208,315.0,144
