dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Wainberg,0,0.05,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_1100_to_1050_q0.35,0.001890544603643765,0.04405873054452771,0.19972646623788123,0.040470997808023865,135,224.0,683.0,298,0.6720351390922401,0.041684590034743514,215.0,112
Wainberg,0,0.05,0.1,GoCo-dense-learned (tie-level path),adapt_1076.8_to_1052.87_q0.35,0.0037112903251939715,0.04448080504067628,0.20068723310701334,0.04089311684559246,135,224.0,686.0,300,0.673469387755102,0.04210670907231211,215.0,110
Wainberg,0,0.05,0.5,"GoCoGrid-learned (grid path, all blocks)",adapt_1100_to_1050_q0.4,0.18124423311564558,0.04805085182479254,0.2083706902778701,0.04462183501497509,137,228.0,723.0,319,0.6846473029045643,0.04590578041671952,218.0,133
Wainberg,0,0.05,0.5,GoCo-dense-learned (tie-level path),adapt_1076.8_to_1052.87_q0.35,0.0037112903251939715,0.04448080504067628,0.20068723310701334,0.04089311684559246,135,224.0,686.0,300,0.673469387755102,0.04210670907231211,215.0,110
Wainberg,0,0.2,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_650_to_625_q0.4,2.5918472208056436e-06,0.18239878124642048,0.3759922470370911,0.18935821142162437,299,585.0,4637.0,1043,0.8738408453741643,0.19252750353628997,516.0,247
Wainberg,0,0.2,0.1,GoCo-dense-learned (tie-level path),adapt_638.101_to_631.72_q0.4,1.3997833176605706e-05,0.18377052335890334,0.37714668510946525,0.19083562805311446,299,585.0,4650.0,1050,0.8741935483870967,0.19400492016778006,516.0,227
Wainberg,0,0.2,0.5,"GoCoGrid-learned (grid path, all blocks)",adapt_650_to_625_q0.5,0.1058303304959079,0.1950434296945863,0.38632256636890866,0.20441379043662433,301,588.0,4784.0,1115,0.8770903010033445,0.20765343572002465,518.0,321
Wainberg,0,0.2,0.5,GoCo-dense-learned (tie-level path),adapt_638.101_to_631.72_q0.5,0.1324545546565114,0.195571022814772,0.38673845542983765,0.20483590947419292,301,588.0,4786.0,1117,0.8771416631842875,0.20807555475759326,518.0,296
Wainberg,1,0.05,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_1100_to_1050_q0.3,0.004478351552037301,0.04462686003078398,0.20012782143295846,0.04173558085854922,129,207.0,669.0,300,0.6905829596412556,0.04293862011310369,195.0,102
Wainberg,1,0.05,0.1,GoCo-dense-learned (tie-level path),adapt_1076.8_to_1052.87_q0.3,0.02763087152418078,0.04599860214326683,0.20322050157663127,0.043212997490039304,131,209.0,683.0,309,0.6939970717423133,0.04441603674459377,197.0,104
