dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Wainberg,0,0.1,0.1,"GoCoGrid-oracle (grid path, all blocks)",adapt_800_to_775_q0.35,0.04461697957121839,0.09502649307250977,0.28489782891310345,0.08817708631289463,226,408.0,1934.0,564,0.7890382626680456,0.0906713575363763,382.0,145
Wainberg,0,0.1,0.1,"GoCoGrid-knapk0.5 (grid path, all blocks)",adapt_800_to_775_q0.1,0.07140856178684052,0.09568831757681145,0.2864387604708732,0.0891559196737508,204,373.0,1741.0,556,0.7857553130384837,0.09111390258439134,351.0,25
Wainberg,0,0.1,0.1,"GoCoGrid-knapk2 (grid path, all blocks)",adapt_800_to_775_q0.05,0.057032325417604265,0.09535308657639563,0.2862808253617115,0.08908953513901362,202,365.0,1704.0,555,0.7857981220657277,0.090941988290262,344.0,13
Wainberg,0,0.1,0.1,"GoCoGrid-knapk4 (grid path, all blocks)",adapt_800_to_775_q0.05,0.09793407226411122,0.09618249646647137,0.28732774058347604,0.08935290856507822,201,366.0,1733.0,555,0.7888055395268321,0.0909943021975423,346.0,17
Wainberg,0,0.1,0.5,"GoCoGrid-oracle (grid path, all blocks)",adapt_800_to_775_q0.4,0.22499839505108987,0.09776897236769293,0.28750916519567765,0.09172405879952425,230,413.0,1981.0,573,0.7915194346289752,0.09410107472920126,385.0,171
Wainberg,0,0.1,0.5,"GoCoGrid-knapk0.5 (grid path, all blocks)",adapt_800_to_775_q0.125,0.3477988778650573,0.09883238464417785,0.2905084803485534,0.09116116022386848,211,384.0,1844.0,566,0.7917570498915402,0.09317818953612023,360.0,53
Wainberg,0,0.1,0.5,"GoCoGrid-knapk2 (grid path, all blocks)",adapt_800_to_775_q0.1,0.311169663646584,0.09853156296430389,0.290236049321418,0.09122606179428885,208,374.0,1839.0,565,0.7966286025013595,0.09305213250568921,353.0,45
Wainberg,0,0.1,0.5,"GoCoGrid-knapk4 (grid path, all blocks)",adapt_800_to_775_q0.1,0.34879738368191016,0.09883932561984203,0.29078857127527263,0.09138787409495884,207,372.0,1840.0,566,0.7978260869565217,0.0932139448063592,351.0,44
Wainberg,1,0.1,0.1,"GoCoGrid-oracle (grid path, all blocks)",adapt_800_to_775_q0.4,0.01984771416406438,0.09403575437002523,0.2822778926666952,0.09386482271855268,209,365.0,1908.0,582,0.8087002096436059,0.09627785279862536,340.0,171
Wainberg,1,0.1,0.1,"GoCoGrid-knapk0.5 (grid path, all blocks)",adapt_800_to_775_q0.1,0.021961088112103837,0.09413216548751802,0.28351386065760786,0.09345889417946011,190,327.0,1598.0,572,0.795369211514393,0.09550820131903713,304.0,9
