dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Wainberg,0,0.05,0.1,GoCo-knap (paper path),global_1100,3.647474257638787e-11,0.037550770424772596,0.18603694611403468,0.034233267710348785,124,201.0,476.0,270,0.5777310924369747,0.035464448238687205,193.0,0
Wainberg,0,0.05,0.1,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.275,0.0667635555112485,0.04682243918302103,0.20617712115382753,0.04332005004872245,134,219.0,674.0,316,0.6750741839762612,0.044603995450466886,210.0,73
Wainberg,0,0.05,0.5,GoCo-knap (paper path),global_1100,3.647474257638787e-11,0.037550770424772596,0.18603694611403468,0.034233267710348785,124,201.0,476.0,270,0.5777310924369747,0.035464448238687205,193.0,0
Wainberg,0,0.05,0.5,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.4,0.3612501566218135,0.04922914313335415,0.21131730556007575,0.0458316583235136,134,220.0,702.0,328,0.6866096866096866,0.04711560372525803,211.0,87
Wainberg,0,0.2,0.1,GoCo-knap (paper path),global_789.65,1.142583358617532e-64,0.1408627784219462,0.33984864308706697,0.13689079581936384,230,412.0,2357.0,787,0.8252015273652948,0.13926781174904085,384.0,0
Wainberg,0,0.2,0.1,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.25,0.042622624047691515,0.19319250162070192,0.38506528080137664,0.20025262675012603,298,584.0,4679.0,1096,0.8751870057704638,0.20350858678592312,515.0,196
Wainberg,0,0.2,0.5,GoCo-knap (paper path),global_789.65,1.142583358617532e-64,0.1408627784219462,0.33984864308706697,0.13689079581936384,230,412.0,2357.0,787,0.8252015273652948,0.13926781174904085,384.0,0
Wainberg,0,0.2,0.5,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.35,0.23325313089195415,0.1970966907100762,0.3881439124366358,0.2029436356146258,299,585.0,4716.0,1109,0.8759541984732825,0.20619959565042292,516.0,213
Wainberg,1,0.05,0.1,GoCo-knap (paper path),global_1100,5.0756935680732843e-11,0.0376463233984333,0.18603072713217964,0.034249683459155314,122,179.0,479.0,267,0.6263048016701461,0.03541051080617889,170.0,0
Wainberg,1,0.05,0.1,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.275,0.08403247956627835,0.04707300785165982,0.20671241267798038,0.04394467048891087,132,202.0,669.0,317,0.6980568011958147,0.04514770974346534,191.0,67
Wainberg,1,0.05,0.5,GoCo-knap (paper path),global_1100,5.0756935680732843e-11,0.0376463233984333,0.18603072713217964,0.034249683459155314,122,179.0,479.0,267,0.6263048016701461,0.03541051080617889,170.0,0
Wainberg,1,0.05,0.5,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.35,0.24560159189917968,0.04851685436079871,0.20973970002172104,0.04568591151888132,132,202.0,688.0,325,0.7063953488372093,0.046888950773435786,191.0,76
Wainberg,1,0.2,0.1,GoCo-knap (paper path),global_789.65,2.0503990312987532e-70,0.13872875381090904,0.33696759670624343,0.14146829214388934,208,364.0,2319.0,798,0.8430357912893489,0.14358935655798777,338.0,0
Wainberg,1,0.2,0.1,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.2,0.08950764504606379,0.1946824959867348,0.38522179325855116,0.19123434188585836,277,514.0,4502.0,1051,0.8858285206574855,0.19445652046086367,456.0,169
Wainberg,1,0.2,0.5,GoCo-knap (paper path),global_789.65,2.0503990312987532e-70,0.13872875381090904,0.33696759670624343,0.14146829214388934,208,364.0,2319.0,798,0.8430357912893489,0.14358935655798777,338.0,0
Wainberg,1,0.2,0.5,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.35,0.49585305231304894,0.19995842718859194,0.38933058566767015,0.19752500434561387,277,514.0,4597.0,1080,0.888187948662171,0.2007419064376816,456.0,213
Wainberg,2,0.05,0.1,GoCo-knap (paper path),global_1100,7.698215790758624e-16,0.035223079811700274,0.18040900822192588,0.037183075759570874,115,192.0,512.0,272,0.625,0.03910254482958275,176.0,0
Wainberg,2,0.05,0.1,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.225,0.0601251088551238,0.04671164081043064,0.20603488497549236,0.047179089112969176,126,218.0,723.0,324,0.6984785615491009,0.04916304858450952,198.0,77
Wainberg,2,0.05,0.5,GoCo-knap (paper path),global_1100,7.698215790758624e-16,0.035223079811700274,0.18040900822192588,0.037183075759570874,115,192.0,512.0,272,0.625,0.03910254482958275,176.0,0
Wainberg,2,0.05,0.5,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.3,0.3395175450845459,0.04910339629070233,0.21094356067110448,0.0503907114638463,128,221.0,753.0,340,0.7065073041168659,0.052269141175994495,201.0,105
Wainberg,2,0.2,0.1,GoCo-knap (paper path),global_789.65,2.289605461590764e-73,0.13760286800573557,0.3359705244042312,0.14310789699227863,208,386.0,2389.0,803,0.8384261197153621,0.14637404301904736,346.0,0
Wainberg,2,0.2,0.1,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.4,0.08693344124623242,0.19461807740052894,0.38527539441210845,0.20421266563648713,269,538.0,4635.0,1105,0.8839266450916936,0.20846663648164337,462.0,202
Wainberg,2,0.2,0.5,GoCo-knap (paper path),global_789.65,2.289605461590764e-73,0.13760286800573557,0.3359705244042312,0.14310789699227863,208,386.0,2389.0,803,0.8384261197153621,0.14637404301904736,346.0,0
Wainberg,2,0.2,0.5,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.4,0.08693344124623242,0.19461807740052894,0.38527539441210845,0.20421266563648713,269,538.0,4635.0,1105,0.8839266450916936,0.20846663648164337,462.0,202
Wainberg,3,0.05,0.1,GoCo-knap (paper path),global_1100,9.904981200591426e-18,0.03446510436823691,0.17802680435982998,0.037128803311973345,119,180.0,471.0,278,0.6178343949044586,0.03853821187406313,168.0,0
Wainberg,3,0.05,0.1,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.3,0.0207690388332274,0.04573530043946347,0.2037015990927769,0.05074507367917887,125,201.0,710.0,341,0.7169014084507043,0.0519287658044687,188.0,88
Wainberg,3,0.05,0.5,GoCo-knap (paper path),global_1100,9.904981200591426e-18,0.03446510436823691,0.17802680435982998,0.037128803311973345,119,180.0,471.0,278,0.6178343949044586,0.03853821187406313,168.0,0
Wainberg,3,0.05,0.5,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.3,0.0207690388332274,0.04573530043946347,0.2037015990927769,0.05074507367917887,125,201.0,710.0,341,0.7169014084507043,0.0519287658044687,188.0,88
Wainberg,3,0.2,0.1,GoCo-knap (paper path),global_789.65,1.4047808695656408e-75,0.13676301187807036,0.3353229700584761,0.13827515952996736,220,380.0,2308.0,783,0.8353552859618717,0.14058961902629882,350.0,0
Wainberg,3,0.2,0.1,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.2,0.09976538106191579,0.19491763223798714,0.3856667947120498,0.1931200211230035,291,553.0,4507.0,1065,0.8773019747060129,0.1965556894773016,486.0,187
Wainberg,3,0.2,0.5,GoCo-knap (paper path),global_789.65,1.4047808695656408e-75,0.13676301187807036,0.3353229700584761,0.13827515952996736,220,380.0,2308.0,783,0.8353552859618717,0.14058961902629882,350.0,0
Wainberg,3,0.2,0.5,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.3,0.3948935603751192,0.19893525384694347,0.3888145037193132,0.19714774026894377,291,553.0,4571.0,1084,0.8790199081163859,0.20057461448501263,486.0,211
Wainberg,4,0.05,0.1,GoCo-knap (paper path),global_1100,8.331197419662687e-16,0.03527931454873002,0.17994285129701254,0.037703772976132775,129,228.0,573.0,292,0.6020942408376964,0.03929023702859677,213.0,0
Wainberg,4,0.05,0.1,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.35,0.011917343544576239,0.045295909771980135,0.2026488942310772,0.049277920676918156,137,253.0,807.0,349,0.6864931846344485,0.0509171495964981,237.0,80
Wainberg,4,0.05,0.5,GoCo-knap (paper path),global_1100,8.331197419662687e-16,0.03527931454873002,0.17994285129701254,0.037703772976132775,129,228.0,573.0,292,0.6020942408376964,0.03929023702859677,213.0,0
Wainberg,4,0.05,0.5,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.35,0.011917343544576239,0.045295909771980135,0.2026488942310772,0.049277920676918156,137,253.0,807.0,349,0.6864931846344485,0.0509171495964981,237.0,80
Wainberg,4,0.2,0.1,GoCo-knap (paper path),global_789.65,6.653986510207559e-76,0.13659394374342299,0.3354786981430278,0.1456709805956215,247,476.0,2569.0,840,0.8147138964577657,0.1484967492498794,436.0,0
Wainberg,4,0.2,0.1,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.3,0.047956641180840566,0.19341565806792482,0.38497654186734265,0.2019841650956137,308,641.0,4879.0,1109,0.868620618979299,0.20549811049824074,562.0,187
Wainberg,4,0.2,0.5,GoCo-knap (paper path),global_789.65,6.653986510207559e-76,0.13659394374342299,0.3354786981430278,0.1456709805956215,247,476.0,2569.0,840,0.8147138964577657,0.1484967492498794,436.0,0
Wainberg,4,0.2,0.5,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.4,0.29537720433927916,0.19785413987226247,0.3884740304575527,0.20551941203525068,309,642.0,4931.0,1126,0.8698032853376597,0.20903335743787774,563.0,208
Wainberg,5,0.05,0.1,GoCo-knap (paper path),global_1100,1.0313247767859731e-08,0.03909180293301307,0.1894017459892859,0.03178053833276927,110,167.0,433.0,248,0.6143187066974596,0.03362730912213187,156.0,0
Wainberg,5,0.05,0.1,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.175,0.001043311144512524,0.04369885569806465,0.19931507924308353,0.03817660113385379,118,182.0,562.0,282,0.6761565836298933,0.040164078273265964,169.0,34
Wainberg,5,0.05,0.5,GoCo-knap (paper path),global_1100,1.0313247767859731e-08,0.03909180293301307,0.1894017459892859,0.03178053833276927,110,167.0,433.0,248,0.6143187066974596,0.03362730912213187,156.0,0
Wainberg,5,0.05,0.5,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.3,0.45522747988909557,0.049754745405258934,0.21229334251880913,0.04361615772801343,123,188.0,657.0,307,0.7138508371385084,0.04551569339707211,174.0,78
Wainberg,5,0.2,0.1,GoCo-knap (paper path),global_789.65,7.9474747830010495e-59,0.1433022852888386,0.3422054586080597,0.1377676034298261,204,353.0,2296.0,774,0.8462543554006968,0.14047009415795603,318.0,0
Wainberg,5,0.2,0.1,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.225,0.0005652936096319746,0.18730277430757108,0.37964846970633365,0.17959373378273102,269,518.0,4318.0,991,0.8800370541917555,0.18336882771835292,451.0,87
Wainberg,5,0.2,0.5,GoCo-knap (paper path),global_789.65,7.9474747830010495e-59,0.1433022852888386,0.3422054586080597,0.1377676034298261,204,353.0,2296.0,774,0.8462543554006968,0.14047009415795603,318.0,0
Wainberg,5,0.2,0.5,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.3,0.48482128185907464,0.19984777615463306,0.3893931224304535,0.1943866329581338,271,523.0,4521.0,1059,0.8843176288431763,0.19817683004147899,454.0,186
Wainberg,6,0.05,0.1,GoCo-knap (paper path),global_1100,6.8867125973079764e-15,0.03571256899602229,0.1806702698891931,0.03483562487534905,103,156.0,441.0,256,0.6462585034013606,0.036105499643346535,145.0,0
Wainberg,6,0.05,0.1,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.4,0.0280923200729842,0.046001754003800306,0.2038273122301283,0.04799694472624311,114,177.0,700.0,322,0.7471428571428571,0.04930903139548143,165.0,93
Wainberg,6,0.05,0.5,GoCo-knap (paper path),global_1100,6.8867125973079764e-15,0.03571256899602229,0.1806702698891931,0.03483562487534905,103,156.0,441.0,256,0.6462585034013606,0.036105499643346535,145.0,0
Wainberg,6,0.05,0.5,GoCo-dense-knap (tie-level path),adapt_1076.8_to_1052.87_q0.4,0.0280923200729842,0.046001754003800306,0.2038273122301283,0.04799694472624311,114,177.0,700.0,322,0.7471428571428571,0.04930903139548143,165.0,93
Wainberg,6,0.2,0.1,GoCo-knap (paper path),global_789.65,3.545257445211596e-67,0.1400113099468802,0.3380282787286454,0.13805575261215663,193,326.0,2321.0,769,0.8595433003015941,0.14094945321031743,290.0,0
Wainberg,6,0.2,0.1,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.3,0.07739986107991009,0.1943775469760949,0.384700981138552,0.1918079444235163,255,470.0,4445.0,1040,0.8942632170978627,0.1954876293879161,405.0,166
Wainberg,6,0.2,0.5,GoCo-knap (paper path),global_789.65,3.545257445211596e-67,0.1400113099468802,0.3380282787286454,0.13805575261215663,193,326.0,2321.0,769,0.8595433003015941,0.14094945321031743,290.0,0
Wainberg,6,0.2,0.5,GoCo-dense-knap (tie-level path),adapt_638.101_to_631.72_q0.4,0.2713955740670342,0.19757958530587236,0.38716397009414927,0.19606726326649077,255,470.0,4500.0,1060,0.8955555555555555,0.1997439963542595,405.0,191
Wainberg,7,0.05,0.1,GoCo-knap (paper path),global_1100,1.1675835233490472e-16,0.034883745317344894,0.17938298625327026,0.03716833508306538,123,180.0,484.0,279,0.628099173553719,0.038719622551162014,167.0,0
