dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Wainberg,0,0.1,0.1,GoDag (global grid),global_800,0.016297033820372998,0.09421516600901911,0.28462666771789374,0.08802075318303376,201,359.0,1623.0,550,0.7788046826863833,0.08990252015773331,340.0,0
Wainberg,0,0.1,0.1,GoCo-source (paper path),adapt_800_to_789.65_q0.1,0.08975186105303212,0.0960411844890845,0.28711513287387386,0.0897549589024208,201,360.0,1713.0,557,0.7898423817863398,0.09144911741458096,341.0,15
Wainberg,0,0.1,0.1,GoCo-random1 (paper path),adapt_800_to_789.65_q0.03,0.09112630495226004,0.09606505156906141,0.28718852575069487,0.09034240788966102,201,359.0,1653.0,561,0.7828191167574108,0.09222417486436058,340.0,14
Wainberg,0,0.1,0.1,GoCo-knap (paper path),adapt_800_to_789.65_q0.075,0.053144775680885596,0.09525636116893178,0.285922460528955,0.08913878235712792,204,368.0,1714.0,556,0.7852975495915986,0.0909912355083763,347.0,17
Wainberg,0,0.1,0.1,GoCo-exp1 (paper path),adapt_800_to_789.65_q0.05,0.08713907552113703,0.09599373536788802,0.2870703099795052,0.08972271369536651,201,364.0,1714.0,557,0.7876312718786465,0.0913641073278306,344.0,14
Wainberg,0,0.1,0.1,GoCo-dense-knap (tie-level path),adapt_797.626_to_789.65_q0.075,0.05724297933129916,0.09536187979296892,0.28607177121216676,0.08913878235712792,204,368.0,1715.0,556,0.7854227405247813,0.0909912355083763,347.0,17
Wainberg,0,0.1,0.5,GoDag (global grid),global_800,0.016297033820372998,0.09421516600901911,0.28462666771789374,0.08802075318303376,201,359.0,1623.0,550,0.7788046826863833,0.08990252015773331,340.0,0
Wainberg,0,0.1,0.5,GoCo-source (paper path),adapt_800_to_789.65_q0.25,0.4002341506244228,0.09924406491450347,0.29116831078185706,0.09183545427301756,210,376.0,1872.0,568,0.7991452991452992,0.09373187815315263,354.0,58
Wainberg,0,0.1,0.5,GoCo-random1 (paper path),adapt_800_to_789.65_q0.125,0.2910986104246544,0.09835920231769618,0.2903268302838442,0.09433495045752402,204,363.0,1706.0,581,0.787221570926143,0.09653330671040003,342.0,44
Wainberg,0,0.1,0.5,GoCo-knap (paper path),adapt_800_to_789.65_q0.1,0.19893238215178488,0.09749249762622468,0.2887311115860122,0.09052253005662111,208,376.0,1808.0,563,0.7920353982300885,0.09248051296726165,354.0,41
Wainberg,0,0.1,0.5,GoCo-exp1 (paper path),adapt_800_to_789.65_q0.15,0.4474809112901302,0.09960433564411131,0.2917393315829099,0.09213244517791015,208,373.0,1869.0,569,0.8004280363830926,0.09381780953926092,352.0,51
Wainberg,0,0.1,0.5,GoCo-dense-knap (tie-level path),adapt_797.626_to_789.65_q0.1,0.2091277591018476,0.09759801625026182,0.2888781537935059,0.09052253005662111,208,376.0,1809.0,563,0.7921503593145384,0.09248051296726165,354.0,41
Wainberg,1,0.1,0.1,GoDag (global grid),global_800,0.0019296733408884614,0.09227015811332681,0.2812915473456097,0.09255937861460278,190,326.0,1566.0,569,0.7918263090676884,0.09486497231000784,303.0,0
