dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Wainberg,0,0.1,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.3,0.09020255167824631,0.09606601901480552,0.28590525470305755,0.08946521941268933,209,389.0,1874.0,550,0.7924226254002135,0.09124423337667086,365.0,113
Wainberg,0,0.1,0.1,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.25,0.08018521648832588,0.09587367591418156,0.2861443978962229,0.08880833854349215,205,379.0,1771.0,552,0.7859966120835686,0.09054688654553794,357.0,62
Wainberg,0,0.1,0.5,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.4,0.3532683927752637,0.09888043519790708,0.2894720347666841,0.09241000222299309,214,396.0,1974.0,564,0.7993920972644377,0.09440007570575892,371.0,158
Wainberg,0,0.1,0.5,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.3,0.47181528104999926,0.09978829125343175,0.29148005292647167,0.09258819805161769,209,384.0,1816.0,572,0.788546255506608,0.09453780557244777,361.0,90
Wainberg,1,0.1,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.35,0.07190089580653064,0.09572762762700202,0.28452657225839767,0.09716689916238748,198,355.0,1926.0,579,0.8156801661474559,0.09904172747333426,331.0,172
Wainberg,1,0.1,0.1,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.3,0.024581764284232813,0.09427979055167478,0.28307747452256715,0.09458267638745213,192,337.0,1785.0,570,0.8112044817927171,0.09674896783859431,313.0,93
Wainberg,1,0.1,0.5,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.35,0.07190089580653064,0.09572762762700202,0.28452657225839767,0.09716689916238748,198,355.0,1926.0,579,0.8156801661474559,0.09904172747333426,331.0,172
Wainberg,1,0.1,0.5,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.3,0.024581764284232813,0.09427979055167478,0.28307747452256715,0.09458267638745213,192,337.0,1785.0,570,0.8112044817927171,0.09674896783859431,313.0,93
Wainberg,2,0.1,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.35,0.019005202805404946,0.09397660791748144,0.2826261674909009,0.09405250737892519,196,372.0,1863.0,566,0.8003220611916264,0.09658698041311242,337.0,111
Wainberg,2,0.1,0.1,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.35,0.013555577327617698,0.09359330732139137,0.28222405322175126,0.09393818346872367,197,373.0,1850.0,566,0.7983783783783783,0.09647265650291088,338.0,107
