dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Wainberg,0,0.1,0.1,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.1,0.0933502992393469,0.09610687478255707,0.28703007533383706,0.08935994388195169,205,372.0,1751.0,557,0.7875499714448886,0.09131792679259222,350.0,26
Wainberg,0,0.1,0.1,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.1,0.07055505898678445,0.09567032002444835,0.28640521108175926,0.08912074308309338,204,374.0,1742.0,556,0.7853042479908151,0.09107872599373391,352.0,26
Wainberg,0,0.1,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.3,0.0825946343912411,0.09592327575706487,0.28596374038829514,0.08987259778004249,209,390.0,1894.0,553,0.7940865892291447,0.09190077923077881,366.0,118
Wainberg,0,0.1,0.1,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.275,0.06181552337450405,0.09548593684441306,0.2854066760365741,0.08907157666084886,209,389.0,1856.0,550,0.7904094827586207,0.09099422835219304,366.0,103
Wainberg,0,0.1,0.1,"GoCoGrid-ens (grid path, all blocks)",adapt_800_to_775_q0.2,0.06623179530970051,0.09558243766133011,0.2858499912912304,0.08927577893761152,209,387.0,1870.0,555,0.793048128342246,0.09121659231392228,364.0,67
Wainberg,0,0.1,0.5,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.125,0.4720640356727884,0.09978992429066524,0.29181142026616413,0.09202801182067258,211,384.0,1869.0,570,0.7945425361155698,0.09404504113292432,360.0,59
Wainberg,0,0.1,0.5,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.125,0.20203946357644353,0.09752478129934558,0.28879938228698077,0.09052253005662111,209,379.0,1818.0,563,0.7915291529152916,0.09245413052741361,357.0,45
Wainberg,0,0.1,0.5,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.4,0.4142418408582621,0.09935438968976289,0.2901040566454762,0.09408089007793875,214,395.0,1984.0,571,0.8009072580645161,0.09610614014507196,370.0,156
Wainberg,0,0.1,0.5,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.35,0.41046940741976334,0.09932492288171307,0.29035681168852956,0.09397988302225098,213,394.0,1975.0,572,0.800506329113924,0.09586442673933461,369.0,142
Wainberg,0,0.1,0.5,"GoCoGrid-ens (grid path, all blocks)",adapt_800_to_775_q0.275,0.43952849397210225,0.09954535479933398,0.29086667527128734,0.0924788993929146,213,391.0,1965.0,570,0.8010178117048347,0.09448772082604552,367.0,105
Wainberg,1,0.1,0.1,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.1,0.05995046235979609,0.09544046320098984,0.28541239318063183,0.09538908374490694,192,331.0,1707.0,579,0.8060925600468658,0.09730471984501779,307.0,30
Wainberg,1,0.1,0.1,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.1,0.05286128940318238,0.09526108154138457,0.285174608894259,0.09500917660857917,192,331.0,1710.0,578,0.8064327485380117,0.09709366032623348,307.0,28
Wainberg,1,0.1,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.35,0.08154021394923494,0.09591984802614703,0.2847765654134487,0.09709403336161347,197,353.0,1928.0,579,0.816908713692946,0.09917288587447107,328.0,166
Wainberg,1,0.1,0.1,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.275,0.025767306092184614,0.09434735495272827,0.28263176854727307,0.09455287526017657,199,349.0,1860.0,573,0.8123655913978495,0.09661790839588658,325.0,127
Wainberg,1,0.1,0.1,"GoCoGrid-ens (grid path, all blocks)",adapt_800_to_775_q0.175,0.04961618545760346,0.09518309745187181,0.28444057920158855,0.09479366738228115,196,346.0,1831.0,575,0.8110322228290552,0.09676020607547249,321.0,80
Wainberg,1,0.1,0.5,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.125,0.24991093241539192,0.09799820496268799,0.28880136656258376,0.09688526122139295,192,332.0,1758.0,586,0.8111490329920364,0.0988008973215038,308.0,44
Wainberg,1,0.1,0.5,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.125,0.23426689459657668,0.09785068444801531,0.2886539139934355,0.09688526122139295,192,331.0,1775.0,586,0.8135211267605634,0.0988008973215038,307.0,44
Wainberg,1,0.1,0.5,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.4,0.24896940819471325,0.0979985649262826,0.28748560825022196,0.09836039047746428,198,354.0,1943.0,585,0.817807514153371,0.10048145489156271,328.0,175
Wainberg,1,0.1,0.5,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.35,0.3820652787991186,0.09910865740627883,0.289181440713105,0.09708307687556407,201,352.0,1925.0,584,0.8171428571428572,0.09903202727342668,327.0,152
Wainberg,1,0.1,0.5,"GoCoGrid-ens (grid path, all blocks)",adapt_800_to_775_q0.25,0.49126029270979615,0.09993457976267586,0.29068725532211376,0.09940161746594411,196,348.0,1961.0,594,0.8225395206527282,0.10136815615913546,323.0,132
Wainberg,2,0.1,0.1,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.2,0.08975612337751315,0.09604881194648052,0.28656756262171096,0.09648238999612627,195,360.0,1831.0,581,0.803386127799017,0.0989502787797599,326.0,42
Wainberg,2,0.1,0.1,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.175,0.06073348475967913,0.09545380414912781,0.28577983139708574,0.09616580071794982,196,361.0,1819.0,580,0.8015393073117097,0.09863368950158345,327.0,41
Wainberg,2,0.1,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.35,0.09354163292753226,0.09613279258197302,0.285366872838439,0.09575141745247183,197,376.0,1970.0,572,0.8091370558375635,0.09827885517607564,341.0,153
Wainberg,2,0.1,0.1,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.35,0.02334855689172143,0.09422051875767633,0.282866441029824,0.09451948316062539,199,378.0,1928.0,569,0.803941908713693,0.09705772511299374,343.0,126
Wainberg,2,0.1,0.1,"GoCoGrid-ens (grid path, all blocks)",adapt_800_to_775_q0.25,0.03053320545183414,0.09453647337886141,0.28396669813989805,0.09505631442548555,197,371.0,1920.0,573,0.8067708333333333,0.09752420320911918,337.0,84
Wainberg,2,0.1,0.5,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.225,0.3409491466338994,0.09877845004768554,0.29013236463272574,0.09958295484178425,198,363.0,1935.0,596,0.8124031007751938,0.10219154996288733,327.0,75
Wainberg,2,0.1,0.5,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.225,0.3808682539190983,0.09909500591979696,0.2905696248320992,0.09897322734167627,198,363.0,1917.0,593,0.810641627543036,0.10158182246277934,327.0,72
Wainberg,2,0.1,0.5,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.4,0.2983642357028582,0.09843259611920464,0.28838295761010363,0.09948013562185445,200,379.0,2040.0,591,0.8142156862745098,0.10246486896110417,341.0,177
Wainberg,2,0.1,0.5,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.4,0.1356411426170423,0.09676477377508039,0.28628740998980157,0.09716124480701087,199,378.0,1979.0,581,0.8089944416371905,0.09969948675937923,343.0,149
Wainberg,2,0.1,0.5,"GoCoGrid-ens (grid path, all blocks)",adapt_800_to_775_q0.275,0.14164163261685342,0.09683828680081573,0.2868594426388672,0.09788099431687138,199,375.0,1989.0,587,0.8114630467571644,0.10041923626923974,340.0,108
Wainberg,3,0.1,0.1,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.225,0.031496402815247286,0.09457174339358711,0.28422339658488993,0.10323342895736771,201,345.0,1925.0,615,0.8207792207792208,0.10467927802295915,323.0,88
Wainberg,3,0.1,0.1,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.2,0.018227917759743972,0.09391132094830014,0.2833590122791062,0.1025369325428635,201,344.0,1896.0,612,0.8185654008438819,0.10398278160845494,322.0,83
Wainberg,3,0.1,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.5,0.004983736145936568,0.09257746490293053,0.2804017673931508,0.10129225534910187,211,368.0,1991.0,602,0.8151682571572074,0.10339565532664903,339.0,180
Wainberg,3,0.1,0.1,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.4,0.00018094667648659436,0.08985784799064955,0.27684281562969043,0.09963418182603616,207,362.0,1928.0,591,0.8122406639004149,0.1013192316904859,337.0,147
Wainberg,3,0.1,0.1,"GoCoGrid-ens (grid path, all blocks)",adapt_800_to_775_q0.35,0.06748451742693597,0.09562255586326984,0.2850858236228475,0.10372996236224777,209,362.0,2029.0,616,0.8215869886643666,0.10556275387475036,335.0,152
Wainberg,3,0.1,0.5,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.225,0.031496402815247286,0.09457174339358711,0.28422339658488993,0.10323342895736771,201,345.0,1925.0,615,0.8207792207792208,0.10467927802295915,323.0,88
Wainberg,3,0.1,0.5,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.225,0.39344516841788496,0.09919361900186392,0.2903674707846011,0.10546479708487196,204,352.0,1983.0,626,0.8224911749873929,0.10691064615046339,330.0,117
Wainberg,3,0.1,0.5,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.5,0.004983736145936568,0.09257746490293053,0.2804017673931508,0.10129225534910187,211,368.0,1991.0,602,0.8151682571572074,0.10339565532664903,339.0,180
Wainberg,3,0.1,0.5,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.4,0.00018094667648659436,0.08985784799064955,0.27684281562969043,0.09963418182603616,207,362.0,1928.0,591,0.8122406639004149,0.1013192316904859,337.0,147
Wainberg,3,0.1,0.5,"GoCoGrid-ens (grid path, all blocks)",adapt_800_to_775_q0.4,0.26040542347953877,0.0980970255713731,0.288515016543356,0.10563653334188984,209,362.0,2051.0,625,0.8235007313505607,0.10746932485439245,335.0,166
Wainberg,4,0.1,0.1,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.2,0.08283443418812031,0.09591470772617286,0.2868898995933458,0.10214207155190475,230,445.0,2093.0,630,0.7873865265169613,0.10466347898031499,408.0,78
Wainberg,4,0.1,0.1,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.175,0.03855465129169274,0.09481831897477429,0.2853612228818213,0.10018606610838347,225,438.0,2025.0,621,0.7837037037037037,0.10239860932501925,405.0,49
Wainberg,4,0.1,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.4,0.03243334497495136,0.0946168764518436,0.2838551278813269,0.10157712945874203,233,460.0,2190.0,620,0.7899543378995434,0.10412148542548091,422.0,167
Wainberg,4,0.1,0.1,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.4,0.09104811305641886,0.09607969118319346,0.2860177343963176,0.10324977614447858,234,460.0,2176.0,630,0.7886029411764706,0.10572377894248274,423.0,162
Wainberg,4,0.1,0.1,"GoCoGrid-ens (grid path, all blocks)",adapt_800_to_775_q0.3,0.0687970246502046,0.09563806158046978,0.2859854656538702,0.10273435540141915,233,456.0,2185.0,631,0.7913043478260869,0.1052435347775006,419.0,123
Wainberg,4,0.1,0.5,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.25,0.26306218245643753,0.0981127459285027,0.2898159338292707,0.10520997240434925,233,448.0,2165.0,646,0.7930715935334873,0.10772384199639723,411.0,102
Wainberg,4,0.1,0.5,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.3,0.36355353698570597,0.09895689492079984,0.2909829348173085,0.10682558277586483,230,445.0,2185.0,652,0.7963386727688787,0.10934699020427509,408.0,103
Wainberg,4,0.1,0.5,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.4,0.03243334497495136,0.0946168764518436,0.2838551278813269,0.10157712945874203,233,460.0,2190.0,620,0.7899543378995434,0.10412148542548091,422.0,167
Wainberg,4,0.1,0.5,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.4,0.09104811305641886,0.09607969118319346,0.2860177343963176,0.10324977614447858,234,460.0,2176.0,630,0.7886029411764706,0.10572377894248274,423.0,162
Wainberg,4,0.1,0.5,"GoCoGrid-ens (grid path, all blocks)",adapt_800_to_775_q0.35,0.4312193543367886,0.09948178749365232,0.2911510607697492,0.10613542880097136,235,460.0,2237.0,647,0.7943674564148413,0.10885566769583711,421.0,148
Wainberg,5,0.1,0.1,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.075,0.09361226751927937,0.09611381384938833,0.28685922885072224,0.0886458287911105,184,314.0,1532.0,543,0.7950391644908616,0.0911942125719124,288.0,5
Wainberg,5,0.1,0.1,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.15,0.09519476177375746,0.09614253836042508,0.2867844122280822,0.08891053920798082,184,318.0,1568.0,544,0.7971938775510204,0.09140615810908663,291.0,12
Wainberg,5,0.1,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.04,0.09590968444816306,0.09615417246443317,0.2868421149461101,0.0886047894395369,184,313.0,1518.0,543,0.7938076416337286,0.09122352639536356,286.0,8
Wainberg,5,0.1,0.1,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.02,0.09752997602503538,0.09618055212044245,0.2869545925149439,0.08849925968014474,184,314.0,1515.0,543,0.7927392739273927,0.09115317322033878,287.0,5
Wainberg,5,0.1,0.1,"GoCoGrid-ens (grid path, all blocks)",adapt_800_to_775_q0.05,0.09693302908900853,0.09617067665849115,0.2869276897108509,0.08872321728300878,182,312.0,1523.0,543,0.7951411687458962,0.09127160106381066,286.0,3
Wainberg,5,0.1,0.5,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.175,0.2419681748323117,0.09792077080416908,0.289167014480031,0.0905204543229798,185,320.0,1677.0,551,0.8091830649970185,0.09282846476154621,293.0,30
Wainberg,5,0.1,0.5,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.175,0.12648462420361678,0.096624189771384,0.28747744389734675,0.0890313121570772,185,321.0,1627.0,545,0.8027043638598648,0.091526931058183,294.0,22
Wainberg,5,0.1,0.5,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.35,0.18200706818188483,0.09732028373726513,0.287383248235403,0.09052193014492914,191,335.0,1830.0,544,0.8169398907103825,0.09298873774836264,304.0,130
Wainberg,5,0.1,0.5,"GoCoGrid-learnedgb (grid path, all blocks)",adapt_800_to_775_q0.35,0.45255277557415313,0.09964441519768741,0.29036893802065783,0.09313655557223341,193,339.0,1884.0,557,0.8200636942675159,0.09554004531751559,307.0,145
Wainberg,5,0.1,0.5,"GoCoGrid-ens (grid path, all blocks)",adapt_800_to_775_q0.25,0.3723733165586021,0.09902933438131549,0.29023867206729226,0.0930279577870367,192,333.0,1861.0,560,0.8210639441160666,0.09524501161944669,303.0,96
Wainberg,6,0.1,0.1,"GoCoGrid-knap (grid path, all blocks)",adapt_800_to_775_q0.15,0.09950541965809812,0.09622761720300689,0.2859297955011765,0.0933454660718428,178,306.0,1801.0,557,0.830094392004442,0.09611604861528272,273.0,52
Wainberg,6,0.1,0.1,"GoCoGrid-knapEB (grid path, all blocks)",adapt_800_to_775_q0.15,0.09950541965809812,0.09622761720300689,0.2859297955011765,0.0933454660718428,178,306.0,1801.0,557,0.830094392004442,0.09611604861528272,273.0,52
Wainberg,6,0.1,0.1,"GoCoGrid-learned (grid path, all blocks)",adapt_800_to_775_q0.4,0.03946217252080814,0.09488681471176737,0.28331181563085484,0.09208171292290299,182,316.0,1906.0,549,0.8342077649527807,0.09516888474451937,282.0,126
