dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval,exceed
DRIVE,0,0.05,0.1,Boger,global_475,0.0357305303004003,0.0445888836568678,0.1990812927098704,0.0355942908980802,47,96.0,288.0,97,0.6666666666666666,0.0357976507682066,93.0,0,0.0
DRIVE,0,0.05,0.1,GoDag,global_475,0.0114002517058346,0.0432742024590178,0.1959088091917985,0.0355942908980802,47,96.0,288.0,97,0.6666666666666666,0.0357976507682066,93.0,0,0.0
DRIVE,0,0.05,0.1,GoDag-dense,global_464.5,0.0970984608368424,0.0460406114373113,0.2022520832968458,0.0366110901933766,50,99.0,300.0,101,0.67,0.036814450063503,96.0,0,0.0
DRIVE,0,0.05,0.1,GoDag-cert60,global_475,0.0210602966228998,0.043506091793589,0.1961929050226393,0.0355942908980802,47,96.0,288.0,97,0.6666666666666666,0.0357976507682066,93.0,0,0.0
DRIVE,0,0.05,0.1,GoCo-source,adapt_475_to_450_q0.75,0.0995841755851922,0.0457825663235206,0.2016877070408491,0.0367917141247175,48,97.0,336.0,99,0.7113095238095238,0.0369950739948439,94.0,8,0.0
DRIVE,0,0.05,0.1,GoCo-random1,adapt_475_to_450_q0.225,0.0960743745349811,0.0457228405643205,0.2013564992478733,0.0368826576901367,48,97.0,311.0,100,0.6881028938906752,0.0370860175602632,94.0,8,0.0
DRIVE,0,0.05,0.1,GoCo-random2,adapt_475_to_450_q0.15,0.0415267517586358,0.0444028961405513,0.198278680134684,0.0366552988556398,47,96.0,297.0,99,0.6767676767676768,0.0368586587257663,93.0,3,0.0
DRIVE,0,0.05,0.1,GoCo-random3,adapt_475_to_450_q0.3,0.0468695236948653,0.0445819412286465,0.1984913124045241,0.0353644058385009,50,99.0,304.0,98,0.6743421052631579,0.0355677657086273,96.0,5,0.0
DRIVE,0,0.05,0.1,GoCo-score,adapt_475_to_450_q0.15,0.067893783518799,0.0451418124000969,0.1999743520971821,0.0366552988556398,48,97.0,293.0,100,0.6689419795221843,0.0368586587257663,94.0,4,0.0
DRIVE,0,0.05,0.1,GoCo-oracle,adapt_475_to_450_q0.75,0.0177986651659859,0.0433103789148027,0.1954534530182643,0.0352999874783447,53,102.0,322.0,101,0.6832298136645962,0.0355033473484712,99.0,20,0.0
DRIVE,0,0.05,0.1,GoCo-exp0,adapt_475_to_450_q0.75,0.0276553919663345,0.0438501774237073,0.1970339260904864,0.0357660730969684,47,96.0,310.0,97,0.6903225806451613,0.0359694329670949,93.0,3,0.0
DRIVE,0,0.05,0.1,GoCo-exp1,adapt_475_to_450_q0.4,0.085540727851259,0.0455173143341307,0.2010892753405337,0.0367917141247175,48,97.0,336.0,99,0.7113095238095238,0.0369950739948439,94.0,8,0.0
DRIVE,0,0.05,0.1,GoCo-dense-source,global_470.03,0.0398923988503929,0.0443460564319271,0.1981544751809045,0.036257420871555,48,97.0,294.0,99,0.6700680272108843,0.0364607807416814,94.0,0,0.0
DRIVE,0,0.05,0.1,GoCo-dense-random1,global_470.03,0.0398923988503929,0.0443460564319271,0.1981544751809045,0.036257420871555,48,97.0,294.0,99,0.6700680272108843,0.0364607807416814,94.0,0,0.0
DRIVE,0,0.05,0.5,Boger,global_475,0.0357305303004003,0.0445888836568678,0.1990812927098704,0.0355942908980802,47,96.0,288.0,97,0.6666666666666666,0.0357976507682066,93.0,0,0.0
DRIVE,0,0.05,0.5,GoDag,global_475,0.0114002517058346,0.0432742024590178,0.1959088091917985,0.0355942908980802,47,96.0,288.0,97,0.6666666666666666,0.0357976507682066,93.0,0,0.0
DRIVE,0,0.05,0.5,GoDag-dense,global_453.388,0.3205872599815528,0.0485417483177115,0.2075013026707943,0.0387331061084959,52,101.0,307.0,107,0.6710097719869706,0.0389364659786224,98.0,0,0.0
DRIVE,0,0.05,0.5,GoDag-cert60,global_475,0.0210602966228998,0.043506091793589,0.1961929050226393,0.0355942908980802,47,96.0,288.0,97,0.6666666666666666,0.0357976507682066,93.0,0,0.0
