dataset,seed,alpha,method,selected_calls,supported_calls,pooled_fdr,genes_with_calls
Wainberg,0,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,1,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,2,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,3,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,4,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,5,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,6,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,7,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,8,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,9,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,10,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,11,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,12,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,13,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,14,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,15,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,16,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,17,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,18,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,19,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,20,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,21,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,22,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,23,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,24,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,25,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,26,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,27,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,28,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,29,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,30,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,31,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,32,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,33,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,34,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,35,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,36,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,37,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,38,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,39,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,40,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,41,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,42,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,43,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,44,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,45,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,46,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,47,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,48,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,49,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,50,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,51,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,52,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,53,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,54,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,55,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,56,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,57,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,58,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,59,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,60,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,61,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,62,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,63,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,64,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,65,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,66,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,67,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,68,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,69,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,70,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,71,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,72,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,73,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,74,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,75,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,76,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,77,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,78,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,79,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,80,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,81,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,82,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,83,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,84,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,85,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,86,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,87,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,88,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,89,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,90,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,91,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,92,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,93,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,94,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,95,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,96,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,97,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,98,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,99,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,0,0.1,Conformal selection (BH over pairs),16,14,0.125,15
Sanger,1,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,2,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,3,0.1,Conformal selection (BH over pairs),5,5,0.0,5
Sanger,4,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,5,0.1,Conformal selection (BH over pairs),18,15,0.16666666666666666,17
Sanger,6,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,7,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,8,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,9,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,10,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,11,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,12,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,13,0.1,Conformal selection (BH over pairs),20,18,0.1,20
Sanger,14,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,15,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,16,0.1,Conformal selection (BH over pairs),17,13,0.23529411764705882,17
Sanger,17,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,18,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,19,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,20,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,21,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,22,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,23,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,24,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,25,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,26,0.1,Conformal selection (BH over pairs),6,6,0.0,6
