dataset,delta,method,go_fdp,go_yield,unit_fdp,unit_yield,mean_calls,none_rate
Wainberg,0.1,Boger et al.,0.7898100549345358,338.9,0.09226789559532256,185.32,1611.65,0.0
Wainberg,0.5,Boger et al.,0.789692479294558,339.61,0.09232070928946862,185.71,1614.12,0.0
Wainberg,0.1,Hoeffding/LTT,0.7483717637564163,279.38,0.07710745699237675,161.51,1114.99,0.0
Wainberg,0.5,Hoeffding/LTT,0.7900215473734689,333.34,0.09140365771514566,182.57,1587.08,0.0
Wainberg,0.1,Hoeffding-Bentkus,0.7901162756766182,334.5,0.09166807811663158,183.08,1593.33,0.0
Wainberg,0.5,Hoeffding-Bentkus,0.789692479294558,339.61,0.09232070928946862,185.71,1614.12,0.0
Wainberg,0.1,IID-normal,0.7898100549345358,338.9,0.09226789559532256,185.32,1611.65,0.0
Wainberg,0.5,IID-normal,0.789692479294558,339.61,0.09232070928946862,185.71,1614.12,0.0
Wainberg,0.1,Empirical Bernstein,0.7768095672938665,314.88,0.0867824916349837,175.0,1435.86,0.0
Wainberg,0.5,Empirical Bernstein,0.7901069697844878,335.66,0.09189954437891475,183.61,1598.73,0.0
Wainberg,0.1,Binary-incidence McDiarmid,0.7461580262876158,276.81,0.0763318332036145,160.49,1089.83,0.0
Wainberg,0.5,Binary-incidence McDiarmid,0.7584053429774531,291.82,0.0804466780660415,166.14,1230.43,0.0
Wainberg,0.1,Janson dependency-graph,0.7461580262876158,276.81,0.0763318332036145,160.49,1089.83,0.0
Wainberg,0.5,Janson dependency-graph,0.7496360773390882,281.0,0.07751786945114822,162.14,1129.32,0.0
Wainberg,0.1,Network-HAC (b=1),0.787167552465574,328.77,0.0902829207691821,180.6,1552.2,0.0
Wainberg,0.5,Network-HAC (b=1),0.789692479294558,339.61,0.09232070928946862,185.71,1614.12,0.0
Wainberg,0.1,Platt calibration,0.78715127985296,332.15,0.09078249382059844,182.31,1566.22,0.0
Wainberg,0.5,Platt calibration,0.78715127985296,332.15,0.09078249382059844,182.31,1566.22,0.0
Wainberg,0.1,Isotonic calibration,0.7887477587479057,337.64,0.09193126518534095,184.82,1600.53,0.0
Wainberg,0.5,Isotonic calibration,0.7887477587479057,337.64,0.09193126518534095,184.82,1600.53,0.0
Wainberg,0.1,GoDag,0.789692479294558,339.61,0.09232070928946862,185.71,1614.12,0.0
Wainberg,0.5,GoDag,0.789692479294558,339.61,0.09232070928946862,185.71,1614.12,0.0
Wainberg,0.1,GoCo,0.8068411043150953,349.71,0.0958252208977942,189.74,1813.65,0.0
Wainberg,0.5,GoCo,0.8132130067305965,353.89,0.09843810166868407,192.11,1896.84,0.0
Sanger,0.1,Boger et al.,0.8193305954022975,315.81,0.09130298535147009,150.65,1751.3,0.0
Sanger,0.5,Boger et al.,0.8259736731811729,332.99,0.09532114990427669,155.41,1918.55,0.0
Sanger,0.1,Hoeffding/LTT,0.7833971606221459,287.02,0.07689272263192246,141.73,1324.82,0.0
Sanger,0.5,Hoeffding/LTT,0.8100157126357804,308.0,0.0876084415361969,148.1,1641.38,0.0
Sanger,0.1,Hoeffding-Bentkus,0.8128744509505827,310.41,0.08876563449315764,148.95,1676.29,0.0
Sanger,0.5,Hoeffding-Bentkus,0.8201274537853454,316.42,0.09156798687417052,150.87,1759.46,0.0
Sanger,0.1,IID-normal,0.8193305954022975,315.81,0.09130298535147009,150.65,1751.3,0.0
Sanger,0.5,IID-normal,0.8259736731811729,332.99,0.09532114990427669,155.41,1918.55,0.0
Sanger,0.1,Empirical Bernstein,0.7915498849721883,293.75,0.08031030944480337,143.79,1425.37,0.0
Sanger,0.5,Empirical Bernstein,0.8143317483495792,311.51,0.08935781750843877,149.29,1692.44,0.0
Sanger,0.1,Binary-incidence McDiarmid,0.7833971606221459,287.02,0.07689272263192246,141.73,1324.82,0.0
