dataset,delta,method,diff_vs_GoDag,ci_lo,ci_hi,P_gt_GoDag,diff_vs_GoCo_source,P_source_better
Wainberg,0.5,GoDag-dense,0.0,0.0,0.0,0.0,-14.27,1.0
Wainberg,0.5,GoCo-random1,5.12,4.528197881829824,5.711802118170176,0.98,-9.15,0.99
Wainberg,0.5,GoCo-random2,8.05,7.332481633642312,8.76751836635769,1.0,-6.22,0.9
Wainberg,0.5,GoCo-random3,5.79,5.3137180039115695,6.266281996088431,1.0,-8.48,0.98
Wainberg,0.5,GoCo-score,2.15,1.8393151910616636,2.4606848089383364,0.85,-12.12,1.0
Wainberg,0.5,GoCo-source,14.27,13.408259434855152,15.131740565144847,1.0,0.0,0.0
Wainberg,0.5,GoCo-exp0,9.73,8.955533775475462,10.504466224524538,1.0,-4.54,0.75
Wainberg,0.5,GoCo-exp1,13.41,12.599189188453181,14.22081081154682,1.0,-0.86,0.51
Wainberg,0.5,GoCo-oracle,41.43,40.2552363738293,42.6047636261707,1.0,27.16,0.0
Wainberg,0.5,GoCo-dense-random1,5.04,4.453705098508309,5.626294901491691,0.98,-9.23,0.99
Wainberg,0.5,GoCo-dense-source,14.16,13.306010154059372,15.013989845940628,1.0,-0.11,0.05
Wainberg,0.1,GoDag-dense,0.0,0.0,0.0,0.0,-10.1,0.99
Wainberg,0.1,GoCo-random1,1.95,1.5821289751705212,2.3178710248294787,0.8,-8.15,0.97
Wainberg,0.1,GoCo-random2,2.55,2.010977502765188,3.0890224972348115,0.79,-7.55,0.98
Wainberg,0.1,GoCo-random3,3.24,2.793294395184326,3.6867056048156743,0.87,-6.86,0.94
Wainberg,0.1,GoCo-score,0.56,0.37877158115245896,0.7412284188475411,0.37,-9.54,0.99
Wainberg,0.1,GoCo-source,10.1,9.196645711972888,11.003354288027111,0.99,0.0,0.0
Wainberg,0.1,GoCo-exp0,7.92,7.043603027081098,8.796396972918902,0.97,-2.18,0.63
Wainberg,0.1,GoCo-exp1,9.49,8.655417083299398,10.324582916700603,0.99,-0.61,0.45
Wainberg,0.1,GoCo-oracle,39.4,38.156636428997146,40.64336357100285,1.0,29.3,0.0
Wainberg,0.1,GoCo-dense-random1,1.87,1.4561810653110825,2.283818934688918,0.8,-8.23,0.97
Wainberg,0.1,GoCo-dense-source,9.95,8.99491572110207,10.90508427889793,0.98,-0.15,0.04
Sanger,0.5,GoDag-dense,4.64,2.9880000958739967,6.291999904126003,0.66,-7.45,0.7
Sanger,0.5,GoCo-random1,6.28,3.757779456450521,8.80222054354948,0.8,-5.81,0.69
Sanger,0.5,GoCo-random2,4.16,1.5863581456730556,6.733641854326945,0.74,-7.93,0.8
Sanger,0.5,GoCo-random3,5.72,3.3128686368218374,8.127131363178162,0.76,-6.37,0.71
Sanger,0.5,GoCo-score,8.08,5.566317125503825,10.593682874496174,0.81,-4.01,0.67
Sanger,0.5,GoCo-source,12.09,8.773104574601378,15.406895425398622,0.81,0.0,0.0
Sanger,0.5,GoCo-exp0,5.09,1.9484250185551186,8.231574981444881,0.79,-7.0,0.85
Sanger,0.5,GoCo-exp1,13.27,9.808750673149035,16.731249326850964,0.81,1.18,0.2
Sanger,0.5,GoCo-oracle,34.9,30.193072459800675,39.60692754019932,0.81,22.81,0.0
Sanger,0.5,GoCo-dense-random1,6.81,4.485098685183312,9.134901314816688,0.8,-5.28,0.69
Sanger,0.5,GoCo-dense-source,8.2,5.793526441055503,10.606473558944495,0.81,-3.89,0.66
Sanger,0.1,GoDag-dense,6.89,5.0450585549244185,8.734941445075581,0.38,-5.36,0.67
Sanger,0.1,GoCo-random1,14.84,12.819996142017885,16.860003857982115,0.95,2.59,0.3
Sanger,0.1,GoCo-random2,11.07,9.052199757211339,13.087800242788662,0.93,-1.18,0.56
Sanger,0.1,GoCo-random3,14.22,12.234706956063405,16.205293043936596,0.94,1.97,0.31
Sanger,0.1,GoCo-score,13.05,11.074347850925824,15.025652149074178,0.94,0.8,0.41
Sanger,0.1,GoCo-source,12.25,10.001688337144218,14.498311662855782,0.92,0.0,0.0
Sanger,0.1,GoCo-exp0,6.49,4.379659781749,8.600340218251,0.91,-5.76,0.86
Sanger,0.1,GoCo-exp1,12.92,10.73571602985733,15.104283970142669,0.94,0.67,0.2
Sanger,0.1,GoCo-oracle,24.61,21.587941519260404,27.632058480739595,0.95,12.36,0.02
Sanger,0.1,GoCo-dense-random1,13.51,11.542787995895992,15.477212004104008,0.94,1.26,0.43
Sanger,0.1,GoCo-dense-source,11.32,9.178015731225655,13.461984268774346,0.92,-0.93,0.61
DRIVE,0.5,GoDag-dense,23.56,21.480999671462122,25.639000328537875,0.98,-5.89,0.7
DRIVE,0.5,GoCo-random1,23.33,19.857870688299222,26.802129311700774,0.89,-6.12,0.68
DRIVE,0.5,GoCo-random2,19.97,16.165902753051334,23.774097246948664,0.89,-9.48,0.79
DRIVE,0.5,GoCo-random3,22.1,18.53180806332259,25.668191936677413,0.89,-7.35,0.77
DRIVE,0.5,GoCo-score,26.36,22.51026719457943,30.20973280542057,0.88,-3.09,0.55
DRIVE,0.5,GoCo-source,29.45,25.14922972837505,33.750770271624944,0.9,0.0,0.0
DRIVE,0.5,GoCo-exp0,9.12,4.9582680652682996,13.281731934731699,0.9,-20.33,0.96
DRIVE,0.5,GoCo-exp1,31.62,27.327773122812296,35.912226877187706,0.9,2.17,0.21
DRIVE,0.5,GoCo-oracle,40.48,35.92175385562305,45.03824614437694,0.9,11.03,0.06
DRIVE,0.5,GoCo-dense-random1,27.36,23.767636538601934,30.952363461398065,0.89,-2.09,0.53
