dataset,delta,method,heldout_exceed,pool_exceed,pool_exceed_direct,pool_exceed_certified,mean_pool,mean_pool_direct,mean_cal,mean_cal_tp,mean_heldout,m_cal
DRIVE,0.1,Boger,0.13,0.0,0.0,0.0,0.090492,0.092573,0.092257,0.090162,0.091262,4398
DRIVE,0.1,GoCo,0.16,0.01,0.01,0.01,0.092471,0.094638,0.092144,0.092144,0.093123,3770
DRIVE,0.1,GoDag,0.13,0.0,0.0,0.0,0.092135,0.09423,0.091805,0.091805,0.092904,4398
DRIVE,0.1,GoDag-cert60,0.13,0.01,0.01,0.01,0.091851,0.093953,0.091483,0.091483,0.092588,3770
DRIVE,0.5,Boger,0.13,0.06,0.06,0.06,0.093856,0.095967,0.09568,0.09356,0.094547,4398
DRIVE,0.5,GoCo,0.33,0.26,0.3,0.26,0.096472,0.098778,0.096178,0.096178,0.097061,3770
DRIVE,0.5,GoDag,0.28,0.28,0.28,0.28,0.095759,0.097917,0.095453,0.095453,0.096471,4398
DRIVE,0.5,GoDag-cert60,0.31,0.26,0.3,0.26,0.095892,0.09807,0.095536,0.095536,0.096605,3770
HAP1,0.1,Boger,0.0,0.0,0.0,0.0,0.071963,0.073586,0.073605,0.071986,0.071908,10514
HAP1,0.1,GoCo,0.06,0.0,0.03,0.0,0.091316,0.092784,0.091247,0.091247,0.091454,9012
HAP1,0.1,GoDag,0.0,0.0,0.0,0.0,0.071963,0.073586,0.071986,0.071986,0.071908,10514
HAP1,0.1,GoDag-cert60,0.0,0.0,0.0,0.0,0.071887,0.07352,0.071877,0.071877,0.071908,9012
HAP1,0.5,Boger,0.0,0.0,0.0,0.0,0.071963,0.073586,0.073605,0.071986,0.071908,10514
HAP1,0.5,GoCo,0.19,0.05,0.18,0.05,0.094069,0.09554,0.093929,0.093929,0.094349,9012
HAP1,0.5,GoDag,0.0,0.0,0.0,0.0,0.071963,0.073586,0.071986,0.071986,0.071908,10514
HAP1,0.5,GoDag-cert60,0.0,0.0,0.0,0.0,0.071887,0.07352,0.071877,0.071877,0.071908,9012
Sanger,0.1,Boger,0.01,0.0,0.0,0.0,0.09141,0.093266,0.093311,0.091456,0.091303,10420
Sanger,0.1,GoCo,0.15,0.0,0.06,0.0,0.093199,0.095092,0.093309,0.093309,0.092979,8932
Sanger,0.1,GoDag,0.12,0.0,0.01,0.0,0.092401,0.094264,0.092454,0.092454,0.092276,10420
Sanger,0.1,GoDag-cert60,0.13,0.0,0.04,0.0,0.092716,0.094588,0.092804,0.092804,0.092541,8932
Sanger,0.5,Boger,0.2,0.0,0.13,0.13,0.09554,0.097449,0.097541,0.095634,0.095321,10420
Sanger,0.5,GoCo,0.42,0.2,0.75,0.2,0.0984,0.100457,0.098599,0.098599,0.098001,8932
Sanger,0.5,GoDag,0.36,0.0,0.71,0.0,0.098257,0.100299,0.098369,0.098369,0.097995,10420
Sanger,0.5,GoDag-cert60,0.34,0.03,0.7,0.03,0.097867,0.099881,0.098029,0.098029,0.097544,8932
Wainberg,0.1,Boger,0.01,0.0,0.0,0.0,0.092286,0.094365,0.094415,0.092294,0.092268,11056
Wainberg,0.1,GoCo,0.13,0.0,0.02,0.0,0.094679,0.096831,0.09462,0.09462,0.094796,9477
Wainberg,0.1,GoDag,0.01,0.0,0.0,0.0,0.092357,0.094435,0.092372,0.092372,0.092321,11056
Wainberg,0.1,GoDag-cert60,0.01,0.0,0.0,0.0,0.092253,0.094341,0.092219,0.092219,0.092321,9477
Wainberg,0.5,Boger,0.01,0.0,0.0,0.0,0.092357,0.094435,0.094492,0.092372,0.092321,11056
Wainberg,0.5,GoCo,0.2,0.08,0.25,0.08,0.096384,0.098573,0.096357,0.096357,0.096437,9477
Wainberg,0.5,GoDag,0.01,0.0,0.0,0.0,0.092357,0.094435,0.092372,0.092372,0.092321,11056
Wainberg,0.5,GoDag-cert60,0.01,0.0,0.0,0.0,0.092253,0.094341,0.092219,0.092219,0.092321,9477
