repeat,alpha,arm,label,fdp,correct,total,units
0,0.05,global-coarse,global_37.7842,0.03155781213939534,771,1027,394
0,0.05,global-dense,global_33.8713,0.05006872323512064,932,1306,513
0,0.05,goco-score,adapt_37.7842_to_32.0342_q0.6,0.046320357976254584,947,1337,492
0,0.05,goco,adapt_37.7842_to_32.0342_q0.75,0.04830974177500834,1002,1395,524
0,0.05,goco-rank,top4337,0.04751634741133933,1119,1356,749
0,0.1,global-coarse,global_27.1593,0.09262674051850142,1315,2071,749
0,0.1,global-dense,global_26.6395,0.0967947534425725,1331,2124,766
0,0.1,goco-score,adapt_27.1593_to_23.0262_q0.175,0.09728530399774342,1374,2205,771
0,0.1,goco,adapt_27.1593_to_23.0262_q0.4,0.1012171449085827,1468,2336,823
0,0.1,goco-rank,top7261,0.09167320563120239,1692,2255,1043
0,0.2,global-coarse,global_19.5221,0.15991294202118114,1927,3449,1077
0,0.2,global-dense,global_16.7443,0.19581831917857767,2228,4285,1225
0,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.18432673590993465,2185,4168,1175
0,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.19422524791668574,2215,4201,1218
0,0.2,goco-rank,top13828,0.19609963900755498,2676,4334,1539
1,0.05,global-coarse,global_37.7842,0.03303395132958946,773,1042,433
1,0.05,global-dense,global_33.8713,0.04505782496089442,965,1336,539
1,0.05,goco-score,adapt_37.7842_to_32.0342_q0.6,0.04726940533887222,987,1393,535
1,0.05,goco,adapt_37.7842_to_32.0342_q0.75,0.0470463112547119,1031,1433,552
1,0.05,goco-rank,top4337,0.038459881529348414,1167,1374,781
1,0.1,global-coarse,global_27.1593,0.08586339974869864,1353,2096,757
1,0.1,global-dense,global_26.6395,0.0895090647998564,1375,2146,779
1,0.1,goco-score,adapt_27.1593_to_23.0262_q0.1,0.0895400928276534,1402,2193,784
1,0.1,goco,adapt_27.1593_to_23.0262_q0.275,0.09205810703387439,1495,2302,826
1,0.1,goco-rank,top7261,0.08366335871990153,1756,2280,1079
1,0.2,global-coarse,global_19.5221,0.14485353185676286,2006,3438,1077
1,0.2,global-dense,global_17.0145,0.1754638701811561,2292,4172,1199
1,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.17299764317534916,2281,4176,1180
1,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.17798702464292127,2310,4180,1216
1,0.2,goco-rank,top13828,0.18833516331093067,2799,4312,1631
2,0.05,global-coarse,global_37.7842,0.029473036387414414,758,998,406
2,0.05,global-dense,global_33.8713,0.04723901838602969,922,1290,517
