repeat,alpha,arm,label,fdp,correct,total,units
0,0.05,global-coarse,global_62.0008,0.036398920345962135,437,672,239
0,0.05,global-dense,global_59.3219,0.040181649821699465,481,748,249
0,0.05,goco-score,adapt_62.0008_to_52.5656_q0.35,0.03868234923261816,500,791,245
0,0.05,goco,adapt_62.0008_to_52.5656_q0.35,0.040536280710049846,494,767,260
0,0.05,goco-rank,top3012,0.040022065921941796,690,879,507
0,0.1,global-coarse,global_37.7842,0.07896037328184619,882,1650,407
0,0.1,global-dense,global_35.5381,0.09155305343762107,970,1884,450
0,0.1,goco-score,adapt_37.7842_to_32.0342_q0.5,0.08802956570850655,987,1941,438
0,0.1,goco,adapt_37.7842_to_32.0342_q0.4,0.08886573937256602,1025,1902,478
0,0.1,goco-rank,top5736,0.0861317382107618,1234,1691,806
0,0.2,global-coarse,global_27.1593,0.1428013810305908,1468,2925,717
0,0.2,global-dense,global_23.8149,0.1808589858226014,1807,3753,866
0,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.17733503705631284,1804,3785,842
0,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.17166255480129022,1851,3736,846
0,0.2,goco-rank,top12426,0.1815740393851324,2464,3720,1309
1,0.05,global-coarse,global_62.0008,0.0360610359162283,444,663,237
1,0.05,global-dense,global_58.3796,0.042738932561026066,482,763,251
1,0.05,goco-score,adapt_62.0008_to_52.5656_q0.4,0.042791634651378134,496,816,251
1,0.05,goco,adapt_62.0008_to_52.5656_q0.5,0.04163317374943357,508,812,258
1,0.05,goco-rank,top2648,0.035202041097779614,628,778,475
1,0.1,global-coarse,global_37.7842,0.08499796415601132,850,1651,414
1,0.1,global-dense,global_36.1117,0.09324526666272633,926,1829,441
1,0.1,goco-score,adapt_37.7842_to_32.0342_q0.4,0.09423429280690347,963,1991,447
1,0.1,goco,adapt_37.7842_to_32.0342_q0.6,0.09575378765490475,1020,2010,485
1,0.1,goco-rank,top5043,0.08060152622626764,1130,1481,811
1,0.2,global-coarse,global_27.1593,0.13996966234243852,1358,2855,680
1,0.2,global-dense,global_23.8149,0.17719961912933269,1655,3665,826
1,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.173707261962026,1687,3756,813
1,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.1722993355437562,1687,3691,814
1,0.2,goco-rank,top10925,0.1790001200013612,2205,3213,1321
2,0.05,global-coarse,global_62.0008,0.037339677285891604,382,610,230
2,0.05,global-dense,global_57.4523,0.04593504344228382,438,736,254
2,0.05,goco-score,adapt_62.0008_to_52.5656_q0.4,0.043868825974742405,431,737,244
2,0.05,goco,adapt_62.0008_to_52.5656_q0.6,0.040679610694091456,446,736,246
2,0.05,goco-rank,top2648,0.035615777134188384,578,732,459
2,0.1,global-coarse,global_37.7842,0.08115514444641461,790,1566,399
2,0.1,global-dense,global_36.1117,0.09042020476650182,874,1752,438
2,0.1,goco-score,adapt_37.7842_to_32.0342_q0.5,0.09070505874394993,910,1881,442
2,0.1,goco,adapt_37.7842_to_32.0342_q0.5,0.08732457263694333,944,1832,463
2,0.1,goco-rank,top5736,0.08170646413302599,1215,1613,867
