data,alpha,arm,fdp,budget,supported,calls,genes,prec,vs_global,d_vs_goco,ci,win_vs_goco
FunMap,0.05,global-coarse,0.031188858117291024,62.377716234582046,729.92,990.76,406.42,0.7367273608139207,0.0,-211.98,5.812543732308601,0.0
FunMap,0.05,global-dense,0.04509538682462748,90.19077364925495,874.46,1238.6,503.86,0.7060067818504764,19.80217010083298,-67.44,6.0493376298566774,0.0
FunMap,0.05,goco-score,0.044514152370695136,89.02830474139026,904.52,1296.3,497.66,0.6977705777983492,23.920429636124506,-37.38,4.997161498290804,0.0
FunMap,0.05,goco,0.043620786214324136,87.24157242864827,941.9,1323.14,509.08,0.7118672249346252,29.04153879877247,0.0,,
FunMap,0.05,goco-rank,0.042674052874385436,85.34810574877086,1018.22,1250.88,753.76,0.8140029419288821,39.49747917580011,76.32,21.497395652497072,0.84
FunMap,0.1,global-coarse,0.08980936738723486,89.80936738723486,1261.12,2012.32,740.56,0.6266995308897193,0.0,-119.34,7.955274537060301,0.0
FunMap,0.1,global-dense,0.09368664256224832,93.68664256224832,1279.22,2057.26,757.84,0.6218076470645422,1.4352321745749963,-101.24,6.087939237541714,0.0
FunMap,0.1,goco-score,0.09446735133471801,94.467351334718,1306.1,2110.38,764.38,0.6188932798832438,3.5666708957117432,-74.36,5.981460637670367,0.0
FunMap,0.1,goco,0.09452636356642814,94.52636356642815,1380.46,2190.68,791.9,0.6301513685248415,9.463017000761242,0.0,,
FunMap,0.1,goco-rank,0.08835421641483147,88.35421641483147,1641.32,2223.4,1064.12,0.7382027525411532,30.147805125602645,260.86,28.871734540203846,1.0
FunMap,0.2,global-coarse,0.15413733107674946,77.06866553837472,1870.72,3343.14,1065.98,0.5595697458078334,0.0,-290.2,4.364049495594659,0.0
FunMap,0.2,global-dense,0.18983323147862727,94.91661573931363,2166.16,4127.68,1209.64,0.5247887433134352,15.79284981183715,5.24,4.783842405431014,0.6
FunMap,0.2,goco-score,0.182824386545065,91.41219327253249,2146.84,4087.94,1180.22,0.525164263663361,14.760092370851874,-14.08,3.952203719445646,0.18
FunMap,0.2,goco,0.18643265858177,93.21632929088499,2160.92,4053.72,1200.52,0.5330708583720631,15.512743756414649,0.0,,
FunMap,0.2,goco-rank,0.18320726024503056,91.60363012251527,2640.42,4133.12,1545.76,0.6388442629296996,41.14458604173794,479.5,27.648876432867933,1.0
STRING,0.05,global-coarse,0.03869736194022495,77.3947238804499,422.3,665.74,235.62,0.6343317210923183,0.0,-62.56,4.126618683619798,0.0
STRING,0.05,global-dense,0.04531005575585628,90.62011151171257,470.64,776.22,253.78,0.6063229496792146,11.446838740232046,-14.22,4.758777725424881,0.18
STRING,0.05,goco-score,0.04479674724668513,89.59349449337026,477.6,813.22,250.34,0.5872949509357861,13.094956192280382,-7.26,3.50159451678803,0.24
STRING,0.05,goco,0.04461244754418105,89.22489508836209,484.86,809.16,258.42,0.5992139997033961,14.81411318967558,0.0,,
STRING,0.05,goco-rank,0.0421607083687266,84.3214167374532,625.42,810.78,485.06,0.7713806457978737,48.098508169547706,140.56,17.036444398993588,0.98
STRING,0.1,global-coarse,0.08220114795332002,82.20114795332002,826.32,1637.36,404.72,0.5046660477842381,0.0,-146.78,8.63767824360227,0.0
STRING,0.1,global-dense,0.0920732509801603,92.0732509801603,905.64,1831.94,442.04,0.4943611690339203,9.599186755736277,-67.46,8.30221672567032,0.0
STRING,0.1,goco-score,0.09178851700407346,91.78851700407346,934.0,1936.4,442.06,0.48233835984300766,13.031271178236036,-39.1,7.607605668014083,0.1
STRING,0.1,goco,0.0910550206241145,91.05502062411449,973.1,1911.78,470.6,0.5090020818294992,17.763094200793873,0.0,,
STRING,0.1,goco-rank,0.0886905234559949,88.69052345599489,1165.56,1614.36,823.8,0.7219950940310711,41.05431309904153,192.46,27.226207715361312,0.96
STRING,0.2,global-coarse,0.14541236006213246,72.70618003106622,1381.78,2903.5,708.88,0.4759014981918374,0.0,-365.78,7.161497988549603,0.0
STRING,0.2,global-dense,0.18603844994452476,93.01922497226238,1708.76,3785.16,865.24,0.4514366631793636,23.663680180636582,-38.8,6.5232188373532285,0.06
STRING,0.2,goco-score,0.18055371718424532,90.27685859212265,1731.04,3847.42,844.0,0.4499222855835859,25.276093155205604,-16.52,4.02313915245297,0.08
STRING,0.2,goco,0.17749749613724816,88.74874806862408,1747.56,3783.54,852.08,0.4618849014415072,26.47165250618766,0.0,,
STRING,0.2,goco-rank,0.18132961166514608,90.66480583257304,2275.0,3481.1,1295.92,0.6535290569072995,64.64270723269985,527.44,36.5498216378685,1.0
