repeat,alpha,delta,arm,label,fdp,correct,total,units
0,0.05,0.5,goco-rank,top2097,0.04488315961511403,187,637,294
0,0.05,0.1,goco-rank,top2097,0.04488315961511403,187,637,294
0,0.1,0.5,goco-rank,top3994,0.09421957463061303,235,1255,539
0,0.1,0.1,goco-rank,top3994,0.09421957463061303,235,1255,539
0,0.2,0.5,goco-rank,top11197,0.19494356798757553,431,3462,1041
0,0.2,0.1,goco-rank,top11197,0.19494356798757553,431,3462,1041
1,0.05,0.5,goco-rank,top1844,0.04559388128404591,141,591,285
1,0.05,0.1,goco-rank,top1844,0.04559388128404591,141,591,285
1,0.1,0.5,goco-rank,top3087,0.08485338063746675,170,962,481
1,0.1,0.1,goco-rank,top3087,0.08485338063746675,170,962,481
1,0.2,0.5,goco-rank,top9843,0.18336577708675642,368,2939,1002
1,0.2,0.1,goco-rank,top9843,0.18336577708675642,368,2939,1002
2,0.05,0.5,goco-rank,top1844,0.04609137872118032,156,565,288
2,0.05,0.1,goco-rank,top1621,0.044079795726059974,150,501,280
2,0.1,0.5,goco-rank,top3512,0.0979591640946643,193,1099,548
2,0.1,0.1,goco-rank,top3087,0.08920179300086435,187,966,506
2,0.2,0.5,goco-rank,top11197,0.19836665638427986,364,3368,1048
2,0.2,0.1,goco-rank,top11197,0.19836665638427986,364,3368,1048
3,0.05,0.5,goco-rank,top2097,0.05224629153502095,211,676,337
3,0.05,0.1,goco-rank,top2097,0.05224629153502095,211,676,337
3,0.1,0.5,goco-rank,top3994,0.10005430056084341,266,1305,585
3,0.1,0.1,goco-rank,top3994,0.10005430056084341,266,1305,585
3,0.2,0.5,goco-rank,top11197,0.1888271600122592,430,3381,1024
3,0.2,0.1,goco-rank,top11197,0.1888271600122592,430,3381,1024
4,0.05,0.5,goco-rank,top1844,0.045971618433627716,206,637,301
4,0.05,0.1,goco-rank,top1844,0.045971618433627716,206,637,301
4,0.1,0.5,goco-rank,top3087,0.09279751778168832,242,1040,539
4,0.1,0.1,goco-rank,top3087,0.09279751778168832,242,1040,539
4,0.2,0.5,goco-rank,top8653,0.19602296477032652,423,2878,1070
4,0.2,0.1,goco-rank,top8653,0.19602296477032652,423,2878,1070
5,0.05,0.5,goco-rank,top1844,0.04725547247180848,175,570,309
5,0.05,0.1,goco-rank,top1621,0.041367916943054125,165,506,275
5,0.1,0.5,goco-rank,top3994,0.08857890854513903,227,1155,519
5,0.1,0.1,goco-rank,top3994,0.08857890854513903,227,1155,519
5,0.2,0.5,goco-rank,top11197,0.18391567329503913,395,3335,988
5,0.2,0.1,goco-rank,top11197,0.18391567329503913,395,3335,988
6,0.05,0.5,goco-rank,top1844,0.042720205431264945,157,519,275
6,0.05,0.1,goco-rank,top1844,0.042720205431264945,157,519,275
6,0.1,0.5,goco-rank,top3994,0.08302666507077651,218,1223,483
6,0.1,0.1,goco-rank,top3994,0.08302666507077651,218,1223,483
6,0.2,0.5,goco-rank,top12736,0.19689135897948173,408,3794,1056
6,0.2,0.1,goco-rank,top11197,0.1811370228531532,370,3354,973
7,0.05,0.5,goco-rank,top1844,0.04496565942851295,177,570,289
7,0.05,0.1,goco-rank,top1844,0.04496565942851295,177,570,289
7,0.1,0.5,goco-rank,top3087,0.09289501479243986,202,957,531
7,0.1,0.1,goco-rank,top3087,0.09289501479243986,202,957,531
7,0.2,0.5,goco-rank,top9843,0.19984258606753827,336,3013,1073
7,0.2,0.1,goco-rank,top8653,0.1893061695351691,315,2673,1020
8,0.05,0.5,goco-rank,top2386,0.05865821423546202,257,842,375
8,0.05,0.1,goco-rank,top2097,0.049073766976890656,253,741,330
8,0.1,0.5,goco-rank,top4544,0.10239870818173899,321,1536,599
8,0.1,0.1,goco-rank,top4544,0.10239870818173899,321,1536,599
8,0.2,0.5,goco-rank,top11197,0.18581547147682353,493,3527,1016
8,0.2,0.1,goco-rank,top11197,0.18581547147682353,493,3527,1016
9,0.05,0.5,goco-rank,top2097,0.05024806770347403,218,766,327
9,0.05,0.1,goco-rank,top2097,0.05024806770347403,218,766,327
9,0.1,0.5,goco-rank,top4544,0.10098087094182492,283,1587,579
9,0.1,0.1,goco-rank,top3994,0.08735614490427565,270,1412,510
9,0.2,0.5,goco-rank,top11197,0.18778012826539786,456,3674,1011
9,0.2,0.1,goco-rank,top11197,0.18778012826539786,456,3674,1011
10,0.05,0.5,goco-rank,top2386,0.051271900089966786,213,749,325
10,0.05,0.1,goco-rank,top2097,0.048347774007335004,201,657,310
10,0.1,0.5,goco-rank,top5169,0.09436358983726979,294,1582,542
10,0.1,0.1,goco-rank,top4544,0.08545333295846078,285,1437,498
10,0.2,0.5,goco-rank,top12736,0.1959079880409777,476,3852,1053
10,0.2,0.1,goco-rank,top11197,0.17662932948343785,441,3405,957
11,0.05,0.5,goco-rank,top1844,0.04606022231602645,145,561,283
11,0.05,0.1,goco-rank,top1621,0.04062192204868439,131,489,253
11,0.1,0.5,goco-rank,top3087,0.08684914939663778,174,934,492
11,0.1,0.1,goco-rank,top3087,0.08684914939663778,174,934,492
11,0.2,0.5,goco-rank,top9843,0.1861188965259931,334,2813,997
11,0.2,0.1,goco-rank,top9843,0.1861188965259931,334,2813,997
12,0.05,0.5,goco-rank,top2097,0.054747468656290946,172,719,338
12,0.05,0.1,goco-rank,top2097,0.054747468656290946,172,719,338
12,0.1,0.5,goco-rank,top3994,0.10272286634148178,217,1353,581
12,0.1,0.1,goco-rank,top3994,0.10272286634148178,217,1353,581
12,0.2,0.5,goco-rank,top11197,0.1967302285440368,393,3554,1047
12,0.2,0.1,goco-rank,top11197,0.1967302285440368,393,3554,1047
13,0.05,0.5,goco-rank,top1844,0.044371327396865605,173,591,279
13,0.05,0.1,goco-rank,top1844,0.044371327396865605,173,591,279
13,0.1,0.5,goco-rank,top3512,0.09678157837191184,201,1177,533
13,0.1,0.1,goco-rank,top3512,0.09678157837191184,201,1177,533
13,0.2,0.5,goco-rank,top11197,0.19160576342213073,365,3336,1015
13,0.2,0.1,goco-rank,top11197,0.19160576342213073,365,3336,1015
14,0.05,0.5,goco-rank,top2097,0.05223266953955009,191,717,332
14,0.05,0.1,goco-rank,top1844,0.048804871082203286,183,642,313
