repeat,rule,cutoff,fdp,correct,total,units,supp_units
0,cutoff0.30103,0.30103,0.832654144120376,16297.0,140316.0,2978,2403
0,cutoff0.5,0.5,0.8166705668823147,14885.0,119863.0,2951,2325
0,cutoff1,1.0,0.7857133402135746,12048.0,79889.0,2914,2125
0,cutoff1.30103,1.30103,0.7688566428628032,10977.0,65184.0,2891,2060
0,cutoff2,2.0,0.7221559175030303,9215.0,48471.0,2788,1929
1,cutoff0.30103,0.30103,0.8285760793594493,15963.0,140700.0,2962,2383
1,cutoff0.5,0.5,0.8142297383052786,14646.0,120723.0,2939,2314
1,cutoff1,1.0,0.7814733522608539,12042.0,81089.0,2901,2147
1,cutoff1.30103,1.30103,0.7639964280935391,10931.0,66026.0,2874,2080
1,cutoff2,2.0,0.7214940248733696,9254.0,49096.0,2783,1935
2,cutoff0.30103,0.30103,0.8296811943073581,16120.0,141303.0,2969,2384
2,cutoff0.5,0.5,0.8153346336430503,14750.0,120703.0,2945,2319
2,cutoff1,1.0,0.7847753191755868,12097.0,80222.0,2913,2158
2,cutoff1.30103,1.30103,0.7665865239097838,10936.0,65242.0,2883,2071
2,cutoff2,2.0,0.7239144032150444,9189.0,48373.0,2786,1915
3,cutoff0.30103,0.30103,0.8302334072197844,15979.0,141187.0,2969,2403
3,cutoff0.5,0.5,0.8169138427363337,14635.0,121103.0,2951,2330
3,cutoff1,1.0,0.7857940849932206,11907.0,80640.0,2923,2150
3,cutoff1.30103,1.30103,0.7678714582311038,10784.0,65498.0,2894,2066
3,cutoff2,2.0,0.7253968851712382,9112.0,48674.0,2797,1907
4,cutoff0.30103,0.30103,0.8308664356309527,15713.0,141020.0,2960,2373
4,cutoff0.5,0.5,0.8174357533313493,14400.0,121242.0,2937,2298
4,cutoff1,1.0,0.7861437388598072,11692.0,80668.0,2902,2125
4,cutoff1.30103,1.30103,0.7691755347278393,10545.0,65606.0,2877,2064
4,cutoff2,2.0,0.7272578443893745,8881.0,48934.0,2786,1922
5,cutoff0.30103,0.30103,0.8300522485945494,16070.0,141166.0,2962,2398
5,cutoff0.5,0.5,0.8157171446930543,14709.0,121129.0,2937,2321
5,cutoff1,1.0,0.7858160739619495,12046.0,80696.0,2903,2143
5,cutoff1.30103,1.30103,0.7681298236938191,10960.0,65782.0,2876,2071
5,cutoff2,2.0,0.7247473870532519,9293.0,48975.0,2788,1944
6,cutoff0.30103,0.30103,0.8328486616307833,15868.0,139583.0,2963,2338
6,cutoff0.5,0.5,0.8183585458837995,14557.0,120140.0,2938,2265
6,cutoff1,1.0,0.7810478647308573,11986.0,80594.0,2897,2136
