repeat,alpha,delta,method,threshold,fdp,pool_risk,supp_genes,supp_terms,calls,genes
0,0.05,0.5,Multilabel,34.973566,0.040111034182116576,0.04025606436743877,392,883,1200,465
0,0.05,0.5,Hoeffding/LTT,36.694525,0.03232787137472113,0.03337894004363199,359,812,1081,416
0,0.05,0.5,Hoeffding-Bentkus,34.973566,0.040111034182116576,0.04025606436743877,392,883,1200,465
0,0.05,0.5,IID-normal,34.973566,0.040111034182116576,0.04025606436743877,392,883,1200,465
0,0.05,0.5,Empirical Bernstein,35.538059,0.03756212016308947,0.038050058814276824,380,862,1163,448
0,0.05,0.5,Platt calibration,40.394661,0.025188860681590895,0.0252538075405374,284,679,885,328
0,0.05,0.5,Isotonic calibration,36.694525,0.03232787137472113,0.03337894004363199,359,812,1081,416
0,0.05,0.1,Multilabel,34.973566,0.040111034182116576,0.04025606436743877,392,883,1200,465
0,0.05,0.1,Hoeffding/LTT,37.286795,0.03206400492345565,0.03179685309424646,355,797,1058,412
0,0.05,0.1,Hoeffding-Bentkus,35.538059,0.03756212016308947,0.038050058814276824,380,862,1163,448
0,0.05,0.1,IID-normal,34.973566,0.040111034182116576,0.04025606436743877,392,883,1200,465
0,0.05,0.1,Empirical Bernstein,36.111663,0.035974305715824294,0.0370668003665634,367,833,1115,435
0,0.05,0.1,Platt calibration,40.394661,0.025188860681590895,0.0252538075405374,284,679,885,328
0,0.05,0.1,Isotonic calibration,36.694525,0.03232787137472113,0.03337894004363199,359,812,1081,416
0,0.1,0.5,Multilabel,27.069447,0.0926159704592661,0.09073448602477038,570,1319,2081,751
0,0.1,0.5,Hoeffding/LTT,27.950331,0.08773110752109137,0.0842662833480369,542,1251,1944,716
0,0.1,0.5,Hoeffding-Bentkus,27.506363,0.08943431546016359,0.08707808450107028,560,1289,2012,734
0,0.1,0.5,IID-normal,27.069447,0.0926159704592661,0.09073448602477038,570,1319,2081,751
0,0.1,0.5,Empirical Bernstein,27.950331,0.08773110752109137,0.0842662833480369,542,1251,1944,716
0,0.1,0.5,Platt calibration,30.768736,0.06647549811523963,0.06493399636172148,482,1101,1619,610
0,0.1,0.5,Isotonic calibration,27.950331,0.08773110752109137,0.0842662833480369,542,1251,1944,716
0,0.1,0.1,Multilabel,27.506363,0.08943431546016359,0.08707808450107028,560,1289,2012,734
0,0.1,0.1,Hoeffding/LTT,29.325694,0.07717401338564504,0.07669155160268903,522,1188,1795,671
0,0.1,0.1,Hoeffding-Bentkus,27.950331,0.08773110752109137,0.0842662833480369,542,1251,1944,716
0,0.1,0.1,IID-normal,27.506363,0.08943431546016359,0.08707808450107028,560,1289,2012,734
0,0.1,0.1,Empirical Bernstein,28.401465,0.08451624483934662,0.08238187562832112,534,1231,1891,701
0,0.1,0.1,Platt calibration,30.768736,0.06647549811523963,0.06493399636172148,482,1101,1619,610
0,0.1,0.1,Isotonic calibration,27.950331,0.08773110752109137,0.0842662833480369,542,1251,1944,716
0,0.2,0.5,Multilabel,17.568199,0.18036426327217928,0.17759606680599788,822,2136,4000,1164
0,0.2,0.5,Hoeffding/LTT,18.139896,0.17654751997239881,0.17209299419284338,811,2079,3870,1150
0,0.2,0.5,Hoeffding-Bentkus,17.851759,0.17918310732527212,0.17505737984787967,815,2100,3925,1158
0,0.2,0.5,IID-normal,17.568199,0.18036426327217928,0.17759606680599788,822,2136,4000,1164
0,0.2,0.5,Empirical Bernstein,18.139896,0.17654751997239881,0.17209299419284338,811,2079,3870,1150
0,0.2,0.5,Platt calibration,19.032514,0.16512744570095134,0.15812795353672132,774,1964,3572,1095
0,0.2,0.5,Isotonic calibration,18.432684,0.16986988509605636,0.1646567151791193,795,2038,3741,1121
0,0.2,0.1,Multilabel,17.851759,0.17918310732527212,0.17505737984787967,815,2100,3925,1158
0,0.2,0.1,Hoeffding/LTT,18.432684,0.16986988509605636,0.1646567151791193,795,2038,3741,1121
0,0.2,0.1,Hoeffding-Bentkus,18.139896,0.17654751997239881,0.17209299419284338,811,2079,3870,1150
0,0.2,0.1,IID-normal,17.851759,0.17918310732527212,0.17505737984787967,815,2100,3925,1158
0,0.2,0.1,Empirical Bernstein,18.432684,0.16986988509605636,0.1646567151791193,795,2038,3741,1121
0,0.2,0.1,Platt calibration,19.032514,0.16512744570095134,0.15812795353672132,774,1964,3572,1095
0,0.2,0.1,Isotonic calibration,18.432684,0.16986988509605636,0.1646567151791193,795,2038,3741,1121
1,0.05,0.5,Multilabel,34.973566,0.04107944200835961,0.03901959678026029,438,890,1221,504
1,0.05,0.5,Hoeffding/LTT,35.538059,0.03856347924199297,0.03696618350054369,425,870,1186,487
1,0.05,0.5,Hoeffding-Bentkus,34.973566,0.04107944200835961,0.03901959678026029,438,890,1221,504
1,0.05,0.5,IID-normal,34.973566,0.04107944200835961,0.03901959678026029,438,890,1221,504
1,0.05,0.5,Empirical Bernstein,34.973566,0.04107944200835961,0.03901959678026029,438,890,1221,504
1,0.05,0.5,Platt calibration,40.394661,0.026700771854245197,0.025568993933922844,334,687,913,375
1,0.05,0.5,Isotonic calibration,36.111663,0.03794279047106187,0.03628199736019641,414,839,1138,476
1,0.05,0.1,Multilabel,34.973566,0.04107944200835961,0.03901959678026029,438,890,1221,504
1,0.05,0.1,Hoeffding/LTT,37.784172,0.03303395132958946,0.03133069865889771,381,773,1042,433
1,0.05,0.1,Hoeffding-Bentkus,34.973566,0.04107944200835961,0.03901959678026029,438,890,1221,504
1,0.05,0.1,IID-normal,34.973566,0.04107944200835961,0.03901959678026029,438,890,1221,504
1,0.05,0.1,Empirical Bernstein,35.538059,0.03856347924199297,0.03696618350054369,425,870,1186,487
1,0.05,0.1,Platt calibration,40.394661,0.026700771854245197,0.025568993933922844,334,687,913,375
1,0.05,0.1,Isotonic calibration,36.111663,0.03794279047106187,0.03628199736019641,414,839,1138,476
1,0.1,0.5,Multilabel,27.159271,0.08586339974869864,0.08861037593265081,608,1353,2096,757
1,0.1,0.5,Hoeffding/LTT,28.401465,0.0784321870913147,0.080759396606553,570,1260,1911,710
1,0.1,0.5,Hoeffding-Bentkus,27.506363,0.0835186039951791,0.08615393953071677,592,1318,2031,738
1,0.1,0.5,IID-normal,27.159271,0.08586339974869864,0.08861037593265081,608,1353,2096,757
1,0.1,0.5,Empirical Bernstein,27.950331,0.08047452368130882,0.0829974593600186,581,1286,1963,723
1,0.1,0.5,Platt calibration,30.768736,0.06406531271636279,0.06329907914623555,528,1137,1649,638
1,0.1,0.5,Isotonic calibration,28.401465,0.0784321870913147,0.080759396606553,570,1260,1911,710
1,0.1,0.1,Multilabel,27.950331,0.08047452368130882,0.0829974593600186,581,1286,1963,723
1,0.1,0.1,Hoeffding/LTT,29.325694,0.07351027002077083,0.0753043724311497,560,1222,1820,691
1,0.1,0.1,Hoeffding-Bentkus,27.950331,0.08047452368130882,0.0829974593600186,581,1286,1963,723
1,0.1,0.1,IID-normal,27.950331,0.08047452368130882,0.0829974593600186,581,1286,1963,723
1,0.1,0.1,Empirical Bernstein,28.401465,0.0784321870913147,0.080759396606553,570,1260,1911,710
1,0.1,0.1,Platt calibration,30.768736,0.06406531271636279,0.06329907914623555,528,1137,1649,638
1,0.1,0.1,Isotonic calibration,28.401465,0.0784321870913147,0.080759396606553,570,1260,1911,710
1,0.2,0.5,Multilabel,17.851759,0.16602722353933985,0.17433187294777128,873,2187,3904,1156
1,0.2,0.5,Hoeffding/LTT,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
1,0.2,0.5,Hoeffding-Bentkus,18.139896,0.16379987271748175,0.17109644657845863,867,2154,3839,1146
1,0.2,0.5,IID-normal,17.851759,0.16602722353933985,0.17433187294777128,873,2187,3904,1156
1,0.2,0.5,Empirical Bernstein,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
1,0.2,0.5,Platt calibration,19.032514,0.15127197430105346,0.15670621087467276,839,2048,3559,1098
1,0.2,0.5,Isotonic calibration,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
1,0.2,0.1,Multilabel,18.139896,0.16379987271748175,0.17109644657845863,867,2154,3839,1146
1,0.2,0.1,Hoeffding/LTT,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
1,0.2,0.1,Hoeffding-Bentkus,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
1,0.2,0.1,IID-normal,18.139896,0.16379987271748175,0.17109644657845863,867,2154,3839,1146
1,0.2,0.1,Empirical Bernstein,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
1,0.2,0.1,Platt calibration,19.032514,0.15127197430105346,0.15670621087467276,839,2048,3559,1098
1,0.2,0.1,Isotonic calibration,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
2,0.05,0.5,Multilabel,34.973566,0.04004769597661358,0.039324182926078664,421,871,1188,483
2,0.05,0.5,Hoeffding/LTT,36.111663,0.03677282867912917,0.03642219418285769,404,823,1108,462
2,0.05,0.5,Hoeffding-Bentkus,34.973566,0.04004769597661358,0.039324182926078664,421,871,1188,483
2,0.05,0.5,IID-normal,34.973566,0.04004769597661358,0.039324182926078664,421,871,1188,483
2,0.05,0.5,Empirical Bernstein,34.973566,0.04004769597661358,0.039324182926078664,421,871,1188,483
2,0.05,0.5,Platt calibration,40.394661,0.02397799830756212,0.024932594393494864,311,668,860,348
2,0.05,0.5,Isotonic calibration,35.538059,0.03790830063851065,0.03717203346942683,412,853,1156,470
2,0.05,0.1,Multilabel,34.973566,0.04004769597661358,0.039324182926078664,421,871,1188,483
2,0.05,0.1,Hoeffding/LTT,37.784172,0.029473036387414414,0.030686391675728165,360,758,998,406
2,0.05,0.1,Hoeffding-Bentkus,35.538059,0.03790830063851065,0.03717203346942683,412,853,1156,470
2,0.05,0.1,IID-normal,34.973566,0.04004769597661358,0.039324182926078664,421,871,1188,483
2,0.05,0.1,Empirical Bernstein,35.538059,0.03790830063851065,0.03717203346942683,412,853,1156,470
2,0.05,0.1,Platt calibration,40.394661,0.02397799830756212,0.024932594393494864,311,668,860,348
2,0.05,0.1,Isotonic calibration,35.538059,0.03790830063851065,0.03717203346942683,412,853,1156,470
2,0.1,0.5,Multilabel,27.159271,0.0863231787060543,0.08846449429980235,585,1310,2022,737
2,0.1,0.5,Hoeffding/LTT,28.401465,0.07723286406646665,0.08033743836468955,556,1222,1857,690
2,0.1,0.5,Hoeffding-Bentkus,27.506363,0.08281867835987383,0.08577865657249543,576,1283,1971,721
2,0.1,0.5,IID-normal,27.159271,0.0863231787060543,0.08846449429980235,585,1310,2022,737
2,0.1,0.5,Empirical Bernstein,27.950331,0.08007615970459266,0.08256652510207012,568,1248,1906,707
