repeat,rule,label,fdp,correct,total,units,supp_units,fmax,prec,rec
0,Fmax,score>=5.12019,0.5537470000577966,5759.0,19927.0,2401,1503,0.33966228863490383,0.28169360177630676,0.42767115816467194
0,Fmax-full,score>=1,0.7857133402135746,12048.0,79889.0,2914,2125,0.06896076531725863,0.1633166169577211,0.04370835175252176
0,Top-1,top1,0.602907915993538,1048.0,2914.0,2914,1048,,,
0,Top-3,top3,0.6397415185783522,2776.0,8533.0,2914,1451,,,
1,Fmax,score>=5.12019,0.5423389565918844,5816.0,19919.0,2343,1512,0.3404702522873156,0.2828444578838917,0.427585007590409
1,Fmax-full,score>=1,0.7814733522608539,12042.0,81089.0,2901,2147,0.06894843345060404,0.1629866318366333,0.04372212960433018
1,Top-1,top1,0.5909531502423263,1072.0,2901.0,2901,1072,,,
1,Top-3,top3,0.6315562735595047,2813.0,8498.0,2901,1482,,,
2,Fmax,score>=5.12019,0.5466112287801422,5680.0,19555.0,2360,1488,0.34269502177496264,0.2830317831394669,0.43423116402256756
2,Fmax-full,score>=1,0.7847753191755868,12097.0,80222.0,2913,2158,0.06852704607214365,0.16301245273494686,0.043381960087076545
2,Top-1,top1,0.6009693053311793,1053.0,2913.0,2913,1053,,,
2,Top-3,top3,0.642541733979537,2754.0,8524.0,2913,1457,,,
3,Fmax,score>=5.21146,0.5459395603541117,5682.0,19497.0,2358,1476,0.34177086248726113,0.28494911318169214,0.4268988275776071
3,Fmax-full,score>=1,0.7857940849932206,11907.0,80640.0,2923,2150,0.06873541228170645,0.16224346758354985,0.043604321524866624
3,Top-1,top1,0.6067851373182552,1045.0,2923.0,2923,1045,,,
3,Top-3,top3,0.6427032848680668,2765.0,8565.0,2923,1457,,,
4,Fmax,score>=5.21146,0.5491293821338277,5395.0,19526.0,2346,1463,0.34444527589069424,0.28831401271671026,0.42771652867813786
4,Fmax-full,score>=1,0.7861437388598072,11692.0,80668.0,2902,2125,0.06954333680059398,0.16498778292489163,0.044056762858493616
4,Top-1,top1,0.6048465266558966,1030.0,2902.0,2902,1030,,,
4,Top-3,top3,0.6483575659666128,2655.0,8497.0,2902,1419,,,
5,Fmax,score>=5.12019,0.5393842449439581,5796.0,19871.0,2363,1533,0.3360358592048969,0.27857469904138127,0.4233620827570544
5,Fmax-full,score>=1,0.7858160739619494,12046.0,80696.0,2903,2143,0.06850112665380076,0.16471601116181941,0.04324222439638419
5,Top-1,top1,0.5912762520193862,1073.0,2903.0,2903,1073,,,
5,Top-3,top3,0.6304254173397954,2833.0,8518.0,2903,1472,,,
