repeat,alpha,delta,arm,label,fdp,pool_risk,correct,total,units,supp_units,frontier,frontier_all
0,0.05,0.5,global-coarse,global_37.7842,0.0315578121393953,0.031446403780527,771,1027,394,338,771,772
0,0.05,0.5,global-dense,global_33.3333,0.0515626843090494,0.0493672336089397,961,1352,526,423,961,961
0,0.05,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0407030027950868,0.0403792922454059,993,1387,477,415,883,883
0,0.05,0.5,goco-N,top4337,0.0478190630048465,0.0476959848997763,1118,1355,769,659,883,908
0,0.05,0.1,global-coarse,global_37.7842,0.0315578121393953,0.031446403780527,771,1027,394,338,771,772
0,0.05,0.1,global-dense,global_33.8713,0.0500687232351206,0.0477297518174295,932,1306,513,413,932,946
0,0.05,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0407030027950868,0.0403792922454059,993,1387,477,415,883,883
0,0.05,0.1,goco-N,top3813,0.0395457342872528,0.0389566791817976,992,1178,694,599,862,879
0,0.1,0.5,global-coarse,global_27.1593,0.0926267405185014,0.0897950818270723,1315,2071,749,568,1319,1322
0,0.1,0.5,global-dense,global_25.7999,0.1001923224863451,0.0994913590885154,1396,2228,790,595,1396,1396
0,0.1,0.5,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1034275713516424,0.099563594646533,1573,2593,825,644,1427,1438
0,0.1,0.5,goco-N,top8259,0.1098262220637018,0.1029759612186367,1898,2584,1157,921,1462,1463
0,0.1,0.1,global-coarse,global_27.1593,0.0926267405185014,0.0897950818270723,1315,2071,749,568,1319,1322
0,0.1,0.1,global-dense,global_26.6395,0.0967947534425725,0.0946803426957455,1331,2124,766,575,1331,1334
0,0.1,0.1,goco-M,adapt_27.1593_to_23.0262_q0.6,0.0950861604738825,0.0924225327068929,1526,2478,787,620,1319,1324
0,0.1,0.1,goco-N,top7261,0.09290535169372,0.088224753070186,1707,2269,1069,868,1319,1322
0,0.2,0.5,global-coarse,global_16.5512,0.2058049848195244,0.1998286289324634,2253,4386,1256,857,2253,2253
0,0.2,0.5,global-dense,global_16.4783,0.2079514203262183,0.2014004847778005,2264,4432,1261,860,2264,2264
0,0.2,0.5,goco-M,adapt_16.5512_to_14.0325_q0.5,0.2083198564135559,0.202248309400399,2518,5094,1259,883,2264,2268
0,0.2,0.5,goco-N,top13828,0.1948927710236272,0.1895939808073586,2685,4308,1568,1170,2202,2221
0,0.2,0.1,global-coarse,global_19.5221,0.1599129420211811,0.1537619571414272,1927,3449,1077,766,1927,1931
0,0.2,0.1,global-dense,global_16.7443,0.1958183191785776,0.1924695780307585,2228,4285,1225,849,2228,2229
0,0.2,0.1,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1749218399622276,0.169444814484668,2209,4218,1133,823,2038,2079
0,0.2,0.1,goco-N,top13828,0.1948927710236272,0.1895939808073586,2685,4308,1568,1170,2202,2221
1,0.05,0.5,global-coarse,global_37.7842,0.0330339513295894,0.0313306986588977,773,1042,433,381,773,790
1,0.05,0.5,global-dense,global_33.3333,0.0474148011385491,0.0481067444930004,991,1385,553,477,991,991
1,0.05,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0488002923301792,0.048346147664868,1056,1493,555,484,991,1004
1,0.05,0.5,goco-N,top4933,0.0480783137164397,0.0472049968199257,1273,1547,851,752,991,991
1,0.05,0.1,global-coarse,global_37.7842,0.0330339513295894,0.0313306986588977,773,1042,433,381,773,790
1,0.05,0.1,global-dense,global_33.8713,0.0450578249608944,0.0458579105202327,965,1336,539,468,965,967
1,0.05,0.1,goco-M,adapt_37.7842_to_32.0342_q0.6,0.0396457419801523,0.0390739230490415,1003,1395,503,450,870,884
1,0.05,0.1,goco-N,top4933,0.0480783137164397,0.0472049968199257,1273,1547,851,752,991,991
1,0.1,0.5,global-coarse,global_27.1593,0.0858633997486986,0.0886103759326508,1353,2096,757,608,1353,1355
1,0.1,0.5,global-dense,global_25.7999,0.0953379747160037,0.0983146033797692,1444,2265,809,642,1444,1450
1,0.1,0.5,goco-M,adapt_27.1593_to_23.0262_q0.75,0.0929420211811165,0.0963648417143677,1622,2574,832,692,1401,1429
1,0.1,0.5,goco-N,top8259,0.0922763289483806,0.0944185849695328,1943,2574,1158,965,1375,1415
1,0.1,0.1,global-coarse,global_27.1593,0.0858633997486986,0.0886103759326508,1353,2096,757,608,1353,1355
1,0.1,0.1,global-dense,global_26.6395,0.0895090647998564,0.0931545481900932,1375,2146,779,622,1375,1378
1,0.1,0.1,goco-M,adapt_27.1593_to_23.0262_q0.6,0.0887878554760622,0.0924343724995383,1584,2503,802,671,1357,1366
1,0.1,0.1,goco-N,top8259,0.0922763289483806,0.0944185849695328,1943,2574,1158,965,1375,1415
1,0.2,0.5,global-coarse,global_19.5221,0.1448535318567628,0.1518054576353801,2006,3438,1077,829,2006,2006
1,0.2,0.5,global-dense,global_16.7443,0.1827793163576685,0.1913880876531673,2329,4281,1228,909,2329,2332
1,0.2,0.5,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1612271456778726,0.1663776320739914,2315,4204,1141,885,2111,2129
1,0.2,0.5,goco-N,top13828,0.1880952560274046,0.1879915105599078,2811,4314,1635,1259,2329,2339
1,0.2,0.1,global-coarse,global_19.5221,0.1448535318567628,0.1518054576353801,2006,3438,1077,829,2006,2006
1,0.2,0.1,global-dense,global_17.0145,0.1754638701811561,0.1834189414515782,2292,4172,1199,899,2292,2310
1,0.2,0.1,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1612271456778726,0.1663776320739914,2315,4204,1141,885,2111,2129
1,0.2,0.1,goco-N,top13828,0.1880952560274046,0.1879915105599078,2811,4314,1635,1259,2329,2339
2,0.05,0.5,global-coarse,global_37.7842,0.0294730363874144,0.0306863916757281,758,998,406,360,758,759
2,0.05,0.5,global-dense,global_33.3333,0.0486529733056388,0.0485659745730835,955,1342,533,456,955,955
2,0.05,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0390149242249403,0.0400340148266688,984,1364,478,429,853,862
2,0.05,0.5,goco-N,top4337,0.0457065928148319,0.0467995373504852,1027,1250,780,662,871,903
2,0.05,0.1,global-coarse,global_37.7842,0.0294730363874144,0.0306863916757281,758,998,406,360,758,759
2,0.05,0.1,global-dense,global_33.8713,0.0472390183860296,0.0463330409716665,922,1290,517,441,922,950
2,0.05,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0390149242249403,0.0400340148266688,984,1364,478,429,853,862
2,0.05,0.1,goco-N,top3813,0.0382175551965535,0.0394874181900248,942,1124,732,632,853,855
2,0.1,0.5,global-coarse,global_27.1593,0.0863231787060543,0.0884644942998023,1310,2022,737,585,1310,1312
2,0.1,0.5,global-dense,global_26.2163,0.0919639972305562,0.0954253092878685,1354,2103,767,602,1354,1386
2,0.1,0.5,goco-M,adapt_27.1593_to_23.0262_q0.75,0.0932812780470292,0.0946431136004595,1576,2503,791,646,1354,1392
2,0.1,0.5,goco-N,top7261,0.087284534707798,0.0885402814070414,1635,2169,1089,880,1314,1319
2,0.1,0.1,global-coarse,global_27.1593,0.0863231787060543,0.0884644942998023,1310,2022,737,585,1310,1312
2,0.1,0.1,global-dense,global_26.6395,0.090496576659743,0.0932976942751824,1326,2065,753,592,1326,1333
2,0.1,0.1,goco-M,adapt_27.1593_to_23.0262_q0.75,0.0932812780470292,0.0946431136004595,1576,2503,791,646,1354,1392
2,0.1,0.1,goco-N,top7261,0.087284534707798,0.0885402814070414,1635,2169,1089,880,1314,1319
2,0.2,0.5,global-coarse,global_19.5221,0.1463068954022104,0.1518741533013398,1930,3314,1049,782,1930,1933
2,0.2,0.5,global-dense,global_16.7443,0.1851038155884682,0.1913325062964227,2217,4101,1201,853,2217,2219
2,0.2,0.5,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1576909376747825,0.1635389728156854,2181,3973,1092,827,1984,2010
2,0.2,0.5,goco-N,top13828,0.1851808046557642,0.1872898604937596,2648,4114,1540,1159,2217,2219
2,0.2,0.1,global-coarse,global_19.5221,0.1463068954022104,0.1518741533013398,1930,3314,1049,782,1930,1933
2,0.2,0.1,global-dense,global_17.0145,0.1777162892752553,0.1831023561985432,2204,4016,1179,850,2204,2204
2,0.2,0.1,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1576909376747825,0.1635389728156854,2181,3973,1092,827,1984,2010
2,0.2,0.1,goco-N,top13828,0.1851808046557642,0.1872898604937596,2648,4114,1540,1159,2217,2219
3,0.05,0.5,global-coarse,global_37.7842,0.0321983742339154,0.0320040708370092,771,1024,409,350,771,781
3,0.05,0.5,global-dense,global_33.3333,0.0534969356617175,0.0502906519494197,961,1369,545,445,961,966
3,0.05,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0443758494243146,0.0421963371015503,991,1400,500,432,870,875
3,0.05,0.5,goco-N,top4933,0.0465934003171482,0.0475893920933774,1152,1463,756,646,870,903
3,0.05,0.1,global-coarse,global_37.7842,0.0321983742339154,0.0320040708370092,771,1024,409,350,771,781
3,0.05,0.1,global-dense,global_33.8713,0.0515360155909428,0.0480900320059087,926,1312,527,429,926,931
3,0.05,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0443758494243146,0.0421963371015503,991,1400,500,432,870,875
3,0.05,0.1,goco-N,top4337,0.0402965451349942,0.0400578588078588,1035,1295,688,592,828,837
