repeat,alpha,yield_M_T,yield_N_T,choose_N,label_M,label_N
0,0.05,360,279,0,adapt_37.7842_to_32.0342_q0.75,top2590
0,0.1,530,591,1,adapt_27.1593_to_23.0262_q0.6,top7261
0,0.2,751,835,1,adapt_19.5221_to_16.5512_q0.75,top12156
1,0.05,321,247,0,adapt_37.7842_to_32.0342_q0.6,top2946
1,0.1,406,440,1,adapt_32.0342_to_27.1593_q0.75,top5612
1,0.2,714,736,1,adapt_19.5221_to_16.5512_q0.75,top10687
2,0.05,316,263,0,adapt_37.7842_to_32.0342_q0.75,top2946
2,0.1,405,435,1,adapt_32.0342_to_27.1593_q0.75,top5612
2,0.2,708,712,1,adapt_19.5221_to_16.5512_q0.75,top10687
3,0.05,331,338,1,adapt_37.7842_to_32.0342_q0.75,top3813
3,0.1,527,492,0,adapt_27.1593_to_23.0262_q0.75,top6383
3,0.2,751,803,1,adapt_19.5221_to_16.5512_q0.75,top12156
4,0.05,374,332,0,adapt_32.0342_to_27.1593_q0.4,top4337
4,0.1,507,502,0,adapt_27.1593_to_23.0262_q0.75,top7261
4,0.2,709,821,1,adapt_19.5221_to_16.5512_q0.75,top13828
5,0.05,262,255,0,adapt_37.7842_to_32.0342_q0.75,top3352
5,0.1,448,479,1,adapt_27.1593_to_23.0262_q0.75,top6383
5,0.2,788,748,0,adapt_16.5512_to_14.0325_q0.75,top12156
6,0.05,289,260,0,adapt_37.7842_to_32.0342_q0.75,top3352
6,0.1,466,394,0,adapt_27.1593_to_23.0262_q0.75,top5612
6,0.2,744,726,0,adapt_16.5512_to_14.0325_q0.4,top12156
7,0.05,297,336,1,adapt_37.7842_to_32.0342_q0.75,top3352
7,0.1,377,565,1,adapt_32.0342_to_27.1593_q0.75,top6383
7,0.2,671,860,1,adapt_19.5221_to_16.5512_q0.75,top12156
8,0.05,398,332,0,adapt_32.0342_to_27.1593_q0.6,top3813
8,0.1,511,503,0,adapt_27.1593_to_23.0262_q0.75,top6383
8,0.2,853,858,1,adapt_16.5512_to_14.0325_q0.75,top13828
9,0.05,324,283,0,adapt_37.7842_to_32.0342_q0.75,top3813
9,0.1,501,470,0,adapt_27.1593_to_23.0262_q0.6,top7261
9,0.2,736,729,0,adapt_19.5221_to_16.5512_q0.75,top12156
10,0.05,288,256,0,adapt_37.7842_to_32.0342_q0.75,top3352
10,0.1,461,387,0,adapt_27.1593_to_23.0262_q0.75,top5612
10,0.2,784,753,0,adapt_16.5512_to_14.0325_q0.6,top12156
11,0.05,311,349,1,adapt_37.7842_to_32.0342_q0.75,top3813
11,0.1,520,507,0,adapt_27.1593_to_23.0262_q0.75,top6383
11,0.2,711,765,1,adapt_19.5221_to_16.5512_q0.75,top12156
12,0.05,365,359,0,adapt_37.7842_to_32.0342_q0.75,top3813
12,0.1,546,522,0,adapt_27.1593_to_23.0262_q0.75,top6383
12,0.2,756,797,1,adapt_19.5221_to_16.5512_q0.75,top12156
13,0.05,322,273,0,adapt_37.7842_to_32.0342_q0.75,top2946
13,0.1,505,531,1,adapt_27.1593_to_23.0262_q0.6,top6383
