repeat,alpha,K,yield_M_T,yield_N_T,choose_N,label_M,label_N
0,0.05,10,359,379,1,adapt_37.7842_to_32.0342_q0.75,top4337
0,0.1,10,530,573,1,adapt_27.1593_to_23.0262_q0.6,top7261
0,0.2,10,754,888,1,adapt_19.5221_to_16.5512_q0.75,top13828
1,0.05,10,333,325,0,adapt_37.7842_to_32.0342_q0.75,top3813
1,0.1,10,404,487,1,adapt_32.0342_to_27.1593_q0.75,top6383
1,0.2,10,711,788,1,adapt_19.5221_to_16.5512_q0.75,top12156
2,0.05,10,315,291,0,adapt_37.7842_to_32.0342_q0.75,top3352
2,0.1,10,405,486,1,adapt_32.0342_to_27.1593_q0.75,top6383
2,0.2,10,707,817,1,adapt_19.5221_to_16.5512_q0.75,top12156
3,0.05,10,331,367,1,adapt_37.7842_to_32.0342_q0.75,top4337
3,0.1,10,528,612,1,adapt_27.1593_to_23.0262_q0.75,top8259
3,0.2,10,749,887,1,adapt_19.5221_to_16.5512_q0.75,top13828
4,0.05,10,369,340,0,adapt_32.0342_to_27.1593_q0.35,top4933
4,0.1,10,507,546,1,adapt_27.1593_to_23.0262_q0.75,top8259
4,0.2,10,708,893,1,adapt_19.5221_to_16.5512_q0.75,top15729
5,0.05,10,261,291,1,adapt_37.7842_to_32.0342_q0.75,top3813
5,0.1,10,447,515,1,adapt_27.1593_to_23.0262_q0.75,top7261
5,0.2,10,783,832,1,adapt_16.5512_to_14.0325_q0.75,top13828
6,0.05,10,290,273,0,adapt_37.7842_to_32.0342_q0.75,top3813
6,0.1,10,466,439,0,adapt_27.1593_to_23.0262_q0.75,top6383
6,0.2,10,745,714,0,adapt_16.5512_to_14.0325_q0.4,top12156
7,0.05,10,297,343,1,adapt_37.7842_to_32.0342_q0.75,top4337
7,0.1,10,377,566,1,adapt_32.0342_to_27.1593_q0.75,top7261
7,0.2,10,671,1022,1,adapt_19.5221_to_16.5512_q0.75,top15729
8,0.05,10,397,355,0,adapt_32.0342_to_27.1593_q0.6,top4337
8,0.1,10,516,565,1,adapt_27.1593_to_23.0262_q0.75,top7261
8,0.2,10,855,900,1,adapt_16.5512_to_14.0325_q0.75,top13828
9,0.05,10,326,354,1,adapt_37.7842_to_32.0342_q0.75,top4337
9,0.1,10,503,611,1,adapt_27.1593_to_23.0262_q0.6,top8259
9,0.2,10,738,901,1,adapt_19.5221_to_16.5512_q0.75,top13828
10,0.05,10,287,263,0,adapt_37.7842_to_32.0342_q0.75,top3813
10,0.1,10,461,473,1,adapt_27.1593_to_23.0262_q0.75,top7261
10,0.2,10,782,742,0,adapt_16.5512_to_14.0325_q0.6,top12156
11,0.05,10,312,319,1,adapt_37.7842_to_32.0342_q0.75,top3813
11,0.1,10,519,532,1,adapt_27.1593_to_23.0262_q0.75,top7261
11,0.2,10,709,1015,1,adapt_19.5221_to_16.5512_q0.75,top15729
12,0.05,10,366,403,1,adapt_37.7842_to_32.0342_q0.75,top4933
12,0.1,10,535,567,1,adapt_27.1593_to_23.0262_q0.6,top7261
12,0.2,10,757,910,1,adapt_19.5221_to_16.5512_q0.75,top13828
13,0.05,10,322,357,1,adapt_37.7842_to_32.0342_q0.75,top4337
13,0.1,10,520,636,1,adapt_27.1593_to_23.0262_q0.75,top8259
13,0.2,10,849,1037,1,adapt_16.5512_to_14.0325_q0.5,top15729
14,0.05,10,293,296,1,adapt_37.7842_to_32.0342_q0.75,top3813
14,0.1,10,452,468,1,adapt_27.1593_to_23.0262_q0.6,top6383
14,0.2,10,649,749,1,adapt_19.5221_to_16.5512_q0.75,top12156
15,0.05,10,311,359,1,adapt_37.7842_to_32.0342_q0.75,top4337
15,0.1,10,499,532,1,adapt_27.1593_to_23.0262_q0.75,top7261
15,0.2,10,826,863,1,adapt_16.5512_to_14.0325_q0.75,top13828
16,0.05,10,365,381,1,adapt_37.7842_to_32.0342_q0.75,top4337
16,0.1,10,539,528,0,adapt_27.1593_to_23.0262_q0.5,top6383
16,0.2,10,784,957,1,adapt_19.5221_to_16.5512_q0.75,top13828
17,0.05,10,296,342,1,adapt_37.7842_to_32.0342_q0.75,top4337
17,0.1,10,452,585,1,adapt_27.1593_to_23.0262_q0.5,top8259
17,0.2,10,702,867,1,adapt_19.5221_to_16.5512_q0.75,top13828
18,0.05,10,324,372,1,adapt_37.7842_to_32.0342_q0.75,top4337
