repeat,rule,cutoff,fdp,correct,total,units,supp_units
0,cutoff0.30103,0.30103,0.8615695175887997,26532.0,313827.0,2371,2132
0,cutoff0.5,0.5,0.8502766961099557,23628.0,234579.0,2369,2093
0,cutoff1,1.0,0.8232335550956996,19629.0,155471.0,2369,2008
0,cutoff1.30103,1.30103,0.80985356111747,17566.0,120566.0,2369,1958
0,cutoff2,2.0,0.785306948090723,14719.0,82402.0,2365,1896
1,cutoff0.30103,0.30103,0.866200043212208,26294.0,313089.0,2380,2117
1,cutoff0.5,0.5,0.8538485731079668,23474.0,233741.0,2376,2067
1,cutoff1,1.0,0.8272563757524961,19447.0,155000.0,2376,1983
1,cutoff1.30103,1.30103,0.8134860315722043,17416.0,120304.0,2376,1943
1,cutoff2,2.0,0.7892348906512839,14533.0,81942.0,2373,1873
2,cutoff0.30103,0.30103,0.8627386742427299,26920.0,311883.0,2370,2126
2,cutoff0.5,0.5,0.852321147970596,23947.0,234739.0,2368,2082
2,cutoff1,1.0,0.8262657512963341,19789.0,155058.0,2366,1984
2,cutoff1.30103,1.30103,0.8125265167506791,17707.0,120012.0,2366,1942
2,cutoff2,2.0,0.788340597098955,14714.0,81991.0,2364,1876
3,cutoff0.30103,0.30103,0.8648504971146234,26366.0,314974.0,2376,2140
3,cutoff0.5,0.5,0.85371534700254,23591.0,236597.0,2374,2099
3,cutoff1,1.0,0.8286947447412718,19375.0,156260.0,2374,2019
3,cutoff1.30103,1.30103,0.8159017289918636,17351.0,121356.0,2374,1964
3,cutoff2,2.0,0.7917967281053111,14448.0,82762.0,2367,1896
4,cutoff0.30103,0.30103,0.8646271160229412,27681.0,322724.0,2389,2139
4,cutoff0.5,0.5,0.853262075700925,24651.0,238249.0,2387,2108
4,cutoff1,1.0,0.8269334902744689,20386.0,158600.0,2387,2037
4,cutoff1.30103,1.30103,0.8133859498193664,18176.0,123285.0,2387,1985
4,cutoff2,2.0,0.7882386678989102,15204.0,84134.0,2379,1909
5,cutoff0.30103,0.30103,0.8690117658747595,26790.0,315412.0,2382,2138
5,cutoff0.5,0.5,0.8575074112256764,23922.0,236543.0,2380,2097
5,cutoff1,1.0,0.8316159051568709,19759.0,156456.0,2378,2013
5,cutoff1.30103,1.30103,0.8174769491079962,17677.0,121306.0,2378,1959
5,cutoff2,2.0,0.793930270711209,14805.0,83394.0,2371,1882
6,cutoff0.30103,0.30103,0.8642710085243333,27160.0,313050.0,2385,2162
6,cutoff0.5,0.5,0.8537309323932906,24342.0,235880.0,2384,2126
6,cutoff1,1.0,0.8268624568574842,20140.0,156167.0,2383,2036
6,cutoff1.30103,1.30103,0.8124165088776982,18034.0,121368.0,2383,1988
6,cutoff2,2.0,0.7884782605285602,15052.0,83308.0,2380,1911
7,cutoff0.30103,0.30103,0.8663145834693325,26986.0,315697.0,2379,2126
7,cutoff0.5,0.5,0.8557845502798818,24158.0,237449.0,2379,2092
7,cutoff1,1.0,0.8291582828129068,19818.0,157740.0,2376,1999
7,cutoff1.30103,1.30103,0.8156812060355163,17659.0,122314.0,2376,1957
7,cutoff2,2.0,0.7922061235131058,14589.0,83340.0,2372,1875
8,cutoff0.30103,0.30103,0.8661471463359568,27159.0,321817.0,2377,2142
8,cutoff0.5,0.5,0.8549424376362696,24067.0,239649.0,2374,2105
8,cutoff1,1.0,0.8286308517536478,19901.0,158979.0,2373,2008
8,cutoff1.30103,1.30103,0.8151897357492691,17744.0,122684.0,2373,1963
8,cutoff2,2.0,0.7907190599433457,14744.0,83226.0,2368,1887
9,cutoff0.30103,0.30103,0.8615920640693895,26388.0,309245.0,2371,2120
9,cutoff0.5,0.5,0.8509050972301934,23640.0,233097.0,2370,2071
9,cutoff1,1.0,0.8242450236358765,19451.0,153800.0,2369,1978
9,cutoff1.30103,1.30103,0.8099935746564331,17319.0,118744.0,2369,1938
9,cutoff2,2.0,0.7855337641674109,14421.0,81131.0,2364,1863
10,cutoff0.30103,0.30103,0.8641925898048803,27383.0,321863.0,2372,2126
10,cutoff0.5,0.5,0.8536958278719833,24295.0,238884.0,2371,2090
10,cutoff1,1.0,0.8275218417188802,20066.0,158977.0,2368,2004
10,cutoff1.30103,1.30103,0.8145191790160803,17876.0,122888.0,2368,1951
10,cutoff2,2.0,0.7886109944564783,14832.0,83778.0,2361,1880
11,cutoff0.30103,0.30103,0.862435769229206,26659.0,309275.0,2370,2111
11,cutoff0.5,0.5,0.8512347592598454,23883.0,233418.0,2368,2082
11,cutoff1,1.0,0.8250379535938823,19804.0,155078.0,2367,2001
11,cutoff1.30103,1.30103,0.8104541345545198,17772.0,120413.0,2367,1962
11,cutoff2,2.0,0.7861522385875334,14757.0,82306.0,2361,1885
12,cutoff0.30103,0.30103,0.8628655189661641,27271.0,322475.0,2373,2110
12,cutoff0.5,0.5,0.8520412984241913,24345.0,240234.0,2371,2069
12,cutoff1,1.0,0.8259004991504416,20135.0,159691.0,2370,2004
12,cutoff1.30103,1.30103,0.8130038065717714,17979.0,123986.0,2370,1957
12,cutoff2,2.0,0.7889224338823486,14910.0,84001.0,2365,1879
13,cutoff0.30103,0.30103,0.865676658600247,27044.0,319203.0,2375,2129
13,cutoff0.5,0.5,0.8549639192039019,24223.0,239635.0,2374,2078
13,cutoff1,1.0,0.8289958612901979,19979.0,158802.0,2372,1989
13,cutoff1.30103,1.30103,0.8152793262389106,17757.0,122472.0,2372,1947
13,cutoff2,2.0,0.7907060198129165,14780.0,83293.0,2365,1879
14,cutoff0.30103,0.30103,0.8699890229261356,26394.0,313572.0,2383,2149
14,cutoff0.5,0.5,0.8595182113850074,23613.0,237139.0,2382,2109
14,cutoff1,1.0,0.8327132728888416,19425.0,156660.0,2382,2020
14,cutoff1.30103,1.30103,0.8196324266096232,17325.0,121621.0,2382,1969
14,cutoff2,2.0,0.795045506243579,14453.0,83217.0,2378,1911
15,cutoff0.30103,0.30103,0.8598240532412034,27232.0,305625.0,2372,2133
15,cutoff0.5,0.5,0.8494176488176103,24385.0,232808.0,2371,2101
15,cutoff1,1.0,0.8216103912029735,20124.0,153393.0,2370,2025
15,cutoff1.30103,1.30103,0.8079100076663958,18016.0,118558.0,2370,1977
15,cutoff2,2.0,0.7826376276688325,15146.0,81804.0,2366,1911
16,cutoff0.30103,0.30103,0.8609417143196133,27189.0,315939.0,2372,2125
16,cutoff0.5,0.5,0.8493622852275035,24254.0,236780.0,2370,2099
16,cutoff1,1.0,0.8227881289984709,20099.0,157846.0,2370,2024
16,cutoff1.30103,1.30103,0.8099129986477097,17930.0,122129.0,2370,1975
16,cutoff2,2.0,0.785204807827346,15019.0,83562.0,2366,1909
17,cutoff0.30103,0.30103,0.870940870231506,26305.0,313706.0,2385,2165
17,cutoff0.5,0.5,0.8604337034008755,23404.0,236230.0,2384,2118
17,cutoff1,1.0,0.8352130566903798,19230.0,155944.0,2382,2031
17,cutoff1.30103,1.30103,0.821661332935707,17182.0,120591.0,2382,1984
17,cutoff2,2.0,0.7988724045883505,14284.0,82330.0,2380,1907
18,cutoff0.30103,0.30103,0.8645013859524815,27006.0,314858.0,2377,2117
18,cutoff0.5,0.5,0.8547699178296738,24203.0,238196.0,2377,2087
18,cutoff1,1.0,0.8282510110876852,20013.0,157222.0,2374,2008
18,cutoff1.30103,1.30103,0.8148915091327544,17878.0,121711.0,2374,1961
18,cutoff2,2.0,0.7897398376877861,14871.0,83025.0,2367,1887
