repeat,alpha,delta,method,threshold,fdp,pool_risk,supp_genes,supp_terms,calls,genes
0,0.05,0.5,Multilabel,58.379583,0.04054366885355715,0.04451270782833757,176,489,768,249
0,0.05,0.5,Hoeffding/LTT,63.245541,0.03442382331501074,0.03686321265987427,170,400,616,234
0,0.05,0.5,Hoeffding-Bentkus,61.252292,0.03800559528734953,0.03942021559623988,172,457,702,242
0,0.05,0.5,IID-normal,58.379583,0.04054366885355715,0.04451270782833757,176,489,768,249
0,0.05,0.5,Empirical Bernstein,61.252292,0.03800559528734953,0.03942021559623988,172,457,702,242
0,0.05,0.5,Platt calibration,49.74199,0.055719900703351255,0.06072758804170033,201,587,1003,302
0,0.05,0.5,Isotonic calibration,55.641604,0.04332111826940126,0.04786719350452279,185,530,846,263
0,0.05,0.1,Multilabel,61.252292,0.03800559528734953,0.03942021559623988,172,457,702,242
0,0.05,0.1,Hoeffding/LTT,66.35769,0.026946036999822686,0.027637638032175206,152,340,498,200
0,0.05,0.1,Hoeffding-Bentkus,61.252292,0.03800559528734953,0.03942021559623988,172,457,702,242
0,0.05,0.1,IID-normal,61.252292,0.03800559528734953,0.03942021559623988,172,457,702,242
0,0.05,0.1,Empirical Bernstein,63.245541,0.03442382331501074,0.03686321265987427,170,400,616,234
0,0.05,0.1,Platt calibration,49.74199,0.055719900703351255,0.06072758804170033,201,587,1003,302
0,0.05,0.1,Isotonic calibration,55.641604,0.04332111826940126,0.04786719350452279,185,530,846,263
0,0.1,0.5,Multilabel,36.111663,0.08947485075950116,0.09060012656370772,296,952,1828,439
0,0.1,0.5,Hoeffding/LTT,37.286795,0.07953270813221165,0.08324229724077979,287,898,1679,415
0,0.1,0.5,Hoeffding-Bentkus,36.694525,0.08579785382640161,0.08768231852450366,292,925,1778,427
0,0.1,0.5,IID-normal,36.111663,0.08947485075950116,0.09060012656370772,296,952,1828,439
0,0.1,0.5,Empirical Bernstein,37.286795,0.07953270813221165,0.08324229724077979,287,898,1679,415
0,0.1,0.5,Platt calibration,33.871338,0.0960373281846182,0.10025674039331096,333,1056,2031,485
0,0.1,0.5,Isotonic calibration,36.694525,0.08579785382640161,0.08768231852450366,292,925,1778,427
0,0.1,0.1,Multilabel,37.286795,0.07953270813221165,0.08324229724077979,287,898,1679,415
0,0.1,0.1,Hoeffding/LTT,41.046654,0.07053050154001747,0.07598710933308808,254,789,1430,369
0,0.1,0.1,Hoeffding-Bentkus,37.286795,0.07953270813221165,0.08324229724077979,287,898,1679,415
0,0.1,0.1,IID-normal,37.286795,0.07953270813221165,0.08324229724077979,287,898,1679,415
0,0.1,0.1,Empirical Bernstein,39.121582,0.07436823163964248,0.07869952505764342,271,856,1555,390
0,0.1,0.1,Platt calibration,33.871338,0.0960373281846182,0.10025674039331096,333,1056,2031,485
0,0.1,0.1,Isotonic calibration,36.694525,0.08579785382640161,0.08768231852450366,292,925,1778,427
0,0.2,0.5,Multilabel,23.81492,0.1808589858226014,0.182837243807904,576,1807,3753,866
0,0.2,0.5,Hoeffding/LTT,24.589896,0.17148011449314718,0.17209207198445067,550,1705,3484,827
0,0.2,0.5,Hoeffding-Bentkus,24.199306,0.17663400330567944,0.17734405506512002,570,1769,3614,855
0,0.2,0.5,IID-normal,23.81492,0.1808589858226014,0.182837243807904,576,1807,3753,866
0,0.2,0.5,Empirical Bernstein,24.589896,0.17148011449314718,0.17209207198445067,550,1705,3484,827
