repeat,rule,label,fdp,correct,total,units,supp_units,fmax,prec,rec
0,Fmax,score>=4.43304,0.7058834363960839,9367.0,35886.0,2307,1648,0.3258894325878791,0.2527933693434528,0.4584525471512469
0,Fmax-full,score>=1,0.8232335550956995,19629.0,155471.0,2369,2008,0.09771765194309587,0.1563476949255088,0.07106749649296236
0,Top-1,top1,0.5746793545717832,980.0,2369.0,2369,980,,,
0,Top-3,top3,0.6241897669286995,2579.0,7103.0,2369,1292,,,
1,Fmax,score>=4.29333,0.7143280328915619,9318.0,36962.0,2321,1648,0.32626555243260447,0.25003006056273624,0.46938288375640325
1,Fmax-full,score>=1,0.8272563757524961,19447.0,155000.0,2376,1983,0.0986935831306227,0.15703679084463432,0.07195897332857966
1,Top-1,top1,0.5883326437732727,954.0,2376.0,2376,954,,,
1,Top-3,top3,0.634671079851055,2526.0,7120.0,2376,1267,,,
2,Fmax,score>=4.72625,0.7097161556673137,8743.0,33188.0,2307,1583,0.3306144966878537,0.2626629065486488,0.4459944406340539
2,Fmax-full,score>=1,0.8262657512963341,19789.0,155058.0,2366,1984,0.09857441171583904,0.15812423098535733,0.07160707961812696
2,Top-1,top1,0.5908150599917252,938.0,2366.0,2366,938,,,
2,Top-3,top3,0.6401875603365054,2456.0,7090.0,2366,1260,,,
3,Fmax,score>=4.41838,0.7128519079304549,9149.0,35912.0,2311,1635,0.32960223691217966,0.2549937674130428,0.4659277508198953
3,Fmax-full,score>=1,0.8286947447412718,19375.0,156260.0,2374,2019,0.09835009337645459,0.15796830731236883,0.07140239057806318
3,Top-1,top1,0.5858502275548201,958.0,2374.0,2374,958,,,
3,Top-3,top3,0.6353606399117363,2513.0,7116.0,2374,1281,,,
4,Fmax,score>=4.29333,0.7136465974404933,9865.0,38259.0,2332,1693,0.323826635135214,0.24820309013278538,0.4657259436345806
4,Fmax-full,score>=1,0.8269334902744689,20386.0,158600.0,2387,2037,0.09664123475043053,0.1552185579813493,0.07016277869546782
4,Top-1,top1,0.580471659081506,984.0,2387.0,2387,984,,,
4,Top-3,top3,0.6239828989104952,2634.0,7155.0,2387,1319,,,
5,Fmax,score>=4.43304,0.719241452975224,9289.0,36475.0,2324,1633,0.3294729685054457,0.2564146366050322,0.4607514948918852
5,Fmax-full,score>=1,0.8316159051568709,19759.0,156456.0,2378,2013,0.09855776915364106,0.15863503139213594,0.07148530402242138
5,Top-1,top1,0.6028134050475796,921.0,2378.0,2378,921,,,
5,Top-3,top3,0.6447386567370018,2455.0,7121.0,2378,1236,,,
6,Fmax,score>=4.29333,0.7186068788536282,9750.0,37941.0,2334,1684,0.32606870257473775,0.250139453264052,0.4681852448229549
6,Fmax-full,score>=1,0.8268624568574842,20140.0,156167.0,2383,2036,0.0975481603140502,0.15579825037231732,0.07100187122869088
6,Top-1,top1,0.5924700041373604,951.0,2383.0,2383,951,,,
6,Top-3,top3,0.6321886636326024,2565.0,7148.0,2383,1289,,,
7,Fmax,score>=4.41838,0.7203051857311036,9192.0,36530.0,2321,1630,0.33013491317083005,0.2569458202804306,0.46162547228999856
7,Fmax-full,score>=1,0.8291582828129068,19818.0,157740.0,2376,1999,0.09890437012522292,0.15786655787803042,0.07200932895376687
7,Top-1,top1,0.5978485726106744,931.0,2376.0,2376,931,,,
7,Top-3,top3,0.6410150324093229,2478.0,7120.0,2376,1260,,,
8,Fmax,score>=4.43304,0.710996997109325,9230.0,35973.0,2313,1627,0.3285746798565015,0.2542468176660146,0.4643149828118468
8,Fmax-full,score>=1,0.8286308517536478,19901.0,158979.0,2373,2008,0.098278473161334,0.15809235608408062,0.0713016545337859
8,Top-1,top1,0.5924700041373604,941.0,2373.0,2373,941,,,
8,Top-3,top3,0.6286029513170598,2557.0,7111.0,2373,1275,,,
9,Fmax,score>=5.21146,0.6868767299619974,8115.0,29754.0,2279,1568,0.32768617362781266,0.26922506349515046,0.4185788389995743
9,Fmax-full,score>=1,0.8242450236358765,19451.0,153800.0,2369,1978,0.09838079211829401,0.15678842315006403,0.07167868074127391
9,Top-1,top1,0.5875051717004551,949.0,2369.0,2369,949,,,
9,Top-3,top3,0.6353606399117363,2498.0,7099.0,2369,1263,,,
10,Fmax,score>=4.36263,0.71532468785474,9425.0,36996.0,2316,1660,0.32833983755297,0.25332543656522105,0.4664704706609223
10,Fmax-full,score>=1,0.8275218417188802,20066.0,158977.0,2368,2004,0.09832390944954383,0.15836796188176444,0.07129350092154878
10,Top-1,top1,0.5800579230450972,966.0,2368.0,2368,966,,,
10,Top-3,top3,0.6317749275961936,2523.0,7101.0,2368,1269,,,
11,Fmax,score>=4.43304,0.7178489532430412,9155.0,35769.0,2322,1644,0.3294159820208284,0.2560674090401716,0.4616529900892212
11,Fmax-full,score>=1,0.8250379535938823,19804.0,155078.0,2367,2001,0.09829877611941971,0.15743771759270217,0.07145707677429075
11,Top-1,top1,0.6077782374844849,898.0,2367.0,2367,898,,,
11,Top-3,top3,0.6404633843607779,2457.0,7097.0,2367,1239,,,
12,Fmax,score>=4.41838,0.7149676398140997,9414.0,36428.0,2319,1633,0.32862346933850956,0.25483744567349365,0.46255127181859984
12,Fmax-full,score>=1,0.8259004991504416,20135.0,159691.0,2370,2004,0.09795676823874386,0.15735785566752772,0.07111248457841375
12,Top-1,top1,0.5841952834091849,958.0,2370.0,2370,958,,,
12,Top-3,top3,0.6320507516204662,2525.0,7101.0,2370,1259,,,
13,Fmax,score>=4.36263,0.7162578695947672,9375.0,36744.0,2317,1652,0.32831799067365286,0.25360340740203324,0.465443056887261
13,Fmax-full,score>=1,0.8289958612901978,19979.0,158802.0,2372,1989,0.09871154073017932,0.1584033473708331,0.0716945708705164
13,Top-1,top1,0.5808853951179148,968.0,2372.0,2372,968,,,
13,Top-3,top3,0.628189215280651,2559.0,7105.0,2372,1289,,,
14,Fmax,score>=4.29333,0.7200635223884326,9297.0,37447.0,2327,1679,0.32751881091375673,0.25175688802074225,0.46850838343051326
14,Fmax-full,score>=1,0.8327132728888416,19425.0,156660.0,2382,2020,0.09894912851388468,0.15850616943581908,0.07192431636687945
14,Top-1,top1,0.5920562681009516,951.0,2382.0,2382,951,,,
14,Top-3,top3,0.6352227278996001,2538.0,7142.0,2382,1292,,,
15,Fmax,score>=4.43304,0.7040763802740587,9694.0,35993.0,2316,1670,0.32381194276775493,0.25074526847143574,0.4569729567059405
15,Fmax-full,score>=1,0.8216103912029735,20124.0,153393.0,2370,2025,0.0973398612698498,0.15548818547116453,0.07084556111718553
15,Top-1,top1,0.5664046338436077,1001.0,2370.0,2370,1001,,,
15,Top-3,top3,0.615363398151979,2648.0,7101.0,2370,1300,,,
16,Fmax,score>=4.43304,0.7088370065071153,9504.0,36311.0,2317,1681,0.3254302667483583,0.2527318204333503,0.45684076156546277
16,Fmax-full,score>=1,0.8227881289984708,20099.0,157846.0,2370,2024,0.09729473596504844,0.1560014548998914,0.07069186092715446
16,Top-1,top1,0.591228796028134,941.0,2370.0,2370,941,,,
16,Top-3,top3,0.6361881119845539,2497.0,7110.0,2370,1274,,,
17,Fmax,score>=4.41838,0.7208353392337555,8972.0,35833.0,2314,1616,0.3325625433086364,0.25814212223170296,0.4672741443437007
17,Fmax-full,score>=1,0.8352130566903798,19230.0,155944.0,2382,2031,0.0995145335072146,0.15959796152984096,0.07229705130097637
17,Top-1,top1,0.604054613156806,922.0,2382.0,2382,922,,,
17,Top-3,top3,0.6478416770100677,2448.0,7140.0,2382,1242,,,
18,Fmax,score>=4.41838,0.717166516086657,9403.0,36399.0,2323,1641,0.32879432245318535,0.2552688751990874,0.4618101342837832
18,Fmax-full,score>=1,0.8282510110876852,20013.0,157222.0,2374,2008,0.09829844655347998,0.1577747843530187,0.07138750793803193
18,Top-1,top1,0.5812991311543235,969.0,2374.0,2374,969,,,
18,Top-3,top3,0.6325334436629431,2533.0,7116.0,2374,1260,,,
19,Fmax,score>=4.43304,0.7164548136835809,9064.0,35775.0,2313,1617,0.3296114099262121,0.2566811307606776,0.46043340031909596
19,Fmax-full,score>=1,0.8266231215616026,19088.0,153014.0,2366,1960,0.09902174424640164,0.15827986412610628,0.07204786923295121
19,Top-1,top1,0.5945386843194043,929.0,2366.0,2366,929,,,
19,Top-3,top3,0.6354295959178045,2488.0,7086.0,2366,1271,,,
20,Fmax,score>=4.43304,0.7135214069201585,9623.0,37203.0,2322,1648,0.3272983483576674,0.25413401172734196,0.45962199056430975
20,Fmax-full,score>=1,0.8261055161257261,20315.0,159854.0,2376,2013,0.09760228017353852,0.15653469197858677,0.07090707859847778
20,Top-1,top1,0.5866776996276376,958.0,2376.0,2376,958,,,
20,Top-3,top3,0.6264653151289479,2583.0,7119.0,2376,1287,,,
21,Fmax,score>=4.43304,0.7159194028854234,9292.0,36085.0,2322,1653,0.32814995406564673,0.2552053529931541,0.4594824940613947
21,Fmax-full,score>=1,0.8287872029603451,19676.0,155787.0,2380,2016,0.09852473976552911,0.15709606767352743,0.07176721888808345
21,Top-1,top1,0.5862639635912288,963.0,2380.0,2380,963,,,
21,Top-3,top3,0.6340504757964419,2542.0,7135.0,2380,1279,,,
22,Fmax,score>=4.41838,0.7208391935108622,9242.0,36321.0,2328,1635,0.330046672904796,0.256222289761585,0.4636309474581489
22,Fmax-full,score>=1,0.8304686894703105,19643.0,156535.0,2379,1999,0.09868959399112476,0.15798229791136603,0.07175795055678401
22,Top-1,top1,0.6032271410839884,921.0,2379.0,2379,921,,,
22,Top-3,top3,0.6473589849675908,2443.0,7132.0,2379,1229,,,
23,Fmax,score>=5.21146,0.6863861496557483,8322.0,30103.0,2284,1593,0.32739084197151636,0.2683170696334762,0.4198201446739953
23,Fmax-full,score>=1,0.8277622342577322,20210.0,159963.0,2379,2035,0.09791115176510581,0.15680088157602137,0.07117859611121684
23,Top-1,top1,0.5829540752999586,970.0,2379.0,2379,970,,,
23,Top-3,top3,0.6301199834505585,2568.0,7128.0,2379,1287,,,
24,Fmax,score>=5.21146,0.692410058358651,8227.0,30792.0,2287,1595,0.3290789792937021,0.27063821446993497,0.419709791631064
24,Fmax-full,score>=1,0.8253697446685649,20273.0,162935.0,2368,2011,0.09824568386353531,0.15743039544870466,0.07140248468148667
24,Top-1,top1,0.5883326437732727,946.0,2368.0,2368,946,,,
24,Top-3,top3,0.6344642118328506,2501.0,7090.0,2368,1276,,,
25,Fmax,score>=4.43304,0.724715128452549,9176.0,36416.0,2333,1656,0.33072819212107313,0.2576255285031877,0.46175321057938973
25,Fmax-full,score>=1,0.8336669912425437,19668.0,155728.0,2383,2028,0.09873408045548507,0.15877069924430104,0.0716433030397449
25,Top-1,top1,0.6123293338849813,903.0,2383.0,2383,903,,,
25,Top-3,top3,0.6505309612467246,2430.0,7141.0,2383,1244,,,
26,Fmax,score>=4.43304,0.7107982533225636,9517.0,36495.0,2317,1655,0.32687588746517526,0.2536072282916964,0.45968030145059713
26,Fmax-full,score>=1,0.8272130568585657,20395.0,160458.0,2375,2014,0.09802150536446629,0.15717002698297158,0.07121924006353784
26,Top-1,top1,0.5891601158460902,951.0,2375.0,2375,951,,,
26,Top-3,top3,0.6327403116811475,2535.0,7121.0,2375,1277,,,
27,Fmax,score>=4.29333,0.7245411270824605,9364.0,37174.0,2340,1645,0.32855263526178374,0.2519593672386645,0.4720519784351602
27,Fmax-full,score>=1,0.8315040292794665,19613.0,155296.0,2386,2019,0.09844112011366285,0.157368969232181,0.07162184686984496
27,Top-1,top1,0.5970211005378568,943.0,2386.0,2386,943,,,
27,Top-3,top3,0.6400496483243691,2513.0,7152.0,2386,1261,,,
28,Fmax,score>=4.43304,0.717026433987395,9197.0,35835.0,2327,1651,0.327816347521571,0.25501140682080126,0.4588031903613216
28,Fmax-full,score>=1,0.8306142074685275,19538.0,156636.0,2380,1998,0.0986995487656532,0.1578937320334041,0.0717867693510392
28,Top-1,top1,0.5887463798096815,957.0,2380.0,2380,957,,,
28,Top-3,top3,0.631981795614398,2555.0,7128.0,2380,1302,,,
29,Fmax,score>=5.21146,0.689445106113467,8258.0,30296.0,2283,1572,0.32853161586843055,0.2698412078230591,0.4198486016976309
29,Fmax-full,score>=1,0.8277795419572773,19601.0,158335.0,2373,2011,0.09800145620265491,0.15772114630998252,0.07108555258988039
29,Top-1,top1,0.5908150599917252,945.0,2373.0,2373,945,,,
29,Top-3,top3,0.6310164115294442,2541.0,7107.0,2373,1281,,,
30,Fmax,score>=4.29333,0.7266581324095096,9285.0,37208.0,2334,1647,0.3298684817622556,0.2537331522196515,0.4712815080376822
30,Fmax-full,score>=1,0.8319814770304392,19331.0,155080.0,2379,2008,0.09816001383467936,0.1586426568661848,0.07106603117041135
30,Top-1,top1,0.6032271410839884,921.0,2379.0,2379,921,,,
30,Top-3,top3,0.6421872845124812,2478.0,7132.0,2379,1261,,,
31,Fmax,score>=5.21146,0.69405564165778,8284.0,30510.0,2285,1566,0.3295156717803678,0.2716583117499221,0.4186869626681911
31,Fmax-full,score>=1,0.8330991717214978,19667.0,157608.0,2381,1997,0.0988349122322349,0.1588267134844355,0.07173809906470541
31,Top-1,top1,0.5953661563922218,942.0,2381.0,2381,942,,,
31,Top-3,top3,0.6387394842090747,2511.0,7137.0,2381,1260,,,
32,Fmax,score>=4.43304,0.720614435452993,9135.0,36364.0,2326,1639,0.32845248054531245,0.2567533950071731,0.4557110273222149
32,Fmax-full,score>=1,0.8291035586226049,19057.0,154242.0,2378,1995,0.09853480746429802,0.15753854501197712,0.07168590825528176
32,Top-1,top1,0.6032271410839884,920.0,2378.0,2378,920,,,
32,Top-3,top3,0.6399117363122329,2492.0,7125.0,2378,1257,,,
33,Fmax,score>=4.41838,0.7132861101362203,9420.0,35893.0,2314,1621,0.3277659196179815,0.2547749905231332,0.45937228164209115
33,Fmax-full,score>=1,0.8251169004082921,19770.0,153884.0,2374,1995,0.09770731929999431,0.15640792301918746,0.07104413342977892
33,Top-1,top1,0.5726106743897393,990.0,2374.0,2374,990,,,
33,Top-3,top3,0.6259826230864708,2583.0,7113.0,2374,1280,,,
34,Fmax,score>=4.72625,0.7066593225382051,8762.0,33295.0,2305,1600,0.3285383076918049,0.26156716975299343,0.44160630870644857
34,Fmax-full,score>=1,0.8281554955262395,19536.0,153289.0,2372,2006,0.09876551646054459,0.15803697578867432,0.07182695658013145
34,Top-1,top1,0.5941249482829954,936.0,2372.0,2372,936,,,
34,Top-3,top3,0.6352916839056681,2507.0,7110.0,2372,1267,,,
35,Fmax,score>=4.41838,0.719790166232839,9378.0,36787.0,2321,1640,0.32974062470888876,0.2567158124963757,0.4608262367475464
35,Fmax-full,score>=1,0.8302447700129805,19852.0,157734.0,2374,2011,0.09876005136615969,0.15864431075547938,0.07169643890855353
35,Top-1,top1,0.5970211005378568,931.0,2374.0,2374,931,,,
35,Top-3,top3,0.6359812439663495,2510.0,7114.0,2374,1270,,,
36,Fmax,score>=5.21146,0.6903447784857611,8340.0,30346.0,2279,1563,0.3284783117827582,0.2707962487401241,0.4173851418296623
36,Fmax-full,score>=1,0.8234052741902098,19485.0,153390.0,2370,1999,0.09765202189703466,0.15627041269441566,0.07101403849026632
36,Top-1,top1,0.5924700041373604,938.0,2370.0,2370,938,,,
36,Top-3,top3,0.6385326161908703,2478.0,7105.0,2370,1242,,,
37,Fmax,score>=4.41838,0.7111228827711975,9589.0,36769.0,2335,1682,0.3240799617401471,0.25090721621037393,0.45750270455926817
37,Fmax-full,score>=1,0.8232975583970034,20234.0,156501.0,2376,2021,0.09700327418591567,0.15530963172040568,0.07052628804630935
37,Top-1,top1,0.5784029788994621,978.0,2376.0,2376,978,,,
37,Top-3,top3,0.6175699903461592,2648.0,7123.0,2376,1300,,,
38,Fmax,score>=4.41838,0.71942017890306,8979.0,35530.0,2328,1606,0.3295417233508454,0.25558773688331404,0.46371791083465436
38,Fmax-full,score>=1,0.831099010241348,19257.0,153808.0,2383,1980,0.09915841937287848,0.15764891900213818,0.07232469543537545
38,Top-1,top1,0.6081919735208937,913.0,2383.0,2383,913,,,
38,Top-3,top3,0.648048545028272,2448.0,7141.0,2383,1238,,,
39,Fmax,score>=4.43304,0.7221645055239875,8986.0,36135.0,2317,1616,0.3324882025272325,0.25868058592250603,0.46522887234112137
39,Fmax-full,score>=1,0.8331594054041223,19436.0,157422.0,2375,2008,0.09917488558778995,0.15976384117438294,0.07190542122649979
39,Top-1,top1,0.6073645014480761,907.0,2375.0,2375,907,,,
39,Top-3,top3,0.6488760171010896,2416.0,7115.0,2375,1229,,,
40,Fmax,score>=4.43304,0.7182351553607413,9532.0,36541.0,2336,1670,0.32685986167725223,0.25431025452665074,0.4573256962807296
40,Fmax-full,score>=1,0.8305783494564974,20102.0,158150.0,2386,2028,0.09783148855705032,0.1569643818665185,0.07106086421465987
40,Top-1,top1,0.5866776996276376,968.0,2386.0,2386,968,,,
40,Top-3,top3,0.6304647634808993,2586.0,7152.0,2386,1315,,,
41,Fmax,score>=4.29333,0.7204380774125171,9793.0,38154.0,2333,1683,0.32690425962731207,0.251095115646544,0.4682865496674223
41,Fmax-full,score>=1,0.830670515940926,20280.0,156106.0,2383,2019,0.09780059179688907,0.15746173831821994,0.0709268910288704
41,Top-1,top1,0.5995035167563095,934.0,2383.0,2383,934,,,
41,Top-3,top3,0.6366018480209626,2533.0,7139.0,2383,1283,,,
42,Fmax,score>=4.43304,0.7179381675545184,9267.0,36110.0,2325,1641,0.3288253559891514,0.25569452818534627,0.4605452457378309
42,Fmax-full,score>=1,0.8256984005832363,19560.0,157255.0,2372,2008,0.09848424230732543,0.15696576394213074,0.07175144624651571
42,Top-1,top1,0.5961936284650393,931.0,2372.0,2372,931,,,
42,Top-3,top3,0.6390842642394153,2482.0,7110.0,2372,1274,,,
43,Fmax,score>=4.43304,0.7166812223780727,9168.0,36062.0,2315,1659,0.32904192187443626,0.25650771227740454,0.4587714502017606
43,Fmax-full,score>=1,0.8287163208606461,19243.0,155309.0,2374,2023,0.09827501816203853,0.15797771717893813,0.07132135860577424
43,Top-1,top1,0.6036408771203972,915.0,2374.0,2374,915,,,
43,Top-3,top3,0.6388084402151427,2488.0,7115.0,2374,1258,,,
44,Fmax,score>=4.43304,0.7161851616844562,9202.0,36394.0,2320,1626,0.3291523814442665,0.25559927914084,0.4621415999292493
44,Fmax-full,score>=1,0.8277121153467089,19629.0,157723.0,2373,2013,0.09882168028811598,0.1576917452423757,0.07195803922338655
44,Top-1,top1,0.5908150599917252,945.0,2373.0,2373,945,,,
44,Top-3,top3,0.6410839884153909,2470.0,7116.0,2373,1253,,,
45,Fmax,score>=5.21146,0.6843911945344561,8047.0,29270.0,2271,1589,0.3283585798074401,0.2691948670444059,0.4208539658632613
45,Fmax-full,score>=1,0.8277714144600198,19694.0,153867.0,2374,2016,0.0985455308179148,0.15756562068483576,0.07169165356978077
45,Top-1,top1,0.5941249482829954,938.0,2374.0,2374,938,,,
45,Top-3,top3,0.6365328920148945,2502.0,7114.0,2374,1270,,,
46,Fmax,score>=4.41838,0.7162305906304473,9299.0,36479.0,2325,1662,0.3286144396068326,0.25457516327651675,0.46338196816713806
46,Fmax-full,score>=1,0.828792772418271,19706.0,159557.0,2379,2021,0.09818252492355384,0.15725073000188813,0.07137273356089573
46,Top-1,top1,0.5846090194455937,966.0,2379.0,2379,966,,,
46,Top-3,top3,0.6298441594262861,2568.0,7126.0,2379,1295,,,
47,Fmax,score>=4.43304,0.713294399756848,9483.0,36319.0,2328,1657,0.32674398553740874,0.25320435365122024,0.4604855024105552
47,Fmax-full,score>=1,0.8211155554473746,20197.0,156748.0,2372,2022,0.09777581114815762,0.15496779556309428,0.0714183523125467
47,Top-1,top1,0.5862639635912288,955.0,2372.0,2372,955,,,
47,Top-3,top3,0.6294304233898773,2550.0,7110.0,2372,1283,,,
48,Fmax,score>=4.43304,0.7208103304812022,9039.0,36468.0,2325,1635,0.32981975141689485,0.25697842272830784,0.4602905240020411
48,Fmax-full,score>=1,0.832020331064987,19196.0,156773.0,2378,2001,0.09884329121057076,0.15881153869078496,0.071750025178939
48,Top-1,top1,0.6023996690111709,922.0,2378.0,2378,922,,,
48,Top-3,top3,0.6463246448765688,2445.0,7127.0,2378,1239,,,
49,Fmax,score>=4.72625,0.7068742084946225,8766.0,32825.0,2313,1603,0.32882222508720343,0.26056733986149005,0.4455266958168671
49,Fmax-full,score>=1,0.8278271735523802,19656.0,155366.0,2375,2007,0.09852427323965655,0.15743790643594915,0.07169560863001756
49,Top-1,top1,0.5875051717004551,955.0,2375.0,2375,955,,,
49,Top-3,top3,0.6345331678389188,2522.0,7115.0,2375,1271,,,
50,Fmax,score>=4.43304,0.7103530545697508,9290.0,36084.0,2305,1619,0.3286081833279951,0.2550593506198609,0.4617616147664337
50,Fmax-full,score>=1,0.8266263638731938,19750.0,155654.0,2369,1984,0.09842715185010596,0.1578260469744007,0.07151282049550878
50,Top-1,top1,0.594952420355813,931.0,2369.0,2369,931,,,
50,Top-3,top3,0.6369466280513033,2488.0,7099.0,2369,1251,,,
51,Fmax,score>=4.43304,0.717313945195642,8916.0,35592.0,2312,1613,0.33041090343553775,0.25720139639423667,0.4618798472387431
51,Fmax-full,score>=1,0.8273195335303897,19021.0,152056.0,2368,1984,0.0993181463082658,0.15827982581622976,0.07236213390532246
51,Top-1,top1,0.6007447248655358,916.0,2368.0,2368,916,,,
51,Top-3,top3,0.6465315128947733,2416.0,7103.0,2368,1221,,,
52,Fmax,score>=4.43304,0.7161467757903996,9386.0,36302.0,2325,1669,0.326821745759732,0.2548937525437934,0.4553027926954272
52,Fmax-full,score>=1,0.8236026008341888,19584.0,153410.0,2369,2005,0.09752045796458188,0.15650849960370092,0.07082610453364308
52,Top-1,top1,0.5990897807199007,921.0,2369.0,2369,921,,,
52,Top-3,top3,0.6332919597296924,2513.0,7098.0,2369,1267,,,
53,Fmax,score>=4.43304,0.7105914893667337,9524.0,36359.0,2314,1653,0.3264988008736521,0.25392827477266344,0.45714769745671563
53,Fmax-full,score>=1,0.8226081081241632,19677.0,154657.0,2366,2003,0.09768152278894425,0.15653134385974707,0.07099144457385731
53,Top-1,top1,0.5800579230450972,964.0,2366.0,2366,964,,,
53,Top-3,top3,0.6268100951592884,2553.0,7092.0,2366,1284,,,
54,Fmax,score>=4.43304,0.7200177605465323,9014.0,35963.0,2323,1633,0.3304991757042697,0.2568989998446776,0.46320486865112515
54,Fmax-full,score>=1,0.8278048975252932,19551.0,155870.0,2375,2017,0.09881607705716318,0.15742818956941412,0.07200710220068315
54,Top-1,top1,0.5875051717004551,955.0,2375.0,2375,955,,,
54,Top-3,top3,0.6381878361605295,2495.0,7117.0,2375,1263,,,
55,Fmax,score>=4.43304,0.7171483385292451,9276.0,36693.0,2321,1641,0.3287605958973627,0.25589194181188024,0.4596529125909326
55,Fmax-full,score>=1,0.8300061615057597,19755.0,159632.0,2377,2000,0.0985021981287411,0.1580845014343593,0.07153902451948184
55,Top-1,top1,0.5937112122465866,942.0,2377.0,2377,942,,,
55,Top-3,top3,0.638394704178734,2500.0,7123.0,2377,1252,,,
56,Fmax,score>=4.29333,0.7178674922800032,9231.0,37247.0,2320,1661,0.3278768699212417,0.2517439753318099,0.4700217452360653
56,Fmax-full,score>=1,0.8282643592473906,19418.0,155454.0,2374,1999,0.098220595674104,0.1577806058077295,0.07130422917563563
56,Top-1,top1,0.5920562681009516,943.0,2374.0,2374,943,,,
56,Top-3,top3,0.6364639360088264,2503.0,7108.0,2374,1266,,,
57,Fmax,score>=4.43304,0.7115263698121,9310.0,35652.0,2320,1649,0.32735818147750784,0.25351866200198453,0.4618867109261641
57,Fmax-full,score>=1,0.8288290603445041,19921.0,157872.0,2376,2012,0.09847018787843305,0.157722924176563,0.07157948473309739
57,Top-1,top1,0.5924700041373604,944.0,2376.0,2376,944,,,
57,Top-3,top3,0.6351537718935321,2522.0,7121.0,2376,1261,,,
58,Fmax,score>=4.43304,0.7147474375664029,9377.0,36152.0,2320,1646,0.32771330949260186,0.2549571913371928,0.45857504290706613
