repeat,alpha,delta,arm,label,fdp,pool_risk,correct,total,units,supp_units,frontier,frontier_all
0,0.05,0.5,global-coarse,global_62.0008,0.0363989203459621,0.0383786926275545,437,672,239,172,437,437
0,0.05,0.5,global-dense,global_56.5397,0.0432822073802628,0.0468496475704366,518,824,262,184,518,518
0,0.05,0.5,goco-M,adapt_62.0008_to_52.5656_q0.75,0.0430640108753472,0.0467729539049721,554,897,264,190,489,517
0,0.05,0.5,goco-N,top3426,0.0456833540201351,0.0457557364234147,760,987,510,430,530,533
0,0.05,0.1,global-coarse,global_62.0008,0.0363989203459621,0.0383786926275545,437,672,239,172,437,437
0,0.05,0.1,global-dense,global_59.3219,0.0401816498216994,0.0436559394070774,481,748,249,176,481,481
0,0.05,0.1,goco-M,adapt_62.0008_to_52.5656_q0.6,0.0408574186811671,0.0422711835458421,545,870,257,187,489,489
0,0.05,0.1,goco-N,top3426,0.0456833540201351,0.0457557364234147,760,987,510,430,530,533
0,0.1,0.5,global-coarse,global_37.7842,0.0789603732818461,0.0825551745506221,882,1650,407,280,882,883
0,0.1,0.5,global-dense,global_34.418,0.0927297384268836,0.0962573381769133,1027,1971,466,319,1027,1033
0,0.1,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0915241575874592,0.0924328916741663,1098,2121,472,339,952,981
0,0.1,0.5,goco-N,top6525,0.0953728235172173,0.0973915490936094,1368,1918,846,691,1027,1056
0,0.1,0.1,global-coarse,global_37.7842,0.0789603732818461,0.0825551745506221,882,1650,407,280,882,883
0,0.1,0.1,global-dense,global_35.5381,0.091553053437621,0.0933937248049539,970,1884,450,302,976,981
0,0.1,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0915241575874592,0.0924328916741663,1098,2121,472,339,952,981
0,0.1,0.1,goco-N,top5736,0.0837081734061461,0.0854165534500753,1206,1670,772,633,898,919
0,0.2,0.5,global-coarse,global_23.0262,0.1931980378903521,0.1974267858516245,1879,3987,906,595,1879,1896
0,0.2,0.5,global-dense,global_23.0262,0.1931980378903521,0.1974267858516245,1879,3987,906,595,1879,1896
0,0.2,0.5,goco-M,adapt_23.0262_to_19.5221_q0.4,0.1917820157835733,0.1967924252971683,2088,4491,909,620,1875,1876
0,0.2,0.5,goco-N,top12426,0.188883430533158,0.191467414420948,2434,3737,1311,1034,1807,1830
0,0.2,0.1,global-coarse,global_27.1593,0.1428013810305908,0.1447768900831392,1468,2925,717,493,1468,1469
0,0.2,0.1,global-dense,global_23.8149,0.1808589858226014,0.182837243807904,1807,3753,866,576,1807,1807
0,0.2,0.1,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1555495362058554,0.1594061064804141,1824,3764,779,552,1534,1562
0,0.2,0.1,goco-N,top12426,0.188883430533158,0.191467414420948,2434,3737,1311,1034,1807,1830
1,0.05,0.5,global-coarse,global_62.0008,0.0360610359162283,0.0386151784482588,444,663,237,165,444,444
1,0.05,0.5,global-dense,global_55.6416,0.0452316921803889,0.0481839859685079,515,830,264,177,515,518
1,0.05,0.5,goco-M,adapt_62.0008_to_52.5656_q0.75,0.043990976614063,0.0467511118118098,535,880,261,180,482,491
1,0.05,0.5,goco-N,top3012,0.0437939594538684,0.0461856807835563,718,906,511,431,482,491
1,0.05,0.1,global-coarse,global_62.0008,0.0360610359162283,0.0386151784482588,444,663,237,165,444,444
1,0.05,0.1,global-dense,global_58.3796,0.042738932561026,0.0446851454059344,482,763,251,168,482,483
1,0.05,0.1,goco-M,adapt_62.0008_to_52.5656_q0.6,0.0405914455149043,0.041920560471395,523,847,246,171,459,460
1,0.05,0.1,goco-N,top2648,0.0362087987863742,0.0393824435554329,637,793,464,399,444,445
1,0.1,0.5,global-coarse,global_37.7842,0.0849979641560113,0.0841389726442837,850,1651,414,271,850,852
1,0.1,0.5,global-dense,global_34.9736,0.0956818763914337,0.097225178294981,947,1923,453,294,947,951
1,0.1,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0950937801682526,0.0912693237082808,1049,2111,475,326,942,943
1,0.1,0.5,goco-N,top5736,0.0934723438653931,0.0960769032778965,1244,1669,873,706,926,926
1,0.1,0.1,global-coarse,global_37.7842,0.0849979641560113,0.0841389726442837,850,1651,414,271,850,852
1,0.1,0.1,global-dense,global_36.1117,0.0932452666627263,0.0930853626225401,926,1829,441,286,926,926
1,0.1,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0950937801682526,0.0912693237082808,1049,2111,475,326,942,943
1,0.1,0.1,goco-N,top5043,0.0811773088769365,0.0833983121919388,1133,1497,810,663,817,835
1,0.2,0.5,global-coarse,global_27.1593,0.1399696623424385,0.1474460400346729,1358,2855,680,454,1358,1365
1,0.2,0.5,global-dense,global_23.4366,0.1873870607503696,0.1953422840995355,1678,3764,855,543,1678,1679
1,0.2,0.5,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1577207970409314,0.1661539138990037,1660,3694,751,511,1505,1505
1,0.2,0.5,goco-N,top10925,0.187706432307177,0.1864207262365628,2198,3216,1366,1049,1678,1685
1,0.2,0.1,global-coarse,global_27.1593,0.1399696623424385,0.1474460400346729,1358,2855,680,454,1358,1365
1,0.2,0.1,global-dense,global_23.8149,0.1771996191293326,0.1856659897236274,1655,3665,826,536,1655,1655
1,0.2,0.1,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1577207970409314,0.1661539138990037,1660,3694,751,511,1505,1505
