repeat,alpha,yield_M_T,yield_N_T,choose_N,label_M,label_N
0,0.05,158,129,0,adapt_62.0008_to_52.5656_q0.6,top944
0,0.1,333,310,0,adapt_37.7842_to_32.0342_q0.6,top3426
0,0.2,562,583,1,adapt_27.1593_to_23.0262_q0.75,top8443
1,0.05,137,168,1,adapt_62.0008_to_52.5656_q0.75,top2328
1,0.1,282,335,1,adapt_37.7842_to_32.0342_q0.75,top5043
1,0.2,561,558,0,adapt_23.0262_to_19.5221_q0.35,top9604
2,0.05,170,221,1,adapt_62.0008_to_52.5656_q0.75,top2648
2,0.1,346,392,1,adapt_37.7842_to_32.0342_q0.75,top5043
2,0.2,681,712,1,adapt_23.0262_to_19.5221_q0.4,top10925
3,0.05,184,183,0,adapt_62.0008_to_52.5656_q0.75,top2648
3,0.1,368,381,1,adapt_37.7842_to_32.0342_q0.75,top5736
3,0.2,710,731,1,adapt_23.0262_to_19.5221_q0.6,top12426
4,0.05,153,152,0,adapt_52.5656_to_44.5662_q0.75,top2046
4,0.1,348,355,1,adapt_32.0342_to_27.1593_q0.5,top4433
4,0.2,619,651,1,adapt_23.0262_to_19.5221_q0.75,top9604
5,0.05,171,198,1,adapt_62.0008_to_52.5656_q0.75,top2648
5,0.1,330,327,0,adapt_37.7842_to_32.0342_q0.75,top4433
5,0.2,709,632,0,adapt_23.0262_to_19.5221_q0.6,top9604
6,0.05,178,206,1,adapt_62.0008_to_52.5656_q0.75,top2648
6,0.1,345,330,0,adapt_37.7842_to_32.0342_q0.75,top4433
6,0.2,586,620,1,adapt_27.1593_to_23.0262_q0.75,top9604
7,0.05,147,163,1,adapt_62.0008_to_52.5656_q0.75,top2046
7,0.1,326,329,1,adapt_37.7842_to_32.0342_q0.75,top4433
7,0.2,558,636,1,adapt_27.1593_to_23.0262_q0.75,top9604
8,0.05,165,163,0,adapt_62.0008_to_52.5656_q0.75,top1799
8,0.1,332,308,0,adapt_37.7842_to_32.0342_q0.75,top3897
8,0.2,652,665,1,adapt_23.0262_to_19.5221_q0.5,top9604
