repeat,alpha,K,yield_M_T,yield_N_T,choose_N,label_M,label_N
0,0.05,10,159,203,1,adapt_62.0008_to_52.5656_q0.6,top2328
0,0.1,10,332,323,0,adapt_37.7842_to_32.0342_q0.6,top4433
0,0.2,10,565,579,1,adapt_27.1593_to_23.0262_q0.75,top9604
1,0.05,10,134,209,1,adapt_62.0008_to_52.5656_q0.75,top3426
1,0.1,10,282,370,1,adapt_37.7842_to_32.0342_q0.75,top5736
1,0.2,10,563,652,1,adapt_23.0262_to_19.5221_q0.35,top10925
2,0.05,10,175,263,1,adapt_62.0008_to_52.5656_q0.75,top3426
2,0.1,10,349,413,1,adapt_37.7842_to_32.0342_q0.75,top5736
2,0.2,10,706,734,1,adapt_23.0262_to_19.5221_q0.5,top10925
3,0.05,10,189,210,1,adapt_62.0008_to_52.5656_q0.75,top3012
3,0.1,10,369,366,0,adapt_37.7842_to_32.0342_q0.75,top5736
3,0.2,10,699,776,1,adapt_23.0262_to_19.5221_q0.5,top12426
4,0.05,10,153,198,1,adapt_52.5656_to_44.5662_q0.75,top2648
4,0.1,10,358,408,1,adapt_32.0342_to_27.1593_q0.6,top5736
4,0.2,10,629,747,1,adapt_23.0262_to_19.5221_q0.75,top12426
5,0.05,10,169,223,1,adapt_62.0008_to_52.5656_q0.75,top3012
5,0.1,10,328,392,1,adapt_37.7842_to_32.0342_q0.75,top5736
5,0.2,10,708,708,0,adapt_23.0262_to_19.5221_q0.6,top10925
6,0.05,10,179,222,1,adapt_62.0008_to_52.5656_q0.75,top2648
6,0.1,10,350,442,1,adapt_37.7842_to_32.0342_q0.75,top5736
6,0.2,10,586,839,1,adapt_27.1593_to_23.0262_q0.75,top12426
7,0.05,10,147,178,1,adapt_62.0008_to_52.5656_q0.75,top2648
7,0.1,10,324,302,0,adapt_37.7842_to_32.0342_q0.75,top4433
7,0.2,10,561,613,1,adapt_27.1593_to_23.0262_q0.75,top9604
8,0.05,10,165,206,1,adapt_62.0008_to_52.5656_q0.75,top2648
8,0.1,10,332,338,1,adapt_37.7842_to_32.0342_q0.75,top4433
8,0.2,10,662,679,1,adapt_23.0262_to_19.5221_q0.5,top9604
9,0.05,10,180,223,1,adapt_62.0008_to_52.5656_q0.5,top2648
9,0.1,10,347,355,1,adapt_37.7842_to_32.0342_q0.75,top5043
9,0.2,10,679,691,1,adapt_23.0262_to_19.5221_q0.6,top10925
10,0.05,10,186,146,0,adapt_62.0008_to_52.5656_q0.6,top2046
10,0.1,10,374,357,0,adapt_37.7842_to_32.0342_q0.75,top5043
10,0.2,10,605,728,1,adapt_27.1593_to_23.0262_q0.75,top10925
11,0.05,10,167,189,1,adapt_62.0008_to_52.5656_q0.6,top2648
11,0.1,10,293,319,1,adapt_37.7842_to_32.0342_q0.35,top4433
11,0.2,10,564,612,1,adapt_27.1593_to_23.0262_q0.75,top9604
12,0.05,10,163,183,1,adapt_62.0008_to_52.5656_q0.75,top3012
12,0.1,10,336,354,1,adapt_37.7842_to_32.0342_q0.75,top5736
12,0.2,10,699,652,0,adapt_23.0262_to_19.5221_q0.75,top10925
13,0.05,10,159,234,1,adapt_62.0008_to_52.5656_q0.75,top3012
13,0.1,10,366,352,0,adapt_37.7842_to_32.0342_q0.75,top5043
13,0.2,10,601,801,1,adapt_27.1593_to_23.0262_q0.75,top12426
14,0.05,10,189,181,0,adapt_62.0008_to_52.5656_q0.75,top2648
14,0.1,10,366,449,1,adapt_37.7842_to_32.0342_q0.75,top6525
14,0.2,10,558,814,1,adapt_27.1593_to_23.0262_q0.75,top12426
15,0.05,10,160,196,1,adapt_62.0008_to_52.5656_q0.75,top2648
15,0.1,10,299,361,1,adapt_37.7842_to_32.0342_q0.75,top5043
15,0.2,10,518,622,1,adapt_27.1593_to_23.0262_q0.75,top9604
16,0.05,10,209,160,0,adapt_52.5656_to_44.5662_q0.75,top2046
16,0.1,10,348,365,1,adapt_37.7842_to_32.0342_q0.75,top5043
16,0.2,10,688,810,1,adapt_23.0262_to_19.5221_q0.6,top12426
17,0.05,10,222,216,0,adapt_62.0008_to_52.5656_q0.75,top2648
17,0.1,10,433,448,1,adapt_32.0342_to_27.1593_q0.03,top5736
17,0.2,10,787,866,1,adapt_23.0262_to_19.5221_q0.6,top12426
18,0.05,10,158,214,1,adapt_62.0008_to_52.5656_q0.6,top3012
18,0.1,10,350,339,0,adapt_37.7842_to_32.0342_q0.75,top5043
18,0.2,10,609,698,1,adapt_27.1593_to_23.0262_q0.75,top10925
19,0.05,10,195,220,1,adapt_62.0008_to_52.5656_q0.75,top2648
19,0.1,10,376,377,1,adapt_37.7842_to_32.0342_q0.75,top5043
19,0.2,10,613,803,1,adapt_27.1593_to_23.0262_q0.75,top12426
20,0.05,10,207,225,1,adapt_62.0008_to_52.5656_q0.75,top2328
20,0.1,10,372,412,1,adapt_37.7842_to_32.0342_q0.75,top5043
20,0.2,10,602,743,1,adapt_27.1593_to_23.0262_q0.75,top10925
21,0.05,10,173,145,0,adapt_52.5656_to_44.5662_q0.75,top2328
