dataset,alpha,delta,group,unit_fdp,exceed,genes,terms,calls,term_fdp,genes_with_calls
DRIVE,0.05,0.1,Boger,0.0413,0.0,44.94,90.03,317.5,0.7157,107.42
DRIVE,0.05,0.1,GoCo-dense-random1,0.0461,0.24,47.58,93.01,346.04,0.7285,118.15
DRIVE,0.05,0.1,GoCo-dense-source,0.0458,0.23,47.53,93.15,353.62,0.7331,117.55
DRIVE,0.05,0.1,GoCo-exp0,0.043,0.13,45.52,91.34,343.68,0.7309,110.45
DRIVE,0.05,0.1,GoCo-exp1,0.0446,0.16,45.6,92.67,383.44,0.7559,112.54
DRIVE,0.05,0.1,GoCo-oracle,0.0429,0.06,48.61,96.43,384.49,0.7466,111.88
DRIVE,0.05,0.1,GoCo-random,0.0452,0.19,46.7233,92.8133,359.74,0.7394,115.1967
DRIVE,0.05,0.1,GoCo-score,0.0452,0.2,47.22,92.77,346.44,0.7293,116.26
DRIVE,0.05,0.1,GoCo-source,0.0444,0.18,45.64,92.61,381.23,0.7546,112.39
DRIVE,0.05,0.1,GoDag,0.0414,0.01,44.94,90.07,318.63,0.7162,107.65
DRIVE,0.05,0.1,GoDag-cert60,0.0416,0.03,44.97,90.09,320.21,0.717,107.93
DRIVE,0.05,0.1,GoDag-dense,0.0454,0.16,47.64,92.8,333.86,0.7209,117.19
DRIVE,0.05,0.5,Boger,0.0444,0.31,46.21,92.3,350.44,0.7305,113.28
DRIVE,0.05,0.5,GoCo-dense-random1,0.0503,0.5,49.72,98.06,408.59,0.7559,126.11
DRIVE,0.05,0.5,GoCo-dense-source,0.05,0.46,49.74,98.53,417.29,0.7603,125.33
DRIVE,0.05,0.5,GoCo-exp0,0.0485,0.48,48.24,96.88,403.27,0.7558,121.51
DRIVE,0.05,0.5,GoCo-exp1,0.0484,0.47,48.87,98.19,420.44,0.7632,121.25
DRIVE,0.05,0.5,GoCo-oracle,0.0472,0.4,50.33,101.9,423.73,0.7558,120.32
DRIVE,0.05,0.5,GoCo-random,0.0493,0.47,48.8867,97.5967,406.7867,0.7565,123.4967
DRIVE,0.05,0.5,GoCo-score,0.0494,0.47,49.13,97.45,403.01,0.754,124.22
DRIVE,0.05,0.5,GoCo-source,0.0486,0.46,48.96,98.45,420.93,0.7629,121.67
DRIVE,0.05,0.5,GoDag,0.0466,0.53,47.33,94.36,376.44,0.7427,117.85
DRIVE,0.05,0.5,GoDag-cert60,0.0467,0.42,47.31,94.33,376.56,0.7425,117.96
DRIVE,0.05,0.5,GoDag-dense,0.049,0.53,49.02,96.16,387.39,0.7461,123.57
DRIVE,0.1,0.1,Boger,0.0913,0.13,90.05,227.88,1608.94,0.8569,205.52
DRIVE,0.1,0.1,GoCo-dense-random1,0.0947,0.26,96.76,252.47,1890.21,0.8652,211.24
DRIVE,0.1,0.1,GoCo-dense-source,0.0947,0.24,96.91,252.98,1905.06,0.866,211.17
DRIVE,0.1,0.1,GoCo-exp0,0.0929,0.15,94.32,244.11,1786.5,0.8621,208.35
DRIVE,0.1,0.1,GoCo-exp1,0.0943,0.25,98.34,256.61,1977.18,0.8689,210.09
DRIVE,0.1,0.1,GoCo-oracle,0.0914,0.09,102.43,270.32,2023.76,0.865,208.44
DRIVE,0.1,0.1,GoCo-random,0.0947,0.2367,96.1,248.2733,1840.17,0.864,211.29
DRIVE,0.1,0.1,GoCo-score,0.0945,0.25,96.28,250.25,1873.41,0.865,210.82
DRIVE,0.1,0.1,GoCo-source,0.0941,0.25,97.98,255.62,1964.78,0.8686,209.78
DRIVE,0.1,0.1,GoDag,0.0929,0.13,92.91,237.23,1717.7,0.8609,208.38
DRIVE,0.1,0.1,GoDag-cert60,0.0926,0.13,92.72,236.41,1705.76,0.8601,207.83
DRIVE,0.1,0.1,GoDag-dense,0.0948,0.27,97.04,253.06,1886.19,0.8646,211.55
DRIVE,0.1,0.5,Boger,0.0945,0.13,96.12,248.14,1834.22,0.8642,211.27
DRIVE,0.1,0.5,GoCo-dense-random1,0.1,0.5,104.63,285.96,2244.89,0.8719,220.7
DRIVE,0.1,0.5,GoCo-dense-source,0.0996,0.45,104.93,286.86,2262.17,0.8725,219.8
DRIVE,0.1,0.5,GoCo-exp0,0.0969,0.31,100.42,267.72,2050.34,0.8684,215.33
DRIVE,0.1,0.5,GoCo-exp1,0.0988,0.38,105.93,290.22,2333.72,0.875,218.11
DRIVE,0.1,0.5,GoCo-oracle,0.0954,0.29,108.42,299.08,2329.18,0.8707,215.18
DRIVE,0.1,0.5,GoCo-random,0.0998,0.46,103.7967,280.4,2185.0333,0.8709,220.4133
