dataset,alpha,delta,method,unit_fdp,heldout_exceed,pool_exceed,mean_pool_risk,pool_exceed_direct,mean_pool_risk_direct,pool_exceed_certified,m_cal,genes_with_calls,supported_genes,calls,supported_terms,supported_fraction,sd_terms
DRIVE,0.05,0.1,Boger,0.0413,0.0,0.0,0.0409,0.0,0.0419,0.0,4398,107.42,44.94,317.5,90.03,0.2843,14.6766
DRIVE,0.05,0.1,GoCo,0.0436,0.12,0.0,0.0431,0.01,0.0441,0.0,3770,110.88,46.5,377.63,94.15,0.2522,14.8272
DRIVE,0.05,0.1,GoDag,0.0414,0.01,0.01,0.041,0.01,0.042,0.01,4398,107.65,44.94,318.63,90.07,0.2838,14.6544
DRIVE,0.05,0.1,GoDag-cert60,0.0416,0.03,0.0,0.0412,0.01,0.0422,0.0,3770,107.93,44.97,320.21,90.09,0.283,14.6647
DRIVE,0.05,0.5,Boger,0.0444,0.31,0.31,0.0438,0.31,0.0448,0.31,4398,113.28,46.21,350.44,92.3,0.2695,15.5761
DRIVE,0.05,0.5,GoCo,0.0482,0.45,0.29,0.0475,0.46,0.0486,0.29,3770,120.77,48.94,421.4,99.43,0.2395,16.3727
DRIVE,0.05,0.5,GoDag,0.0466,0.53,0.53,0.046,0.53,0.047,0.53,4398,117.85,47.33,376.44,94.36,0.2573,16.0526
DRIVE,0.05,0.5,GoDag-cert60,0.0467,0.42,0.27,0.046,0.44,0.0471,0.27,3770,117.96,47.31,376.56,94.33,0.2575,15.477
DRIVE,0.1,0.1,Boger,0.0913,0.13,0.0,0.0905,0.0,0.0926,0.0,4398,205.52,90.05,1608.94,227.88,0.1431,28.8564
DRIVE,0.1,0.1,GoCo,0.0931,0.16,0.01,0.0925,0.01,0.0946,0.01,3770,207.93,99.38,1987.32,263.47,0.1339,38.7247
DRIVE,0.1,0.1,GoDag,0.0929,0.13,0.0,0.0921,0.0,0.0942,0.0,4398,208.38,92.91,1717.7,237.23,0.1391,29.2395
DRIVE,0.1,0.1,GoDag-cert60,0.0926,0.13,0.01,0.0919,0.01,0.094,0.01,3770,207.83,92.72,1705.76,236.41,0.1399,32.2321
DRIVE,0.1,0.5,Boger,0.0945,0.13,0.06,0.0939,0.06,0.096,0.06,4398,211.27,96.12,1834.22,248.14,0.1358,31.1678
DRIVE,0.1,0.5,GoCo,0.0971,0.33,0.26,0.0965,0.3,0.0988,0.26,3770,215.11,105.69,2295.83,291.69,0.1278,37.2658
DRIVE,0.1,0.5,GoDag,0.0965,0.28,0.28,0.0958,0.28,0.0979,0.28,4398,214.63,98.68,1954.11,258.6,0.1335,35.2919
DRIVE,0.1,0.5,GoDag-cert60,0.0966,0.31,0.26,0.0959,0.3,0.0981,0.26,3770,214.87,98.76,1959.66,259.33,0.1334,36.4772
DRIVE,0.2,0.1,Boger,0.1823,0.01,0.0,0.1825,0.0,0.1856,0.0,4398,374.03,171.36,8200.29,691.43,0.0845,73.5085
DRIVE,0.2,0.1,GoCo,0.1841,0.01,0.0,0.1844,0.0,0.1875,0.0,3770,377.37,172.71,8365.71,702.05,0.084,56.3021
DRIVE,0.2,0.1,GoDag,0.1844,0.01,0.0,0.1848,0.0,0.1879,0.0,4398,377.87,172.78,8371.71,702.43,0.0839,56.4571
DRIVE,0.2,0.1,GoDag-cert60,0.1841,0.01,0.0,0.1844,0.0,0.1875,0.0,3770,377.37,172.58,8349.71,700.8,0.084,57.5865
DRIVE,0.2,0.5,Boger,0.1844,0.01,0.0,0.1848,0.0,0.1879,0.0,4398,377.87,172.78,8371.71,702.43,0.0839,56.4571
DRIVE,0.2,0.5,GoCo,0.1844,0.01,0.0,0.1847,0.0,0.1878,0.0,3770,377.87,172.78,8371.71,702.43,0.0839,56.4571
DRIVE,0.2,0.5,GoDag,0.1844,0.01,0.0,0.1848,0.0,0.1879,0.0,4398,377.87,172.78,8371.71,702.43,0.0839,56.4571
DRIVE,0.2,0.5,GoDag-cert60,0.1844,0.01,0.0,0.1847,0.0,0.1878,0.0,3770,377.87,172.78,8371.71,702.43,0.0839,56.4571
HAP1,0.05,0.1,Boger,0.0436,0.0,0.0,0.0436,0.0,0.0452,0.0,10514,242.59,61.75,468.57,96.01,0.2047,11.2227
HAP1,0.05,0.1,GoCo,0.045,0.06,0.0,0.0449,0.01,0.0464,0.0,9012,247.42,63.38,565.75,102.36,0.181,12.3514
HAP1,0.05,0.1,GoDag,0.0436,0.0,0.0,0.0436,0.0,0.0452,0.0,10514,242.79,61.78,469.02,96.07,0.2046,11.1955
HAP1,0.05,0.1,GoDag-cert60,0.0436,0.0,0.0,0.0436,0.0,0.0452,0.0,9012,242.79,61.78,469.02,96.07,0.2046,11.1955
HAP1,0.05,0.5,Boger,0.0436,0.0,0.0,0.0436,0.0,0.0452,0.0,10514,242.79,61.78,469.02,96.07,0.2046,11.1955
HAP1,0.05,0.5,GoCo,0.0459,0.13,0.04,0.0458,0.13,0.0473,0.04,9012,251.3,63.53,578.23,102.69,0.1779,12.2966
HAP1,0.05,0.5,GoDag,0.0436,0.0,0.0,0.0436,0.0,0.0452,0.0,10514,242.79,61.78,469.02,96.07,0.2046,11.1955
HAP1,0.05,0.5,GoDag-cert60,0.0436,0.0,0.0,0.0436,0.0,0.0452,0.0,9012,242.79,61.78,469.02,96.07,0.2046,11.1955
HAP1,0.1,0.1,Boger,0.0719,0.0,0.0,0.072,0.0,0.0736,0.0,10514,377.44,77.03,847.17,129.45,0.1527,14.3509
HAP1,0.1,0.1,GoCo,0.0915,0.06,0.0,0.0913,0.03,0.0928,0.0,9012,462.19,80.73,1252.41,137.59,0.1103,14.9207
HAP1,0.1,0.1,GoDag,0.0719,0.0,0.0,0.072,0.0,0.0736,0.0,10514,377.44,77.03,847.17,129.45,0.1527,14.3509
HAP1,0.1,0.1,GoDag-cert60,0.0719,0.0,0.0,0.0719,0.0,0.0735,0.0,9012,377.44,77.03,847.17,129.45,0.1527,14.3509
HAP1,0.1,0.5,Boger,0.0719,0.0,0.0,0.072,0.0,0.0736,0.0,10514,377.44,77.03,847.17,129.45,0.1527,14.3509
HAP1,0.1,0.5,GoCo,0.0943,0.19,0.05,0.0941,0.18,0.0955,0.05,9012,475.26,80.79,1285.23,137.66,0.1074,14.891
HAP1,0.1,0.5,GoDag,0.0719,0.0,0.0,0.072,0.0,0.0736,0.0,10514,377.44,77.03,847.17,129.45,0.1527,14.3509
HAP1,0.1,0.5,GoDag-cert60,0.0719,0.0,0.0,0.0719,0.0,0.0735,0.0,9012,377.44,77.03,847.17,129.45,0.1527,14.3509
HAP1,0.2,0.1,Boger,0.1353,0.0,0.0,0.1354,0.0,0.1374,0.0,10514,670.21,95.25,1709.02,160.15,0.0937,15.9249
HAP1,0.2,0.1,GoCo,0.1756,0.02,0.0,0.1757,0.0,0.1781,0.0,9012,847.97,110.07,3270.95,187.67,0.0577,17.0033
HAP1,0.2,0.1,GoDag,0.1353,0.0,0.0,0.1354,0.0,0.1374,0.0,10514,670.21,95.25,1709.02,160.15,0.0937,15.9249
HAP1,0.2,0.1,GoDag-cert60,0.1353,0.0,0.0,0.1353,0.0,0.1374,0.0,9012,670.21,95.25,1709.02,160.15,0.0937,15.9249
HAP1,0.2,0.5,Boger,0.1353,0.0,0.0,0.1354,0.0,0.1374,0.0,10514,670.21,95.25,1709.02,160.15,0.0937,15.9249
HAP1,0.2,0.5,GoCo,0.1872,0.17,0.1,0.1873,0.21,0.1897,0.1,9012,900.39,110.66,3412.38,188.3,0.0554,17.1414
HAP1,0.2,0.5,GoDag,0.1353,0.0,0.0,0.1354,0.0,0.1374,0.0,10514,670.21,95.25,1709.02,160.15,0.0937,15.9249
HAP1,0.2,0.5,GoDag-cert60,0.1353,0.0,0.0,0.1353,0.0,0.1374,0.0,9012,670.21,95.25,1709.02,160.15,0.0937,15.9249
Sanger,0.05,0.1,Boger,0.045,0.07,0.0,0.0452,0.0,0.0463,0.0,10420,280.67,106.6,653.21,198.2,0.304,22.6189
Sanger,0.05,0.1,GoCo,0.0463,0.13,0.0,0.0464,0.05,0.0476,0.0,8932,288.3,112.51,709.95,213.72,0.3027,27.0622
Sanger,0.05,0.1,GoDag,0.0461,0.11,0.0,0.0462,0.0,0.0474,0.0,10420,286.42,109.61,674.39,203.91,0.3022,23.1639
Sanger,0.05,0.1,GoDag-cert60,0.0459,0.1,0.0,0.046,0.02,0.0472,0.0,8932,285.26,109.22,670.47,203.21,0.3036,23.9993
Sanger,0.05,0.5,Boger,0.0474,0.31,0.0,0.0474,0.0,0.0487,0.0,10420,294.62,113.54,700.76,212.06,0.3025,24.7867
Sanger,0.05,0.5,GoCo,0.0491,0.45,0.28,0.0492,0.73,0.0504,0.28,8932,301.2,119.17,882.71,234.53,0.2691,28.9219
Sanger,0.05,0.5,GoDag,0.0484,0.31,0.0,0.0484,0.0,0.0497,0.0,10420,300.73,116.26,720.95,218.2,0.3026,23.1931
Sanger,0.05,0.5,GoDag-cert60,0.0482,0.31,0.01,0.0482,0.35,0.0495,0.01,8932,299.47,115.7,716.6,216.95,0.3025,24.2951
Sanger,0.1,0.1,Boger,0.0913,0.01,0.0,0.0914,0.0,0.0933,0.0,10420,497.2,150.65,1751.3,315.81,0.1807,27.7058
Sanger,0.1,0.1,GoCo,0.093,0.15,0.0,0.0932,0.06,0.0951,0.0,8932,504.89,156.86,1983.15,339.98,0.1716,33.5553
Sanger,0.1,0.1,GoDag,0.0923,0.12,0.0,0.0924,0.01,0.0943,0.0,10420,501.6,151.65,1789.29,319.11,0.1786,30.8004
Sanger,0.1,0.1,GoDag-cert60,0.0925,0.13,0.0,0.0927,0.04,0.0946,0.0,8932,502.99,152.14,1802.04,320.74,0.1785,31.899
Sanger,0.1,0.5,Boger,0.0953,0.2,0.0,0.0955,0.13,0.0974,0.13,10420,515.86,155.41,1918.55,332.99,0.174,35.6443
Sanger,0.1,0.5,GoCo,0.098,0.42,0.2,0.0984,0.75,0.1005,0.2,8932,529.04,166.94,2380.25,380.67,0.1614,46.1506
Sanger,0.1,0.5,GoDag,0.098,0.36,0.0,0.0983,0.71,0.1003,0.0,10420,530.48,160.9,2040.05,353.79,0.1735,34.9017
Sanger,0.1,0.5,GoDag-cert60,0.0975,0.34,0.03,0.0979,0.7,0.0999,0.03,8932,528.01,159.97,2020.82,350.5,0.1736,36.2938
Sanger,0.2,0.1,Boger,0.1871,0.0,0.0,0.1875,0.0,0.1911,0.0,10420,926.42,348.15,12927.01,1136.01,0.088,101.027
Sanger,0.2,0.1,GoCo,0.1907,0.0,0.0,0.1911,0.0,0.1949,0.0,8932,945.4,375.95,16103.25,1346.75,0.0837,92.0075
Sanger,0.2,0.1,GoDag,0.1895,0.0,0.0,0.19,0.0,0.1936,0.0,10420,937.79,353.5,13324.21,1163.21,0.0873,71.1969
Sanger,0.2,0.1,GoDag-cert60,0.1891,0.0,0.0,0.1896,0.0,0.1932,0.0,8932,935.88,352.64,13254.31,1158.19,0.0874,73.3279
Sanger,0.2,0.5,Boger,0.1895,0.0,0.0,0.19,0.0,0.1936,0.0,10420,937.79,353.5,13324.21,1163.21,0.0873,71.1969
Sanger,0.2,0.5,GoCo,0.1913,0.01,0.01,0.1918,0.01,0.1956,0.01,8932,948.47,378.13,16330.11,1360.88,0.0833,86.5382
Sanger,0.2,0.5,GoDag,0.1895,0.0,0.0,0.19,0.0,0.1936,0.0,10420,937.79,353.5,13324.21,1163.21,0.0873,71.1969
Sanger,0.2,0.5,GoDag-cert60,0.1897,0.01,0.01,0.1901,0.01,0.1938,0.01,8932,938.55,353.87,13360.47,1165.44,0.0872,75.5612
Wainberg,0.05,0.1,Boger,0.0359,0.0,0.0,0.036,0.0,0.0372,0.0,11056,267.33,114.86,489.22,183.14,0.3742,18.3749
Wainberg,0.05,0.1,GoCo,0.0438,0.08,0.01,0.0438,0.02,0.045,0.01,9477,302.85,123.27,702.61,213.19,0.3045,20.7942
Wainberg,0.05,0.1,GoDag,0.0359,0.0,0.0,0.036,0.0,0.0372,0.0,11056,267.33,114.86,489.22,183.14,0.3742,18.3749
Wainberg,0.05,0.1,GoDag-cert60,0.0359,0.0,0.0,0.0359,0.0,0.0371,0.0,9477,267.33,114.86,489.22,183.14,0.3742,18.3749
Wainberg,0.05,0.5,Boger,0.0359,0.0,0.0,0.036,0.0,0.0372,0.0,11056,267.33,114.86,489.22,183.14,0.3742,18.3749
Wainberg,0.05,0.5,GoCo,0.0466,0.19,0.09,0.0465,0.26,0.0478,0.09,9477,316.58,124.36,732.18,214.77,0.2941,20.671
Wainberg,0.05,0.5,GoDag,0.0359,0.0,0.0,0.036,0.0,0.0372,0.0,11056,267.33,114.86,489.22,183.14,0.3742,18.3749
Wainberg,0.05,0.5,GoDag-cert60,0.0359,0.0,0.0,0.0359,0.0,0.0371,0.0,9477,267.33,114.86,489.22,183.14,0.3742,18.3749
Wainberg,0.1,0.1,Boger,0.0923,0.01,0.0,0.0923,0.0,0.0944,0.0,11056,560.56,185.32,1611.65,338.9,0.2102,28.0002
Wainberg,0.1,0.1,GoCo,0.0948,0.13,0.0,0.0947,0.02,0.0968,0.0,9477,567.68,195.24,1896.08,365.22,0.1928,30.5715
Wainberg,0.1,0.1,GoDag,0.0923,0.01,0.0,0.0924,0.0,0.0944,0.0,11056,561.06,185.71,1614.12,339.61,0.2103,27.7248
Wainberg,0.1,0.1,GoDag-cert60,0.0923,0.01,0.0,0.0923,0.0,0.0943,0.0,9477,561.06,185.71,1614.12,339.61,0.2103,27.7248
Wainberg,0.1,0.5,Boger,0.0923,0.01,0.0,0.0924,0.0,0.0944,0.0,11056,561.06,185.71,1614.12,339.61,0.2103,27.7248
