dataset,repeat,alpha,delta,arm,label,fdp,pool_risk,correct,total,units,supp_units
Wainberg,0,0.05,0.5,goco-N,top2097,0.04488315961511403,0.04617441611813754,187,636,294,111
Wainberg,0,0.05,0.1,goco-N,top2097,0.04488315961511403,0.04617441611813754,187,636,294,111
Wainberg,0,0.1,0.5,goco-N,top3994,0.09421957463061303,0.0928748361108544,235,1255,539,140
Wainberg,0,0.1,0.1,goco-N,top3994,0.09421957463061303,0.0928748361108544,235,1255,539,140
Wainberg,0,0.2,0.5,goco-N,top11197,0.19494356798757553,0.1910553787362219,431,3462,1041,231
Wainberg,0,0.2,0.1,goco-N,top11197,0.19494356798757553,0.1910553787362219,431,3462,1041,231
Wainberg,1,0.05,0.5,goco-N,top1844,0.04559388128404591,0.04622274196667443,141,591,285,90
Wainberg,1,0.05,0.1,goco-N,top1844,0.04559388128404591,0.04622274196667443,141,591,285,90
Wainberg,1,0.1,0.5,goco-N,top3087,0.08485338063746675,0.08889533747606206,170,961,481,110
Wainberg,1,0.1,0.1,goco-N,top3087,0.08485338063746675,0.08889533747606206,170,961,481,110
Wainberg,1,0.2,0.5,goco-N,top9843,0.18336577708675642,0.1857919780192861,368,2939,1002,210
Wainberg,1,0.2,0.1,goco-N,top9843,0.18336577708675642,0.1857919780192861,368,2939,1002,210
Wainberg,2,0.05,0.5,goco-N,top1844,0.04603861384148424,0.047205967519017115,156,564,288,88
Wainberg,2,0.05,0.1,goco-N,top1621,0.044079795726059974,0.044492936227019934,150,501,280,87
Wainberg,2,0.1,0.5,goco-N,top3512,0.09774810457588001,0.09901384834729891,193,1098,547,112
Wainberg,2,0.1,0.1,goco-N,top3087,0.08920179300086435,0.08971020693848691,187,966,506,109
Wainberg,2,0.2,0.5,goco-N,top11197,0.19836665638427986,0.19282337591338083,364,3368,1048,194
Wainberg,2,0.2,0.1,goco-N,top11197,0.19836665638427986,0.19282337591338083,364,3368,1048,194
Wainberg,3,0.05,0.5,goco-N,top2097,0.05224629153502095,0.04796738552806087,211,676,337,110
Wainberg,3,0.05,0.1,goco-N,top2097,0.05224629153502095,0.04796738552806087,211,676,337,110
Wainberg,3,0.1,0.5,goco-N,top3994,0.10005430056084341,0.095346426153672,266,1305,585,149
Wainberg,3,0.1,0.1,goco-N,top3994,0.10005430056084341,0.095346426153672,266,1305,585,149
Wainberg,3,0.2,0.5,goco-N,top11197,0.1888271600122592,0.19123056498274466,430,3381,1024,234
Wainberg,3,0.2,0.1,goco-N,top11197,0.1888271600122592,0.19123056498274466,430,3381,1024,234
Wainberg,4,0.05,0.5,goco-N,top1844,0.045971618433627716,0.04471558076113124,206,637,301,97
Wainberg,4,0.05,0.1,goco-N,top1844,0.045971618433627716,0.04471558076113124,206,637,301,97
Wainberg,4,0.1,0.5,goco-N,top3087,0.09279751778168832,0.0897070663927857,242,1039,539,125
Wainberg,4,0.1,0.1,goco-N,top3087,0.09279751778168832,0.0897070663927857,242,1039,539,125
Wainberg,4,0.2,0.5,goco-N,top8653,0.19602296477032652,0.19288737177866308,423,2878,1070,221
Wainberg,4,0.2,0.1,goco-N,top8653,0.19602296477032652,0.19288737177866308,423,2878,1070,221
Wainberg,5,0.05,0.5,goco-N,top1844,0.04704441295302418,0.048886320620404336,175,569,308,105
Wainberg,5,0.05,0.1,goco-N,top1621,0.041367916943054125,0.04336197511012846,165,506,275,97
Wainberg,5,0.1,0.5,goco-N,top3994,0.08857890854513903,0.09053509300628126,227,1155,519,135
Wainberg,5,0.1,0.1,goco-N,top3994,0.08857890854513903,0.09053509300628126,227,1155,519,135
Wainberg,5,0.2,0.5,goco-N,top11197,0.18391567329503913,0.18454383450450818,395,3335,988,206
Wainberg,5,0.2,0.1,goco-N,top11197,0.18391567329503913,0.18454383450450818,395,3335,988,206
Wainberg,6,0.05,0.5,goco-N,top1844,0.042720205431264945,0.04461692702107756,157,519,275,87
Wainberg,6,0.05,0.1,goco-N,top1844,0.042720205431264945,0.04461692702107756,157,519,275,87
Wainberg,6,0.1,0.5,goco-N,top3994,0.08302666507077651,0.08588372193718657,218,1223,483,128
Wainberg,6,0.1,0.1,goco-N,top3994,0.08302666507077651,0.08588372193718657,218,1223,483,128
Wainberg,6,0.2,0.5,goco-N,top12736,0.19689135897948173,0.1971423961553883,408,3794,1056,228
Wainberg,6,0.2,0.1,goco-N,top11197,0.18103149309376107,0.18022769925014026,370,3353,973,209
Wainberg,7,0.05,0.5,goco-N,top1844,0.04475459990972866,0.0434918452399986,177,569,288,100
Wainberg,7,0.05,0.1,goco-N,top1844,0.04475459990972866,0.0434918452399986,177,569,288,100
Wainberg,7,0.1,0.5,goco-N,top3087,0.09268395527365557,0.09132830236945608,202,956,530,120
Wainberg,7,0.1,0.1,goco-N,top3087,0.09268395527365557,0.09132830236945608,202,956,530,120
Wainberg,7,0.2,0.5,goco-N,top9843,0.19984258606753827,0.19742383652317236,336,3013,1073,208
Wainberg,7,0.2,0.1,goco-N,top8653,0.1893061695351691,0.1866510139997136,315,2673,1020,193
Wainberg,8,0.05,0.5,goco-N,top2386,0.05865821423546202,0.052841558137020676,257,841,375,129
Wainberg,8,0.05,0.1,goco-N,top2097,0.049073766976890656,0.04459839336026462,253,740,330,127
Wainberg,8,0.1,0.5,goco-N,top4544,0.10239870818173899,0.09688742550684161,321,1536,599,167
Wainberg,8,0.1,0.1,goco-N,top4544,0.10239870818173899,0.09688742550684161,321,1536,599,167
Wainberg,8,0.2,0.5,goco-N,top11197,0.18581547147682353,0.18612474777677493,493,3527,1016,240
Wainberg,8,0.2,0.1,goco-N,top11197,0.18581547147682353,0.18612474777677493,493,3527,1016,240
Wainberg,9,0.05,0.5,goco-N,top2097,0.05024806770347403,0.045730213282356456,218,766,327,114
Wainberg,9,0.05,0.1,goco-N,top2097,0.05024806770347403,0.045730213282356456,218,766,327,114
Wainberg,9,0.1,0.5,goco-N,top4544,0.10098087094182492,0.09910669937402264,283,1586,579,152
Wainberg,9,0.1,0.1,goco-N,top3994,0.08714508538549136,0.08388778140013056,270,1411,509,142
Wainberg,9,0.2,0.5,goco-N,top11197,0.18778012826539786,0.18371559835764242,456,3674,1011,235
Wainberg,9,0.2,0.1,goco-N,top11197,0.18778012826539786,0.18371559835764242,456,3674,1011,235
Wainberg,10,0.05,0.5,goco-N,top2386,0.051271900089966786,0.05011489555383144,213,748,325,109
Wainberg,10,0.05,0.1,goco-N,top2097,0.048347774007335004,0.045825668610423725,201,657,310,105
Wainberg,10,0.1,0.5,goco-N,top5169,0.09436358983726979,0.09701244642964514,294,1581,542,145
Wainberg,10,0.1,0.1,goco-N,top4544,0.08545333295846078,0.08705938410567261,285,1436,498,142
Wainberg,10,0.2,0.5,goco-N,top12736,0.1959079880409777,0.1974272899752554,476,3852,1053,228
Wainberg,10,0.2,0.1,goco-N,top11197,0.17662932948343785,0.17768748906286722,441,3405,957,213
Wainberg,11,0.05,0.5,goco-N,top1844,0.04606022231602645,0.04702787129624977,145,561,283,78
Wainberg,11,0.05,0.1,goco-N,top1621,0.040410862529900095,0.04185107951024236,131,488,252,70
Wainberg,11,0.1,0.5,goco-N,top3087,0.08663808987785349,0.08998087756617479,174,933,491,101
Wainberg,11,0.1,0.1,goco-N,top3087,0.08663808987785349,0.08998087756617479,174,933,491,101
Wainberg,11,0.2,0.5,goco-N,top9843,0.1861188965259931,0.18955305722291355,334,2813,997,192
Wainberg,11,0.2,0.1,goco-N,top9843,0.1861188965259931,0.18955305722291355,334,2813,997,192
Wainberg,12,0.05,0.5,goco-N,top2097,0.054536409137506646,0.04902879353811467,172,718,337,105
Wainberg,12,0.05,0.1,goco-N,top2097,0.054536409137506646,0.04902879353811467,172,718,337,105
Wainberg,12,0.1,0.5,goco-N,top3994,0.10272286634148178,0.09517458027570584,217,1353,581,136
Wainberg,12,0.1,0.1,goco-N,top3994,0.10272286634148178,0.09517458027570584,217,1353,581,136
Wainberg,12,0.2,0.5,goco-N,top11197,0.1967302285440368,0.19143993543092577,393,3554,1047,217
Wainberg,12,0.2,0.1,goco-N,top11197,0.1967302285440368,0.19143993543092577,393,3554,1047,217
Wainberg,13,0.05,0.5,goco-N,top1844,0.044371327396865605,0.045264435216950165,173,590,279,92
Wainberg,13,0.05,0.1,goco-N,top1844,0.044371327396865605,0.045264435216950165,173,590,279,92
Wainberg,13,0.1,0.5,goco-N,top3512,0.09678157837191184,0.09547562200569586,201,1177,533,110
Wainberg,13,0.1,0.1,goco-N,top3512,0.09678157837191184,0.09547562200569586,201,1177,533,110
Wainberg,13,0.2,0.5,goco-N,top11197,0.19160576342213073,0.18917934447780804,365,3336,1015,192
Wainberg,13,0.2,0.1,goco-N,top11197,0.19160576342213073,0.18917934447780804,365,3336,1015,192
Wainberg,14,0.05,0.5,goco-N,top2097,0.05223266953955009,0.050222795143653395,191,717,332,111
Wainberg,14,0.05,0.1,goco-N,top1844,0.048804871082203286,0.04536999991449516,183,642,313,104
Wainberg,14,0.1,0.5,goco-N,top3512,0.08643270590915415,0.08541137631917876,217,1182,500,132
Wainberg,14,0.1,0.1,goco-N,top3512,0.08643270590915415,0.08541137631917876,217,1182,500,132
Wainberg,14,0.2,0.5,goco-N,top11197,0.1907466487009543,0.1914299991713688,379,3391,1014,204
Wainberg,14,0.2,0.1,goco-N,top11197,0.1907466487009543,0.1914299991713688,379,3391,1014,204
Wainberg,15,0.05,0.5,goco-N,top2097,0.04699896510787182,0.048172832365586504,178,639,301,102
Wainberg,15,0.05,0.1,goco-N,top1844,0.04299985929365414,0.04399719013155524,164,568,278,95
Wainberg,15,0.1,0.5,goco-N,top3994,0.08905089739302488,0.09065814759934476,242,1254,513,135
Wainberg,15,0.1,0.1,goco-N,top3994,0.08905089739302488,0.09065814759934476,242,1254,513,135
Wainberg,15,0.2,0.5,goco-N,top11197,0.19003154648089604,0.1886695785756751,402,3335,1012,203
Wainberg,15,0.2,0.1,goco-N,top11197,0.19003154648089604,0.1886695785756751,402,3335,1012,203
Wainberg,16,0.05,0.5,goco-N,top1621,0.03782186576614606,0.040479495296589924,118,451,241,79
Wainberg,16,0.05,0.1,goco-N,top1621,0.03782186576614606,0.040479495296589924,118,451,241,79
Wainberg,16,0.1,0.5,goco-N,top3087,0.09653510623329112,0.09783716576541057,155,927,537,107
Wainberg,16,0.1,0.1,goco-N,top2714,0.08514140987758549,0.08705194559221995,143,809,479,98
Wainberg,16,0.2,0.5,goco-N,top8653,0.1907253503496644,0.1929432881965418,281,2643,1012,183
