dataset,repeat,n_calls_T,auc_score_T,auc_phat_T,auc_score_E,auc_phat_E
Wainberg,0,1535,0.7390302764370338,0.5252417909902004,0.6968836728126616,0.5722085457273096
Wainberg,1,1621,0.676789510688518,0.4584595811641026,0.7028244275836031,0.5864719922552329
Wainberg,2,1655,0.6697699236264305,0.5006789204169886,0.7037435123306283,0.5401339243539734
Wainberg,3,1858,0.7217018422592292,0.5406881002326013,0.6979120412476317,0.6374687926944866
Wainberg,4,1554,0.6925468315939635,0.5427725429837075,0.701195167718101,0.5743048473572848
Wainberg,5,1403,0.7129966887417218,0.573331635252165,0.6992466249664574,0.6319966099266605
Wainberg,6,1713,0.7360805971047641,0.5939823035483192,0.6960656369901103,0.6229855916075865
Wainberg,7,1782,0.674798864028387,0.6121263737617663,0.7039673641304247,0.5788487208050188
Wainberg,8,1527,0.7243807034794459,0.5774055960944643,0.698246052166285,0.6626558072027818
Wainberg,9,1656,0.6760529269301199,0.5206785200937247,0.7030424978766696,0.6067387780022299
Wainberg,10,1579,0.6749275092334608,0.45816796799066933,0.7033177886224554,0.6497116984443625
Wainberg,11,1523,0.6975837478086354,0.5186791524872484,0.7008819050078836,0.5978262055638662
Wainberg,12,1477,0.7179435023083603,0.5291081958220962,0.6988896382645112,0.5625469334613679
Wainberg,13,1719,0.695686199656423,0.45959343386142393,0.7011041185205155,0.5475236029372866
Wainberg,14,1533,0.6901398378502076,0.5041089117002844,0.7017914925951939,0.580236287841307
Wainberg,15,1794,0.6638096728052924,0.4981226533166458,0.7049651416472265,0.6345293849806485
Wainberg,16,1623,0.7054694040263105,0.5017101853697429,0.700094188644017,0.5579539505163817
Wainberg,17,1630,0.7131923392699254,0.4568235284830112,0.6991948553515263,0.6053521802541131
Wainberg,18,1848,0.6707895279323851,0.4802771954905536,0.7046808387961039,0.5944920952581474
Wainberg,19,1656,0.6831935194672131,0.4937261640482696,0.7027048849635613,0.6551343975802816
Wainberg,20,1693,0.7143164171303206,0.6113921308363651,0.6989800460436462,0.6412301288401456
Wainberg,21,1532,0.7044677021092115,0.6229171771624602,0.7001802924665682,0.5970204374591452
Wainberg,22,1607,0.7084014638324378,0.6137428949622362,0.6997737025212263,0.6881926281354994
Wainberg,23,1730,0.6948434977249376,0.5620795415626988,0.7013992394115857,0.6226245782716955
Wainberg,24,1742,0.7267356651809322,0.5741361335650071,0.6971511075867279,0.6321105581812396
Wainberg,25,1732,0.6679462155714595,0.5623992793153496,0.7044717101352437,0.5175191765024054
Wainberg,26,1594,0.6701593202810171,0.39995007310723585,0.7032424508787491,0.5847623004560597
Wainberg,27,1630,0.7164976675450466,0.5791409977921801,0.6996580933428186,0.6202516011656257
Wainberg,28,1608,0.6692564173004625,0.48444456152366905,0.7041950379056118,0.5643235775756611
Wainberg,29,1675,0.6891545893719807,0.6448327759197324,0.7017305178446955,0.5659485862554982
Wainberg,30,1659,0.7070969201906723,0.5056026396279993,0.6999178944966797,0.6706506780401733
Wainberg,31,1567,0.735246606954277,0.4988559471193335,0.6967578864965698,0.5666378261097257
Wainberg,32,1592,0.6626070605625842,0.4388595423387389,0.7049812191007756,0.6350742856518302
Wainberg,33,1762,0.6950845041034914,0.5595232299346223,0.7010949387310832,0.6346365048261555
Wainberg,34,1683,0.7187248957938613,0.6685411140583555,0.6990847933352128,0.6578854056538436
Wainberg,35,1555,0.7128470686200525,0.6152276492579389,0.6992029695444032,0.6074042051186955
Wainberg,36,1630,0.6788828671328672,0.6171748251748251,0.7030808460513774,0.5900617565494605
Wainberg,37,1706,0.6497453310696095,0.4900820599886814,0.7062480964592133,0.5506408496018359
Wainberg,38,1700,0.6966426858513189,0.367895157558164,0.7009204273961692,0.5968428357419909
Wainberg,39,1906,0.6320091167220546,0.42249258311369164,0.7098374683323412,0.5863441010152823
Wainberg,40,1500,0.6442391914654688,0.4304800673778776,0.7052647451537714,0.5411707815242424
Wainberg,41,1570,0.7120672154553161,0.5382144291259537,0.6998251294338943,0.6041464672407768
Wainberg,42,1758,0.7005329271749253,0.5192084271640238,0.7005931032865697,0.5672248907923603
Wainberg,43,1576,0.6688679853102248,0.5665463995017503,0.7038347064678735,0.571332495432957
Wainberg,44,1572,0.6856589735803219,0.33090077436987547,0.7017581522630134,0.5195506318962025
Wainberg,45,1541,0.714054114490161,0.6741697443591668,0.6990480620791404,0.6404870968698194
Wainberg,46,1736,0.7387563557188884,0.5794999748288361,0.6958736131746671,0.661036421955927
Wainberg,47,1518,0.7313176007866273,0.5785056811974216,0.6977224814321759,0.6350098065987956
Wainberg,48,1875,0.6645617791352868,0.5567720732455943,0.7058064191464807,0.6157765996922565
Wainberg,49,1505,0.7383265561463872,0.632736940882077,0.6978087683260248,0.5505115773163478
Wainberg,50,1727,0.7233757026383755,0.5460338912239834,0.6978013362658101,0.6303478268913666
Wainberg,51,1654,0.6712390173928635,0.4608909608909609,0.7035811696683036,0.6228197102872659
Wainberg,52,1617,0.6696366782006921,0.4425806711193369,0.7037482678353877,0.5832424546130786
Wainberg,53,1574,0.6993472297310827,0.6104983880979555,0.7007312816435313,0.6169055273579278
Wainberg,54,1483,0.7570022116590744,0.6291159140423846,0.6942400681236439,0.5848209109265033
Wainberg,55,1624,0.6962849576470146,0.4610446443663956,0.700952031223171,0.6074592116973629
Wainberg,56,1630,0.6843422382215486,0.422613126815713,0.7023861080671694,0.5542181681167536
Wainberg,57,1577,0.7278161702679904,0.6379148822269807,0.6976022319192586,0.6547511701063625
Wainberg,58,1567,0.7186890504704876,0.5220551753635586,0.69882780531453,0.6032196755385291
Wainberg,59,1544,0.6905308658651897,0.560384678883936,0.7018718667983171,0.5071877824645977
Wainberg,60,1720,0.6951399501552511,0.48520724430279005,0.7012740466720756,0.557791377070201
Wainberg,61,1493,0.6975805838239098,0.47832907406562314,0.7008195609968847,0.5666878899904783
Wainberg,62,1655,0.7207210784411047,0.5537003580244463,0.6980019398704593,0.576013484281287
Wainberg,63,1733,0.6367107350608144,0.5061854398025736,0.7074460850581852,0.5505595873143463
Wainberg,64,1596,0.6817517840174396,0.5360883903784166,0.7027655072753324,0.59683909476711
Wainberg,65,1447,0.710642993866948,0.6173703074338841,0.6994998911031494,0.6039202822083733
Wainberg,66,1522,0.730494577487502,0.47334855265279796,0.69815923777994,0.5420032787353213
Wainberg,67,1715,0.6908839406207827,0.5487331309041835,0.7017158860774424,0.6338924721549675
Wainberg,68,1639,0.680176753880937,0.6176594188890476,0.7024323472269097,0.6445138452770651
Wainberg,69,1578,0.680047058386742,0.5819739461752298,0.7025000149841069,0.6060851012914524
Wainberg,70,1564,0.7025478488305378,0.46234810444637015,0.700341972638131,0.5845349643294742
Wainberg,71,1702,0.7134337252527928,0.607941808000454,0.6992208309793863,0.6682247578375734
Wainberg,72,1672,0.6716979540728775,0.6126330404092503,0.7041920972467134,0.6391832329027545
Wainberg,73,1861,0.715350481475807,0.5475517650329969,0.6987263078444885,0.5951250767665687
Wainberg,74,1568,0.6597239754270807,0.6159850206176891,0.7047043532439942,0.5174635581077632
Wainberg,75,1606,0.7145577767681357,0.4617219445706497,0.6990268166560235,0.6367362056930623
Wainberg,76,1783,0.7057369372860557,0.5738826454821417,0.7003273551360331,0.5381576386878815
Wainberg,77,1657,0.7179716893276216,0.6333823803315328,0.698600713467123,0.5804403229645029
Wainberg,78,1892,0.7098863449553898,0.658416525936664,0.6997106630781272,0.6020351970562899
Wainberg,79,1677,0.6965879729586238,0.4627915619580222,0.7011391343719847,0.6187559050589753
Wainberg,80,1682,0.7025906288650898,0.5665362723196451,0.7001058387641175,0.6012785692447803
Wainberg,81,1799,0.7670952996583249,0.6779134730815403,0.6905445878148149,0.6405444925696897
Wainberg,82,1735,0.6400307289305325,0.5058702962067402,0.7082908350399759,0.5913620974926816
Wainberg,83,1827,0.7116373382728522,0.5585711880104404,0.6991293875058626,0.5828942329130253
Wainberg,84,1511,0.66877995252385,0.4375979755453039,0.7037668769344808,0.5404537628929034
Wainberg,85,1639,0.6635987093733573,0.5154304203599979,0.7040252721006182,0.476784235867001
Wainberg,86,1556,0.7288136551178432,0.6047645961679761,0.6976224777687142,0.6150587245488072
Wainberg,87,1636,0.7096967636013939,0.46027358190454254,0.6996179239008462,0.5867070579367254
Wainberg,88,1677,0.6731247798157574,0.47885481706905725,0.7035330780563387,0.5938464319279491
Wainberg,89,1585,0.729938035495716,0.5788152331144987,0.6971670887612833,0.6115572082037284
Wainberg,90,1612,0.6906160617557602,0.5322241411353015,0.7011960209610801,0.63709969368143
Wainberg,91,1581,0.6896613138441423,0.5146965150778617,0.7017738234979063,0.5393909650053402
Wainberg,92,1817,0.6573252600121038,0.5673582645478877,0.7057988239970572,0.5524408871354062
Wainberg,93,1572,0.6455644656058138,0.4670839337175792,0.7064549351449662,0.5850203189388182
Wainberg,94,1718,0.7137191000833256,0.49210813813535786,0.6989788322773846,0.5887783398813654
Wainberg,95,1730,0.6897598752019611,0.5804954315003621,0.7018021380367043,0.6217663425044141
Wainberg,96,1646,0.7116480985182396,0.4750116281645219,0.699478025252737,0.5967336402533958
Wainberg,97,1524,0.7078546592343731,0.6048511234423432,0.6999382709825445,0.6712669236655161
Wainberg,98,1730,0.6797146108089941,0.45568935985843917,0.702696173140907,0.6119235420203566
Wainberg,99,1797,0.6851407612037914,0.5772783401501322,0.7029182860686516,0.613704235832004
Sanger,0,7089,0.5725883059651573,0.6595592852852116,0.5901038620590899,0.7007255080428202
Sanger,1,7715,0.5818422355816113,0.618162550251245,0.588953535287996,0.6924532214772853
Sanger,2,7529,0.5761959633741061,0.6343628886663748,0.5896229497611964,0.6431061116346526
Sanger,3,7123,0.6055316683273405,0.7066446356626088,0.5863168404939207,0.7098865786019689
Sanger,4,7650,0.595339589523252,0.637489714150016,0.5874990475149846,0.6969253130195782
