dataset,repeat,alpha,K,yield_M_T,yield_N_T,choose_N
Wainberg,0,0.05,10,67,33,0
Wainberg,0,0.1,10,112,42,0
Wainberg,0,0.2,10,155,93,0
Wainberg,1,0.05,10,48,48,0
Wainberg,1,0.1,10,101,60,0
Wainberg,1,0.2,10,162,99,0
Wainberg,2,0.05,10,56,44,0
Wainberg,2,0.1,10,108,53,0
Wainberg,2,0.2,10,161,110,0
Wainberg,3,0.05,10,93,81,0
Wainberg,3,0.1,10,131,110,0
Wainberg,3,0.2,10,207,169,0
Wainberg,4,0.05,10,59,38,0
Wainberg,4,0.1,10,97,58,0
Wainberg,4,0.2,10,150,91,0
Wainberg,5,0.05,10,77,58,0
Wainberg,5,0.1,10,139,85,0
Wainberg,5,0.2,10,186,174,0
Wainberg,6,0.05,10,91,88,0
Wainberg,6,0.1,10,157,115,0
Wainberg,6,0.2,10,218,185,0
Wainberg,7,0.05,10,84,73,0
Wainberg,7,0.1,10,124,81,0
Wainberg,7,0.2,10,195,135,0
Wainberg,8,0.05,10,66,47,0
Wainberg,8,0.1,10,122,78,0
Wainberg,8,0.2,10,165,147,0
Wainberg,9,0.05,10,55,45,0
Wainberg,9,0.1,10,110,63,0
Wainberg,9,0.2,10,165,120,0
Wainberg,10,0.05,10,61,65,1
Wainberg,10,0.1,10,112,85,0
Wainberg,10,0.2,10,171,162,0
Wainberg,11,0.05,10,68,42,0
Wainberg,11,0.1,10,131,52,0
Wainberg,11,0.2,10,179,136,0
Wainberg,12,0.05,10,58,69,1
Wainberg,12,0.1,10,120,80,0
Wainberg,12,0.2,10,159,118,0
Wainberg,13,0.05,10,64,46,0
Wainberg,13,0.1,10,111,54,0
Wainberg,13,0.2,10,160,108,0
Wainberg,14,0.05,10,74,54,0
Wainberg,14,0.1,10,122,68,0
Wainberg,14,0.2,10,175,149,0
Wainberg,15,0.05,10,67,55,0
Wainberg,15,0.1,10,125,71,0
Wainberg,15,0.2,10,187,134,0
Wainberg,16,0.05,10,62,57,0
