dataset,repeat,rule,label,fdp,correct,total,units,supp_units,fmax,prec,rec
Wainberg,0,Fmax,score>=1076.8,0.034760914742946625,202.0,481.0,273,125,0.3150721121279968,0.3470788227646885,0.28847014229789364
Wainberg,0,Fmax-full,score>=601.638,0.22971650958061218,608.0,5037.0,1235,304,0.0019249658852297927,0.10898656845092773,0.0009710585617508098
Wainberg,0,Floor,score>=600.821,0.22971650958061218,608.0,5037.0,1235,304,,,
Wainberg,0,Top-1,top1,0.21971295905445334,194.0,1235.0,1235,194,,,
Wainberg,0,Top-3,top3,0.22586886168566203,405.0,2795.0,1235,267,,,
Wainberg,1,Fmax,score>=913.645,0.07299862056970596,262.0,1010.0,472,163,0.32125400717612734,0.2542614792332505,0.4361775858271186
Wainberg,1,Fmax-full,score>=601.638,0.22879016399383545,541.0,4942.0,1232,289,0.002036663166389301,0.10839137706829366,0.0010279894932282785
Wainberg,1,Floor,score>=600.821,0.22879016399383545,541.0,4943.0,1232,289,,,
Wainberg,1,Top-1,top1,0.21907978049810045,194.0,1232.0,1232,194,,,
Wainberg,1,Top-3,top3,0.22513015336991699,385.0,2760.0,1232,254,,,
Wainberg,2,Fmax,score>=911.135,0.07204030454158783,281.0,1038.0,459,159,0.3250488168445699,0.25809334150326796,0.4389132147159671
Wainberg,2,Fmax-full,score>=601.638,0.23520058393478394,562.0,4968.0,1253,277,0.0020417536420033982,0.11246156192675577,0.0010302287868718795
Wainberg,2,Floor,score>=600.821,0.23520058393478394,562.0,4968.0,1253,277,,,
Wainberg,2,Top-1,top1,0.22731110173068805,176.0,1253.0,1253,176,,,
Wainberg,2,Top-3,top3,0.23223582383565503,370.0,2797.0,1253,237,,,
Wainberg,3,Fmax,score>=911.135,0.07498358190059662,262.0,1006.0,478,162,0.32990993832326765,0.25794994513798125,0.4575529462613458
Wainberg,3,Fmax-full,score>=601.638,0.2263668030500412,583.0,4889.0,1223,300,0.0019995294504691597,0.1071958528679601,0.0010091768375195447
Wainberg,3,Floor,score>=600.821,0.2263668030500412,583.0,4889.0,1223,300,,,
Wainberg,3,Top-1,top1,0.21844660194174756,188.0,1223.0,1223,188,,,
Wainberg,3,Top-3,top3,0.22379344308428314,383.0,2764.0,1223,254,,,
Wainberg,4,Fmax,score>=1116.68,0.037703774869441986,228.0,573.0,292,129,0.31907010204523667,0.3518989550293781,0.29184382608207576
Wainberg,4,Fmax-full,score>=601.638,0.23578177392482758,663.0,5252.0,1272,314,0.001840397612577764,0.10749859294965156,0.0009281438109955253
Wainberg,4,Floor,score>=600.821,0.23578177392482758,663.0,5252.0,1272,314,,,
Wainberg,4,Top-1,top1,0.22773322076825664,193.0,1272.0,1272,193,,,
Wainberg,4,Top-3,top3,0.23114534965526948,439.0,2914.0,1272,270,,,
Wainberg,5,Fmax,score>=913.645,0.06962421536445618,246.0,959.0,445,154,0.32743732691175303,0.2580907087246797,0.44774133868170585
Wainberg,5,Fmax-full,score>=601.638,0.23062117397785187,544.0,4893.0,1231,277,0.0020836983903625944,0.11170862121158764,0.0010516574666770899
Wainberg,5,Floor,score>=600.821,0.23062117397785187,544.0,4894.0,1231,277,,,
Wainberg,5,Top-1,top1,0.22182355424229633,180.0,1231.0,1231,180,,,
Wainberg,5,Top-3,top3,0.22706486562543973,377.0,2758.0,1231,250,,,
Wainberg,6,Fmax,score>=911.135,0.07195696979761124,228.0,976.0,451,141,0.3303284086537521,0.26322822464738765,0.44334181015795376
Wainberg,6,Fmax-full,score>=601.638,0.22913241386413574,486.0,4817.0,1217,262,0.002083845117965141,0.11356578587333938,0.001051570313573825
Wainberg,6,Floor,score>=600.821,0.22913241386413574,486.0,4817.0,1217,262,,,
Wainberg,6,Top-1,top1,0.2228788518362178,161.0,1217.0,1217,161,,,
Wainberg,6,Top-3,top3,0.22650204024201492,329.0,2691.0,1217,226,,,
Wainberg,7,Fmax,score>=911.135,0.07360709458589554,271.0,1025.0,471,166,0.3221340392075602,0.2566963174187766,0.43234983142817257
Wainberg,7,Fmax-full,score>=601.638,0.2328922301530838,526.0,4880.0,1244,280,0.0020593909718244724,0.11143424028471678,0.0010392990108000948
Wainberg,7,Floor,score>=600.821,0.2328922301530838,526.0,4882.0,1244,280,,,
Wainberg,7,Top-1,top1,0.22520050654284507,177.0,1244.0,1244,177,,,
Wainberg,7,Top-3,top3,0.22917546081328272,372.0,2770.0,1244,245,,,
Wainberg,8,Fmax,score>=911.135,0.07667172700166702,309.0,1104.0,491,169,0.3230574899856403,0.2563634584223111,0.436655167748918
Wainberg,8,Fmax-full,score>=601.638,0.23308293521404266,619.0,5195.0,1250,291,0.0019270642564042418,0.1098888137577716,0.000972055348414991
Wainberg,8,Floor,score>=600.821,0.23308293521404266,619.0,5195.0,1250,291,,,
Wainberg,8,Top-1,top1,0.22646686365555085,177.0,1250.0,1250,177,,,
Wainberg,8,Top-3,top3,0.22928099057267487,397.0,2834.0,1250,244,,,
Wainberg,9,Fmax,score>=911.135,0.075764000415802,263.0,1125.0,473,163,0.3333818343505522,0.264958261654077,0.44944875515398497
Wainberg,9,Fmax-full,score>=601.638,0.23272326588630676,577.0,5175.0,1244,300,0.001994154129722343,0.11115543653806383,0.0010061019148864118
Wainberg,9,Floor,score>=600.821,0.23272326588630676,577.0,5177.0,1244,300,,,
Wainberg,9,Top-1,top1,0.22562262558041368,175.0,1244.0,1244,175,,,
Wainberg,9,Top-3,top3,0.22942169691853104,374.0,2787.0,1244,249,,,
Wainberg,10,Fmax,score>=1076.8,0.03361072763800621,168.0,461.0,249,102,0.3332446361808286,0.3626115097463312,0.30827807293716397
Wainberg,10,Fmax-full,score>=601.638,0.23174624145030975,554.0,4929.0,1234,271,0.0020515896530724402,0.1126338557541598,0.001035222954015568
Wainberg,10,Floor,score>=600.821,0.23174624145030975,554.0,4929.0,1234,271,,,
Wainberg,10,Top-1,top1,0.2241452089489236,172.0,1234.0,1234,172,,,
Wainberg,10,Top-3,top3,0.22850710567046575,366.0,2733.0,1234,229,,,
Wainberg,11,Fmax,score>=913.645,0.07032805681228638,260.0,996.0,449,156,0.3229329286255775,0.25843091227590653,0.43034252812114265
Wainberg,11,Fmax-full,score>=601.638,0.2281440794467926,510.0,4761.0,1214,267,0.002039674604572463,0.11286840534177331,0.0010291361975815854
Wainberg,11,Floor,score>=600.821,0.2281440794467926,510.0,4762.0,1214,267,,,
Wainberg,11,Top-1,top1,0.22119037568594344,166.0,1214.0,1214,166,,,
Wainberg,11,Top-3,top3,0.22446179822710005,358.0,2722.0,1214,239,,,
Wainberg,12,Fmax,score>=929,0.07619266211986542,261.0,1080.0,472,159,0.33356527214029896,0.2681532394727674,0.44118612939876417
Wainberg,12,Fmax-full,score>=601.638,0.23196765780448914,554.0,5095.0,1235,282,0.002015057939230963,0.11269000371297201,0.0010166182616189686
Wainberg,12,Floor,score>=600.821,0.23196765780448914,554.0,5095.0,1235,282,,,
Wainberg,12,Top-1,top1,0.22477838750527648,170.0,1235.0,1235,170,,,
Wainberg,12,Top-3,top3,0.22878851836217814,364.0,2788.0,1235,242,,,
Wainberg,13,Fmax,score>=1076.8,0.03824147209525108,164.0,490.0,268,103,0.3360397310340409,0.3779951641817048,0.3024674666771932
Wainberg,13,Fmax-full,score>=601.638,0.22964146733283997,549.0,4904.0,1227,273,0.002073448299314936,0.11133158041829878,0.001046468910191587
Wainberg,13,Floor,score>=600.821,0.22964146733283997,549.0,4905.0,1227,273,,,
Wainberg,13,Top-1,top1,0.223723089911355,167.0,1227.0,1227,167,,,
Wainberg,13,Top-3,top3,0.22667792317433516,368.0,2793.0,1227,237,,,
Wainberg,14,Fmax,score>=1076.8,0.0396534763276577,165.0,523.0,280,112,0.32886453275797306,0.3767606744355562,0.29177259956382523
Wainberg,14,Fmax-full,score>=601.638,0.2328810691833496,535.0,4936.0,1240,270,0.0020494213673895047,0.11265220575747283,0.0010341172549394458
Wainberg,14,Floor,score>=600.821,0.2328810691833496,535.0,4937.0,1240,270,,,
Wainberg,14,Top-1,top1,0.22604474461798227,169.0,1240.0,1240,169,,,
Wainberg,14,Top-3,top3,0.22952722667792316,366.0,2744.0,1240,232,,,
Wainberg,15,Fmax,score>=929,0.06999772787094116,257.0,981.0,445,156,0.32306732824932505,0.2592802515303394,0.4284803201469869
Wainberg,15,Fmax-full,score>=601.638,0.23194639384746552,526.0,4739.0,1237,265,0.0021030178909236964,0.11203841685917412,0.0010614711210298522
Wainberg,15,Floor,score>=600.821,0.23194639384746552,526.0,4740.0,1237,265,,,
Wainberg,15,Top-1,top1,0.2228788518362178,181.0,1237.0,1237,181,,,
Wainberg,15,Top-3,top3,0.22857745884339384,356.0,2714.0,1237,234,,,
Wainberg,16,Fmax,score>=1076.8,0.034921810030937195,129.0,407.0,243,90,0.34278141846958143,0.3777264284800334,0.31375469410107965
Wainberg,16,Fmax-full,score>=601.638,0.2307116985321045,510.0,4951.0,1223,267,0.0021371218558382432,0.1143141518325067,0.0010786436379615584
Wainberg,16,Floor,score>=600.821,0.2307116985321045,510.0,4951.0,1223,267,,,
Wainberg,16,Top-1,top1,0.22477838750527648,158.0,1223.0,1223,158,,,
Wainberg,16,Top-3,top3,0.22790910370057693,335.0,2751.0,1223,227,,,
