gene,community
A1BG,63
A1CF,74
A2M,75
A2ML1,76
A4GALT,14
A4GNT,77
AAAS,8
AACS,54
AADAC,14
AADACL2,78
AADACL3,79
AADACL4,80
AADAT,60
AAGAB,52
AAK1,81
AAMDC,82
AAMP,47
AANAT,83
AAR2,65
AARD,84
AARS,27
AARS2,55
AARSD1,73
AASDH,85
AASDHPPT,11
AASS,86
AATF,87
AATK,71
ABAT,88
ABCA1,55
ABCA10,89
ABCA12,60
ABCA13,14
ABCA2,14
ABCA3,14
ABCA4,90
ABCA5,91
ABCA6,92
ABCA7,93
ABCA8,94
ABCA9,95
ABCB1,96
ABCB10,10
ABCB11,97
ABCB4,98
ABCB5,99
ABCB6,65
ABCB8,100
ABCB9,101
ABCC1,14
ABCC10,14
ABCC11,102
ABCC12,103
ABCC2,104
ABCC3,50
ABCC4,73
ABCC5,54
ABCC6,105
ABCC8,106
ABCC9,107
ABCD2,108
ABCD3,109
ABCD4,11
ABCE1,27
ABCF1,73
ABCF2,29
ABCF3,37
ABCG1,110
ABCG2,111
ABCG4,112
ABCG5,113
ABCG8,114
ABHD1,115
ABHD10,14
ABHD11,8
ABHD12,29
ABHD12B,116
ABHD13,73
ABHD14A,63
ABHD14B,14
ABHD15,71
ABHD16A,3
ABHD16B,14
ABHD17A,14
ABHD17B,117
ABHD17C,14
ABHD2,60
ABHD3,60
ABHD4,118
ABHD5,41
ABHD6,119
ABHD8,0
ABI1,41
ABI2,120
ABI3BP,121
ABL1,47
ABL2,60
ABLIM1,122
ABLIM2,123
ABLIM3,124
ABR,14
ABRA,125
ABRACL,126
ABT1,47
ABTB1,127
ABTB2,128
ACAA1,37
ACAA2,0
ACACA,11
ACACB,60
ACAD10,129
ACAD11,130
ACAD8,131
ACAD9,0
ACADL,29
ACADM,132
ACADS,71
ACADSB,60
ACADVL,14
ACAN,133
ACAP1,134
ACAP2,5
ACAP3,29
ACAT1,60
ACAT2,11
ACBD3,14
ACBD4,135
ACBD5,37
ACBD6,136
ACBD7,41
ACCS,60
ACCSL,137
ACD,3
ACE,138
ACER1,139
ACER2,140
ACER3,73
ACHE,141
ACIN1,142
ACKR1,143
ACKR2,144
ACKR3,145
ACKR4,146
ACLY,50
ACO1,147
ACO2,0
ACOT1,4
ACOT11,148
ACOT12,149
ACOT13,150
ACOT2,65
ACOT4,73
ACOT6,151
ACOT8,152
ACOX1,37
ACOX2,153
ACOX3,14
ACOXL,154
ACP1,155
ACP2,60
ACP5,156
ACP6,54
ACPP,157
ACR,158
ACRBP,159
ACRV1,160
ACSBG1,161
ACSBG2,162
ACSF2,60
ACSF3,163
ACSL1,14
ACSL3,37
ACSL5,164
ACSL6,165
ACSM1,166
ACSM2A,167
ACSM2B,168
ACSM3,169
ACSM4,170
ACSM5,171
ACSM6,38
ACSS1,172
ACSS2,173
ACSS3,174
ACTA1,175
ACTA2,176
ACTB,27
ACTBL2,177
ACTC1,70
ACTG1,41
ACTG2,178
ACTL10,179
ACTL6A,50
ACTL6B,180
ACTL7A,181
ACTL7B,182
ACTL8,60
ACTL9,183
ACTN1,184
ACTN2,185
ACTN4,186
ACTR10,47
ACTR1A,60
ACTR1B,37
ACTR2,41
ACTR3,41
ACTR3B,187
ACTR3C,188
ACTR5,70
ACTR6,50
ACTR8,70
ACTRT2,189
ACTRT3,190
ACVR1,4
ACVR1B,60
ACVR1C,191
ACVR2A,4
ACVR2B,71
ACVRL1,192
ACY1,52
ACY3,193
ACYP1,14
ACYP2,60
ADA,194
ADAD1,195
ADAD2,196
ADAL,60
ADAM10,4
ADAM11,197
ADAM12,198
ADAM15,21
ADAM17,199
ADAM18,200
ADAM2,201
ADAM20,202
ADAM21,203
ADAM22,204
ADAM23,205
ADAM28,206
ADAM29,207
ADAM30,208
ADAM32,209
ADAM33,210
ADAM7,211
ADAM8,10
ADAM9,212
ADAMDEC1,213
ADAMTS1,71
ADAMTS10,214
ADAMTS12,215
ADAMTS14,38
ADAMTS15,216
ADAMTS16,217
ADAMTS17,218
ADAMTS18,219
ADAMTS19,220
ADAMTS20,221
ADAMTS3,222
ADAMTS4,223
ADAMTS5,224
ADAMTS6,225
ADAMTS7,226
ADAMTS8,227
ADAMTS9,228
ADAMTSL1,229
ADAMTSL2,230
ADAMTSL4,14
ADAP1,231
ADAP2,232
ADAR,27
ADARB1,233
ADARB2,234
ADAT1,235
ADAT2,47
ADAT3,47
ADCK1,236
ADCK2,65
ADCK5,237
ADCY1,238
ADCY10,239
ADCY2,240
ADCY4,241
ADCY5,242
ADCY6,21
ADCY7,243
ADCY8,244
ADCY9,245
ADCYAP1,246
ADCYAP1R1,247
ADD1,60
ADD2,14
ADD3,56
ADH1A,248
ADH1B,249
ADH4,250
ADH5,251
ADH6,252
ADH7,253
ADHFE1,254
ADI1,41
ADIG,255
ADIPOQ,256
ADIPOR2,70
ADIRF,10
ADK,14
ADM,257
ADM2,258
ADM5,259
ADNP,55
ADNP2,260
ADO,29
ADORA1,261
ADORA2A,14
ADORA2B,21
ADORA3,262
ADPGK,73
ADPRH,60
ADPRHL1,263
ADPRHL2,29
ADPRM,4
ADRA1A,264
ADRA1B,265
ADRA1D,266
ADRA2A,29
ADRA2B,267
ADRA2C,268
ADRB1,269
ADRB2,270
ADRB3,271
ADRM1,27
ADSL,11
ADTRP,272
AEBP1,60
AEBP2,60
AEN,56
AFAP1,73
AFAP1L1,273
AFAP1L2,10
AFF1,50
AFF3,14
AFF4,274
AFG3L2,54
AFM,275
AFMID,63
AFP,276
AFTPH,52
AGA,14
AGAP1,14
AGAP2,277
AGAP3,52
AGAP4,278
AGAP5,73
AGAP6,279
AGAP9,55
AGBL1,280
AGBL2,281
AGBL3,282
AGBL4,283
AGBL5,284
AGER,285
AGFG1,52
AGFG2,30
AGK,286
AGL,287
AGMAT,288
AGMO,289
AGO1,38
AGO2,10
AGO3,63
AGO4,290
AGPAT2,291
AGPAT3,41
AGPAT4,70
AGPAT5,14
AGPS,37
AGR2,60
AGR3,292
AGRN,14
AGRP,293
AGT,294
AGTPBP1,295
AGTR1,296
AGTRAP,29
AGXT,297
AGXT2,298
AHCTF1,8
AHCY,11
AHCYL1,11
AHCYL2,73
AHI1,65
AHNAK,52
AHNAK2,299
AHR,63
AHRR,70
AHSA1,14
AHSG,300
AHSP,301
AICDA,302
AIDA,60
AIF1,303
AIF1L,56
AIFM2,73
AIFM3,304
AIG1,11
AIM2,73
AIMP2,52
AIP,63
AIPL1,305
AIRE,306
AJAP1,307
AJUBA,5
AK1,14
AK2,60
AK3,52
AK4,71
AK5,308
AK6,47
AK7,60
AK8,309
AK9,60
AKAP1,310
AKAP10,60
AKAP11,311
AKAP12,29
AKAP13,10
AKAP3,312
AKAP5,313
AKAP6,314
AKAP7,60
AKAP8,315
AKAP8L,73
AKIP1,48
AKIRIN1,63
AKIRIN2,27
AKNA,60
AKNAD1,316
AKR1A1,29
AKR1B1,317
AKR1B15,318
AKR1C1,3
AKR1C2,319
AKR1C3,320
AKR1C4,3
AKR1D1,321
AKR1E2,322
AKR7A2,4
AKR7A3,30
AKT1,71
AKT1S1,41
AKT2,71
AKT3,323
AKTIP,11
ALAD,11
ALAS1,11
ALB,324
ALCAM,47
ALDH16A1,325
ALDH18A1,52
ALDH1A1,326
ALDH1A2,327
ALDH1B1,14
ALDH1L1,328
ALDH1L2,14
ALDH2,30
ALDH3A1,60
ALDH3A2,329
ALDH3B2,29
ALDH4A1,60
ALDH5A1,330
ALDH6A1,331
ALDH7A1,60
ALDH8A1,332
ALDH9A1,7
ALDOA,11
ALDOB,333
ALDOC,29
ALG1,27
ALG10,73
ALG10B,334
ALG11,27
ALG12,73
ALG14,27
ALG1L,335
ALG2,27
ALG3,73
ALG5,73
ALG6,73
ALG8,73
ALG9,73
ALK,29
ALKBH1,5
ALKBH2,336
ALKBH3,56
ALKBH4,14
ALKBH5,14
ALKBH6,27
